Date,Close,High,Low,Open,Sym,Volume,index
2016-03-14 10:37,113.953,113.955,113.954,113.954,USDJPY,0.0,
2016-03-14 10:38,113.941,113.956,113.949,113.953,USDJPY,0.0,
2016-03-14 10:39,113.922,113.9425,113.9375,113.941,USDJPY,0.0,
2016-03-14 10:40,113.9205,113.924,113.9215,113.922,USDJPY,0.0,
2016-03-14 10:41,113.898,113.9205,113.9115,113.9205,USDJPY,0.0,
2016-03-14 10:42,113.8955,113.9005,113.899,113.898,USDJPY,0.0,
2016-03-14 10:43,113.9145,113.916,113.914,113.8955,USDJPY,0.0,
2016-03-14 10:44,113.926,113.9285,113.927,113.9145,USDJPY,0.0,
2016-03-14 10:45,113.933,113.9345,113.932,113.926,USDJPY,0.0,
2016-03-14 10:46,113.93,113.9365,113.9325,113.933,USDJPY,0.0,
2016-03-14 10:47,113.924,113.9385,113.936,113.93,USDJPY,0.0,
2016-03-14 10:48,113.9325,113.947,113.9425,113.924,USDJPY,0.0,
2016-03-14 10:49,113.937,113.9435,113.9395,113.9325,USDJPY,0.0,
2016-03-14 10:50,113.925,113.94,113.937,113.937,USDJPY,0.0,
2016-03-14 10:51,113.9035,113.9255,113.9235,113.925,USDJPY,0.0,
2016-03-14 10:52,113.9105,113.9105,113.904,113.9035,USDJPY,0.0,
2016-03-14 10:53,113.9125,113.918,113.9135,113.9105,USDJPY,0.0,
2016-03-14 10:54,113.93,113.9305,113.921,113.9125,USDJPY,0.0,
2016-03-14 10:55,113.939,113.9395,113.935,113.93,USDJPY,0.0,
2016-03-14 10:56,113.939,113.9455,113.9415,113.939,USDJPY,0.0,
2016-03-14 10:57,113.9195,113.9395,113.9335,113.939,USDJPY,0.0,
2016-03-14 10:58,113.927,113.927,113.9185,113.9195,USDJPY,-1.0,
