Date,Close,High,Low,Open,Sym,Volume,index
2016-03-14 10:37,127.089,127.09,127.089,127.088,EURJPY,0.0,
2016-03-14 10:38,127.088,127.1,127.092,127.089,EURJPY,0.0,
2016-03-14 10:39,127.076,127.091,127.091,127.088,EURJPY,0.0,
2016-03-14 10:40,127.082,127.086,127.083,127.076,EURJPY,0.0,
2016-03-14 10:41,127.069,127.087,127.081,127.082,EURJPY,0.0,
2016-03-14 10:42,127.064,127.072,127.07,127.069,EURJPY,0.0,
2016-03-14 10:43,127.08,127.084,127.08,127.064,EURJPY,0.0,
2016-03-14 10:44,127.097,127.099,127.097,127.08,EURJPY,0.0,
2016-03-14 10:45,127.099,127.101,127.099,127.097,EURJPY,0.0,
2016-03-14 10:46,127.098,127.103,127.099,127.099,EURJPY,0.0,
2016-03-14 10:47,127.114,127.117,127.114,127.098,EURJPY,0.0,
2016-03-14 10:48,127.129,127.14,127.132,127.114,EURJPY,0.0,
2016-03-14 10:49,127.133,127.137,127.134,127.129,EURJPY,0.0,
2016-03-14 10:50,127.111,127.133,127.126,127.133,EURJPY,0.0,
2016-03-14 10:51,127.099,127.111,127.11,127.111,EURJPY,0.0,
2016-03-14 10:52,127.093,127.101,127.099,127.099,EURJPY,0.0,
2016-03-14 10:53,127.092,127.098,127.096,127.093,EURJPY,0.0,
2016-03-14 10:54,127.106,127.111,127.106,127.092,EURJPY,0.0,
2016-03-14 10:55,127.111,127.112,127.11,127.106,EURJPY,0.0,
2016-03-14 10:56,127.111,127.117,127.115,127.111,EURJPY,0.0,
2016-03-14 10:57,127.092,127.114,127.11,127.111,EURJPY,0.0,
2016-03-14 10:58,127.098,127.098,127.089,127.092,EURJPY,-1.0,
