sym,contracts,exp,qty,price,value,avg_cost,unr_pnl,real_pnl,accountid,currency
CAD,CAD20170314,20170314,-1,0.7589,-75890.0,75902.54,12.54,0.0,DU159913,USD
CHF,CHF20170313,20170313,-1,0.9927,-124087.5,123922.54,-164.96,0.0,DU159913,USD
CL,CL20170321,20170321,-1,54.19540405,-54195.4,54047.64,-147.76,0.0,DU159913,USD
EMD,EMD20170317,20170317,-1,1746.3925781,-174639.26,174517.96,-121.3,0.0,DU159913,USD
GBP,GBP20170313,20170313,-1,1.2435,-77718.75,77753.79,35.04,0.0,DU159913,USD
GC,GC20170426,20170426,1,1254.02661135,125402.66,125342.36,60.3,0.0,DU159913,USD
GF,GF20170330,20170330,-1,1.23625005,-61812.5,61809.61,-2.89,0.0,DU159913,USD
HG,HG20170526,20170526,-1,2.69619415,-67404.85,67347.64,-57.21,0.0,DU159913,USD
JPY,JPY20170313,20170313,1,0.008886,111075.0,110921.21,153.79,0.0,DU159913,USD
NG,NG20170329,20170329,-1,2.6983111,-26983.11,26897.64,-85.47,0.0,DU159913,USD
NIY,NIY20170309,20170309,-1,19226.8183594,-9613409.18,9587163.9,-26245.28,0.0,DU159913,JPY
PL,PL20170426,20170426,1,1033.78771975,51689.39,51582.36,107.03,0.0,DU159913,USD
ZB,ZB20170322,20170322,-1,152.5629425,-152562.94,152029.59,-533.35,0.0,DU159913,USD
ZB,ZB20170621,20170621,2,151.3125,302625.0,151407.91,-190.82,0.0,DU159913,USD
ZC,ZC20170512,20170512,-3,3.7023499,-55535.25,18372.19,-418.68,0.0,DU159913,USD
ZL,ZL20170512,20170512,-2,0.3271,-39252.0,19491.19,-269.62,0.0,DU159913,USD
ZS,ZS20170512,20170512,-1,10.26500035,-51325.0,51034.69,-290.31,0.0,DU159913,USD
ZT,ZT20170331,20170331,-6,108.52978515,-1302357.42,217076.665,102.57,0.0,DU159913,USD
ZT,ZT20170630,20170630,11,108.2300949,2381062.09,216470.21,-110.22,0.0,DU159913,USD
ZW,ZW20170512,20170512,-2,4.4074998,-44075.0,21934.69,-205.62,0.0,DU159913,USD
