symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
EURJPY,EUR,,20000.0,20000.0,123.583,123.583,1064684.544,21.29369088,1864732.496,23880.9352531,24767.952,Paper,JPY,1869120.0
GBPUSD,GBP,,20000.0,20000.0,1.41003,1.41003,1384632.2,27.692644,244354.88,-4302.674844,-3397.2,Paper,USD,250000.0
USDCHF,USD,,-20000.0,-20000.0,0.95272,0.95272,946078.035,18.9215607,-677996.05524,-14203.8174579,-12651.89268,Paper,CHF,-674125.2
USDJPY,USD,,-20000.0,-20000.0,108.659,108.659,933729.104,18.67458208,-1230569.3312,13926.2855459,15094.112,Paper,JPY,-1226720.0
USDCAD,USD,,20000.0,20000.0,1.30007,1.30007,951726.15524,19.0345231048,1185950.31351,895.113107295,2319.9296,Paper,CAD,1189860.8
GBPJPY,GBP,,20000.0,20000.0,153.024,153.024,1319083.92,26.3816784,2277287.9008,23319.6957136,24467.344,Paper,JPY,2282720.0
EURCHF,EUR,,-20000.0,-20000.0,1.08737,1.08737,1078801.7478,21.576034956,-492292.701264,-13682.8507502,-12800.68608,Paper,CHF,-487880.4
AUDJPY,AUD,,20000.0,20000.0,81.78,81.78,705270.72,14.39328,2337874.528,13185.220224,13622.4,Paper,JPY,2340800.0
EURGBP,EUR,,-20000.0,-20000.0,0.80703,0.80703,0.0,2.0,-179458.7613,-10894.756266,-9848.9573,Paper,GBP,-174902.0
NZDJPY,NZD,,-20000.0,-20000.0,73.655,73.655,0.0,2.0,-1512702.8576,14130.2870093,14720.816,Paper,JPY,-1510080.0
CADJPY,CAD,,-20000.0,-20000.0,83.193,83.193,0.0,2.0,-728062.896,18326.5786992,18842.208,Paper,JPY,-725120.0
CHFJPY,CHF,,20000.0,20000.0,113.435,113.435,0.0,2.0,1659173.824,4349.9349632,4791.6,Paper,JPY,1663200.0
NZDUSD,NZD,,-20000.0,-20000.0,0.68078,0.68078,0.0,2.0,-130725.68,-6756.508192,-6114.8,Paper,USD,-128000.0
EURUSD,EUR,,-20000.0,-20000.0,1.13996,1.13996,0.0,2.0,15440.56,-9886.577396,-8111.0,Paper,USD,20000.0
AUDUSD,AUD,,-20000.0,-20000.0,0.75506,0.75506,0.0,2.0,-1011040.4,-22846.785952,-21871.2,Paper,USD,-1008000.0
