symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
EURJPY,EUR,,20000.0,20000.0,123.578,123.578,1064779.408,21.29558816,1873532.496,-1598.23834016,-1511.664,Paper,JPY,1877920.0
GBPUSD,GBP,,20000.0,20000.0,1.40986,1.40986,1384602.8,27.692056,278354.88,-6420.390856,-6280.0,Paper,USD,284000.0
USDCHF,USD,,-20000.0,-20000.0,0.95304,0.95304,946078.035,18.9215607,-613215.25524,-6003.3576939,-5906.99676,Paper,CHF,-609344.4
AUDUSD,AUD,,20000.0,20000.0,0.75515,0.75515,739988.2,14.799764,980959.72,-1008.923564,-948.8,Paper,USD,984000.0
EURCHF,EUR,,20000.0,20000.0,1.08722,1.08722,1078722.39132,21.5744478264,483468.706056,16.9142547335,126.525,Paper,CHF,487880.4
NZDJPY,NZD,,-20000.0,-20000.0,73.696,73.696,0.0,2.0,-1440542.8576,216.70873728,322.432,Paper,JPY,-1437920.0
GBPJPY,GBP,,20000.0,20000.0,152.867,152.867,0.0,2.0,2553607.9008,-922.27154912,-624.448,Paper,JPY,2559040.0
AUDJPY,AUD,,20000.0,20000.0,81.677,81.677,0.0,2.0,2519154.528,-3196.5817024,-3079.472,Paper,JPY,2522080.0
EURGBP,EUR,,-20000.0,-20000.0,0.80677,0.80677,0.0,2.0,-252804.7613,-4274.34601503,-4045.0319,Paper,GBP,-248248.0
CADJPY,CAD,,-20000.0,-20000.0,83.199,83.199,0.0,2.0,-717502.896,4896.5389552,5000.864,Paper,JPY,-714560.0
CHFJPY,CHF,,20000.0,20000.0,113.438,113.438,0.0,2.0,1653893.824,-178.56140832,82.896,Paper,JPY,1657920.0
EURUSD,EUR,,-20000.0,-20000.0,1.14001,1.14001,0.0,2.0,25440.56,-6690.522572,-6461.2,Paper,USD,30000.0
USDCAD,USD,,20000.0,20000.0,1.30018,1.30018,0.0,2.0,1169507.51351,10387.5408851,10682.88716,Paper,CAD,1173418.0
NZDUSD,NZD,,-20000.0,-20000.0,0.6808,0.6808,0.0,2.0,-126725.68,3392.264808,3475.6,Paper,USD,-124000.0
USDJPY,USD,,-20000.0,-20000.0,108.35875,108.35875,19035.808,2.0,-1759009.3312,4798.63509792,4993.34,Paper,JPY,-1755160.0
