symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
EURJPY,EUR,,20000.0,20000.0,123.578,123.578,1064684.544,21.29369088,1873532.496,25975.4551091,26817.472,Paper,JPY,1877920.0
GBPUSD,GBP,,20000.0,20000.0,1.41002,1.41002,1384583.2,27.691664,246354.88,-2061.867264,-1156.4,Paper,USD,252000.0
USDCHF,USD,,-20000.0,-20000.0,0.95298,0.95298,946078.035,18.9215607,-625361.65524,-8645.0873397,-7171.03212,Paper,CHF,-621490.8
USDJPY,USD,,-20000.0,-20000.0,108.672,108.672,933729.104,18.67458208,-1207689.3312,12551.2227139,13719.024,Paper,JPY,-1203840.0
USDCAD,USD,,20000.0,20000.0,1.29995,1.29995,951726.15524,19.0345231048,1203887.91351,-84.3465205648,1301.67184,Paper,CAD,1207798.4
GBPJPY,GBP,,20000.0,20000.0,152.987,152.987,1319083.92,26.3816784,2342407.9008,39305.3168816,40767.232,Paper,JPY,2347840.0
EURCHF,EUR,,-20000.0,-20000.0,1.08759,1.08759,1078801.7478,21.576034956,-447755.901264,-10428.3613391,-8948.65776,Paper,CHF,-443343.6
AUDJPY,AUD,,20000.0,20000.0,81.8,81.8,705193.104,14.10386208,2302674.528,1761.91600992,2486.704,Paper,JPY,2305600.0
EURGBP,EUR,,-20000.0,-20000.0,0.80703,0.80703,0.0,2.0,-179458.7613,-3497.71879093,-1851.4223,Paper,GBP,-174902.0
NZDJPY,NZD,,-20000.0,-20000.0,73.655,73.655,0.0,2.0,-1512702.8576,24540.086448,25322.352,Paper,JPY,-1510080.0
CADJPY,CAD,,-20000.0,-20000.0,83.193,83.193,0.0,2.0,-728062.896,3893.56212672,4577.232,Paper,JPY,-725120.0
CHFJPY,CHF,,20000.0,20000.0,113.436,113.436,0.0,2.0,1657413.824,3566.40795168,4008.048,Paper,JPY,1661440.0
NZDUSD,NZD,,-20000.0,-20000.0,0.68078,0.68078,0.0,2.0,-130725.68,-6396.509792,-5754.8,Paper,USD,-128000.0
EURUSD,EUR,,-20000.0,-20000.0,1.13998,1.13998,0.0,2.0,19440.56,-8190.981792,-6460.8,Paper,USD,24000.0
AUDUSD,AUD,,-20000.0,-20000.0,0.75507,0.75507,0.0,2.0,-1009040.4,-21456.224944,-20511.4,Paper,USD,-1006000.0
