symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
EURJPY,open,long,2.0,0.0,123.5195,,-4.0,0.0,4.0,2254.0,,,,,EURJPY,,20160408 15:07:03 EST,20160408 13:35:02 EST,1.0,JPY,196.088,198.088,10160.12679,81844.5729,19156.12679
GBPUSD,open,long,2.0,0.0,1.411455,,-4.0,0.0,4.0,2232.0,,,,,GBPUSD,,20160408 15:07:35 EST,20160408 10:40:24 EST,1.0,USD,-5.5,-3.5,10158.12679,67715.6729,19156.12679
USDCHF,open,short,2.0,0.0,0.95335,,-4.0,0.0,4.0,2241.0,,,,,USDCHF,,20160408 15:08:02 EST,20160408 11:37:50 EST,-1.0,CHF,52.6588,54.6588,10156.12679,58062.11906,19156.12679
USDJPY,open,short,2.0,0.0,108.47,,-4.0,0.0,4.0,2230.0,,,,,USDJPY,,20160408 15:08:29 EST,20160408 09:39:05 EST,-1.0,JPY,153.936,155.936,10154.12679,48534.53506,19156.12679
USDCAD,open,long,2.0,0.0,1.29971,,-4.0,0.0,4.0,2258.0,,,,,USDCAD,,20160408 15:09:18 EST,20160408 14:07:57 EST,1.0,CAD,122.36736,124.36736,10150.12679,31270.19628,19156.12679
GBPJPY,open,long,2.0,0.0,152.978,,-4.0,0.0,4.0,2255.0,,,,,GBPJPY,,20160408 15:11:17 EST,20160408 14:05:52 EST,1.0,JPY,234.368,236.368,10141.73479,-17382.28562,19159.73479
EURCHF,open,short,2.0,0.0,1.08753,,-4.0,0.0,4.0,2235.0,,,,,EURCHF,,20160408 15:11:40 EST,20160408 11:11:10 EST,-1.0,CHF,43.549,45.549,10139.73479,-28389.65696,19159.73479
AUDJPY,open,long,2.0,0.0,81.7905,,-4.0,0.0,4.0,2263.0,,,,,AUDJPY,,20160408 15:12:03 EST,20160408 15:03:57 EST,1.0,JPY,230.232,232.232,10137.73479,-35586.38496,19159.73479
EURGBP,open,short,2.0,0.0,0.80703,0.0,-2.0,0.0,2.0,2265.0,,,,,EURGBP,,20160408 15:16:29 EST,20160408 15:16:29 EST,-2.0,GBP,15.4902,17.4902,10121.43814,-42397.38496,19149.43814
NZDJPY,open,short,2.0,0.0,73.655,0.0,-2.0,0.0,2.0,2266.0,,,,,NZDJPY,,20160408 15:36:18 EST,20160408 15:36:18 EST,-2.0,JPY,149.008,151.008,10104.59014,-42397.38496,19136.59014
CADJPY,open,short,2.0,0.0,83.193,0.0,-2.0,0.0,2.0,2267.0,,,,,CADJPY,,20160408 16:02:42 EST,20160408 16:02:42 EST,-2.0,JPY,70.512,72.512,10074.80614,-42397.38496,19110.80614
CHFJPY,open,long,2.0,0.0,113.436,0.0,-2.0,0.0,2.0,2268.0,,,,,CHFJPY,,20160408 16:03:16 EST,20160408 16:03:16 EST,2.0,JPY,164.144,166.144,10087.61414,-42397.38496,19127.61414
NZDUSD,open,short,2.0,0.0,0.68078,0.0,-2.0,0.0,2.0,2269.0,,,,,NZDUSD,,20160408 16:10:23 EST,20160408 16:10:23 EST,-2.0,USD,10.8,12.8,10072.31414,-42397.38496,19116.31414
EURUSD,open,short,2.0,0.0,1.13998,0.0,-2.0,0.0,2.0,2270.0,,,,,EURUSD,,20160408 16:11:08 EST,20160408 16:11:08 EST,-2.0,USD,-4.4,-2.4,10057.71414,-42397.38496,19105.71414
AUDUSD,open,short,2.0,0.0,0.75507,0.0,-2.0,0.0,2.0,2271.0,,,,,AUDUSD,,20160408 16:38:23 EST,20160408 16:38:23 EST,-2.0,USD,98.6,100.6,10050.21414,-42397.38496,19102.21414
