trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance,mark_to_mkt,pure_mark_to_mkt,currency,pure_unr_pnl,unr_pnl
1.0,-5.144,20160405 19:30:31 EST,20160405 19:30:31 EST,20160405 19:30:31 EST,83.215,,AUDJPY,short,,20160405 19:07:10 EST,closed,20160405 19:07:10 EST,83.202,,,1.0,1.0,,AUDJPY,,-1.144,1.0,19992.856,4.0,386259.504,19998.856,,,,,
2.0,0.136,20160405 19:31:02 EST,20160405 19:31:02 EST,20160405 19:31:02 EST,156.202,,GBPJPY,long,,20160405 19:07:11 EST,closed,20160405 19:07:11 EST,156.155,,,1.0,1.0,,GBPJPY,,4.136,-1.0,19994.992,4.0,400005.28,20002.992,,,,,
3.0,2.776,20160405 21:16:19 EST,20160405 21:16:19 EST,20160405 21:16:19 EST,83.10600000000002,,AUDJPY,short,,20160405 19:39:40 EST,closed,20160405 19:39:40 EST,83.183,,,1.0,1.0,,AUDJPY,,6.776,1.0,19995.768,4.0,386262.76,20009.768,,,,,
4.0,-11.568,20160405 21:16:26 EST,20160405 21:16:26 EST,20160405 21:16:26 EST,156.002,,GBPJPY,long,,20160405 19:40:10 EST,closed,20160405 19:40:10 EST,156.088,,,1.0,1.0,,GBPJPY,,-7.568,-1.0,19986.2,4.0,399990.936,20002.2,,,,,
5.0,-2.504,20160405 21:20:34 EST,20160405 21:20:34 EST,20160405 21:20:34 EST,83.12799999999999,,AUDJPY,short,,20160405 21:19:00 EST,closed,20160405 21:19:00 EST,83.145,,,1.0,1.0,,AUDJPY,,1.496,1.0,19981.696,4.0,386257.656,20003.696,,,,,
6.0,-5.848,20160405 21:20:35 EST,20160405 21:20:35 EST,20160405 21:20:35 EST,156.02200000000005,,GBPJPY,long,,20160405 21:19:03 EST,closed,20160405 21:19:03 EST,156.043,,,1.0,1.0,,GBPJPY,,-1.848,-1.0,19977.848,4.0,399987.592,20001.848,,,,,
7.0,-2.0,,,,0.0,,AUDJPY,short,,20160405 22:21:53 EST,open,20160405 22:21:53 EST,83.571,,,0.0,1.0,,AUDJPY,,0.0,-1.0,19975.848,2.0,392633.344,20001.848,,,,,
8.0,-2.0,,,,0.0,,GBPJPY,long,,20160405 22:22:00 EST,open,20160405 22:22:00 EST,156.571,,,0.0,1.0,,GBPJPY,,0.0,1.0,19973.848,2.0,378855.096,20001.848,,,,,
9.0,-2.0,,,,0.0,,AUDJPY,short,,20160407 01:04:26 EST,open,20160407 01:04:26 EST,83.091,,,0.0,1.0,,AUDJPY,,0.0,-1.0,19971.848,2.0,371543.088,20001.848,19972.488,20004.488,,,
10.0,-4.0,,,,,,AUDJPY,short,,20160408 15:06:13 EST,open,20160407 01:05:03 EST,82.456,,,0.0,2.0,,AUDJPY,,0.0,-1.0,19965.848,4.0,343470.384,20001.848,20098.688,20138.688,JPY,2.64,0.64
11.0,-4.0,,,,,,GBPJPY,long,,20160408 15:06:56 EST,open,20160407 01:05:29 EST,153.5575,,,0.0,2.0,,GBPJPY,,0.0,1.0,19963.848,4.0,330004.712,20001.848,20211.264,20253.264,JPY,19.8,17.8
