,system,avgSafef,cumCAR,MAXDD,sortinoRatio,sharpeRatio,marRatio,k_ratio,avgSafefmm,cumCARmm,MAXDDmm,sortinoRatiomm,marRatiomm,sharpeRatiomm,k_ratiomm,scoremm
0,bothNext500_NZDJPY_ALL_DF1_LDA_i25_gainAhead DPS wl2.0 maxL5 dd95_0.002 thres_0.0,2.15,80.0422616353,-1.20762285989,0.0547912355748,0.78049825747,66.2808433775,1.06630906091,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0
1,bothNext500_NZDJPY_ALL_DF1_LDA_i25_gainAhead,1.0,-25.4734695044,-0.984391961937,-0.0793539826371,-1.2969720246,-25.8773643929,-0.560181396584,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
