,system,avgSafef,cumCAR,MAXDD,sortinoRatio,sharpeRatio,marRatio,k_ratio,avgSafefmm,cumCARmm,MAXDDmm,sortinoRatiomm,marRatiomm,sharpeRatiomm,k_ratiomm,scoremm
1,bothNZDJPY_ALL_DF1_LDA_i25_gainAhead DPS wl2.0 maxL5 dd95_0.002 thres_0.0,2.45983935743,155.68597221,-1.14175419272,0.0743177532863,1.0060749514,136.356821111,0.723041966088,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0
0,bothNZDJPY_ALL_DF1_LDA_i25_gainAhead,1.0,17.0725268887,-0.507665832828,0.0449040004914,0.645989792804,33.6294581686,0.196724996838,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
