,system,avgSafef,cumCAR,MAXDD,sortinoRatio,sharpeRatio,marRatio,k_ratio,avgSafefmm,cumCARmm,MAXDDmm,sortinoRatiomm,marRatiomm,sharpeRatiomm,k_ratiomm,scoremm
1,"bothNext500_NZDJPY_ALL_DF1_LDA_i25_ZZ 0.006,-0.006",1.0,35.0331111922,-0.34463894976,0.0801360953135,1.1974927049,101.651630544,1.64255020074,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0
0,"bothNext500_NZDJPY_ALL_DF1_LDA_i25_ZZ 0.006,-0.006 DPS wl2.0 maxL5 dd95_0.002 thres_0.0",2.54,41.3795603934,-2.05445503533,0.0252893641918,0.386766355323,20.1413804059,-0.0889790167503,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
