,system,avgSafef,cumCAR,MAXDD,sortinoRatio,sharpeRatio,marRatio,k_ratio,avgSafefmm,cumCARmm,MAXDDmm,sortinoRatiomm,marRatiomm,sharpeRatiomm,k_ratiomm,scoremm
0,"bothNZDJPY_ALL_DF1_LDA_i25_ZZ 0.006,-0.006",1.0,46.4862673347,-0.465022277181,0.0816780444781,1.04196444029,99.9656782392,2.02693494205,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0
1,"bothNZDJPY_ALL_DF1_LDA_i25_ZZ 0.006,-0.006 DPS wl2.0 maxL5 dd95_0.002 thres_0.0",2.61044176707,50.8198600047,-1.60554429289,0.0269289103478,0.400508747893,31.6527299993,1.05710305208,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
