,system,avgSafef,cumCAR,MAXDD,sortinoRatio,sharpeRatio,marRatio,k_ratio,avgSafefmm,cumCARmm,MAXDDmm,sortinoRatiomm,marRatiomm,sharpeRatiomm,k_ratiomm,scoremm
1,bothAUDUSD_ALL_DF1_BayesianRidge_i200 DPS wl12.0 maxL5 dd95_0.007 thres_0.0,1.16996363642,223.91479461,-5.87987888216,0.0965276152728,1.52280516554,38.0815317963,0.522087258008,1.0,1.0,0.0,1.0,1.0,0.994222986705,0.746443351974,5.74066633868
2,bothAUDUSD_ALL_DF1_BayesianRidge_i200,1.0,80.6167977511,-4.33262275788,0.0915204068888,1.53005437386,18.6069275485,0.755255282273,0.0,0.300489128971,1.0,0.937960901501,0.439722182891,1.0,1.0,4.67817221336
0,bothAUDUSD_ALL_DF1_BayesianRidge_i200 DPS wl24.0 maxL5 dd95_0.010 thres_0.0,1.02121313095,19.0602272351,-5.73637286292,0.0158170874726,0.27521767026,3.32269670932,-0.164334190455,0.124809820459,0.0,0.0927487162494,0.0,0.0,0.0,0.0,0.217558536708
