2016-10-12 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-10-12 00:00:00,Close2016-10-12 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-12 00:00:00,LastSRUN,SRUN2016-10-12 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-11 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-11 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-11 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-11 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.476,0.02041061,-0.0186170212766,-1.0,1.0,-1.0,1.0,1.0,12.0,2016-09-23,591.90769,4.0,1.0,1.0,42804.0,-0.0186170212766,1.476,energy,1.0,1.0,2016-09-23,1.0,1.0,13.0,13.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,1,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
AD,@ADZ6,0.7551,0.00616,0.00265568981543,1.0,-1.0,-1.0,-1.0,-1.0,20.0,2016-09-13,616.0,4.0,1.0,1.0,75510.0,0.00265568981543,0.7551,currency,1.0,-1.0,2016-09-13,-1.0,-1.0,21.0,21.0,-1.0,0.0,1.0,4.0,0.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,0,-1,1,1,1,1,1,-1.0,1,-1,1,1,1,1,0.0,1.0,1.0,1.0,0.0,-1,1,1,1.0,1,802.124551852,802.124551852,-802.124551852,802.124551852,802.124551852,-802.124551852,-802.124551852,802.124551852,0.0,-802.124551852,-802.124551852,-802.124551852,802.124551852,802.124551852,-802.124551852,802.124551852,-802.124551852,802.124551852,-802.124551852,802.124551852,802.124551852,802.124551852,802.124551852,802.124551852,802.124551852,802.124551852,0.0,802.124551852,802.124551852,802.124551852,0.0,-802.124551852,802.124551852
AEX,AEXV6,450.5,6.17,-0.00133008202172,-1.0,1.0,1.0,-1.0,1.0,12.0,2016-09-23,1358.3872,2.0,1.0,1.0,99182.08,-0.00133008202172,450.5,index,1.0,1.0,2016-09-23,1.0,1.0,13.0,13.0,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,0,-1,-1,1,-1,-1,1,1.0,-1,1,1,-1,-1,1,1.0,1.0,0.0,1.0,-1.0,-1,-1,1,1.0,0,-263.840602971,263.840602971,263.840602971,-263.840602971,-263.840602971,263.840602971,-263.840602971,263.840602971,-0.0,-263.840602971,-263.840602971,263.840602971,-263.840602971,263.840602971,-263.840602971,263.840602971,-263.840602971,263.840602971,-263.840602971,-263.840602971,263.840602971,-263.840602971,-263.840602971,-0.0,263.840602971,-263.840602971,-263.840602971,-263.840602971,-0.0,-263.840602971,263.840602971,263.840602971,263.840602971
BO,@BOZ6,33.34,0.66,-0.000299850074962,-1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-10-03,396.0,6.0,1.0,1.0,20004.0,-0.000299850074962,33.34,grain,1.0,1.0,2016-10-03,1.0,1.0,-7.0,-7.0,-1.0,0.0,1.0,6.0,0.0,1.0,6.0,1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,0,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,1,-1,1,1.0,1,-35.9892053973,35.9892053973,35.9892053973,-35.9892053973,-35.9892053973,35.9892053973,-35.9892053973,35.9892053973,-0.0,35.9892053973,-35.9892053973,35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,35.9892053973,35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-35.9892053973,-0.0,-35.9892053973,35.9892053973
BP,@BPZ6,1.221,0.015,0.00518646579402,1.0,-1.0,1.0,-1.0,1.0,-25.0,2016-09-06,937.5,3.0,1.0,1.0,76312.5,0.00518646579402,1.221,currency,1.0,-1.0,2016-09-06,1.0,1.0,-26.0,-26.0,-1.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,1,1,1,-1,1,-1.0,1,1,1,1,1,1,0.0,1.0,1.0,1.0,-1.0,-1,-1,1,1.0,1,1187.37651272,1187.37651272,-1187.37651272,1187.37651272,1187.37651272,-1187.37651272,-1187.37651272,1187.37651272,0.0,-1187.37651272,1187.37651272,-1187.37651272,1187.37651272,1187.37651272,1187.37651272,-1187.37651272,-1187.37651272,1187.37651272,1187.37651272,1187.37651272,1187.37651272,1187.37651272,1187.37651272,1187.37651272,1187.37651272,1187.37651272,0.0,1187.37651272,1187.37651272,1187.37651272,-1187.37651272,-1187.37651272,-1187.37651272
C,@CZ6,337.0,6.7375,-0.0246020260492,-1.0,1.0,1.0,1.0,1.0,8.0,2016-09-29,336.875,6.0,1.0,1.0,16850.0,-0.0246020260492,337.0,grain,1.0,1.0,2016-09-29,1.0,1.0,9.0,9.0,1.0,0.0,1.0,6.0,0.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,0.0,0.0,-1.0,-1.0,0.0,1,-1,-1,-1.0,-1,-2487.26483357,2487.26483357,-2487.26483357,2487.26483357,-2487.26483357,2487.26483357,-2487.26483357,2487.26483357,-0.0,-2487.26483357,-2487.26483357,-2487.26483357,2487.26483357,2487.26483357,-2487.26483357,2487.26483357,-2487.26483357,2487.26483357,-2487.26483357,2487.26483357,2487.26483357,2487.26483357,2487.26483357,2487.26483357,2487.26483357,2487.26483357,-0.0,-0.0,2487.26483357,2487.26483357,-0.0,-2487.26483357,2487.26483357
CC,@CCZ6,2643.0,66.0,-0.00825515947467,-1.0,1.0,1.0,-1.0,-1.0,4.0,2016-10-05,660.0,4.0,1.0,1.0,26430.0,-0.00825515947467,2643.0,soft,1.0,-1.0,2016-10-05,-1.0,-1.0,5.0,5.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,0,-1,1,1,-1,1,-1,-1.0,1,1,1,-1,1,-1,0.0,1.0,0.0,0.0,0.0,-1,-1,0,1.0,0,-872.735459662,872.735459662,-872.735459662,872.735459662,-872.735459662,872.735459662,872.735459662,-872.735459662,-0.0,-872.735459662,-872.735459662,872.735459662,-872.735459662,872.735459662,872.735459662,-872.735459662,872.735459662,-872.735459662,-872.735459662,-872.735459662,872.735459662,-0.0,-872.735459662,-0.0,-872.735459662,872.735459662,-0.0,-872.735459662,-0.0,-0.0,-0.0,872.735459662,872.735459662
CD,@CDZ6,0.7549,0.00622,-0.000595750314424,-1.0,-1.0,-1.0,-1.0,-1.0,-25.0,2016-09-06,622.0,4.0,1.0,1.0,75490.0,-0.000595750314424,0.7549,currency,1.0,-1.0,2016-09-06,-1.0,-1.0,-26.0,-26.0,-1.0,0.0,1.0,4.0,0.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,0,-1,1,1,1,1,1,1.0,-1,-1,-1,1,1,1,0.0,1.0,1.0,0.0,0.0,-1,1,0,-1.0,0,-179.892764943,179.892764943,179.892764943,-179.892764943,-179.892764943,179.892764943,179.892764943,-179.892764943,-0.0,179.892764943,179.892764943,179.892764943,-179.892764943,-179.892764943,179.892764943,-179.892764943,-179.892764943,179.892764943,179.892764943,179.892764943,-179.892764943,-0.0,179.892764943,-0.0,-179.892764943,-179.892764943,-0.0,-179.892764943,-179.892764943,-0.0,-0.0,179.892764943,-179.892764943
CGB,CBZ6,144.51,0.6185,-0.00165803108808,-1.0,1.0,1.0,-1.0,-1.0,-7.0,2016-09-29,466.194316726,5.0,1.0,1.0,108924.398884,-0.00165803108808,144.51,rates,-1.0,-1.0,2016-09-29,-1.0,-1.0,19.0,19.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,0,1,1,1,-1,1,1,1.0,-1,-1,1,1,-1,-1,1.0,1.0,0.0,0.0,-1.0,-1,1,0,1.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
CL,QCLZ6,50.64,1.4884575525,-0.0120102382499,-1.0,-1.0,-1.0,1.0,-1.0,-17.0,2016-09-16,1488.4575525,2.0,1.0,1.0,50640.0,-0.0120102382499,50.64,energy,1.0,1.0,2016-09-16,-1.0,-1.0,-18.0,-18.0,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,0,-1,-1,-1,1,1,1,1.0,-1,-1,-1,1,1,1,1.0,1.0,1.0,0.0,1.0,1,1,0,0.0,0,-1216.39692995,1216.39692995,1216.39692995,-1216.39692995,-1216.39692995,1216.39692995,-1216.39692995,1216.39692995,-0.0,1216.39692995,1216.39692995,-1216.39692995,1216.39692995,-1216.39692995,1216.39692995,-1216.39692995,-1216.39692995,1216.39692995,1216.39692995,1216.39692995,-1216.39692995,-0.0,-0.0,-0.0,-1216.39692995,-1216.39692995,-1216.39692995,-1216.39692995,-1216.39692995,-0.0,-1216.39692995,-1216.39692995,-1216.39692995
