2017-05-30 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-05-30 00:00:00,Close2017-05-30 00:00:00,group,RiskOn,Custom,PC2017-05-29 00:00:00,Close2017-05-29 00:00:00,vSTART,LastSEA,SEA2017-05-30 00:00:00,LastSRUN,SRUN2017-05-30 00:00:00,SEA2017-05-29 00:00:00,SRUN2017-05-29 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-05-29 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-05-26 00:00:00,0.5SIG2017-05-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-05-26 00:00:00,0.75SIG2017-05-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-05-26 00:00:00,1SIG2017-05-29 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACN7,1.531,0.0325333325,-0.0039037085231,-1.0,1.0,-1.0,1.0,-1.0,7.0,2017-05-17,943.4666425,1.0,1.0,1.0,44399.0,1.0,-0.0039037085231,1.531,energy,1.0,1.0,,,2017-05-17,-1.0,-1.0,8.0,8.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
AD,@ADM7,0.7463,0.00557,0.00295659185593,1.0,-1.0,-1.0,-1.0,-1.0,-13.0,2017-05-09,557.0,1.0,1.0,1.0,74630.0,1.0,0.00295659185593,0.7463,currency,1.0,1.0,,,2017-05-09,1.0,1.0,-14.0,-14.0,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,220.650450208,220.650450208,-220.650450208,220.650450208,220.650450208,-220.650450208,220.650450208,-220.650450208,220.650450208,-220.650450208,-220.650450208,-220.650450208,220.650450208,220.650450208,220.650450208,-220.650450208,220.650450208,220.650450208,220.650450208,-220.650450208,-220.650450208,220.650450208,220.650450208,220.650450208,220.650450208,220.650450208,220.650450208,220.650450208,220.650450208,220.650450208,220.650450208,220.650450208,0.0,0.0,220.650450208
AEX,AEXM7,525.1,3.992411108,-0.00369983872498,-1.0,1.0,-1.0,1.0,-1.0,-24.0,2017-04-24,893.900847081,1.0,1.0,1.0,117569.89,0.89325591782,-0.00369983872498,525.1,index,1.0,1.0,,,2017-04-24,-1.0,-1.0,-25.0,-25.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,,-1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
BO,@BON7,31.42,0.5525,-0.00569620253165,-1.0,-1.0,1.0,-1.0,-1.0,7.0,2017-05-17,331.5,3.0,1.0,1.0,18852.0,1.0,-0.00569620253165,31.42,grain,1.0,1.0,,,2017-05-17,-1.0,-1.0,8.0,8.0,,,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-322.15443038,322.15443038,322.15443038,-322.15443038,-322.15443038,322.15443038,-322.15443038,322.15443038,-322.15443038,322.15443038,-322.15443038,322.15443038,-322.15443038,-322.15443038,322.15443038,322.15443038,322.15443038,-322.15443038,-322.15443038,322.15443038,322.15443038,-322.15443038,-322.15443038,-322.15443038,-322.15443038,-322.15443038,-322.15443038,-322.15443038,-322.15443038,-322.15443038,-322.15443038,-322.15443038,-0.0,-0.0,-322.15443038
BP,@BPM7,1.2865,0.008475,0.00476413620744,1.0,1.0,-1.0,1.0,1.0,-18.0,2017-05-02,529.6875,1.0,1.0,1.0,80406.25,1.0,0.00476413620744,1.2865,currency,1.0,1.0,,,2017-05-02,1.0,1.0,-19.0,-19.0,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,383.066326929,383.066326929,-383.066326929,383.066326929,383.066326929,-383.066326929,383.066326929,-383.066326929,383.066326929,383.066326929,-383.066326929,383.066326929,-383.066326929,-383.066326929,383.066326929,383.066326929,383.066326929,-383.066326929,383.066326929,-383.066326929,-383.066326929,383.066326929,-383.066326929,0.0,-383.066326929,-383.066326929,-383.066326929,383.066326929,383.066326929,0.0,0.0,383.066326929,0.0,0.0,-383.066326929
C,@CN7,367.0,5.5625,-0.0193720774883,-1.0,1.0,1.0,1.0,-1.0,-18.0,2017-05-02,278.125,3.0,1.0,1.0,18350.0,1.0,-0.0193720774883,367.0,grain,1.0,1.0,,,2017-05-02,-1.0,-1.0,-19.0,-19.0,,,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-1066.43286573,1066.43286573,-1066.43286573,1066.43286573,-1066.43286573,1066.43286573,-1066.43286573,1066.43286573,-1066.43286573,-1066.43286573,-1066.43286573,-1066.43286573,1066.43286573,1066.43286573,1066.43286573,1066.43286573,1066.43286573,-1066.43286573,1066.43286573,-1066.43286573,1066.43286573,1066.43286573,1066.43286573,1066.43286573,1066.43286573,1066.43286573,-1066.43286573,-1066.43286573,-1066.43286573,-1066.43286573,-0.0,1066.43286573,-1066.43286573,-0.0,1066.43286573
CC,@CCN7,2037.0,61.25,0.0659340659341,1.0,1.0,-1.0,1.0,1.0,3.0,2017-05-18,612.5,1.0,1.0,1.0,20370.0,1.0,0.0659340659341,2037.0,soft,1.0,1.0,,,2017-05-18,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
CD,@CDM7,0.74285,0.0046525,-6.73038093956e-05,-1.0,1.0,1.0,1.0,1.0,-16.0,2017-05-04,465.25,2.0,1.0,1.0,74285.0,1.0,-6.73038093956e-05,0.74285,currency,1.0,1.0,,,2017-05-04,1.0,1.0,-17.0,-17.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-9.9993269619,9.9993269619,-9.9993269619,9.9993269619,-9.9993269619,9.9993269619,-9.9993269619,9.9993269619,-9.9993269619,-9.9993269619,-9.9993269619,-9.9993269619,9.9993269619,9.9993269619,9.9993269619,-9.9993269619,-9.9993269619,9.9993269619,-9.9993269619,9.9993269619,-9.9993269619,-9.9993269619,9.9993269619,-9.9993269619,-9.9993269619,-0.0,-9.9993269619,-9.9993269619,9.9993269619,-0.0,9.9993269619,-9.9993269619,-9.9993269619,-9.9993269619,9.9993269619
CGB,CBU7,145.33,0.578063864,-0.00151150807283,-1.0,-1.0,-1.0,-1.0,1.0,12.0,2017-05-10,429.372252841,2.0,1.0,1.0,107947.708535,1.3463,-0.00151150807283,145.33,rates,-1.0,1.0,,,2017-05-10,1.0,1.0,13.0,13.0,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,,-1.0,1.0,0.0,,-1.0,1.0,0.0,,-1.0,0,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1,0.0,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
CL,QCLN7,49.66,1.46352498,-0.00281124497992,-1.0,1.0,-1.0,1.0,-1.0,-16.0,2017-05-04,1463.52498,1.0,1.0,1.0,49660.0,1.0,-0.00281124497992,49.66,energy,1.0,1.0,,,2017-05-04,-1.0,-1.0,-17.0,-17.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-139.606425703,139.606425703,-139.606425703,139.606425703,-139.606425703,139.606425703,-139.606425703,139.606425703,-139.606425703,-139.606425703,139.606425703,-139.606425703,139.606425703,139.606425703,-139.606425703,139.606425703,139.606425703,-139.606425703,139.606425703,-139.606425703,139.606425703,139.606425703,139.606425703,139.606425703,139.606425703,139.606425703,-139.606425703,139.606425703,-139.606425703,-0.0,-0.0,139.606425703,-139.606425703,-0.0,139.606425703
