2017-06-05 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-06-02 00:00:00,Close2017-06-02 00:00:00,group,RiskOn,Custom,PC2017-06-05 00:00:00,Close2017-06-05 00:00:00,vSTART,LastSEA,SEA2017-06-02 00:00:00,LastSRUN,SRUN2017-06-02 00:00:00,SEA2017-06-05 00:00:00,SRUN2017-06-05 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-06-02 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-06-02 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-06-02 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-06-02 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACN7,1.565,0.029034387,,1.0,1.0,-1.0,1.0,-1.0,11.0,2017-05-17,841.997223,1.0,1.0,1.0,45385.0,1.0,0.0064308681672,1.565,energy,1.0,1.0,,,2017-05-17,-1.0,-1.0,11.0,11.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,@ADM7,0.7434,0.005445,,1.0,-1.0,-1.0,-1.0,1.0,-17.0,2017-05-09,544.5,1.0,1.0,1.0,74340.0,1.0,0.00827343008273,0.7434,currency,1.0,1.0,,,2017-05-09,1.0,1.0,-17.0,-17.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEX,AEXM7,524.2,3.909041593,-0.00370616744274,-1.0,1.0,-1.0,1.0,-1.0,-28.0,2017-04-24,880.003443416,1.0,1.0,1.0,118007.904,0.88841506752,,,index,1.0,1.0,-0.00370616744274,524.2,2017-04-24,-1.0,,-29.0,,-1.0,-29.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
BO,@BON7,31.31,0.514,0.00967429861335,1.0,-1.0,1.0,-1.0,-1.0,11.0,2017-05-17,308.4,3.0,1.0,1.0,18786.0,1.0,,,grain,1.0,1.0,0.00967429861335,31.31,2017-05-17,-1.0,,12.0,,-1.0,12.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,545.224121251,545.224121251,-545.224121251,545.224121251,545.224121251,-545.224121251,545.224121251,-545.224121251,545.224121251,-545.224121251,545.224121251,-545.224121251,545.224121251,545.224121251,-545.224121251,-545.224121251,-545.224121251,545.224121251,545.224121251,-545.224121251,-545.224121251,545.224121251,545.224121251,545.224121251,545.224121251,545.224121251,545.224121251,545.224121251,545.224121251,545.224121251,545.224121251,545.224121251,0.0,0.0,545.224121251
BP,@BPM7,1.2884,0.008575,,1.0,-1.0,-1.0,-1.0,1.0,-22.0,2017-05-02,535.9375,1.0,1.0,1.0,80525.0,1.0,0.000155255395125,1.2884,currency,1.0,1.0,,,2017-05-02,1.0,1.0,-22.0,-22.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,@CN7,373.0,5.325,0.000670690811536,1.0,1.0,1.0,1.0,-1.0,-22.0,2017-05-02,266.25,3.0,1.0,1.0,18650.0,1.0,,,grain,1.0,1.0,0.000670690811536,373.0,2017-04-21,1.0,,-30.0,,1.0,-30.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,37.5251509054,37.5251509054,37.5251509054,-37.5251509054,37.5251509054,-37.5251509054,37.5251509054,-37.5251509054,37.5251509054,37.5251509054,37.5251509054,37.5251509054,-37.5251509054,-37.5251509054,-37.5251509054,-37.5251509054,37.5251509054,37.5251509054,-37.5251509054,37.5251509054,-37.5251509054,-37.5251509054,-37.5251509054,-37.5251509054,-37.5251509054,-37.5251509054,37.5251509054,37.5251509054,37.5251509054,37.5251509054,0.0,-37.5251509054,37.5251509054,0.0,-37.5251509054
CC,@CCN7,2001.0,60.0,,-1.0,-1.0,1.0,-1.0,1.0,5.0,2017-05-25,600.0,1.0,1.0,1.0,20010.0,1.0,-0.0113636363636,2001.0,soft,1.0,1.0,,,2017-05-25,1.0,1.0,5.0,5.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD,@CDM7,0.74125,0.0044775,,1.0,1.0,1.0,1.0,1.0,4.0,2017-05-26,447.75,2.0,1.0,1.0,74125.0,1.0,0.00148618523272,0.74125,currency,1.0,1.0,,,2017-05-26,1.0,1.0,4.0,4.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB,CBU7,145.48,0.562870711,,1.0,1.0,-1.0,1.0,-1.0,16.0,2017-05-10,417.745814903,2.0,1.0,1.0,107970.906932,1.3474,0.00172140742271,145.48,rates,-1.0,1.0,,,2017-05-10,-1.0,-1.0,16.0,16.0,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,QCLN7,47.66,1.38582452,,-1.0,-1.0,1.0,-1.0,-1.0,7.0,2017-05-23,1385.82452,1.0,1.0,1.0,47660.0,1.0,-0.0144747725393,47.66,energy,1.0,1.0,,,2017-05-23,-1.0,-1.0,7.0,7.0,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
