rowname,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta
2016-10-02 18:20:14 ctwo:299.6 csi:299.6 @SMZ6,2016-10-02 18:20:14,299.6,2016-09-30 20:00:00,299.6,0.0,0.0,Close,1 days 22:20:14.000000000,1.93071759259
2016-10-02 18:00:35 ctwo:1.1277 csi:1.1277 @EUZ6,2016-10-02 18:00:35,1.1277,2016-09-30 20:00:00,1.1277,0.0,0.0,Close,1 days 22:00:35.000000000,1.91707175926
2016-10-02 18:00:35 ctwo:0.7264 csi:0.7264 @NEZ6,2016-10-02 18:00:35,0.7264,2016-09-30 20:00:00,0.7264,0.0,0.0,Close,1 days 22:00:35.000000000,1.91707175926
2016-10-02 18:00:22 ctwo:4870.0 csi:4870.25 @NQZ6,2016-10-02 18:00:22,4870.0,2016-09-30 20:00:00,4870.25,-5.13320671423e-05,5.13320671423e-05,Close,1 days 22:00:22.000000000,1.9169212963
2016-10-02 18:00:52 ctwo:0.7629 csi:0.76285 @CDZ6,2016-10-02 18:00:52,0.7629,2016-09-30 20:00:00,0.76285,6.5543684866e-05,6.5543684866e-05,Open,1 days 22:00:52.000000000,1.91726851852
2016-10-03 02:01:53 ctwo:132.1 csi:132.09 BLZ6,2016-10-03 02:01:53,132.1,2016-09-30 20:00:00,132.09,7.57059580588e-05,7.57059580588e-05,Open,2 days 06:01:53.000000000,2.25130787037
2016-10-02 18:00:23 ctwo:109.21875 csi:109.234375 @TUZ6,2016-10-02 18:00:23,109.21875,2016-09-30 20:00:00,109.234375,-0.000143041052782,0.000143041052782,Close,1 days 22:00:23.000000000,1.91693287037
2016-10-02 19:30:17 ctwo:152.27 csi:152.32 BBZ6,2016-10-02 19:30:17,152.27,2016-09-30 20:00:00,152.32,-0.000328256302521,0.000328256302521,Open,1 days 23:30:17.000000000,1.97936342593
2016-10-02 19:30:04 ctwo:152.27 csi:152.32 BBZ6,2016-10-02 19:30:04,152.27,2016-09-30 20:00:00,152.32,-0.000328256302521,0.000328256302521,Close,1 days 23:30:04.000000000,1.97921296296
2016-10-02 18:01:02 ctwo:18213.0 csi:18219.0 @YMZ6,2016-10-02 18:01:02,18213.0,2016-09-30 20:00:00,18219.0,-0.000329326527252,0.000329326527252,Open,1 days 22:01:02.000000000,1.91738425926
2016-10-02 18:00:50 ctwo:18213.0 csi:18219.0 @YMZ6,2016-10-02 18:00:50,18213.0,2016-09-30 20:00:00,18219.0,-0.000329326527252,0.000329326527252,Close,1 days 22:00:50.000000000,1.91724537037
2016-10-02 18:01:02 ctwo:2159.75 csi:2160.5 @ESZ6,2016-10-02 18:01:02,2159.75,2016-09-30 20:00:00,2160.5,-0.000347141865309,0.000347141865309,Open,1 days 22:01:02.000000000,1.91738425926
2016-10-02 18:00:49 ctwo:2159.75 csi:2160.5 @ESZ6,2016-10-02 18:00:49,2159.75,2016-09-30 20:00:00,2160.5,-0.000347141865309,0.000347141865309,Close,1 days 22:00:49.000000000,1.9172337963
2016-10-02 18:30:01 ctwo:98.5 csi:98.55 HTSZ6,2016-10-02 18:30:01,98.5,2016-09-30 20:00:00,98.55,-0.00050735667174,0.00050735667174,Close,1 days 22:30:01.000000000,1.93751157407
2016-10-02 18:30:12 ctwo:98.5 csi:98.55 HTSZ6,2016-10-02 18:30:12,98.5,2016-09-30 20:00:00,98.55,-0.00050735667174,0.00050735667174,Open,1 days 22:30:12.000000000,1.93763888889
