,Contract,LastClose,ATR20,PC2016-07-07 00:00:00,ACT,usdATR,QTY,Close2016-07-07 00:00:00,vSTART,LastSEA,SEA2016-07-07 00:00:00,LastSRUN,SRUN2016-07-07 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-06 00:00:00,SIG2016-07-05 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-06 00:00:00,0.5SIG2016-07-05 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-06 00:00:00,0.75SIG2016-07-05 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-06 00:00:00,1SIG2016-07-05 00:00:00
AC,@ACQ6,1.559,0.0401395695,-0.006373486297,-1.0,1164.0475155,2.0,1.559,2016-06-27,1.0,1.0,-3.0,-3.0,1.0,,0.0,1.0,,1.0,1.0,0.0,1.0,,-1.0,2.0,0.0,-1.0,,-1.0,2.0,0.0,-1.0,
AD,@ADU6,0.7456,0.0100531,-0.00573409787972,-1.0,1005.31,2.0,0.7456,2016-06-27,1.0,1.0,-7.0,-7.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
AEX,AEXN6,426.3,11.991662079,0.00995024875622,1.0,2653.51498484,1.0,426.3,2016-07-01,-1.0,-1.0,-4.0,-4.0,-1.0,,1.0,-1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
BO,@BOZ6,30.18,0.722615621,-0.0198116271517,-1.0,433.5693726,5.0,30.18,2016-06-28,-1.0,-1.0,-6.0,-6.0,-1.0,,5.0,-1.0,,1.0,1.0,5.0,1.0,,-1.0,2.0,5.0,-1.0,,-1.0,2.0,5.0,-1.0,
BP,@BPU6,1.2906,0.0302757035,-0.0022419791264,-1.0,1892.23146875,2.0,1.2906,2016-06-29,1.0,1.0,5.0,5.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
C,@CU6,341.75,13.7442439865,0.000732064421669,1.0,687.212199325,3.0,341.75,2016-06-20,-1.0,-1.0,12.0,12.0,-1.0,,3.0,-1.0,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,
CC,@CCU6,3110.0,59.55,0.00974025974026,1.0,595.5,4.0,3110.0,2016-06-30,1.0,1.0,-2.0,-2.0,1.0,,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,
CD,@CDU6,0.768,0.007750047,-0.00505246793626,-1.0,775.0047,3.0,0.768,2016-06-27,-1.0,-1.0,7.0,7.0,-1.0,,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
CGB,CBU6,148.9,0.8255,0.000739296995766,1.0,635.293212252,4.0,148.9,2016-06-23,1.0,1.0,9.0,9.0,1.0,,0.0,1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,1.0,2.0,0.0,1.0,
CL,QCLQ6,45.14,1.89152186,-0.0482816782627,-1.0,1891.52186,2.0,45.14,2016-06-29,1.0,1.0,5.0,5.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,
