2016-07-20 00:00:00,Contract,LastClose,ATR20,PC2016-07-20 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-20 00:00:00,RiskOn,group,SEA2016-07-20 00:00:00,SRUN2016-07-20 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-19 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-19 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-19 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-19 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
AC,@ACU6,1.458,0.0362522535,-0.0374753429801,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2016-07-13,-1.0,1051.3153515,2.0,42282.0,1.458,1.0,energy,-1.0,5.0,-1.0,4.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1.0,-1,-1,-1584.53245189,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
AD,@ADU6,0.7459,0.00992,-0.00453756839717,-1.0,1.0,-1.0,1.0,-1.0,-4.0,2016-07-14,-1.0,992.0,3.0,74590.0,0.7459,1.0,currency,-1.0,-4.0,1.0,-3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,1,-1.0,-1,-1,-338.457226745,1015.37168023,1015.37168023,-1015.37168023,1015.37168023,-1015.37168023,-1015.37168023,1015.37168023,1015.37168023,1015.37168023,1015.37168023,-1015.37168023,-1015.37168023,1015.37168023
AEX,AEXQ6,448.75,10.517896027,0.00967487906401,1.0,1.0,1.0,1.0,-1.0,-9.0,2016-07-07,-1.0,2317.09249475,1.0,98859.625,448.75,1.0,index,-1.0,-9.0,1.0,-8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1,1,-1.0,1,-1,956.454916189,956.454916189,956.454916189,956.454916189,956.454916189,956.454916189,956.454916189,-956.454916189,-956.454916189,956.454916189,-956.454916189,956.454916189,956.454916189,-956.454916189
BO,@BOZ6,31.25,0.741,0.00224502886466,1.0,-1.0,-1.0,1.0,-1.0,-9.0,2016-07-07,-1.0,444.6,5.0,18750.0,31.25,1.0,grain,-1.0,-9.0,-1.0,-8.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,1,1,1.0,1,-1,42.0942912123,210.471456062,210.471456062,-210.471456062,-210.471456062,210.471456062,-210.471456062,210.471456062,210.471456062,210.471456062,-210.471456062,210.471456062,210.471456062,-210.471456062
BP,@BPU6,1.3157,0.031165,0.0045045045045,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,2016-07-14,-1.0,1947.8125,2.0,82231.25,1.3157,1.0,currency,-1.0,-4.0,-1.0,-3.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1.0,-1,-1,370.411036036,740.822072072,-740.822072072,-740.822072072,-740.822072072,-740.822072072,-740.822072072,740.822072072,740.822072072,-740.822072072,-740.822072072,740.822072072,740.822072072,-740.822072072
C,@CZ6,344.25,13.8106635915,-0.0121951219512,-1.0,-1.0,1.0,-1.0,-1.0,5.0,2016-07-13,-1.0,690.533179575,3.0,17212.5,344.25,1.0,grain,-1.0,5.0,-1.0,4.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1.0,-1,-1,-209.908536585,629.725609756,629.725609756,629.725609756,-629.725609756,629.725609756,629.725609756,-629.725609756,629.725609756,629.725609756,629.725609756,-629.725609756,-629.725609756,629.725609756
CC,@CCU6,2969.0,56.85,-0.00967311541027,-1.0,1.0,1.0,-1.0,-1.0,13.0,2016-07-14,-1.0,568.5,4.0,29690.0,2969.0,1.0,soft,-1.0,13.0,-1.0,-3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,1,1,1.0,1,-1,-287.194796531,1148.77918612,-1148.77918612,-1148.77918612,-1148.77918612,1148.77918612,1148.77918612,-1148.77918612,-1148.77918612,-1148.77918612,1148.77918612,-1148.77918612,-1148.77918612,1148.77918612
CD,@CDU6,0.76575,0.0078525,-0.00286476984179,-1.0,1.0,1.0,1.0,-1.0,4.0,2016-07-14,-1.0,785.25,3.0,76575.0,0.76575,1.0,currency,-1.0,4.0,-1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1,1.0,1,-1,-219.369750635,658.109251904,-658.109251904,-658.109251904,-658.109251904,-658.109251904,658.109251904,-658.109251904,-658.109251904,-658.109251904,658.109251904,-658.109251904,-658.109251904,658.109251904
CGB,CBU6,147.28,0.8575,-0.00324851109908,-1.0,1.0,1.0,1.0,1.0,-8.0,2016-07-08,1.0,656.584992343,4.0,112771.822358,147.28,-1.0,rates,1.0,-8.0,1.0,-7.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1.0,1,1,-366.340516595,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
CL,QCLU6,45.75,1.8281649575,0.00660066006601,1.0,-1.0,1.0,-1.0,-1.0,6.0,2016-07-12,-1.0,1828.1649575,2.0,45750.0,45.75,1.0,energy,-1.0,6.0,-1.0,5.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1.0,-1,-1,301.98019802,603.96039604,-603.96039604,-603.96039604,603.96039604,-603.96039604,-603.96039604,603.96039604,-603.96039604,-603.96039604,-603.96039604,603.96039604,603.96039604,-603.96039604
