,2017-03-16
ACC_ACT,1.0
L%_ACT,0.607594936709
ACC_prevACT,0.544303797468
L%_prevACT,0.784810126582
ACC_AntiPrevACT,0.455696202532
L%_AntiPrevACT,0.215189873418
ACC_RiskOn,0.632911392405
L%_RiskOn,0.721518987342
ACC_RiskOff,0.367088607595
L%_RiskOff,0.278481012658
ACC_Custom,0.620253164557
L%_Custom,0.810126582278
ACC_AntiCustom,0.379746835443
L%_AntiCustom,0.189873417722
ACC_LastSIG,0.632911392405
L%_LastSIG,0.721518987342
ACC_0.75LastSIG,0.569620253165
L%_0.75LastSIG,0.506329113924
ACC_0.5LastSIG,0.556962025316
L%_0.5LastSIG,0.493670886076
ACC_1LastSIG,0.53164556962
L%_1LastSIG,0.544303797468
ACC_Anti1LastSIG,0.46835443038
L%_Anti1LastSIG,0.455696202532
ACC_Anti0.75LastSIG,0.430379746835
L%_Anti0.75LastSIG,0.493670886076
ACC_Anti0.5LastSIG,0.443037974684
L%_Anti0.5LastSIG,0.506329113924
ACC_prevSEA,0.493670886076
L%_prevSEA,0.405063291139
ACC_LastSEA,0.506329113924
L%_LastSEA,0.392405063291
ACC_AntiSEA,0.506329113924
L%_AntiSEA,0.594936708861
ACC_AdjSEA,0.506329113924
L%_AdjSEA,0.443037974684
ACC_AntiAdjSEA,0.493670886076
L%_AntiAdjSEA,0.556962025316
ACC_Voting,0.455696202532
L%_Voting,0.594936708861
ACC_Voting2,0.481012658228
L%_Voting2,0.316455696203
ACC_Voting3,0.417721518987
L%_Voting3,0.430379746835
ACC_Voting4,0.354430379747
L%_Voting4,0.329113924051
ACC_Voting5,0.329113924051
L%_Voting5,0.430379746835
ACC_Voting6,0.341772151899
L%_Voting6,0.367088607595
ACC_Voting7,0.594936708861
L%_Voting7,0.658227848101
ACC_Voting8,0.544303797468
L%_Voting8,0.430379746835
ACC_Voting9,0.582278481013
L%_Voting9,0.493670886076
ACC_Voting10,0.354430379747
L%_Voting10,0.291139240506
ACC_Voting11,0.291139240506
L%_Voting11,0.291139240506
ACC_Voting12,0.46835443038
L%_Voting12,0.379746835443
ACC_Voting13,0.417721518987
L%_Voting13,0.569620253165
ACC_Voting14,0.367088607595
L%_Voting14,0.46835443038
ACC_Voting15,0.417721518987
L%_Voting15,0.430379746835
PNL_ACT,16701.075169
PNL_prevACT,1840.18794487
PNL_AntiPrevACT,-1840.18794487
PNL_RiskOn,-598.947985961
PNL_RiskOff,598.947985961
PNL_Custom,6185.84432777
PNL_AntiCustom,-6185.84432777
PNL_LastSIG,-598.947985961
PNL_0.75LastSIG,-3526.38343292
PNL_0.5LastSIG,4286.57565028
PNL_1LastSIG,-7864.13405682
PNL_Anti1LastSIG,7864.13405682
PNL_Anti0.75LastSIG,3526.38343292
PNL_Anti0.5LastSIG,-4286.57565028
PNL_prevSEA,-5223.0675679
PNL_LastSEA,-5223.0675679
PNL_AntiSEA,5223.0675679
PNL_AdjSEA,-9294.83233219
PNL_AntiAdjSEA,9294.83233219
PNL_Voting,-1120.15893901
PNL_Voting2,-661.702782819
PNL_Voting3,2262.72068403
PNL_Voting4,1389.75153163
PNL_Voting5,1160.52345353
PNL_Voting6,2803.90367473
PNL_Voting7,6693.49279625
PNL_Voting8,1459.38047252
PNL_Voting9,6855.69640137
PNL_Voting10,3487.19405336
PNL_Voting11,5239.09950746
PNL_Voting12,-10824.4809407
PNL_Voting13,-169.53882921
PNL_Voting14,1176.32891966
PNL_Voting15,1849.94663496
Vol_All,491.208093206
Chg_All,280.976844136
L%_All,0.529411764706
Vol_currency,339.306604584
Vol_energy,383.469193249
Vol_grain,188.603351339
Vol_index,109.963319974
Vol_meat,465.43360274
Vol_metal,1719.2662405
Vol_rates,241.820048008
Chg_currency,138.059124343
Chg_energy,-212.510155903
Chg_grain,188.603351339
Chg_index,-109.963319974
Chg_meat,425.509720723
Chg_metal,1719.2662405
Chg_rates,-241.820048008
L%_currency,0.625
L%_energy,0.25
L%_grain,1.0
L%_index,0.0
L%_meat,0.666666666667
L%_metal,1.0
L%_rates,0.0
