,Contract,LastClose,ATR20,PC2016-07-05 00:00:00,ACT,usdATR,QTY,Close2016-07-05 00:00:00,PC2016-07-04 00:00:00,Close2016-07-04 00:00:00,vSTART,LastSEA,SEA2016-07-05 00:00:00,LastSRUN,SRUN2016-07-05 00:00:00,SEA2016-07-04 00:00:00,SRUN2016-07-04 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-05 00:00:00,SIG2016-07-04 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-05 00:00:00,0.5SIG2016-07-04 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-05,0.75SIG2016-07-04,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-05 00:00:00,1SIG2016-07-04 00:00:00
AC,@ACQ6,1.587,0.038814917,-0.0118306351183,-1.0,1125.632593,2.0,1.587,,,2016-06-21,1.0,1.0,-9.0,-9.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,-1.0,2.0,0.0,-1.0,,-1.0,2.0,0.0,-1.0,
AD,@ADU6,0.744,0.009764608,-0.00308187056144,-1.0,976.4608,3.0,0.744,,,2016-06-27,1.0,1.0,-5.0,-5.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,
AEX,AEXN6,430.35,12.002995634,-0.0108033559361,-1.0,2652.49399318,1.0,430.35,,,2016-06-27,1.0,1.0,8.0,8.0,,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
BO,@BOZ6,31.32,0.709436039,-0.0101137800253,-1.0,425.6616234,5.0,31.32,,,2016-06-20,-1.0,-1.0,10.0,10.0,,,1.0,1.0,5.0,1.0,,1.0,1.0,5.0,1.0,,-1.0,2.0,5.0,-1.0,,-1.0,2.0,5.0,-1.0,
BP,@BPU6,1.3037,0.0291762805,-0.0192582562251,-1.0,1823.51753125,2.0,1.3037,,,2016-06-27,1.0,1.0,3.0,3.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
C,@CU6,350.75,13.4567225085,-0.0256944444444,-1.0,672.836125425,3.0,350.75,,,2016-06-20,-1.0,-1.0,10.0,10.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
CC,@CCU6,3065.0,58.5,0.0233722871452,1.0,585.0,4.0,3065.0,,,2016-06-23,1.0,1.0,2.0,2.0,,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,
CD,@CDU6,0.7701,0.007625128,-0.00555268595041,-1.0,762.5128,3.0,0.7701,,,2016-06-27,-1.0,-1.0,5.0,5.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
CGB,CBU6,148.82,0.827,0.00465807061365,1.0,635.635558698,4.0,148.82,,,2016-06-23,1.0,1.0,7.0,7.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,1.0,2.0,0.0,1.0,
CL,QCLQ6,46.6,1.759632295,-0.0487854664217,-1.0,1759.632295,2.0,46.6,,,2016-06-27,1.0,1.0,3.0,3.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
CT,@CTZ6,65.21,1.3945,0.0033851361748,1.0,697.25,3.0,65.21,,,2016-06-28,-1.0,-1.0,4.0,4.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
CU,@EUU6,1.11005,0.0121328915,-0.00577698163905,-1.0,1516.6114375,2.0,1.11005,,,2016-06-15,1.0,1.0,-13.0,-13.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,
DX,@DXU6,96.259,0.8623668145,0.0056940468479,1.0,862.3668145,3.0,96.259,,,2016-06-23,-1.0,-1.0,-8.0,-8.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
EBL,BDU6,167.77,0.9165,0.00412975819966,1.0,1012.668345,2.0,167.77,,,2016-06-23,1.0,1.0,8.0,8.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
EBM,BLU6,133.88,0.26,0.00164596737992,1.0,287.2818,7.0,133.88,,,2016-06-23,1.0,1.0,8.0,8.0,,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,-1.0,2.0,7.0,-1.0,,-1.0,2.0,7.0,-1.0,
EBS,EZU6,112.115,0.07175,0.00026765401258,1.0,79.2787275,26.0,112.115,,,2016-06-24,1.0,1.0,-7.0,-7.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,1.0,2.0,0.0,1.0,,1.0,2.0,0.0,1.0,
ED,@EDZ6,99.32,0.04325,0.000100694794079,1.0,108.125,19.0,99.32,,,2016-06-23,1.0,1.0,7.0,7.0,,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,
EMD,@EMDU6,1478.2,25.738672615,-0.0123605264916,-1.0,2573.8672615,1.0,1478.2,,,2016-06-27,1.0,1.0,5.0,5.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,
ES,@ESU6,2082.75,30.4566323755,-0.00644007155635,-1.0,1522.83161877,2.0,2082.75,,,2016-06-27,1.0,1.0,-5.0,-5.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,
FC,@GFQ6,144.075,3.0925,0.0114075114075,1.0,1546.25,2.0,144.075,,,2016-06-20,1.0,1.0,10.0,10.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,1.0,2.0,1.0,
FCH,MTN6,4162.5,115.916340142,-0.016770993268,-1.0,1280.79441714,2.0,4162.5,,,2016-06-27,-1.0,-1.0,8.0,8.0,,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
FDX,DXMU6,9519.0,258.402828362,-0.0191148436292,-1.0,1427.58518571,2.0,9519.0,,,2016-06-27,-1.0,-1.0,8.0,8.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
FEI,IEZ6,100.365,0.0255,4.98206456756e-05,1.0,70.4392875,29.0,100.365,,,2016-06-16,1.0,1.0,13.0,13.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,1.0,2.0,0.0,1.0,,1.0,2.0,0.0,1.0,
FFI,LFU6,6500.5,168.618680306,0.00494705109376,1.0,2185.34868236,1.0,6500.5,,,2016-06-29,1.0,1.0,4.0,4.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
