2016-09-29 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-29 00:00:00,Close2016-09-29 00:00:00,group,RiskOn,Excess,SEA2016-09-29 00:00:00,SRUN2016-09-29 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-28 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-28 00:00:00,0.5SIG2016-09-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-28 00:00:00,0.75SIG2016-09-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-28 00:00:00,1SIG2016-09-26 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.42,0.0259749335,-0.0132036136206,-1.0,-1.0,-1.0,-1.0,1.0,-20.0,2016-08-31,753.2730715,3.0,1.0,1.0,41180.0,-0.0132036136206,1.42,energy,1.0,1.0,1.0,-20.0,-1.0,1.0,-19.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,1,0.0,0.0,1.0,1.0,-1.0,0,-1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
AD,@ADZ6,0.763,0.0072423535,-0.00573364607766,-1.0,1.0,-1.0,1.0,1.0,12.0,2016-09-13,724.23535,3.0,1.0,1.0,76300.0,-0.00573364607766,0.763,currency,1.0,1.0,1.0,12.0,1.0,1.0,11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1,-1312.43158718,1312.43158718,-1312.43158718,1312.43158718,-1312.43158718,1312.43158718,-1312.43158718,1312.43158718,1312.43158718,-1312.43158718,1312.43158718,-1312.43158718,1312.43158718,1312.43158718,-1312.43158718,1312.43158718,-1312.43158718,1312.43158718,-1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718,1312.43158718
AEX,AEXV6,451.35,6.298846045,0.00277716063097,1.0,1.0,1.0,1.0,1.0,-9.0,2016-09-16,1413.96496018,2.0,1.0,1.0,101319.048,0.00277716063097,451.35,index,1.0,1.0,1.0,-9.0,1.0,1.0,-8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,-1,-1,0.0,0.0,-1.0,0.0,-1.0,-1,-1,0,1.0,0,562.758542546,562.758542546,562.758542546,-562.758542546,562.758542546,-562.758542546,562.758542546,-562.758542546,562.758542546,562.758542546,562.758542546,562.758542546,-562.758542546,-562.758542546,562.758542546,-562.758542546,-562.758542546,562.758542546,562.758542546,562.758542546,-562.758542546,0.0,562.758542546,0.0,-562.758542546,-562.758542546,0.0,0.0,-562.758542546,0.0,-562.758542546,-562.758542546,-562.758542546
BO,@BOZ6,33.34,0.628,0.0136819702037,1.0,-1.0,-1.0,-1.0,-1.0,5.0,2016-09-22,376.8,6.0,1.0,1.0,20004.0,0.0136819702037,33.34,grain,1.0,1.0,-1.0,5.0,-1.0,-1.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,,2.0,6.0,-1.0,,2.0,6.0,-1.0,,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,1,1.0,1,1642.16479173,1642.16479173,-1642.16479173,1642.16479173,1642.16479173,-1642.16479173,1642.16479173,-1642.16479173,1642.16479173,-1642.16479173,-1642.16479173,-1642.16479173,1642.16479173,1642.16479173,-1642.16479173,1642.16479173,-1642.16479173,1642.16479173,-1642.16479173,1642.16479173,1642.16479173,1642.16479173,1642.16479173,1642.16479173,1642.16479173,1642.16479173,1642.16479173,1642.16479173,1642.16479173,1642.16479173,0.0,0.0,1642.16479173
BP,@BPZ6,1.2987,0.01119179,-0.00436982520699,-1.0,1.0,1.0,1.0,1.0,-17.0,2016-09-06,699.486875,3.0,1.0,1.0,81168.75,-0.00436982520699,1.2987,currency,1.0,1.0,1.0,-17.0,1.0,1.0,-16.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,,2.0,3.0,1.0,,1.0,3.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,-1,-1,0.0,0.0,-1.0,0.0,-1.0,-1,-1,0,1.0,0,-1064.07974931,1064.07974931,-1064.07974931,1064.07974931,-1064.07974931,1064.07974931,-1064.07974931,1064.07974931,-1064.07974931,-1064.07974931,-1064.07974931,-1064.07974931,1064.07974931,1064.07974931,-1064.07974931,1064.07974931,1064.07974931,-1064.07974931,-1064.07974931,-1064.07974931,1064.07974931,-0.0,-1064.07974931,-0.0,1064.07974931,1064.07974931,-0.0,-0.0,1064.07974931,-0.0,1064.07974931,1064.07974931,1064.07974931
C,@CZ6,329.25,6.475,0.0,1.0,-1.0,1.0,-1.0,1.0,14.0,2016-09-09,323.75,7.0,1.0,1.0,16462.5,0.0,329.25,grain,1.0,1.0,1.0,14.0,-1.0,1.0,13.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,,2.0,7.0,-1.0,,2.0,7.0,-1.0,,-1,-1,1,1,-1,1,1.0,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,0,-1,1,1.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
CC,@CCZ6,2728.0,61.45,-0.0343362831858,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,2016-09-23,614.5,4.0,1.0,1.0,27280.0,-0.0343362831858,2728.0,soft,1.0,1.0,-1.0,4.0,-1.0,-1.0,22.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,1,1.0,1,-3746.77522124,3746.77522124,3746.77522124,-3746.77522124,-3746.77522124,3746.77522124,-3746.77522124,3746.77522124,-3746.77522124,3746.77522124,3746.77522124,3746.77522124,-3746.77522124,-3746.77522124,3746.77522124,-3746.77522124,3746.77522124,-3746.77522124,3746.77522124,-3746.77522124,-3746.77522124,-3746.77522124,-3746.77522124,-3746.77522124,-3746.77522124,-3746.77522124,-3746.77522124,-3746.77522124,-3746.77522124,-3746.77522124,-0.0,-0.0,-3746.77522124
CD,@CDZ6,0.7611,0.00680421,-0.00425197880552,-1.0,1.0,-1.0,1.0,-1.0,-17.0,2016-09-06,680.421,3.0,1.0,1.0,76110.0,-0.00425197880552,0.7611,currency,1.0,1.0,-1.0,-17.0,1.0,-1.0,-16.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,1,-1,0.0,0.0,0.0,-1.0,0.0,-1,-1,-1,-1.0,-1,-970.854320665,970.854320665,-970.854320665,970.854320665,-970.854320665,970.854320665,-970.854320665,970.854320665,970.854320665,-970.854320665,970.854320665,-970.854320665,970.854320665,970.854320665,970.854320665,-970.854320665,-970.854320665,970.854320665,970.854320665,970.854320665,970.854320665,970.854320665,970.854320665,970.854320665,-970.854320665,970.854320665,-0.0,-0.0,-0.0,970.854320665,-0.0,970.854320665,970.854320665
CGB,CBZ6,147.72,0.692,0.00230696159587,1.0,1.0,-1.0,1.0,1.0,11.0,2016-09-14,526.556079744,4.0,1.0,1.0,112402.982803,0.00230696159587,147.72,rates,-1.0,1.0,1.0,11.0,-1.0,1.0,10.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,1,-1,-1,-1,-1,1,1.0,-1,-1,-1,-1,-1,-1,0.0,-1.0,-1.0,0.0,-1.0,0,-1,-1,-1.0,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
CL,QCLX6,47.83,1.6905966595,0.0165781083953,1.0,-1.0,1.0,-1.0,-1.0,-9.0,2016-09-16,1690.5966595,2.0,1.0,1.0,47830.0,0.0165781083953,47.83,energy,1.0,1.0,-1.0,-9.0,1.0,-1.0,-8.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1.0,1.0,1.0,0.0,1.0,0,1,1,1.0,1,1585.8618491,1585.8618491,1585.8618491,-1585.8618491,1585.8618491,-1585.8618491,1585.8618491,-1585.8618491,-1585.8618491,-1585.8618491,1585.8618491,-1585.8618491,1585.8618491,1585.8618491,-1585.8618491,1585.8618491,1585.8618491,-1585.8618491,1585.8618491,-1585.8618491,1585.8618491,1585.8618491,1585.8618491,1585.8618491,1585.8618491,1585.8618491,1585.8618491,1585.8618491,1585.8618491,0.0,1585.8618491,0.0,1585.8618491
