2017-04-05 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-04-05 00:00:00,Close2017-04-05 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-04-05 00:00:00,LastSRUN,SRUN2017-04-05 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-04-04 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-04-04 00:00:00,0.5SIG2017-04-03 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-04-04 00:00:00,0.75SIG2017-04-03 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-04-04 00:00:00,1SIG2017-04-03 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTK7,74.87,0.9665,0.000267201068805,1.0,1.0,1.0,1.0,-1.0,20.0,2017-03-07,483.25,2.0,1.0,1.0,37435.0,1.0,0.000267201068805,74.87,soft,1.0,1.0,2017-03-07,-1.0,-1.0,21.0,21.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
CU,@EUM7,1.07025,0.0068125,-0.000280229788426,-1.0,-1.0,1.0,-1.0,1.0,6.0,2017-03-27,851.5625,1.0,1.0,1.0,133781.25,1.0,-0.000280229788426,1.07025,currency,1.0,1.0,2017-03-27,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,-37.4894913829,37.4894913829,-37.4894913829,37.4894913829,-37.4894913829,37.4894913829,-37.4894913829,37.4894913829,-37.4894913829,37.4894913829,-37.4894913829,37.4894913829,-37.4894913829,-37.4894913829,37.4894913829,-37.4894913829,-37.4894913829,37.4894913829,-37.4894913829,37.4894913829,-37.4894913829,-37.4894913829,37.4894913829,-37.4894913829,-37.4894913829,-0.0,-37.4894913829,-37.4894913829,37.4894913829,-0.0,-0.0,37.4894913829,-0.0,-37.4894913829,37.4894913829
DX,@DXM7,100.441,0.52065,0.000149363710593,1.0,1.0,-1.0,1.0,-1.0,-6.0,2017-03-27,520.65,1.0,1.0,1.0,100441.0,1.0,0.000149363710593,100.441,currency,-1.0,-1.0,2017-03-27,-1.0,-1.0,-7.0,-7.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
EBL,BDM7,162.4,0.725,-0.000799852334953,-1.0,1.0,-1.0,1.0,-1.0,-17.0,2017-03-10,773.43,1.0,1.0,1.0,173248.32,0.937382827147,-0.000799852334953,162.4,rates,-1.0,1.0,2017-03-10,-1.0,-1.0,-18.0,-18.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
EBM,BLM7,132.28,0.336,0.000378129017621,1.0,1.0,-1.0,1.0,-1.0,-10.0,2017-03-21,358.4448,2.0,1.0,1.0,141116.304,0.937382827147,0.000378129017621,132.28,rates,-1.0,1.0,2017-03-22,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
EBS,EZM7,112.38,0.09,0.000177999288003,1.0,1.0,1.0,1.0,-1.0,-6.0,2017-03-27,96.012,10.0,2.0,2.0,119886.984,0.937382827147,0.000177999288003,112.38,rates,-1.0,1.0,2017-03-27,-1.0,-1.0,-7.0,-7.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,0.0,1.0,0.0,-1.0,1,1,0.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
ED,@EDZ7,98.48,0.03375,0.0,1.0,1.0,-1.0,1.0,1.0,10.0,2017-03-21,84.375,11.0,2.0,2.0,246200.0,1.0,0.0,98.48,rates,-1.0,1.0,2017-03-21,1.0,1.0,11.0,11.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
EMD,@EMDM7,1693.0,17.854576718,-0.00808530583548,-1.0,-1.0,1.0,-1.0,-1.0,29.0,2017-03-01,1785.4576718,1.0,1.0,1.0,169300.0,1.0,-0.00808530583548,1693.0,index,1.0,1.0,2017-03-01,-1.0,-1.0,30.0,30.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-1368.84227795,1368.84227795,1368.84227795,-1368.84227795,-1368.84227795,1368.84227795,-1368.84227795,1368.84227795,-1368.84227795,1368.84227795,-1368.84227795,1368.84227795,-1368.84227795,-1368.84227795,1368.84227795,1368.84227795,1368.84227795,-1368.84227795,-1368.84227795,1368.84227795,1368.84227795,-1368.84227795,-1368.84227795,-1368.84227795,-1368.84227795,-1368.84227795,-1368.84227795,-1368.84227795,-1368.84227795,-1368.84227795,-1368.84227795,-1368.84227795,-0.0,-0.0,-1368.84227795
ES,@ESM7,2346.5,17.723169766,-0.00424358158286,-1.0,-1.0,1.0,-1.0,-1.0,-14.0,2017-03-15,886.1584883,1.0,1.0,1.0,117325.0,1.0,-0.00424358158286,2346.5,index,1.0,1.0,2017-03-15,-1.0,-1.0,-15.0,-15.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,-497.878209209,497.878209209,-497.878209209,497.878209209,-497.878209209,497.878209209,-497.878209209,497.878209209,-497.878209209,497.878209209,-497.878209209,497.878209209,-497.878209209,-497.878209209,497.878209209,497.878209209,497.878209209,-497.878209209,497.878209209,-497.878209209,-497.878209209,497.878209209,-497.878209209,-497.878209209,-497.878209209,-497.878209209,-497.878209209,-497.878209209,-497.878209209,-497.878209209,-497.878209209,497.878209209,-497.878209209,-497.878209209,-497.878209209
FC,@GFK7,130.425,2.03625,0.000959324635457,1.0,1.0,1.0,1.0,1.0,-9.0,2017-03-22,1018.125,1.0,1.0,1.0,65212.5,1.0,0.000959324635457,130.425,meat,1.0,-1.0,2017-03-22,1.0,1.0,-10.0,-10.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,62.5599577897,62.5599577897,-62.5599577897,62.5599577897,62.5599577897,-62.5599577897,-62.5599577897,62.5599577897,62.5599577897,62.5599577897,62.5599577897,62.5599577897,-62.5599577897,-62.5599577897,-62.5599577897,62.5599577897,62.5599577897,-62.5599577897,62.5599577897,-62.5599577897,-62.5599577897,62.5599577897,-62.5599577897,0.0,-62.5599577897,-62.5599577897,62.5599577897,62.5599577897,62.5599577897,62.5599577897,0.0,62.5599577897,0.0,0.0,-62.5599577897
