2016-10-14 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-10-14 00:00:00,Close2016-10-14 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-14 00:00:00,LastSRUN,SRUN2016-10-14 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-13 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-13 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-13 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-13 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.524,0.02215,0.0139720558882,1.0,-1.0,-1.0,1.0,1.0,14.0,2016-09-23,642.35,4.0,1.0,1.0,44196.0,0.0139720558882,1.524,energy,1.0,1.0,2016-09-23,1.0,1.0,15.0,15.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,1,1,-1.0,-1.0,0.0,0.0,1.0,1,-1,0,0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
AD,@ADZ6,0.7599,0.006275,0.00449438202247,1.0,1.0,1.0,1.0,-1.0,22.0,2016-09-13,627.5,4.0,1.0,1.0,75990.0,0.00449438202247,0.7599,currency,1.0,-1.0,2016-09-13,-1.0,-1.0,23.0,23.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,0,-1,1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,-1,0.0,1.0,0.0,-1.0,0.0,-1,-1,-1,-1,-1,1366.11235955,1366.11235955,1366.11235955,-1366.11235955,1366.11235955,-1366.11235955,-1366.11235955,1366.11235955,0.0,1366.11235955,1366.11235955,1366.11235955,-1366.11235955,-1366.11235955,-1366.11235955,1366.11235955,-1366.11235955,1366.11235955,-1366.11235955,1366.11235955,-1366.11235955,-1366.11235955,-1366.11235955,-1366.11235955,1366.11235955,-1366.11235955,0.0,1366.11235955,0.0,-1366.11235955,0.0,-1366.11235955,-1366.11235955
AEX,AEXV6,450.45,6.3375,0.012019770838,1.0,1.0,1.0,1.0,1.0,14.0,2016-09-23,1390.9545,2.0,1.0,1.0,98864.766,0.012019770838,450.45,index,1.0,-1.0,2016-09-23,1.0,1.0,15.0,15.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,1,0.0,1.0,0.0,0.0,-1.0,-1,-1,0,-1,-1,2376.66366255,2376.66366255,-2376.66366255,2376.66366255,2376.66366255,-2376.66366255,-2376.66366255,2376.66366255,-2376.66366255,2376.66366255,2376.66366255,2376.66366255,-2376.66366255,-2376.66366255,2376.66366255,-2376.66366255,2376.66366255,-2376.66366255,-2376.66366255,2376.66366255,-2376.66366255,0.0,-2376.66366255,-2376.66366255,-2376.66366255,2376.66366255,0.0,2376.66366255,0.0,0.0,-2376.66366255,-2376.66366255,-2376.66366255
BO,@BOZ6,34.38,0.685,0.0299580587178,1.0,1.0,-1.0,1.0,1.0,-8.0,2016-10-03,411.0,5.0,1.0,1.0,20628.0,0.0299580587178,34.38,grain,1.0,1.0,2016-10-05,1.0,1.0,7.0,7.0,1.0,0.0,1.0,5.0,0.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,0,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,1,-1,-1,0,-1,3089.87417615,3089.87417615,3089.87417615,-3089.87417615,3089.87417615,-3089.87417615,3089.87417615,-3089.87417615,0.0,3089.87417615,-3089.87417615,3089.87417615,-3089.87417615,-3089.87417615,3089.87417615,-3089.87417615,-3089.87417615,3089.87417615,3089.87417615,-3089.87417615,-3089.87417615,-3089.87417615,0.0,-3089.87417615,-3089.87417615,-3089.87417615,-3089.87417615,-3089.87417615,-3089.87417615,-3089.87417615,0.0,3089.87417615,-3089.87417615
BP,@BPZ6,1.2197,0.01448,-0.00586844893634,-1.0,-1.0,1.0,-1.0,1.0,-27.0,2016-09-06,905.0,3.0,1.0,1.0,76231.25,-0.00586844893634,1.2197,currency,1.0,-1.0,2016-09-06,1.0,1.0,-28.0,-28.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1,-1,1,1,0,-1342.07759394,1342.07759394,-1342.07759394,1342.07759394,-1342.07759394,1342.07759394,1342.07759394,-1342.07759394,-0.0,1342.07759394,-1342.07759394,1342.07759394,-1342.07759394,-1342.07759394,-1342.07759394,1342.07759394,1342.07759394,-1342.07759394,-1342.07759394,-1342.07759394,1342.07759394,-1342.07759394,-1342.07759394,-0.0,-1342.07759394,-1342.07759394,1342.07759394,-0.0,-0.0,1342.07759394,-0.0,-1342.07759394,1342.07759394
C,@CZ6,354.25,6.95,0.0135908440629,1.0,1.0,1.0,1.0,1.0,10.0,2016-09-29,347.5,6.0,1.0,1.0,17712.5,0.0135908440629,354.25,grain,1.0,1.0,2016-09-29,1.0,1.0,11.0,11.0,1.0,0.0,1.0,6.0,0.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,1.0,0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,0.0,0.0,-1.0,0.0,0.0,1,-1,-1,0,-1,1444.36695279,1444.36695279,1444.36695279,-1444.36695279,1444.36695279,-1444.36695279,1444.36695279,-1444.36695279,0.0,1444.36695279,1444.36695279,1444.36695279,-1444.36695279,-1444.36695279,1444.36695279,-1444.36695279,1444.36695279,-1444.36695279,1444.36695279,-1444.36695279,-1444.36695279,-1444.36695279,0.0,-1444.36695279,-1444.36695279,-1444.36695279,0.0,0.0,-1444.36695279,0.0,0.0,1444.36695279,-1444.36695279
CC,@CCZ6,2718.0,64.75,0.00816023738872,1.0,1.0,1.0,-1.0,-1.0,6.0,2016-10-05,647.5,4.0,1.0,1.0,27180.0,0.00816023738872,2718.0,soft,1.0,-1.0,2016-10-05,-1.0,-1.0,7.0,7.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,0,-1,1,1,-1,1,-1,-1.0,1,1,1,-1,1,-1,0.0,1.0,0.0,-1.0,0.0,-1,-1,0,0,0,887.181008902,887.181008902,887.181008902,-887.181008902,887.181008902,-887.181008902,-887.181008902,887.181008902,0.0,887.181008902,887.181008902,-887.181008902,887.181008902,-887.181008902,-887.181008902,887.181008902,-887.181008902,887.181008902,887.181008902,887.181008902,-887.181008902,0.0,0.0,0.0,887.181008902,-887.181008902,0.0,887.181008902,0.0,-887.181008902,0.0,-887.181008902,-887.181008902
CD,@CDZ6,0.7622,0.00636,0.0049442942844,1.0,-1.0,-1.0,-1.0,-1.0,-27.0,2016-09-06,636.0,4.0,1.0,1.0,76220.0,0.0049442942844,0.7622,currency,1.0,-1.0,2016-09-06,-1.0,-1.0,-28.0,-28.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,0,-1,1,1,1,1,-1,1.0,-1,1,-1,1,1,1,-1.0,0.0,1.0,0.0,1.0,1,1,1,1,1,1507.41644143,1507.41644143,1507.41644143,-1507.41644143,1507.41644143,-1507.41644143,-1507.41644143,1507.41644143,1507.41644143,-1507.41644143,-1507.41644143,-1507.41644143,1507.41644143,1507.41644143,-1507.41644143,1507.41644143,1507.41644143,-1507.41644143,1507.41644143,-1507.41644143,1507.41644143,1507.41644143,1507.41644143,1507.41644143,1507.41644143,1507.41644143,-1507.41644143,0.0,1507.41644143,0.0,1507.41644143,1507.41644143,1507.41644143
CGB,CBZ6,144.06,0.6155,-0.00517920033147,-1.0,-1.0,1.0,-1.0,-1.0,20.0,2016-09-29,468.417047184,5.0,1.0,1.0,109634.703196,-0.00517920033147,144.06,rates,-1.0,-1.0,2016-09-29,-1.0,-1.0,21.0,21.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,1,1,1,1,-1,-1.0,1,1,1,1,1,-1,0.0,0.0,0.0,-1.0,1.0,1,1,1,1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
CL,QCLZ6,50.75,1.495426265,-0.00196656833825,-1.0,1.0,-1.0,1.0,-1.0,-19.0,2016-09-16,1495.426265,2.0,1.0,1.0,50750.0,-0.00196656833825,50.75,energy,1.0,1.0,2016-09-16,-1.0,-1.0,-20.0,-20.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,1,-1,0.0,0.0,0.0,0.0,1.0,1,-1,-1,-1,-1,-199.606686332,199.606686332,-199.606686332,199.606686332,-199.606686332,199.606686332,-199.606686332,199.606686332,-199.606686332,-199.606686332,199.606686332,-199.606686332,199.606686332,199.606686332,199.606686332,-199.606686332,-199.606686332,199.606686332,199.606686332,199.606686332,199.606686332,199.606686332,199.606686332,199.606686332,-199.606686332,199.606686332,-0.0,-0.0,-0.0,-0.0,-199.606686332,-199.606686332,199.606686332
