rowname,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta
2016-10-04 02:01:18 ctwo:165.4 csi:165.4 BDZ6,2016-10-04 02:01:18,165.4,2016-10-03 20:00:00,165.4,0.0,0.0,Close,0 days 06:01:18.000000000,0.250902777778
2016-10-03 22:49:06 ctwo:9686.0 csi:9686.0 HHIV6,2016-10-03 22:49:06,9686.0,2016-10-03 20:00:00,9686.0,0.0,0.0,Open,0 days 02:49:06.000000000,0.117430555556
2016-10-03 22:49:13 ctwo:183.0 csi:183.0 @OZ6,2016-10-03 22:49:13,183.0,2016-10-03 20:00:00,183.0,0.0,0.0,Open,0 days 02:49:13.000000000,0.117511574074
2016-10-04 02:01:39 ctwo:132.08 csi:132.05 BLZ6,2016-10-04 02:01:39,132.08,2016-10-03 20:00:00,132.05,0.000227186671715,0.000227186671715,Close,0 days 06:01:39.000000000,0.251145833333
2016-10-04 02:01:55 ctwo:132.08 csi:132.05 BLZ6,2016-10-04 02:01:55,132.08,2016-10-03 20:00:00,132.05,0.000227186671715,0.000227186671715,Open,0 days 06:01:55.000000000,0.251331018519
2016-10-03 22:49:03 ctwo:6854.0 csi:6852.0 @CTZ6,2016-10-03 22:49:03,6854.0,2016-10-03 20:00:00,6852.0,0.000291885580852,0.000291885580852,Open,0 days 02:49:03.000000000,0.117395833333
2016-10-03 22:49:02 ctwo:6854.0 csi:6852.0 @CTZ6,2016-10-03 22:49:02,6854.0,2016-10-03 20:00:00,6852.0,0.000291885580852,0.000291885580852,Close,0 days 02:49:02.000000000,0.117384259259
2016-10-03 22:49:17 ctwo:97.955 csi:98.01 HXSZ6,2016-10-03 22:49:17,97.955,2016-10-03 20:00:00,98.01,-0.000561167227834,0.000561167227834,Close,0 days 02:49:17.000000000,0.11755787037
2016-10-04 03:00:01 ctwo:6950.0 csi:6946.0 LFZ6,2016-10-04 03:00:01,6950.0,2016-10-03 20:00:00,6946.0,0.000575871004895,0.000575871004895,Open,0 days 07:00:01.000000000,0.291678240741
2016-10-03 22:49:15 ctwo:130.875 csi:130.953125 @TYZ6,2016-10-03 22:49:15,130.875,2016-10-03 20:00:00,130.953125,-0.000596587519389,0.000596587519389,Open,0 days 02:49:15.000000000,0.117534722222
