,2017-11-27
ACC_ACT,1.0
L%_ACT,0.430379746835
ACC_prevACT,0.379746835443
L%_prevACT,0.594936708861
ACC_AntiPrevACT,0.620253164557
L%_AntiPrevACT,0.405063291139
ACC_RiskOn,0.278481012658
L%_RiskOn,0.721518987342
ACC_RiskOff,0.721518987342
L%_RiskOff,0.278481012658
ACC_Custom,0.417721518987
L%_Custom,0.810126582278
ACC_AntiCustom,0.582278481013
L%_AntiCustom,0.189873417722
ACC_LastSIG,0.278481012658
L%_LastSIG,0.721518987342
ACC_0.75LastSIG,0.556962025316
L%_0.75LastSIG,0.544303797468
ACC_0.5LastSIG,0.620253164557
L%_0.5LastSIG,0.405063291139
ACC_1LastSIG,0.506329113924
L%_1LastSIG,0.594936708861
ACC_Anti1LastSIG,0.493670886076
L%_Anti1LastSIG,0.405063291139
ACC_Anti0.75LastSIG,0.443037974684
L%_Anti0.75LastSIG,0.455696202532
ACC_Anti0.5LastSIG,0.379746835443
L%_Anti0.5LastSIG,0.594936708861
ACC_prevSEA,0.354430379747
L%_prevSEA,0.645569620253
ACC_LastSEA,0.455696202532
L%_LastSEA,0.569620253165
ACC_AntiSEA,0.645569620253
L%_AntiSEA,0.354430379747
ACC_AdjSEA,0.329113924051
L%_AdjSEA,0.645569620253
ACC_AntiAdjSEA,0.670886075949
L%_AntiAdjSEA,0.354430379747
ACC_Voting,0.341772151899
L%_Voting,0.632911392405
ACC_Voting2,0.556962025316
L%_Voting2,0.417721518987
ACC_Voting3,0.594936708861
L%_Voting3,0.379746835443
ACC_Voting4,0.506329113924
L%_Voting4,0.367088607595
ACC_Voting5,0.20253164557
L%_Voting5,0.291139240506
ACC_Voting6,0.481012658228
L%_Voting6,0.303797468354
ACC_Voting7,0.518987341772
L%_Voting7,0.430379746835
ACC_Voting8,0.582278481013
L%_Voting8,0.46835443038
ACC_Voting9,0.569620253165
L%_Voting9,0.481012658228
ACC_Voting10,0.417721518987
L%_Voting10,0.278481012658
ACC_Voting11,0.329113924051
L%_Voting11,0.291139240506
ACC_Voting12,0.417721518987
L%_Voting12,0.607594936709
ACC_Voting13,0.291139240506
L%_Voting13,0.417721518987
ACC_Voting14,0.164556962025
L%_Voting14,0.53164556962
ACC_Voting15,0.658227848101
L%_Voting15,0.26582278481
PNL_ACT,14156.3873801
PNL_prevACT,-5701.49729474
PNL_AntiPrevACT,5701.49729474
PNL_RiskOn,-4453.99194672
PNL_RiskOff,4453.99194672
PNL_Custom,-1528.1316674
PNL_AntiCustom,1528.1316674
PNL_LastSIG,-4453.99194672
PNL_0.75LastSIG,1593.81258906
PNL_0.5LastSIG,5618.10723903
PNL_1LastSIG,-1263.77807017
PNL_Anti1LastSIG,1263.77807017
PNL_Anti0.75LastSIG,-1593.81258906
PNL_Anti0.5LastSIG,-5618.10723903
PNL_prevSEA,-5459.07627408
PNL_LastSEA,301.065956925
PNL_AntiSEA,5459.07627408
PNL_AdjSEA,-4008.90264911
PNL_AntiAdjSEA,4008.90264911
PNL_Voting,-5386.06259642
PNL_Voting2,2147.2871127
PNL_Voting3,5774.51097241
PNL_Voting4,2183.79395154
PNL_Voting5,-1454.77984209
PNL_Voting6,3400.42012983
PNL_Voting7,2180.62748143
PNL_Voting8,3305.91398811
PNL_Voting9,5256.40799712
PNL_Voting10,4520.37582579
PNL_Voting11,2428.28345559
PNL_Voting12,-692.141249986
PNL_Voting13,-1458.95328212
PNL_Voting14,-5517.01302313
PNL_Voting15,4449.79858506
Vol_All,416.36433471
Chg_All,42.1320284634
L%_All,0.558823529412
Vol_currency,278.352735239
Vol_energy,564.823113719
Vol_grain,575.242530483
Vol_index,268.267338107
Vol_meat,486.374465584
Vol_metal,548.538975991
Vol_rates,312.726355923
Chg_currency,-60.1167215693
Chg_energy,46.0763200799
Chg_grain,-245.252572337
Chg_index,-163.090797004
Chg_meat,486.374465584
Chg_metal,212.16109725
Chg_rates,312.726355923
L%_currency,0.25
L%_energy,0.5
L%_grain,0.4
L%_index,0.4
L%_meat,1.0
L%_metal,0.8
L%_rates,1.0
