,Contract,LastClose,ATR20,PC2016-07-08 00:00:00,ACT,usdATR,QTY,Close2016-07-08 00:00:00,PC2016-07-07 00:00:00,Close2016-07-07 00:00:00,vSTART,LastSEA,SEA2016-07-08 00:00:00,LastSRUN,SRUN2016-07-08 00:00:00,SEA2016-07-07 00:00:00,SRUN2016-07-07 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-07 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-07 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-07 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-07 00:00:00
AC,@ACQ6,1.588,0.0408032235,0.0186016677357,1.0,1183.2934815,2.0,1.588,,,2016-07-01,1.0,1.0,-4.0,-4.0,,,-1.0,,0.0,-1.0,1.0,1.0,0.0,1.0,-1.0,2.0,0.0,-1.0,-1.0,2.0,0.0,-1.0
AD,@ADU6,0.7551,0.0102,0.012741416309,1.0,1020.0,2.0,0.7551,,,2016-06-27,1.0,1.0,-8.0,-8.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
AEX,AEXN6,433.75,12.0472814585,0.0174759558996,1.0,2663.41298485,1.0,433.75,,,2016-07-01,-1.0,-1.0,1.0,1.0,,,-1.0,,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
BO,@BOZ6,30.78,0.731944342,0.0198807157058,1.0,439.1666052,5.0,30.78,,,2016-06-28,-1.0,-1.0,-7.0,-7.0,,,-1.0,,5.0,-1.0,-1.0,1.0,5.0,-1.0,-1.0,1.0,5.0,-1.0,-1.0,2.0,5.0,-1.0
BP,@BPU6,1.2959,0.02944,0.00410661707733,1.0,1840.0,2.0,1.2959,,,2016-06-29,1.0,1.0,6.0,6.0,,,-1.0,,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0
C,@CU6,355.0,13.5840206185,0.0387710314557,1.0,679.201030925,3.0,355.0,,,2016-06-20,-1.0,-1.0,-2.0,-2.0,,,-1.0,,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,-1.0,2.0,3.0,-1.0
CC,@CCU6,3097.0,59.5,-0.00418006430868,-1.0,595.0,4.0,3097.0,,,2016-06-30,1.0,1.0,5.0,5.0,,,-1.0,,4.0,-1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0
CD,@CDU6,0.7666,0.007685,-0.00182291666667,-1.0,768.5,3.0,0.7666,,,2016-06-27,-1.0,-1.0,8.0,8.0,,,-1.0,,3.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0
CGB,CBU6,149.29,0.8265,0.00261920752183,1.0,633.867627886,4.0,149.29,,,2016-06-23,1.0,1.0,10.0,10.0,,,1.0,,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,2.0,0.0,1.0
CL,QCLQ6,45.41,1.8538875025,0.00598139122729,1.0,1853.8875025,2.0,45.41,,,2016-06-29,1.0,1.0,6.0,6.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
CT,@CTZ6,65.81,1.457,0.0101304681504,1.0,728.5,3.0,65.81,,,2016-06-30,-1.0,-1.0,-5.0,-5.0,,,-1.0,,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
CU,@EUU6,1.10775,0.01216,-0.000586430891375,-1.0,1520.0,2.0,1.10775,,,2016-06-15,1.0,1.0,-16.0,-16.0,,,-1.0,,2.0,-1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0
DX,@DXU6,96.327,0.85945,-0.000581015324279,-1.0,859.45,3.0,96.327,,,2016-06-23,-1.0,-1.0,-11.0,-11.0,,,1.0,,3.0,1.0,1.0,1.0,3.0,1.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0
EBL,BDU6,167.79,0.9445,0.00131288416781,1.0,1044.0503,2.0,167.79,,,2016-06-23,1.0,1.0,11.0,11.0,,,1.0,,2.0,1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
EBM,BLU6,133.95,0.2685,0.000672344240251,1.0,296.7999,7.0,133.95,,,2016-06-23,1.0,1.0,11.0,11.0,,,1.0,,7.0,1.0,-1.0,1.0,7.0,-1.0,-1.0,2.0,7.0,-1.0,-1.0,2.0,7.0,-1.0
EBS,EZU6,112.14,0.0735,0.000178380306814,1.0,81.2469,25.0,112.14,,,2016-06-24,1.0,1.0,-10.0,-10.0,,,1.0,,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,2.0,0.0,-1.0
ED,@EDZ6,99.275,0.0455,-0.000151072615571,-1.0,113.75,18.0,99.275,,,2016-06-27,1.0,1.0,-8.0,-8.0,,,1.0,,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0
EMD,@EMDU6,1516.8,26.7652149235,0.018943974204,1.0,2676.52149235,1.0,1516.8,,,2016-06-27,1.0,1.0,-2.0,-2.0,,,-1.0,,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,1.0,1.0,-1.0
ES,@ESU6,2120.5,32.254336611,0.0136233269598,1.0,1612.71683055,2.0,2120.5,,,2016-06-27,1.0,1.0,8.0,8.0,,,-1.0,,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
FC,@GFQ6,143.45,3.0375,-0.00121845082681,-1.0,1518.75,2.0,143.45,,,2016-06-20,-1.0,-1.0,13.0,13.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
FCH,MTN6,4190.5,117.634146662,0.0178528054409,1.0,1300.3278572,2.0,4190.5,,,2016-07-01,-1.0,-1.0,11.0,11.0,,,-1.0,,2.0,-1.0,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
FDX,DXMU6,9629.5,255.718560201,0.0230001062361,1.0,1413.35648223,2.0,9629.5,,,2016-07-01,-1.0,-1.0,-5.0,-5.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0
FEI,IEZ6,100.375,0.02575,9.96363274051e-05,1.0,71.160125,29.0,100.375,,,2016-06-16,1.0,1.0,16.0,16.0,,,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
FFI,LFU6,6549.0,169.65853316,0.00901317309914,1.0,2197.58698003,1.0,6549.0,,,2016-06-29,1.0,1.0,7.0,7.0,,,-1.0,,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FLG,LGU6,130.28,1.0305,0.00346607101594,1.0,1334.80665,2.0,130.28,,,2016-06-23,1.0,1.0,11.0,11.0,,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
FSS,LLZ6,99.7,0.0575,0.0,1.0,93.0996875,22.0,99.7,,,2016-06-20,1.0,1.0,14.0,14.0,,,1.0,,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0
