2017-07-04 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-07-03 00:00:00,Close2017-07-03 00:00:00,group,RiskOn,Custom,PC2017-07-04 00:00:00,Close2017-07-04 00:00:00,vSTART,LastSEA,SEA2017-07-03 00:00:00,LastSRUN,SRUN2017-07-03 00:00:00,SEA2017-07-04 00:00:00,SRUN2017-07-04 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-07-03 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-07-03 00:00:00,0.5SIG2017-06-30 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-07-03 00:00:00,0.75SIG2017-06-30 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-07-03 00:00:00,1SIG2017-06-30 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACQ7,1.528,0.027795323,,1.0,-1.0,-1.0,-1.0,1.0,12.0,2017-06-15,806.064367,1.0,1.0,1.0,44312.0,1.0,0.00725115359262,1.528,energy,1.0,1.0,,,2017-06-15,1.0,1.0,12.0,12.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,@ADU7,0.7647,0.0045537625,,-1.0,1.0,-1.0,1.0,1.0,-8.0,2017-06-21,455.37625,2.0,1.0,1.0,76470.0,1.0,-0.00364820846906,0.7647,currency,1.0,1.0,,,2017-06-21,1.0,1.0,-8.0,-8.0,,,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEX,AEXN7,511.6,5.6845512145,-0.0016586984096,-1.0,1.0,1.0,1.0,1.0,-4.0,2017-06-27,1289.82467057,1.0,1.0,1.0,116082.04,0.881445570736,,,index,1.0,1.0,-0.0016586984096,511.6,2017-06-27,-1.0,,-5.0,,-1.0,-5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
BO,@BOZ7,33.58,0.566035837,,1.0,1.0,1.0,1.0,-1.0,-5.0,2017-06-26,339.6215022,2.0,1.0,1.0,20148.0,1.0,0.00719856028794,33.58,grain,1.0,1.0,,,2017-06-26,-1.0,-1.0,-5.0,-5.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP,@BPU7,1.2985,0.0105201525,,-1.0,-1.0,-1.0,-1.0,1.0,-7.0,2017-06-22,657.50953125,1.0,1.0,1.0,81156.25,1.0,-0.00459946339594,1.2985,currency,1.0,1.0,,,2017-06-22,1.0,1.0,-7.0,-7.0,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,@CU7,388.5,7.910809461,,1.0,1.0,-1.0,1.0,-1.0,-6.0,2017-06-23,395.54047305,2.0,1.0,1.0,19425.0,1.0,0.0196850393701,388.5,grain,1.0,1.0,,,2017-06-23,-1.0,-1.0,-6.0,-6.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,@CCU7,1958.0,60.975165563,,1.0,1.0,-1.0,1.0,1.0,7.0,2017-06-22,609.75165563,1.0,1.0,1.0,19580.0,1.0,0.00927835051546,1958.0,soft,1.0,1.0,,,2017-06-22,1.0,1.0,7.0,7.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD,@CDU7,0.7702,0.005010136,,-1.0,-1.0,-1.0,1.0,-1.0,25.0,2017-05-26,501.0136,1.0,1.0,1.0,77020.0,1.0,-0.00284826514759,0.7702,currency,1.0,1.0,,,2017-05-26,-1.0,-1.0,25.0,25.0,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,2.0,1.0,1.0,,0,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1.0,1,1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB,CBU7,139.85,0.7405,-0.00498043400925,-1.0,-1.0,1.0,-1.0,1.0,-4.0,2017-06-26,572.389271083,1.0,1.0,1.0,108100.796166,1.2937,,,rates,-1.0,1.0,-0.00498043400925,139.85,2017-06-26,1.0,,-5.0,,1.0,-5.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,,1.0,2.0,0.0,,-1.0,2.0,0.0,,-1.0,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
CL,QCLQ7,47.07,1.1617475245,,1.0,1.0,1.0,1.0,1.0,28.0,2017-06-21,1161.7475245,1.0,1.0,1.0,47070.0,1.0,0.0223718505647,47.07,energy,1.0,1.0,,,2017-06-21,1.0,1.0,28.0,28.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,@CTZ7,67.45,1.0695,,-1.0,1.0,-1.0,1.0,-1.0,13.0,2017-06-14,534.75,1.0,1.0,1.0,33725.0,1.0,-0.016620498615,67.45,soft,1.0,1.0,,,2017-06-14,-1.0,-1.0,13.0,13.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU,@EUU7,1.14015,0.0066871045,,-1.0,1.0,-1.0,1.0,1.0,9.0,2017-06-20,835.8880625,1.0,1.0,1.0,142518.75,1.0,-0.00571204325456,1.14015,currency,1.0,1.0,,,2017-06-20,1.0,1.0,9.0,9.0,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
