,Contract,LastClose,ATR20,PC2016-07-15 00:00:00,ACT,usdATR,QTY,Close2016-07-15 00:00:00,vSTART,LastSEA,SEA2016-07-15 00:00:00,LastSRUN,SRUN2016-07-15 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-15 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-15 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-15 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-15 00:00:00
AC,@ACQ6,1.558,0.03783287,-0.00953591862683,-1.0,1097.15323,2.0,1.558,2016-07-01,-1.0,-1.0,-9.0,-9.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,2.0,0.0,-1.0,-1.0,2.0,0.0,-1.0
AD,@ADU6,0.758,0.010095,-0.00537987140795,-1.0,1009.5,2.0,0.758,2016-06-28,1.0,1.0,12.0,12.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
AEX,AEXQ6,444.15,11.08169438,-0.00236501561872,-1.0,2444.40014634,1.0,444.15,2016-07-06,-1.0,-1.0,7.0,7.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
BO,@BOZ6,31.42,0.724,0.0073741583841,1.0,434.4,5.0,31.42,2016-07-07,-1.0,-1.0,-6.0,-6.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0
BP,@BPU6,1.3211,0.032065,-0.0095216674164,-1.0,2004.0625,1.0,1.3211,2016-07-08,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0
C,@CZ6,358.25,14.617237403,-0.0153738644211,-1.0,730.86187015,3.0,358.25,2016-07-06,-1.0,-1.0,-7.0,-7.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0
CC,@CCU6,3065.0,53.75,-0.0291415901172,-1.0,537.5,4.0,3065.0,2016-06-30,-1.0,-1.0,-1.0,-1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,-1.0,2.0,4.0,-1.0
CD,@CDU6,0.77275,0.0078175,-0.00425230333097,-1.0,781.75,3.0,0.77275,2016-07-11,-1.0,-1.0,-4.0,-4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
CGB,CBU6,147.29,0.882,-0.00600620866514,-1.0,681.186283596,3.0,147.29,2016-07-08,1.0,1.0,-5.0,-5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,2.0,0.0,-1.0,-1.0,2.0,0.0,-1.0
CL,QCLU6,46.65,1.88988515,0.00495476087893,1.0,1889.88515,2.0,46.65,2016-06-29,-1.0,-1.0,-11.0,-11.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
