2016-08-12 00:00:00,Contract,LastClose,ATR20,PC2016-08-12 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-12 00:00:00,RiskOn,group,SEA2016-08-12 00:00:00,SRUN2016-08-12 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-11 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-11 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-11 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-11 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACU6,1.409,0.026727254,-0.00494350282486,-1.0,-1.0,-1.0,1.0,1.0,-8.0,2016-08-02,775.090366,3.0,1.0,40861.0,1.409,1.0,energy,1.0,-8.0,-1.0,1.0,-7.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1.0,0.0,1.0,-1,1,-1,1,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD,@ADU6,0.7641,0.007645,-0.00727556190724,-1.0,1.0,-1.0,1.0,-1.0,-15.0,2016-07-22,764.5,3.0,1.0,76410.0,0.7641,1.0,currency,-1.0,-15.0,-1.0,-1.0,-14.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,-1667.777056,1667.777056,1667.777056,-1667.777056,-1667.777056,1667.777056,1667.777056,-1667.777056,1667.777056,-1667.777056,1667.777056,1667.777056,1667.777056,-1667.777056,-1667.777056,1667.777056,-1667.777056,-1667.777056,-1667.777056,-1667.777056,1667.777056,-1667.777056
AEX,AEXQ6,453.75,5.175,-0.00307590904098,-1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-08-02,1155.474,2.0,1.0,101313.3,453.75,1.0,index,-1.0,-8.0,1.0,-1.0,-7.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-623.260990882,623.260990882,-623.260990882,623.260990882,-623.260990882,623.260990882,-623.260990882,-623.260990882,623.260990882,-623.260990882,623.260990882,623.260990882,623.260990882,-623.260990882,-623.260990882,623.260990882,-623.260990882,623.260990882,-623.260990882,-623.260990882,623.260990882,623.260990882
BO,@BOZ6,32.45,0.6715,0.00745110214219,1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-08-02,402.9,5.0,2.0,19470.0,32.45,1.0,grain,-1.0,-8.0,1.0,-1.0,-7.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,725.364793542,725.364793542,725.364793542,-725.364793542,725.364793542,-725.364793542,725.364793542,725.364793542,-725.364793542,725.364793542,-725.364793542,-725.364793542,-725.364793542,725.364793542,725.364793542,-725.364793542,725.364793542,-725.364793542,725.364793542,725.364793542,-725.364793542,-725.364793542
BP,@BPU6,1.2924,0.01327,-0.00400739827374,-1.0,-1.0,1.0,-1.0,-1.0,8.0,2016-08-02,829.375,3.0,1.0,80775.0,1.2924,1.0,currency,-1.0,8.0,-1.0,-1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,1,-1.0,1,-1,1,1,1,1,1,-1,-971.092786683,971.092786683,971.092786683,-971.092786683,-971.092786683,971.092786683,971.092786683,971.092786683,-971.092786683,971.092786683,-971.092786683,-971.092786683,971.092786683,-971.092786683,971.092786683,-971.092786683,971.092786683,-971.092786683,-971.092786683,-971.092786683,-971.092786683,-971.092786683
C,@CZ6,333.0,7.275,0.00376789751319,1.0,-1.0,1.0,-1.0,1.0,-11.0,2016-07-28,363.75,6.0,2.0,16650.0,333.0,1.0,grain,1.0,-11.0,-1.0,1.0,-10.0,-1.0,1.0,6.0,-1.0,1.0,6.0,1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,-1,376.412961567,376.412961567,-376.412961567,376.412961567,376.412961567,-376.412961567,-376.412961567,-376.412961567,376.412961567,-376.412961567,376.412961567,376.412961567,376.412961567,-376.412961567,-376.412961567,376.412961567,-376.412961567,376.412961567,-376.412961567,-376.412961567,376.412961567,376.412961567
CC,@CCZ6,2981.0,63.7346420325,-0.00400935516204,-1.0,1.0,-1.0,1.0,1.0,-10.0,2016-07-29,637.346420325,4.0,1.0,29810.0,2981.0,1.0,soft,1.0,-10.0,-1.0,1.0,-9.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,-478.075509522,478.075509522,478.075509522,-478.075509522,-478.075509522,478.075509522,478.075509522,-478.075509522,478.075509522,-478.075509522,478.075509522,478.075509522,-478.075509522,478.075509522,478.075509522,-478.075509522,478.075509522,478.075509522,-478.075509522,478.075509522,478.075509522,478.075509522
CD,@CDU6,0.77215,0.0062125,0.00123184647303,1.0,1.0,1.0,1.0,-1.0,-4.0,2016-08-08,621.25,4.0,1.0,77215.0,0.77215,1.0,currency,-1.0,-4.0,1.0,-1.0,-3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,1,-1,1.0,-1,1,1,1,1,-1,1,-1,380.46810166,380.46810166,380.46810166,-380.46810166,380.46810166,-380.46810166,380.46810166,380.46810166,380.46810166,380.46810166,-380.46810166,-380.46810166,-380.46810166,380.46810166,380.46810166,-380.46810166,380.46810166,380.46810166,380.46810166,380.46810166,-380.46810166,380.46810166
CGB,CBU6,148.52,0.644,0.00195641907846,1.0,-1.0,-1.0,-1.0,1.0,7.0,2016-08-03,496.875241108,5.0,2.0,114589.923617,148.52,-1.0,rates,1.0,7.0,-1.0,1.0,6.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
CL,QCLV6,45.18,1.467817264,0.0229937916028,1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-08-02,1467.817264,2.0,1.0,45180.0,45.18,1.0,energy,-1.0,-8.0,1.0,-1.0,-7.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,2077.71900923,2077.71900923,2077.71900923,-2077.71900923,2077.71900923,-2077.71900923,2077.71900923,2077.71900923,-2077.71900923,2077.71900923,-2077.71900923,-2077.71900923,-2077.71900923,2077.71900923,2077.71900923,-2077.71900923,2077.71900923,-2077.71900923,2077.71900923,2077.71900923,-2077.71900923,-2077.71900923
CT,@CTZ6,70.65,1.78,-0.016838296688,-1.0,1.0,1.0,1.0,1.0,5.0,2016-08-05,890.0,3.0,1.0,35325.0,70.65,1.0,soft,1.0,5.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,-1,-1784.43849151,1784.43849151,-1784.43849151,1784.43849151,-1784.43849151,1784.43849151,-1784.43849151,-1784.43849151,-1784.43849151,-1784.43849151,1784.43849151,1784.43849151,-1784.43849151,1784.43849151,-1784.43849151,1784.43849151,-1784.43849151,-1784.43849151,1784.43849151,-1784.43849151,1784.43849151,1784.43849151
CU,@EUU6,1.11775,0.0069525,0.00165785464647,1.0,-1.0,-1.0,-1.0,1.0,-8.0,2016-08-02,869.0625,3.0,1.0,139718.75,1.11775,1.0,currency,1.0,-8.0,-1.0,1.0,-7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,694.900136661,694.900136661,-694.900136661,694.900136661,694.900136661,-694.900136661,-694.900136661,-694.900136661,-694.900136661,-694.900136661,694.900136661,694.900136661,694.900136661,-694.900136661,-694.900136661,694.900136661,-694.900136661,-694.900136661,-694.900136661,-694.900136661,694.900136661,-694.900136661
DX,@DXU6,95.682,0.60385,-0.00162774682276,-1.0,-1.0,-1.0,-1.0,-1.0,-8.0,2016-08-02,603.85,4.0,1.0,95682.0,95.682,-1.0,currency,-1.0,-8.0,1.0,-1.0,-7.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,1,-622.984285983,622.984285983,-622.984285983,622.984285983,622.984285983,-622.984285983,-622.984285983,622.984285983,622.984285983,622.984285983,-622.984285983,-622.984285983,622.984285983,-622.984285983,-622.984285983,622.984285983,-622.984285983,622.984285983,622.984285983,622.984285983,-622.984285983,622.984285983
EBL,BDU6,167.78,0.6725,0.000715734224025,1.0,1.0,-1.0,1.0,1.0,8.0,2016-08-02,750.779,3.0,1.0,187309.592,167.78,-1.0,rates,1.0,8.0,-1.0,1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,1,402.191656448,402.191656448,-402.191656448,402.191656448,-402.191656448,402.191656448,-402.191656448,402.191656448,-402.191656448,402.191656448,-402.191656448,-402.191656448,402.191656448,-402.191656448,402.191656448,-402.191656448,-402.191656448,402.191656448,402.191656448,402.191656448,-402.191656448,-402.191656448
EBM,BLU6,133.72,0.207,0.0,1.0,-1.0,1.0,-1.0,1.0,8.0,2016-08-02,231.0948,9.0,3.0,149285.008,133.72,-1.0,rates,1.0,8.0,-1.0,1.0,7.0,-1.0,1.0,9.0,-1.0,1.0,9.0,1.0,2.0,9.0,-1.0,2.0,9.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
EBS,EZU6,112.02,0.04125,-8.92618048738e-05,-1.0,-1.0,1.0,-1.0,1.0,8.0,2016-08-02,46.0515,44.0,11.0,125059.128,112.02,-1.0,rates,1.0,8.0,-1.0,1.0,7.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
ED,@EDZ6,99.115,0.037,0.000403734544537,1.0,-1.0,1.0,-1.0,-1.0,3.0,2016-07-29,92.5,22.0,6.0,247787.5,99.115,-1.0,rates,-1.0,3.0,-1.0,-1.0,-9.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
EMD,@EMDU6,1555.6,12.68,-0.0016045183236,-1.0,-1.0,1.0,-1.0,1.0,-22.0,2016-07-13,1268.0,2.0,1.0,155560.0,1555.6,1.0,index,1.0,-22.0,1.0,1.0,-21.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-499.197740838,499.197740838,-499.197740838,499.197740838,-499.197740838,499.197740838,-499.197740838,499.197740838,-499.197740838,499.197740838,-499.197740838,-499.197740838,-499.197740838,499.197740838,499.197740838,-499.197740838,499.197740838,499.197740838,499.197740838,499.197740838,-499.197740838,499.197740838
ES,@ESU6,2180.25,13.925,-0.000687521485046,-1.0,1.0,-1.0,1.0,-1.0,-20.0,2016-07-15,696.25,3.0,1.0,109012.5,2180.25,1.0,index,-1.0,-20.0,1.0,-1.0,-19.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-224.845307666,224.845307666,-224.845307666,224.845307666,-224.845307666,224.845307666,-224.845307666,-224.845307666,224.845307666,-224.845307666,224.845307666,224.845307666,224.845307666,-224.845307666,-224.845307666,224.845307666,-224.845307666,224.845307666,-224.845307666,-224.845307666,224.845307666,224.845307666
FC,@GFV6,144.25,2.9073486355,0.00138840680319,1.0,1.0,-1.0,1.0,-1.0,16.0,2016-07-21,1453.67431775,2.0,1.0,72125.0,144.25,1.0,meat,-1.0,16.0,-1.0,-1.0,15.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,1,1,-1.0,1,1,-1,1,1,-1,1,-1,200.277681361,200.277681361,-200.277681361,200.277681361,200.277681361,-200.277681361,-200.277681361,200.277681361,-200.277681361,200.277681361,-200.277681361,-200.277681361,-200.277681361,200.277681361,-200.277681361,200.277681361,200.277681361,-200.277681361,200.277681361,200.277681361,-200.277681361,200.277681361
FCH,MTQ6,4500.5,53.6,-0.000777087033748,-1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2016-08-03,598.3904,4.0,1.0,50243.582,4500.5,1.0,index,-1.0,-7.0,1.0,1.0,-6.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-156.174544405,156.174544405,-156.174544405,156.174544405,-156.174544405,156.174544405,-156.174544405,156.174544405,156.174544405,156.174544405,-156.174544405,-156.174544405,-156.174544405,156.174544405,156.174544405,-156.174544405,156.174544405,156.174544405,156.174544405,156.174544405,-156.174544405,156.174544405
FDX,DXMU6,10717.0,131.85,-0.000326477309827,-1.0,1.0,-1.0,1.0,-1.0,-21.0,2016-07-14,735.9867,3.0,1.0,59822.294,10717.0,1.0,index,-1.0,-21.0,1.0,-1.0,-20.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-58.5918648384,58.5918648384,-58.5918648384,58.5918648384,-58.5918648384,58.5918648384,-58.5918648384,-58.5918648384,58.5918648384,-58.5918648384,58.5918648384,58.5918648384,58.5918648384,-58.5918648384,-58.5918648384,58.5918648384,-58.5918648384,58.5918648384,-58.5918648384,-58.5918648384,58.5918648384,58.5918648384
FEI,IEZ6,100.34,0.0095,0.0,1.0,1.0,1.0,1.0,1.0,-16.0,2016-07-21,26.5145,76.0,19.0,280048.94,100.34,-1.0,rates,1.0,-16.0,1.0,1.0,-15.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
FFI,LFU6,6911.5,62.575,0.00319326511358,1.0,-1.0,-1.0,-1.0,1.0,13.0,2016-07-26,807.4678,3.0,1.0,89185.996,6911.5,1.0,index,1.0,13.0,1.0,1.0,12.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,-1,1.0,-1,-1,-1,-1,-1,1,-1,-1,854.38358894,854.38358894,854.38358894,-854.38358894,854.38358894,-854.38358894,854.38358894,-854.38358894,-854.38358894,-854.38358894,854.38358894,854.38358894,854.38358894,-854.38358894,854.38358894,-854.38358894,-854.38358894,-854.38358894,-854.38358894,-854.38358894,854.38358894,-854.38358894
FLG,LGU6,132.8,0.712,0.00120627261761,1.0,-1.0,-1.0,1.0,1.0,8.0,2016-08-02,918.7648,3.0,1.0,171365.12,132.8,-1.0,rates,1.0,8.0,1.0,1.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,620.139155609,620.139155609,620.139155609,-620.139155609,-620.139155609,620.139155609,620.139155609,-620.139155609,-620.139155609,620.139155609,-620.139155609,620.139155609,620.139155609,-620.139155609,-620.139155609,620.139155609,620.139155609,-620.139155609,-620.139155609,-620.139155609,620.139155609,-620.139155609
FSS,LLZ6,99.75,0.028,0.0,1.0,1.0,1.0,1.0,1.0,7.0,2016-08-03,45.164,45.0,12.0,160896.75,99.75,-1.0,rates,1.0,7.0,-1.0,1.0,6.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
FV,@FVU6,121.6953125,0.3234375,0.00218747989449,1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-08-04,323.4375,7.0,2.0,121695.3125,121.6953125,-1.0,rates,1.0,-6.0,-1.0,1.0,-5.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,2.0,7.0,-1.0,2.0,7.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1863.44234543,1863.44234543,-1863.44234543,1863.44234543,-1863.44234543,1863.44234543,-1863.44234543,-1863.44234543,1863.44234543,-1863.44234543,1863.44234543,1863.44234543,1863.44234543,-1863.44234543,-1863.44234543,1863.44234543,-1863.44234543,1863.44234543,-1863.44234543,-1863.44234543,1863.44234543,1863.44234543
