2016-10-25 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-10-25 00:00:00,Close2016-10-25 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-25 00:00:00,LastSRUN,SRUN2016-10-25 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-24 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-24 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-24 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-24 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.536,0.0214,-0.00389105058366,-1.0,1.0,-1.0,1.0,1.0,21.0,2016-09-23,620.6,1.0,1.0,1.0,44544.0,1.0,-0.00389105058366,1.536,energy,1.0,1.0,2016-09-23,1.0,1.0,22.0,22.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1,1.0,-1,-1,-1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,1.0,-1,-1,-1.0,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
AD,@ADZ6,0.7634,0.00654,0.00539971025945,1.0,-1.0,1.0,-1.0,-1.0,29.0,2016-09-13,654.0,1.0,1.0,1.0,76340.0,1.0,0.00539971025945,0.7634,currency,1.0,1.0,2016-09-13,-1.0,-1.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,-1,1,-1,-1.0,1,1,1,1,1,1,1.0,1.0,1.0,-1.0,1.0,-1.0,1,1,1.0,1,412.213881206,412.213881206,412.213881206,-412.213881206,412.213881206,-412.213881206,412.213881206,-412.213881206,412.213881206,-412.213881206,412.213881206,-412.213881206,412.213881206,412.213881206,-412.213881206,-412.213881206,412.213881206,-412.213881206,412.213881206,412.213881206,412.213881206,412.213881206,412.213881206,412.213881206,412.213881206,412.213881206,412.213881206,412.213881206,412.213881206,412.213881206,-412.213881206,412.213881206,-412.213881206,412.213881206
AEX,AEXX6,457.5,5.848013626,-0.000982640026204,-1.0,1.0,1.0,1.0,1.0,21.0,2016-09-23,1273.34648693,1.0,1.0,1.0,99616.05,0.9185266832,-0.000982640026204,457.5,index,1.0,1.0,2016-09-23,1.0,1.0,22.0,22.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-97.8867179823,97.8867179823,-97.8867179823,97.8867179823,-97.8867179823,97.8867179823,-97.8867179823,97.8867179823,97.8867179823,-97.8867179823,-97.8867179823,-97.8867179823,97.8867179823,97.8867179823,97.8867179823,-97.8867179823,97.8867179823,-97.8867179823,97.8867179823,-97.8867179823,97.8867179823,97.8867179823,97.8867179823,-0.0,97.8867179823,97.8867179823,97.8867179823,97.8867179823,-0.0,97.8867179823,-97.8867179823,-97.8867179823,-97.8867179823,97.8867179823
BO,@BOZ6,35.8,0.7155,-0.00527924423451,-1.0,1.0,-1.0,1.0,1.0,13.0,2016-10-05,429.3,2.0,1.0,1.0,21480.0,1.0,-0.00527924423451,35.8,grain,1.0,1.0,2016-10-05,1.0,1.0,14.0,14.0,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-226.796332315,226.796332315,-226.796332315,226.796332315,-226.796332315,226.796332315,-226.796332315,226.796332315,226.796332315,-226.796332315,226.796332315,-226.796332315,226.796332315,226.796332315,-226.796332315,-226.796332315,226.796332315,-226.796332315,226.796332315,-226.796332315,226.796332315,226.796332315,226.796332315,-0.0,226.796332315,226.796332315,226.796332315,226.796332315,226.796332315,226.796332315,-226.796332315,-226.796332315,-226.796332315,226.796332315
BP,@BPZ6,1.2201,0.014305,-0.00277891295464,-1.0,1.0,1.0,-1.0,1.0,-34.0,2016-09-06,894.0625,1.0,1.0,1.0,76256.25,1.0,-0.00277891295464,1.2201,currency,1.0,1.0,2016-09-06,1.0,1.0,-35.0,-35.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,0,-1,-1,1,-1,-1,-1,1,-1.0,1,1,1,-1,-1,1,1.0,1.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,-211.909480997,211.909480997,211.909480997,-211.909480997,-211.909480997,211.909480997,-211.909480997,211.909480997,-211.909480997,-211.909480997,-211.909480997,211.909480997,-211.909480997,211.909480997,211.909480997,-211.909480997,211.909480997,211.909480997,-211.909480997,-211.909480997,-211.909480997,211.909480997,-211.909480997,-211.909480997,-0.0,211.909480997,-211.909480997,-211.909480997,-211.909480997,-0.0,211.909480997,-0.0,-211.909480997,211.909480997
C,@CZ6,349.25,7.3875,0.00287150035894,1.0,1.0,1.0,1.0,1.0,17.0,2016-09-29,369.375,2.0,1.0,1.0,17462.5,1.0,0.00287150035894,349.25,grain,1.0,1.0,2016-09-29,1.0,1.0,18.0,18.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,-1,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,0,0.0,-1,100.287150036,100.287150036,-100.287150036,100.287150036,100.287150036,-100.287150036,100.287150036,-100.287150036,100.287150036,100.287150036,100.287150036,100.287150036,-100.287150036,-100.287150036,-100.287150036,100.287150036,-100.287150036,100.287150036,-100.287150036,-100.287150036,100.287150036,-100.287150036,0.0,0.0,-100.287150036,-100.287150036,100.287150036,100.287150036,100.287150036,0.0,100.287150036,0.0,100.287150036,-100.287150036
CC,@CCH7,2638.0,60.3269230775,0.00418728587743,1.0,-1.0,-1.0,-1.0,-1.0,13.0,2016-10-05,603.269230775,1.0,1.0,1.0,26380.0,1.0,0.00418728587743,2638.0,soft,1.0,1.0,2016-10-05,-1.0,-1.0,14.0,14.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,0.0,1.0,1,1,1.0,1,110.460601447,110.460601447,-110.460601447,110.460601447,110.460601447,-110.460601447,110.460601447,-110.460601447,110.460601447,-110.460601447,-110.460601447,-110.460601447,110.460601447,110.460601447,110.460601447,-110.460601447,110.460601447,-110.460601447,110.460601447,-110.460601447,110.460601447,110.460601447,110.460601447,110.460601447,110.460601447,110.460601447,110.460601447,110.460601447,110.460601447,110.460601447,-110.460601447,0.0,110.460601447,110.460601447
CD,@CDZ6,0.74945,0.00594,0.00207246958149,1.0,-1.0,-1.0,-1.0,-1.0,-34.0,2016-09-06,594.0,1.0,1.0,1.0,74945.0,1.0,0.00207246958149,0.74945,currency,1.0,1.0,2016-09-26,-1.0,-1.0,21.0,21.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,1,1,1.0,-1,-1,-1,1,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0.0,0,155.321232785,155.321232785,-155.321232785,155.321232785,155.321232785,-155.321232785,155.321232785,-155.321232785,155.321232785,-155.321232785,-155.321232785,-155.321232785,155.321232785,155.321232785,155.321232785,-155.321232785,155.321232785,155.321232785,-155.321232785,-155.321232785,-155.321232785,155.321232785,0.0,0.0,0.0,155.321232785,155.321232785,155.321232785,155.321232785,155.321232785,155.321232785,0.0,155.321232785,155.321232785
CGB,CBZ6,145.52,0.6275,0.000687663320039,1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-10-14,469.896660177,2.0,1.0,1.0,108971.094803,1.3354,0.000687663320039,145.52,rates,-1.0,1.0,2016-10-14,1.0,1.0,-7.0,-7.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,-1,-1,1,-1.0,1,1,1,1,-1,1,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1,1,1.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
CL,QCLZ6,49.96,1.269839379,-0.0110847189232,-1.0,1.0,-1.0,1.0,-1.0,-26.0,2016-09-16,1269.839379,1.0,1.0,1.0,49960.0,1.0,-0.0110847189232,49.96,energy,1.0,1.0,2016-09-16,-1.0,-1.0,-27.0,-27.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,1,1,1,1.0,-1,-1,-1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,-1,0,0.0,-1,-553.792557403,553.792557403,553.792557403,-553.792557403,-553.792557403,553.792557403,-553.792557403,553.792557403,-553.792557403,-553.792557403,553.792557403,-553.792557403,553.792557403,553.792557403,-553.792557403,553.792557403,-553.792557403,-553.792557403,553.792557403,553.792557403,553.792557403,-553.792557403,-0.0,-0.0,553.792557403,-553.792557403,-553.792557403,-553.792557403,-553.792557403,-553.792557403,-553.792557403,-553.792557403,-553.792557403,553.792557403
