2016-09-01 00:00:00,Contract,LastClose,ATR20,PC2016-09-01 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-09-01 00:00:00,group,RiskOn,Excess,SEA2016-09-01 00:00:00,SRUN2016-09-01 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-31 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-31 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-31 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-31 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
AC,@ACV6,1.43,0.0225542435,0.0199714693295,1.0,-1.0,1.0,-1.0,-1.0,4.0,2016-08-26,654.0730615,4.0,1.0,1.0,41470.0,1.43,energy,1.0,1.0,-1.0,4.0,-1.0,-1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1.0,1,-1,1,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
AD,@ADU6,0.7552,0.006625,0.00559254327563,1.0,-1.0,-1.0,1.0,1.0,-35.0,2016-07-14,662.5,4.0,1.0,1.0,75520.0,0.7552,currency,1.0,1.0,1.0,-35.0,1.0,1.0,-34.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,-1,-1,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,1,1,-1,1689.3954727,1689.3954727,1689.3954727,-1689.3954727,1689.3954727,-1689.3954727,1689.3954727,-1689.3954727,-1689.3954727,-1689.3954727,-1689.3954727,1689.3954727,-1689.3954727,1689.3954727,1689.3954727,-1689.3954727,-1689.3954727,1689.3954727,1689.3954727,-1689.3954727,-1689.3954727,-1689.3954727,1689.3954727,-1689.3954727,-1689.3954727,-1689.3954727,-1689.3954727,-1689.3954727,1689.3954727,1689.3954727,-1689.3954727
AEX,AEXU6,453.75,4.591239053,-0.00121065375303,-1.0,1.0,-1.0,1.0,-1.0,-40.0,2016-07-07,1028.25389831,2.0,1.0,1.0,101621.85,453.75,index,1.0,1.0,-1.0,-40.0,-1.0,1.0,-39.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,1,0.0,0,-1,1,-1,-246.057748184,246.057748184,246.057748184,-246.057748184,-246.057748184,246.057748184,-246.057748184,246.057748184,-246.057748184,-246.057748184,246.057748184,-246.057748184,246.057748184,246.057748184,-246.057748184,246.057748184,246.057748184,-246.057748184,246.057748184,246.057748184,-246.057748184,246.057748184,246.057748184,246.057748184,246.057748184,-246.057748184,-0.0,-0.0,246.057748184,-246.057748184,246.057748184
BO,@BOZ6,32.55,0.7055,-0.00973532096136,-1.0,1.0,1.0,-1.0,1.0,-9.0,2016-08-19,423.3,5.0,1.0,1.0,19530.0,32.55,grain,1.0,1.0,1.0,-9.0,-1.0,1.0,-8.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,-1,-1,1,-1,-1,1,-1.0,1,-1,1,1,1,1,1,1,1,1.0,0,-1,1,-1,-950.654091877,950.654091877,950.654091877,-950.654091877,-950.654091877,950.654091877,-950.654091877,950.654091877,-950.654091877,-950.654091877,-950.654091877,950.654091877,-950.654091877,950.654091877,-950.654091877,950.654091877,950.654091877,-950.654091877,950.654091877,-950.654091877,-950.654091877,-950.654091877,-950.654091877,-950.654091877,-950.654091877,-950.654091877,-950.654091877,-0.0,950.654091877,-950.654091877,950.654091877
BP,@BPU6,1.3274,0.010785,0.0109672505712,1.0,-1.0,1.0,-1.0,1.0,-13.0,2016-08-15,674.0625,3.0,1.0,1.0,82962.5,1.3274,currency,1.0,1.0,1.0,-13.0,1.0,1.0,21.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,-1,1,1,-1,-1,1.0,-1,-1,1,-1,-1,1,-1,-1,1,0.0,-1,-1,1,-1,2729.61157654,2729.61157654,2729.61157654,-2729.61157654,2729.61157654,-2729.61157654,2729.61157654,-2729.61157654,2729.61157654,-2729.61157654,2729.61157654,-2729.61157654,2729.61157654,2729.61157654,2729.61157654,-2729.61157654,2729.61157654,-2729.61157654,-2729.61157654,2729.61157654,-2729.61157654,-2729.61157654,2729.61157654,-2729.61157654,-2729.61157654,2729.61157654,0.0,-2729.61157654,-2729.61157654,2729.61157654,-2729.61157654
C,@CZ6,323.75,5.875,0.0261489698891,1.0,-1.0,1.0,-1.0,-1.0,-25.0,2016-07-28,293.75,7.0,1.0,1.0,16187.5,323.75,grain,1.0,1.0,-1.0,-25.0,-1.0,-1.0,-24.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,2.0,7.0,-1.0,2.0,7.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1.0,1,-1,1,1,2963.00515055,2963.00515055,-2963.00515055,2963.00515055,2963.00515055,-2963.00515055,2963.00515055,-2963.00515055,2963.00515055,-2963.00515055,2963.00515055,-2963.00515055,2963.00515055,2963.00515055,-2963.00515055,2963.00515055,2963.00515055,-2963.00515055,-2963.00515055,2963.00515055,2963.00515055,2963.00515055,-2963.00515055,2963.00515055,2963.00515055,2963.00515055,2963.00515055,2963.00515055,-2963.00515055,2963.00515055,2963.00515055
CC,@CCZ6,2897.0,57.6907621245,-0.000345065562457,-1.0,1.0,1.0,1.0,-1.0,4.0,2016-08-26,576.907621245,4.0,1.0,1.0,28970.0,2897.0,soft,1.0,1.0,-1.0,4.0,1.0,-1.0,-9.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,-1,1.0,-1,1,1,1,1,-1,1,-1,1,1.0,0,1,-1,-1,-39.9861973775,39.9861973775,-39.9861973775,39.9861973775,-39.9861973775,39.9861973775,-39.9861973775,39.9861973775,-39.9861973775,-39.9861973775,-39.9861973775,-39.9861973775,39.9861973775,39.9861973775,39.9861973775,-39.9861973775,-39.9861973775,39.9861973775,-39.9861973775,-39.9861973775,-39.9861973775,-39.9861973775,39.9861973775,-39.9861973775,39.9861973775,-39.9861973775,-39.9861973775,-0.0,-39.9861973775,39.9861973775,39.9861973775
CD,@CDU6,0.7635,0.0052025,0.00144281217209,1.0,-1.0,1.0,-1.0,1.0,-28.0,2016-08-18,520.25,4.0,1.0,1.0,76350.0,0.7635,currency,1.0,1.0,1.0,-28.0,-1.0,1.0,9.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1,1.0,0,-1,1,1,440.634837356,440.634837356,-440.634837356,440.634837356,440.634837356,-440.634837356,440.634837356,-440.634837356,440.634837356,-440.634837356,440.634837356,-440.634837356,440.634837356,440.634837356,440.634837356,-440.634837356,440.634837356,-440.634837356,-440.634837356,440.634837356,-440.634837356,-440.634837356,-440.634837356,440.634837356,440.634837356,440.634837356,440.634837356,0.0,-440.634837356,440.634837356,440.634837356
CGB,CBZ6,146.79,0.576868889,0.000136267629624,1.0,-1.0,1.0,-1.0,-1.0,-38.0,2016-07-08,440.49243204,5.0,1.0,1.0,112087.660354,146.79,rates,-1.0,1.0,-1.0,-38.0,1.0,1.0,-37.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,0.0,-1,1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
CL,QCLV6,43.16,1.4792151055,-0.034451901566,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,2016-08-19,1479.2151055,2.0,1.0,1.0,43160.0,43.16,energy,1.0,1.0,-1.0,9.0,-1.0,-1.0,-21.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,1,1.0,1,-1,1,1,-2973.88814318,2973.88814318,2973.88814318,-2973.88814318,-2973.88814318,2973.88814318,-2973.88814318,2973.88814318,-2973.88814318,2973.88814318,2973.88814318,2973.88814318,-2973.88814318,-2973.88814318,2973.88814318,-2973.88814318,-2973.88814318,2973.88814318,2973.88814318,-2973.88814318,-2973.88814318,-2973.88814318,2973.88814318,-2973.88814318,2973.88814318,-2973.88814318,-2973.88814318,-2973.88814318,2973.88814318,-2973.88814318,-2973.88814318
CT,@CTZ6,68.18,1.6245,0.0396462336078,1.0,-1.0,1.0,-1.0,1.0,-16.0,2016-08-10,812.25,3.0,1.0,1.0,34090.0,68.18,soft,1.0,1.0,1.0,-16.0,-1.0,1.0,-15.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1.0,0,-1,1,1,4054.62031107,4054.62031107,-4054.62031107,4054.62031107,4054.62031107,-4054.62031107,4054.62031107,-4054.62031107,4054.62031107,-4054.62031107,4054.62031107,-4054.62031107,4054.62031107,4054.62031107,4054.62031107,-4054.62031107,-4054.62031107,4054.62031107,-4054.62031107,4054.62031107,-4054.62031107,-4054.62031107,4054.62031107,4054.62031107,4054.62031107,4054.62031107,4054.62031107,0.0,-4054.62031107,4054.62031107,4054.62031107
CU,@EUU6,1.12045,0.00667,0.00340303586621,1.0,-1.0,-1.0,-1.0,1.0,29.0,2016-07-22,833.75,3.0,1.0,1.0,140056.25,1.12045,currency,1.0,1.0,1.0,29.0,1.0,1.0,28.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,-1,-1,1,1,-1,-1,1.0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1,1,-1,1429.84932611,1429.84932611,1429.84932611,-1429.84932611,1429.84932611,-1429.84932611,1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,1429.84932611,1429.84932611,1429.84932611,-1429.84932611,1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,-1429.84932611,1429.84932611,-1429.84932611
