2016-08-31 00:00:00,Contract,LastClose,ATR20,PC2016-08-31 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-31 00:00:00,group,RiskOn,Excess,SEA2016-08-31 00:00:00,SRUN2016-08-31 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-30 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-30 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-30 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-30 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
AC,@ACV6,1.402,0.0223465775,-0.0070821529745,-1.0,-1.0,1.0,-1.0,-1.0,3.0,2016-08-19,648.0507475,4.0,1.0,1.0,40658.0,1.402,energy,1.0,1.0,-1.0,3.0,-1.0,-1.0,16.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1.0,-1,-1,1,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
AD,@ADU6,0.751,0.00669,0.000532907007727,1.0,1.0,-1.0,1.0,1.0,-34.0,2016-07-14,669.0,3.0,1.0,1.0,75100.0,0.751,currency,1.0,1.0,1.0,-34.0,-1.0,1.0,-33.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,1,0.0,1,-1,1,-1,120.063948841,120.063948841,-120.063948841,120.063948841,120.063948841,-120.063948841,120.063948841,-120.063948841,120.063948841,120.063948841,-120.063948841,120.063948841,-120.063948841,-120.063948841,120.063948841,-120.063948841,-120.063948841,120.063948841,-120.063948841,-120.063948841,120.063948841,-120.063948841,-120.063948841,-120.063948841,-120.063948841,120.063948841,0.0,120.063948841,-120.063948841,120.063948841,-120.063948841
AEX,AEXU6,454.3,4.5684064955,-0.00307219662058,-1.0,1.0,-1.0,1.0,1.0,-39.0,2016-07-07,1019.30285728,2.0,1.0,1.0,101363.416,454.3,index,1.0,1.0,1.0,-39.0,1.0,1.0,-38.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1.0,1,1,-1,-1,-622.816688172,622.816688172,-622.816688172,622.816688172,-622.816688172,622.816688172,-622.816688172,622.816688172,622.816688172,-622.816688172,622.816688172,-622.816688172,622.816688172,622.816688172,-622.816688172,622.816688172,622.816688172,-622.816688172,-622.816688172,622.816688172,622.816688172,622.816688172,-622.816688172,622.816688172,622.816688172,622.816688172,622.816688172,-622.816688172,-622.816688172,622.816688172,622.816688172
BO,@BOZ6,32.87,0.7025,-0.00814725407363,-1.0,1.0,1.0,-1.0,1.0,-8.0,2016-08-19,421.5,5.0,1.0,1.0,19722.0,32.87,grain,1.0,1.0,1.0,-8.0,-1.0,1.0,7.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,-1,-1,1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1.0,-1,-1,1,-1,-803.4007242,803.4007242,803.4007242,-803.4007242,-803.4007242,803.4007242,-803.4007242,803.4007242,-803.4007242,-803.4007242,-803.4007242,803.4007242,-803.4007242,803.4007242,-803.4007242,803.4007242,-803.4007242,803.4007242,803.4007242,-803.4007242,-803.4007242,-803.4007242,803.4007242,-803.4007242,-803.4007242,-803.4007242,-803.4007242,803.4007242,803.4007242,-803.4007242,803.4007242
BP,@BPU6,1.313,0.01061,0.00320904645477,1.0,1.0,-1.0,1.0,1.0,21.0,2016-08-02,663.125,4.0,1.0,1.0,82062.5,1.313,currency,1.0,1.0,1.0,21.0,-1.0,1.0,20.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,-1,1,0.0,1,-1,1,-1,1053.36949878,1053.36949878,-1053.36949878,1053.36949878,1053.36949878,-1053.36949878,1053.36949878,-1053.36949878,1053.36949878,1053.36949878,-1053.36949878,1053.36949878,-1053.36949878,-1053.36949878,1053.36949878,-1053.36949878,1053.36949878,-1053.36949878,-1053.36949878,1053.36949878,1053.36949878,1053.36949878,-1053.36949878,-1053.36949878,-1053.36949878,1053.36949878,0.0,1053.36949878,-1053.36949878,1053.36949878,-1053.36949878
C,@CZ6,315.5,5.625,-0.000791765637371,-1.0,-1.0,1.0,-1.0,-1.0,-24.0,2016-07-28,281.25,8.0,1.0,1.0,15775.0,315.5,grain,1.0,1.0,-1.0,-24.0,-1.0,-1.0,-23.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,2.0,8.0,-1.0,2.0,8.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1.0,-1,-1,1,1,-99.9208234363,99.9208234363,99.9208234363,-99.9208234363,-99.9208234363,99.9208234363,-99.9208234363,99.9208234363,-99.9208234363,99.9208234363,-99.9208234363,99.9208234363,-99.9208234363,-99.9208234363,99.9208234363,-99.9208234363,-99.9208234363,99.9208234363,99.9208234363,-99.9208234363,-99.9208234363,-99.9208234363,99.9208234363,-99.9208234363,-99.9208234363,-99.9208234363,-99.9208234363,99.9208234363,99.9208234363,-99.9208234363,-99.9208234363
CC,@CCZ6,2898.0,57.694572748,0.00276816608997,1.0,1.0,1.0,1.0,-1.0,-9.0,2016-08-18,576.94572748,4.0,1.0,1.0,28980.0,2898.0,soft,1.0,1.0,-1.0,-9.0,-1.0,-1.0,-8.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,1,1,1.0,1,-1,1,-1,320.885813149,320.885813149,-320.885813149,320.885813149,320.885813149,-320.885813149,320.885813149,-320.885813149,320.885813149,320.885813149,320.885813149,320.885813149,-320.885813149,-320.885813149,-320.885813149,320.885813149,320.885813149,-320.885813149,320.885813149,320.885813149,320.885813149,320.885813149,-320.885813149,320.885813149,320.885813149,320.885813149,320.885813149,320.885813149,-320.885813149,320.885813149,-320.885813149
CD,@CDU6,0.7624,0.00557,-0.00268166655766,-1.0,-1.0,1.0,-1.0,1.0,9.0,2016-08-18,557.0,4.0,1.0,1.0,76240.0,0.7624,currency,1.0,1.0,1.0,9.0,-1.0,1.0,-26.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1.0,-1,-1,1,1,-817.801033423,817.801033423,817.801033423,-817.801033423,-817.801033423,817.801033423,-817.801033423,817.801033423,-817.801033423,817.801033423,-817.801033423,817.801033423,-817.801033423,-817.801033423,-817.801033423,817.801033423,817.801033423,-817.801033423,817.801033423,-817.801033423,817.801033423,817.801033423,-817.801033423,-817.801033423,-817.801033423,-817.801033423,-817.801033423,817.801033423,817.801033423,-817.801033423,-817.801033423
CGB,CBZ6,146.77,0.5740152865,0.000681802686303,1.0,-1.0,1.0,-1.0,1.0,-37.0,2016-07-08,438.012427699,5.0,1.0,1.0,111995.421595,146.77,rates,-1.0,1.0,1.0,-37.0,-1.0,1.0,-36.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1.0,-1,-1,1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
CL,QCLV6,44.7,1.4280215785,-0.0355987055016,-1.0,-1.0,-1.0,-1.0,-1.0,-21.0,2016-08-02,1428.0215785,2.0,1.0,1.0,44700.0,44.7,energy,1.0,1.0,-1.0,-21.0,-1.0,-1.0,-20.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,1,1.0,-1,-1,1,1,-3182.52427184,3182.52427184,3182.52427184,-3182.52427184,-3182.52427184,3182.52427184,-3182.52427184,3182.52427184,-3182.52427184,3182.52427184,3182.52427184,3182.52427184,-3182.52427184,-3182.52427184,3182.52427184,-3182.52427184,-3182.52427184,3182.52427184,3182.52427184,-3182.52427184,-3182.52427184,-3182.52427184,3182.52427184,-3182.52427184,3182.52427184,-3182.52427184,-3182.52427184,3182.52427184,3182.52427184,-3182.52427184,-3182.52427184
