2016-10-20 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-10-20 00:00:00,Close2016-10-20 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-20 00:00:00,LastSRUN,SRUN2016-10-20 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-19 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-19 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-19 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-19 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.532,0.0219,-0.00195439739414,-1.0,-1.0,-1.0,-1.0,1.0,18.0,2016-09-23,635.1,4.0,1.0,1.0,44428.0,1.0,-0.00195439739414,1.532,energy,1.0,1.0,2016-09-23,1.0,1.0,19.0,19.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,1,-1,-1,1.0,-1,1,-1,-1,1,1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,0,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
AD,@ADZ6,0.7615,0.00655,-0.0115524402908,-1.0,-1.0,-1.0,1.0,-1.0,26.0,2016-09-13,655.0,4.0,1.0,1.0,76150.0,1.0,-0.0115524402908,0.7615,currency,1.0,1.0,2016-09-13,-1.0,-1.0,27.0,27.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,0,-1,-1,-1,1,1,1,-1,-1.0,1,-1,-1,1,1,1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,0.0,0,-3518.87331256,3518.87331256,-3518.87331256,3518.87331256,-3518.87331256,3518.87331256,-3518.87331256,3518.87331256,-0.0,3518.87331256,3518.87331256,-3518.87331256,3518.87331256,-3518.87331256,-3518.87331256,3518.87331256,-3518.87331256,3518.87331256,-3518.87331256,3518.87331256,3518.87331256,-3518.87331256,-0.0,-0.0,-0.0,-3518.87331256,-3518.87331256,-3518.87331256,-0.0,-3518.87331256,3518.87331256,-3518.87331256,-3518.87331256,-3518.87331256
AEX,AEXX6,454.25,6.2236425565,0.00331308669244,1.0,-1.0,-1.0,-1.0,1.0,18.0,2016-09-23,1360.23931715,2.0,1.0,1.0,99280.88,0.915080527086,0.00331308669244,454.25,index,1.0,1.0,2016-09-23,1.0,1.0,19.0,19.0,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,-1,1,1,1,-1,-1,1.0,-1,1,-1,-1,1,1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,0,0.0,-1,657.852324682,657.852324682,657.852324682,-657.852324682,657.852324682,-657.852324682,657.852324682,-657.852324682,-657.852324682,-657.852324682,-657.852324682,-657.852324682,657.852324682,657.852324682,657.852324682,657.852324682,-657.852324682,657.852324682,-657.852324682,657.852324682,-657.852324682,-657.852324682,0.0,0.0,-657.852324682,657.852324682,657.852324682,-657.852324682,-657.852324682,0.0,-657.852324682,0.0,657.852324682,-657.852324682
BO,@BOZ6,35.05,0.6975,-0.00988700564972,-1.0,-1.0,-1.0,-1.0,1.0,10.0,2016-10-05,418.5,5.0,1.0,1.0,21030.0,1.0,-0.00988700564972,35.05,grain,1.0,1.0,2016-10-05,1.0,1.0,11.0,11.0,1.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,0,-1,-1,1,1,1,-1,-1,1.0,-1,1,-1,-1,1,1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,0,0.0,-1,-1039.61864407,1039.61864407,-1039.61864407,1039.61864407,-1039.61864407,1039.61864407,-1039.61864407,1039.61864407,1039.61864407,1039.61864407,1039.61864407,1039.61864407,-1039.61864407,-1039.61864407,-1039.61864407,-1039.61864407,1039.61864407,-1039.61864407,1039.61864407,-1039.61864407,1039.61864407,1039.61864407,-0.0,-0.0,1039.61864407,-1039.61864407,-1039.61864407,1039.61864407,1039.61864407,-0.0,1039.61864407,-0.0,-1039.61864407,1039.61864407
BP,@BPZ6,1.2262,0.01379,-0.00170968004559,-1.0,-1.0,-1.0,-1.0,1.0,-6.0,2016-10-11,861.875,3.0,1.0,1.0,76637.5,1.0,-0.00170968004559,1.2262,currency,1.0,1.0,2016-09-30,1.0,1.0,14.0,14.0,-1.0,0.0,1.0,3.0,0.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,1,-1,1,-1.0,1,1,1,1,1,1,1.0,0.0,1.0,-1.0,-1.0,0.0,-1,1,1.0,1,-393.076813482,393.076813482,393.076813482,-393.076813482,-393.076813482,393.076813482,-393.076813482,393.076813482,-0.0,393.076813482,393.076813482,393.076813482,-393.076813482,-393.076813482,-393.076813482,-393.076813482,393.076813482,393.076813482,-393.076813482,-393.076813482,-393.076813482,-393.076813482,-393.076813482,-393.076813482,-393.076813482,-393.076813482,-393.076813482,-393.076813482,-0.0,-393.076813482,393.076813482,393.076813482,-0.0,393.076813482
C,@CZ6,351.0,7.3875,-0.0181818181818,-1.0,-1.0,-1.0,-1.0,1.0,14.0,2016-09-29,369.375,6.0,1.0,1.0,17550.0,1.0,-0.0181818181818,351.0,grain,1.0,1.0,2016-09-29,1.0,1.0,15.0,15.0,1.0,-1.0,1.0,6.0,-1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,0,-1,-1,1,1,1,-1,-1,1.0,-1,1,-1,-1,1,1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,0,0.0,-1,-1914.54545455,1914.54545455,-1914.54545455,1914.54545455,-1914.54545455,1914.54545455,-1914.54545455,1914.54545455,1914.54545455,1914.54545455,1914.54545455,1914.54545455,-1914.54545455,-1914.54545455,-1914.54545455,-1914.54545455,1914.54545455,-1914.54545455,1914.54545455,-1914.54545455,1914.54545455,1914.54545455,-0.0,-0.0,1914.54545455,-1914.54545455,-1914.54545455,1914.54545455,1914.54545455,-0.0,1914.54545455,-0.0,-1914.54545455,1914.54545455
CC,@CCH7,2630.0,60.9787633425,-0.00256975036589,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,2016-10-05,609.787633425,4.0,1.0,1.0,26300.0,1.0,-0.00256975036589,2630.0,soft,1.0,1.0,2016-10-05,-1.0,-1.0,11.0,11.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,0,-1,-1,1,1,1,1,-1,-1.0,1,1,-1,1,1,1,1.0,0.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,-270.337738491,270.337738491,-270.337738491,270.337738491,-270.337738491,270.337738491,-270.337738491,270.337738491,-0.0,270.337738491,270.337738491,270.337738491,-270.337738491,-270.337738491,-270.337738491,270.337738491,-270.337738491,270.337738491,-270.337738491,-270.337738491,270.337738491,-270.337738491,-270.337738491,-270.337738491,-270.337738491,-270.337738491,-270.337738491,-270.337738491,-0.0,-270.337738491,270.337738491,-270.337738491,-270.337738491,-270.337738491
CD,@CDZ6,0.7565,0.0062625,-0.00715270030842,-1.0,-1.0,-1.0,-1.0,-1.0,-31.0,2016-09-06,626.25,4.0,1.0,1.0,75650.0,1.0,-0.00715270030842,0.7565,currency,1.0,1.0,2016-09-06,-1.0,-1.0,-32.0,-32.0,-1.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,0,-1,-1,1,1,1,1,1,1.0,-1,-1,-1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,0,-1.0,0,-2164.40711333,2164.40711333,2164.40711333,-2164.40711333,-2164.40711333,2164.40711333,-2164.40711333,2164.40711333,-2164.40711333,2164.40711333,2164.40711333,2164.40711333,-2164.40711333,-2164.40711333,-2164.40711333,2164.40711333,-2164.40711333,-2164.40711333,2164.40711333,2164.40711333,2164.40711333,-2164.40711333,-0.0,2164.40711333,-0.0,-2164.40711333,-2164.40711333,-2164.40711333,-2164.40711333,-2164.40711333,-2164.40711333,-0.0,-0.0,-2164.40711333
CGB,CBZ6,145.12,0.622,0.00255613126079,1.0,-1.0,1.0,-1.0,-1.0,24.0,2016-09-29,470.143613001,5.0,1.0,1.0,109690.098262,1.323,0.00255613126079,145.12,rates,-1.0,1.0,2016-09-29,-1.0,-1.0,25.0,25.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,-1,1,-1,-1.0,1,1,1,1,1,-1,-1.0,0.0,0.0,-1.0,0.0,0.0,1,1,1.0,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
CL,QCLZ6,50.63,1.413382822,-0.0229641065226,-1.0,1.0,-1.0,1.0,-1.0,-23.0,2016-09-16,1413.382822,2.0,1.0,1.0,50630.0,1.0,-0.0229641065226,50.63,energy,1.0,1.0,2016-09-16,-1.0,-1.0,-24.0,-24.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,1,1,-1,1.0,-1,-1,-1,-1,1,-1,1.0,0.0,0.0,1.0,1.0,1.0,-1,-1,-1.0,-1,-2325.34542648,2325.34542648,-2325.34542648,2325.34542648,-2325.34542648,2325.34542648,-2325.34542648,2325.34542648,-0.0,-2325.34542648,2325.34542648,-2325.34542648,2325.34542648,2325.34542648,-2325.34542648,2325.34542648,-2325.34542648,-2325.34542648,2325.34542648,2325.34542648,2325.34542648,2325.34542648,2325.34542648,2325.34542648,2325.34542648,-2325.34542648,2325.34542648,-2325.34542648,-0.0,-0.0,-2325.34542648,-2325.34542648,-2325.34542648,2325.34542648
CT,@CTZ6,69.8,1.495,-0.0182841068917,-1.0,-1.0,1.0,-1.0,1.0,-8.0,2016-10-07,747.5,3.0,1.0,1.0,34900.0,1.0,-0.0182841068917,69.8,soft,1.0,1.0,2016-10-07,1.0,1.0,-9.0,-9.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,-1,-1,1,-1.0,1,1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1,1,1.0,1,-1914.34599156,1914.34599156,1914.34599156,-1914.34599156,-1914.34599156,1914.34599156,-1914.34599156,1914.34599156,-1914.34599156,1914.34599156,-1914.34599156,1914.34599156,-1914.34599156,-1914.34599156,1914.34599156,-1914.34599156,1914.34599156,1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,-1914.34599156,1914.34599156,1914.34599156,1914.34599156,1914.34599156
CU,@EUZ6,1.0951,0.0068525,-0.00386592077136,-1.0,-1.0,-1.0,-1.0,-1.0,-43.0,2016-08-18,856.5625,3.0,1.0,1.0,136887.5,1.0,-0.00386592077136,1.0951,currency,1.0,1.0,2016-08-18,-1.0,-1.0,-44.0,-44.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,1,1,1,1.0,-1,-1,-1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,0,-1.0,0,-1587.58868877,1587.58868877,1587.58868877,-1587.58868877,-1587.58868877,1587.58868877,-1587.58868877,1587.58868877,-1587.58868877,1587.58868877,1587.58868877,1587.58868877,-1587.58868877,-1587.58868877,-1587.58868877,1587.58868877,-1587.58868877,-1587.58868877,1587.58868877,1587.58868877,1587.58868877,-1587.58868877,-0.0,1587.58868877,-0.0,-1587.58868877,-1587.58868877,-1587.58868877,-1587.58868877,-1587.58868877,-1587.58868877,-0.0,-0.0,-1587.58868877
