2016-09-21 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-21 00:00:00,Close2016-09-21 00:00:00,group,RiskOn,Excess,SEA2016-09-21 00:00:00,SRUN2016-09-21 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-20 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-20 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-20 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-20 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ6,71.62,1.46,0.011581920904,1.0,1.0,1.0,1.0,-1.0,7.0,2016-09-12,730.0,3.0,1.0,1.0,35810.0,0.011581920904,71.62,soft,1.0,1.0,-1.0,7.0,1.0,-1.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,1,1,1,1.0,1.0,1,-1,0.0,-1,-1,0,1244.24576271,1244.24576271,1244.24576271,-1244.24576271,1244.24576271,-1244.24576271,1244.24576271,-1244.24576271,1244.24576271,1244.24576271,1244.24576271,1244.24576271,-1244.24576271,-1244.24576271,-1244.24576271,1244.24576271,-1244.24576271,1244.24576271,-1244.24576271,1244.24576271,-1244.24576271,0.0,1244.24576271,1244.24576271,1244.24576271,1244.24576271,1244.24576271,1244.24576271,1244.24576271,-1244.24576271,0.0,-1244.24576271,-1244.24576271
CU,@EUZ6,1.12175,0.0072645015,0.00169665580212,1.0,-1.0,-1.0,-1.0,1.0,-23.0,2016-08-18,908.0626875,3.0,1.0,1.0,140218.75,0.00169665580212,1.12175,currency,1.0,1.0,1.0,-23.0,-1.0,1.0,-22.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,-1,1,0.0,0.0,1,1,-1.0,0,-1,1,713.708867259,713.708867259,-713.708867259,713.708867259,713.708867259,-713.708867259,713.708867259,-713.708867259,713.708867259,-713.708867259,-713.708867259,-713.708867259,713.708867259,713.708867259,713.708867259,-713.708867259,-713.708867259,713.708867259,713.708867259,713.708867259,713.708867259,713.708867259,713.708867259,-713.708867259,-713.708867259,713.708867259,0.0,0.0,713.708867259,713.708867259,-713.708867259,0.0,-713.708867259
DX,@DXZ6,95.665,0.6174360635,-0.00324039343169,-1.0,1.0,1.0,1.0,-1.0,-24.0,2016-08-18,617.4360635,4.0,1.0,1.0,95665.0,-0.00324039343169,95.665,currency,-1.0,-1.0,-1.0,-24.0,1.0,-1.0,-23.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,1,1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1,-1,0.0,0.0,-1,-1,1.0,0,1,-1,-1239.96895057,1239.96895057,-1239.96895057,1239.96895057,1239.96895057,-1239.96895057,1239.96895057,-1239.96895057,1239.96895057,-1239.96895057,-1239.96895057,-1239.96895057,1239.96895057,1239.96895057,1239.96895057,-1239.96895057,-1239.96895057,1239.96895057,1239.96895057,1239.96895057,1239.96895057,1239.96895057,1239.96895057,-1239.96895057,-1239.96895057,1239.96895057,-0.0,-0.0,1239.96895057,1239.96895057,-1239.96895057,-0.0,-1239.96895057
EBL,BDZ6,163.84,0.734706504,-0.0020708977951,-1.0,-1.0,-1.0,-1.0,1.0,-10.0,2016-09-07,822.210048626,3.0,1.0,1.0,183353.344,-0.0020708977951,163.84,rates,-1.0,1.0,1.0,-10.0,1.0,1.0,-9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,1,-1,1.0,1,1,-1,-1139.11810744,1139.11810744,-1139.11810744,1139.11810744,1139.11810744,-1139.11810744,-1139.11810744,1139.11810744,1139.11810744,1139.11810744,1139.11810744,1139.11810744,-1139.11810744,-1139.11810744,-1139.11810744,1139.11810744,1139.11810744,-1139.11810744,-1139.11810744,1139.11810744,1139.11810744,1139.11810744,-1139.11810744,1139.11810744,1139.11810744,1139.11810744,1139.11810744,1139.11810744,-1139.11810744,1139.11810744,-1139.11810744,-1139.11810744,-1139.11810744
EBM,BLZ6,131.63,0.2060101,-0.000607395034546,-1.0,-1.0,-1.0,-1.0,1.0,-3.0,2016-09-07,230.54590291,9.0,2.0,2.0,147307.133,-0.000607395034546,131.63,rates,-1.0,1.0,1.0,-3.0,1.0,1.0,-2.0,-1.0,1.0,9.0,-1.0,1.0,9.0,-1.0,1.0,9.0,-1.0,1.0,9.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,1,-1,1.0,1,1,-1,-805.262590236,805.262590236,-805.262590236,805.262590236,805.262590236,-805.262590236,-805.262590236,805.262590236,805.262590236,805.262590236,805.262590236,805.262590236,-805.262590236,-805.262590236,-805.262590236,805.262590236,805.262590236,-805.262590236,-805.262590236,805.262590236,805.262590236,805.262590236,-805.262590236,805.262590236,805.262590236,805.262590236,805.262590236,805.262590236,-805.262590236,805.262590236,-805.262590236,-805.262590236,-805.262590236
EBS,EZZ6,112.06,0.04049951,-0.000133838947134,-1.0,1.0,-1.0,1.0,1.0,-10.0,2016-09-07,45.323001641,45.0,6.0,6.0,125406.346,-0.000133838947134,112.06,rates,-1.0,1.0,1.0,-10.0,1.0,-1.0,-9.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.0,-1,-1,1.0,0,1,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
ED,@EDZ6,99.055,0.032,5.04795557801e-05,1.0,-1.0,-1.0,-1.0,-1.0,-26.0,2016-08-15,80.0,26.0,4.0,4.0,247637.5,5.04795557801e-05,99.055,rates,-1.0,1.0,-1.0,-26.0,-1.0,-1.0,-25.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,1,1,1,1.0,-1,-1,-1,1,-1,1,-1,-1,1.0,0.0,-1,1,1.0,1,1,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
EMD,@EMDZ6,1541.4,19.8214929805,0.0129460471841,1.0,-1.0,1.0,-1.0,-1.0,3.0,2016-09-07,1982.14929805,2.0,1.0,1.0,154140.0,0.0129460471841,1541.4,index,1.0,1.0,-1.0,3.0,-1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1.0,1.0,1,1,0.0,0,1,1,3991.00742591,3991.00742591,-3991.00742591,3991.00742591,3991.00742591,-3991.00742591,3991.00742591,-3991.00742591,3991.00742591,-3991.00742591,3991.00742591,-3991.00742591,3991.00742591,3991.00742591,-3991.00742591,3991.00742591,-3991.00742591,3991.00742591,-3991.00742591,3991.00742591,3991.00742591,3991.00742591,3991.00742591,3991.00742591,3991.00742591,3991.00742591,3991.00742591,3991.00742591,3991.00742591,3991.00742591,0.0,0.0,3991.00742591
ES,@ESZ6,2156.25,22.827900764,0.0118488972313,1.0,-1.0,-1.0,-1.0,-1.0,3.0,2016-09-08,1141.3950382,2.0,1.0,1.0,107812.5,0.0118488972313,2156.25,index,1.0,1.0,-1.0,3.0,-1.0,-1.0,-8.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,-1,1,-1,1,1,1,1.0,1.0,-1,1,0.0,0,1,0,2554.91846551,2554.91846551,-2554.91846551,2554.91846551,2554.91846551,-2554.91846551,2554.91846551,-2554.91846551,2554.91846551,-2554.91846551,-2554.91846551,-2554.91846551,2554.91846551,2554.91846551,-2554.91846551,2554.91846551,2554.91846551,-2554.91846551,-2554.91846551,-2554.91846551,2554.91846551,0.0,-2554.91846551,2554.91846551,2554.91846551,2554.91846551,2554.91846551,2554.91846551,-2554.91846551,2554.91846551,0.0,0.0,2554.91846551
FC,@GFV6,132.225,3.23125,0.00838894184938,1.0,1.0,1.0,1.0,-1.0,-8.0,2016-09-09,1615.625,2.0,1.0,1.0,66112.5,0.00838894184938,132.225,meat,1.0,-1.0,-1.0,-8.0,-1.0,-1.0,-7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,-1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,-1,1,-1.0,-1,-1,1,1109.22783603,1109.22783603,-1109.22783603,1109.22783603,1109.22783603,-1109.22783603,-1109.22783603,1109.22783603,1109.22783603,1109.22783603,1109.22783603,1109.22783603,-1109.22783603,-1109.22783603,-1109.22783603,1109.22783603,1109.22783603,-1109.22783603,-1109.22783603,1109.22783603,1109.22783603,1109.22783603,-1109.22783603,1109.22783603,1109.22783603,1109.22783603,1109.22783603,1109.22783603,-1109.22783603,1109.22783603,-1109.22783603,-1109.22783603,-1109.22783603
