2016-08-17 00:00:00,Contract,LastClose,ATR20,PC2016-08-17 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-17 00:00:00,RiskOn,group,SEA2016-08-17 00:00:00,SRUN2016-08-17 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-16 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-16 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-16 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-16 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACU6,1.434,0.0246,-0.0076124567474,-1.0,1.0,-1.0,1.0,1.0,-11.0,2016-08-02,713.4,3.0,1.0,1.0,41586.0,1.434,1.0,energy,1.0,-11.0,1.0,1.0,-10.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
AD,@ADU6,0.7644,0.007765,-0.00662768031189,-1.0,1.0,1.0,1.0,-1.0,-24.0,2016-07-14,776.5,3.0,1.0,1.0,76440.0,0.7644,1.0,currency,-1.0,-24.0,1.0,-1.0,-23.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,1,1,1,1,-1,1,-1,-1519.85964912,1519.85964912,-1519.85964912,1519.85964912,-1519.85964912,1519.85964912,-1519.85964912,-1519.85964912,-1519.85964912,-1519.85964912,1519.85964912,1519.85964912,1519.85964912,-1519.85964912,-1519.85964912,1519.85964912,-1519.85964912,-1519.85964912,-1519.85964912,-1519.85964912,1519.85964912,-1519.85964912
AEX,AEXU6,446.75,4.9650088695,-0.00843413605593,-1.0,1.0,1.0,1.0,-1.0,-29.0,2016-07-07,1120.8011022,2.0,1.0,1.0,100849.345,446.75,1.0,index,-1.0,-29.0,-1.0,-1.0,-28.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,-1701.15419376,1701.15419376,1701.15419376,-1701.15419376,-1701.15419376,1701.15419376,-1701.15419376,-1701.15419376,-1701.15419376,-1701.15419376,1701.15419376,1701.15419376,1701.15419376,-1701.15419376,-1701.15419376,1701.15419376,-1701.15419376,-1701.15419376,-1701.15419376,-1701.15419376,1701.15419376,-1701.15419376
BO,@BOZ6,34.44,0.7435,0.0183323477232,1.0,1.0,-1.0,1.0,1.0,-11.0,2016-08-02,446.1,5.0,2.0,1.0,20664.0,34.44,1.0,grain,1.0,-11.0,1.0,-1.0,-10.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,1894.09816677,1894.09816677,1894.09816677,-1894.09816677,1894.09816677,-1894.09816677,1894.09816677,1894.09816677,-1894.09816677,1894.09816677,-1894.09816677,-1894.09816677,-1894.09816677,1894.09816677,1894.09816677,-1894.09816677,1894.09816677,-1894.09816677,1894.09816677,1894.09816677,-1894.09816677,-1894.09816677
BP,@BPU6,1.305,0.01266,0.000536686345166,1.0,1.0,-1.0,1.0,-1.0,11.0,2016-08-02,791.25,3.0,1.0,1.0,81562.5,1.305,1.0,currency,-1.0,11.0,1.0,-1.0,10.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,131.320440083,131.320440083,131.320440083,-131.320440083,131.320440083,-131.320440083,131.320440083,131.320440083,-131.320440083,131.320440083,-131.320440083,-131.320440083,-131.320440083,131.320440083,-131.320440083,131.320440083,131.320440083,-131.320440083,131.320440083,131.320440083,131.320440083,-131.320440083
C,@CZ6,339.75,6.3,0.00741289844329,1.0,-1.0,1.0,-1.0,1.0,-14.0,2016-07-28,315.0,7.0,2.0,1.0,16987.5,339.75,1.0,grain,1.0,-14.0,1.0,1.0,-13.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,2.0,7.0,-1.0,2.0,7.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,881.486286138,881.486286138,881.486286138,-881.486286138,881.486286138,-881.486286138,-881.486286138,-881.486286138,881.486286138,-881.486286138,881.486286138,881.486286138,881.486286138,-881.486286138,-881.486286138,881.486286138,-881.486286138,-881.486286138,-881.486286138,-881.486286138,881.486286138,-881.486286138
CC,@CCZ6,3079.0,59.2045034645,0.00653808434129,1.0,1.0,-1.0,1.0,1.0,-13.0,2016-07-29,592.045034645,4.0,1.0,1.0,30790.0,3079.0,1.0,soft,1.0,-13.0,1.0,1.0,-12.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,805.230467473,805.230467473,805.230467473,-805.230467473,805.230467473,-805.230467473,-805.230467473,805.230467473,-805.230467473,805.230467473,-805.230467473,-805.230467473,805.230467473,-805.230467473,-805.230467473,805.230467473,805.230467473,-805.230467473,-805.230467473,-805.230467473,805.230467473,-805.230467473
CD,@CDU6,0.77845,0.006285,-0.000385232744783,-1.0,1.0,-1.0,1.0,1.0,-17.0,2016-07-25,628.5,4.0,1.0,1.0,77845.0,0.77845,1.0,currency,1.0,-17.0,1.0,1.0,-16.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-119.953772071,119.953772071,-119.953772071,119.953772071,-119.953772071,119.953772071,119.953772071,-119.953772071,119.953772071,-119.953772071,119.953772071,119.953772071,-119.953772071,119.953772071,119.953772071,-119.953772071,-119.953772071,119.953772071,119.953772071,119.953772071,-119.953772071,119.953772071
CGB,CBU6,147.91,0.6525,0.000608848599648,1.0,-1.0,1.0,-1.0,1.0,-27.0,2016-07-08,507.584597433,4.0,1.0,1.0,115060.287826,147.91,-1.0,rates,1.0,-27.0,-1.0,1.0,-26.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
CL,QCLV6,47.52,1.4560215795,0.00635324015248,1.0,1.0,-1.0,1.0,-1.0,-11.0,2016-08-02,1456.0215795,2.0,1.0,1.0,47520.0,47.52,1.0,energy,-1.0,-11.0,1.0,-1.0,-10.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,603.811944092,603.811944092,603.811944092,-603.811944092,603.811944092,-603.811944092,603.811944092,603.811944092,-603.811944092,603.811944092,-603.811944092,-603.811944092,-603.811944092,603.811944092,603.811944092,-603.811944092,603.811944092,-603.811944092,603.811944092,603.811944092,-603.811944092,-603.811944092
CT,@CTZ6,68.81,1.802,0.0030612244898,1.0,-1.0,1.0,-1.0,1.0,8.0,2016-08-05,901.0,3.0,1.0,1.0,34405.0,68.81,1.0,soft,1.0,8.0,-1.0,1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,315.964285714,315.964285714,-315.964285714,315.964285714,315.964285714,-315.964285714,-315.964285714,-315.964285714,315.964285714,-315.964285714,315.964285714,315.964285714,315.964285714,-315.964285714,315.964285714,-315.964285714,-315.964285714,315.964285714,-315.964285714,-315.964285714,-315.964285714,315.964285714
