rowname,c2timestamp,c2price,csitimestamp,csiPrice,slippage,abs_slippage,Type,timedelta,delta
2016-10-05 23:24:07 ctwo:16950.0 csi:16950.0 @NKDZ6,2016-10-05 23:24:07,16950.0,2016-10-05 20:00:00,16950.0,0.0,0.0,Close,0 days 03:24:07.000000000,0.141747685185
2016-10-05 23:24:12 ctwo:109.07031 csi:109.0546875 @TUZ6,2016-10-05 23:24:12,109.07031,2016-10-05 20:00:00,109.0546875,0.000143253814743,0.000143253814743,Open,0 days 03:24:12.000000000,0.141805555556
2016-10-05 23:24:10 ctwo:152.03 csi:152.06 BBZ6,2016-10-05 23:24:10,152.03,2016-10-05 20:00:00,152.06,-0.000197290543207,0.000197290543207,Close,0 days 03:24:10.000000000,0.141782407407
2016-10-05 23:24:14 ctwo:98.42 csi:98.44 HTSZ6,2016-10-05 23:24:14,98.42,2016-10-05 20:00:00,98.44,-0.000203169443316,0.000203169443316,Close,0 days 03:24:14.000000000,0.141828703704
2016-10-05 23:24:12 ctwo:109.078125 csi:109.0546875 @TUZ6,2016-10-05 23:24:12,109.078125,2016-10-05 20:00:00,109.0546875,0.000214915108532,0.000214915108532,Close,0 days 03:24:12.000000000,0.141805555556
2016-10-06 02:01:54 ctwo:131.83 csi:131.79 BLZ6,2016-10-06 02:01:54,131.83,2016-10-05 20:00:00,131.79,0.000303513164884,0.000303513164884,Close,0 days 06:01:54.000000000,0.251319444444
2016-10-05 23:24:15 ctwo:97.88 csi:97.91 HXSZ6,2016-10-05 23:24:15,97.88,2016-10-05 20:00:00,97.91,-0.000306403840261,0.000306403840261,Open,0 days 03:24:15.000000000,0.141840277778
2016-10-05 23:24:14 ctwo:97.88 csi:97.91 HXSZ6,2016-10-05 23:24:14,97.88,2016-10-05 20:00:00,97.91,-0.000306403840261,0.000306403840261,Close,0 days 03:24:14.000000000,0.141828703704
2016-10-05 23:24:07 ctwo:4872.0 csi:4873.5 @NQZ6,2016-10-05 23:24:07,4872.0,2016-10-05 20:00:00,4873.5,-0.000307787011388,0.000307787011388,Close,0 days 03:24:07.000000000,0.141747685185
2016-10-05 23:23:56 ctwo:96.15 csi:96.114 @DXZ6,2016-10-05 23:23:56,96.15,2016-10-05 20:00:00,96.114,0.000374555215682,0.000374555215682,Close,0 days 03:23:56.000000000,0.14162037037
2016-10-05 23:24:00 ctwo:121.015625 csi:120.96875 @FVZ6,2016-10-05 23:24:00,121.015625,2016-10-05 20:00:00,120.96875,0.00038749677086,0.00038749677086,Close,0 days 03:24:00.000000000,0.141666666667
