,Contract,LastClose,ATR20,PC2016-07-06 00:00:00,ACT,usdATR,QTY,Close2016-07-06 00:00:00,PC2016-07-05 00:00:00,Close2016-07-05 00:00:00,vSTART,LastSEA,SEA2016-07-06 00:00:00,LastSRUN,SRUN2016-07-06 00:00:00,SEA2016-07-05 00:00:00,SRUN2016-07-05 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-05 00:00:00,SIG2016-07-04 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-05 00:00:00,0.5SIG2016-07-04 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-05,0.75SIG2016-07-04,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-05 00:00:00,1SIG2016-07-04 00:00:00
AC,@ACQ6,1.569,0.038933122,-0.0113421550095,-1.0,1129.060538,2.0,1.569,,,2016-06-21,1.0,1.0,-10.0,-10.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,-1.0,2.0,0.0,-1.0,,-1.0,2.0,0.0,-1.0,
AD,@ADU6,0.7499,0.010110943,0.00793010752688,1.0,1011.0943,2.0,0.7499,,,2016-06-27,1.0,1.0,-6.0,-6.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,
AEX,AEXN6,422.1,12.2783540565,-0.0191704426629,-1.0,2723.01969253,1.0,422.1,,,2016-06-27,-1.0,-1.0,-3.0,-3.0,,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
BO,@BOZ6,30.79,0.7007982775,-0.0169220945083,-1.0,420.4789665,5.0,30.79,,,2016-06-20,-1.0,-1.0,11.0,11.0,,,1.0,1.0,5.0,1.0,,1.0,1.0,5.0,1.0,,-1.0,2.0,5.0,-1.0,,-1.0,2.0,5.0,-1.0,
BP,@BPU6,1.2935,0.029830959,-0.00782388586331,-1.0,1864.4349375,2.0,1.2935,,,2016-06-29,1.0,1.0,4.0,4.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
C,@CU6,341.5,13.486554983,-0.0263720598717,-1.0,674.32774915,3.0,341.5,,,2016-06-20,-1.0,-1.0,11.0,11.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
CC,@CCU6,3080.0,58.65,0.00489396411093,1.0,586.5,4.0,3080.0,,,2016-06-23,1.0,1.0,-1.0,-1.0,,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,
CD,@CDU6,0.7719,0.0076100845,0.00233735878457,1.0,761.00845,3.0,0.7719,,,2016-06-27,-1.0,-1.0,6.0,6.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
CGB,CBU6,148.79,0.832,-0.000201585808359,-1.0,640.689973818,4.0,148.79,,,2016-06-23,1.0,1.0,8.0,8.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,1.0,2.0,0.0,1.0,
CL,QCLQ6,47.43,1.79536822,0.0178111587983,1.0,1795.36822,2.0,47.43,,,2016-06-29,1.0,1.0,4.0,4.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
CT,@CTZ6,65.3,1.395,0.00138015641773,1.0,697.5,3.0,65.3,,,2016-06-28,-1.0,-1.0,5.0,5.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
