2016-09-06 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-06 00:00:00,Close2016-09-06 00:00:00,group,RiskOn,Excess,SEA2016-09-06 00:00:00,SRUN2016-09-06 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-05 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-02 00:00:00,0.5SIG2016-09-05 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-02 00:00:00,0.75SIG2016-09-05 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-02 00:00:00,1SIG2016-09-05 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
AC,@ACV6,1.44,0.023563586,-0.00414937759336,-1.0,-1.0,-1.0,1.0,-1.0,6.0,2016-08-26,683.343994,3.0,1.0,1.0,41760.0,-0.00414937759336,1.44,energy,1.0,1.0,-1.0,6.0,1.0,-1.0,5.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,1.0,,-1,-1,-1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1,0.0,0,-1.0,1,1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
AD,@ADU6,0.768,0.006945,0.0153358011634,1.0,1.0,1.0,1.0,1.0,-37.0,2016-07-14,694.5,3.0,1.0,1.0,76800.0,0.0153358011634,0.768,currency,1.0,1.0,1.0,-37.0,1.0,1.0,-36.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,-1,1,-1,-1,1,-1,-1,1,0.0,-1,0.0,-1,1,3533.36858805,3533.36858805,3533.36858805,-3533.36858805,3533.36858805,-3533.36858805,3533.36858805,-3533.36858805,3533.36858805,3533.36858805,3533.36858805,3533.36858805,-3533.36858805,-3533.36858805,3533.36858805,-3533.36858805,-3533.36858805,3533.36858805,-3533.36858805,3533.36858805,-3533.36858805,-3533.36858805,3533.36858805,-3533.36858805,-3533.36858805,3533.36858805,0.0,-3533.36858805,0.0,-3533.36858805,3533.36858805
AEX,AEXU6,461.0,5.026815486,-0.00657256761125,-1.0,1.0,1.0,-1.0,-1.0,7.0,2016-08-26,1131.73723852,2.0,1.0,1.0,103789.54,-0.00657256761125,461.0,index,1.0,1.0,-1.0,7.0,1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,,1.0,2.0,2.0,,-1.0,-1,-1,1,-1,1,-1,1.0,-1,1,-1,-1,-1,1,1,-1,1,1.0,0,0.0,-1,-1,-1364.32753798,1364.32753798,-1364.32753798,1364.32753798,-1364.32753798,1364.32753798,-1364.32753798,1364.32753798,-1364.32753798,-1364.32753798,-1364.32753798,1364.32753798,-1364.32753798,1364.32753798,1364.32753798,-1364.32753798,-1364.32753798,1364.32753798,-1364.32753798,1364.32753798,1364.32753798,1364.32753798,-1364.32753798,-1364.32753798,1364.32753798,-1364.32753798,-1364.32753798,-0.0,-0.0,1364.32753798,1364.32753798
BO,@BOZ6,33.13,0.7195,0.00272397094431,1.0,-1.0,-1.0,-1.0,1.0,-11.0,2016-08-19,431.7,5.0,1.0,1.0,19878.0,0.00272397094431,33.13,grain,1.0,1.0,1.0,-11.0,1.0,1.0,-10.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,,1.0,5.0,-1.0,,1.0,5.0,-1.0,,-1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,1,1,270.735472155,270.735472155,270.735472155,-270.735472155,270.735472155,-270.735472155,270.735472155,-270.735472155,-270.735472155,-270.735472155,-270.735472155,-270.735472155,270.735472155,270.735472155,270.735472155,-270.735472155,-270.735472155,270.735472155,270.735472155,-270.735472155,-270.735472155,-270.735472155,270.735472155,-270.735472155,-270.735472155,-270.735472155,-270.735472155,-270.735472155,-270.735472155,270.735472155,270.735472155
BP,@BPU6,1.344,0.0113,0.0106782974883,1.0,-1.0,1.0,-1.0,1.0,-15.0,2016-08-15,706.25,3.0,1.0,1.0,84000.0,0.0106782974883,1.344,currency,1.0,1.0,1.0,-15.0,1.0,1.0,-14.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,3.0,-1.0,,1.0,3.0,-1.0,,-1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,1,0.0,-1,0.0,1,1,2690.93096706,2690.93096706,2690.93096706,-2690.93096706,2690.93096706,-2690.93096706,2690.93096706,-2690.93096706,2690.93096706,-2690.93096706,2690.93096706,-2690.93096706,2690.93096706,2690.93096706,2690.93096706,-2690.93096706,-2690.93096706,2690.93096706,2690.93096706,2690.93096706,-2690.93096706,2690.93096706,2690.93096706,-2690.93096706,-2690.93096706,2690.93096706,0.0,-2690.93096706,0.0,2690.93096706,2690.93096706
C,@CZ6,328.5,6.0,0.0,1.0,1.0,-1.0,1.0,-1.0,-27.0,2016-07-28,300.0,7.0,1.0,1.0,16425.0,0.0,328.5,grain,1.0,1.0,-1.0,-27.0,1.0,-1.0,-26.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,,2.0,7.0,1.0,,2.0,7.0,1.0,,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,0.0,0,-1.0,-1,1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
CC,@CCZ6,2923.0,58.1,0.00793103448276,1.0,1.0,1.0,1.0,-1.0,6.0,2016-08-26,581.0,4.0,1.0,1.0,29230.0,0.00793103448276,2923.0,soft,1.0,1.0,-1.0,6.0,1.0,-1.0,-11.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,-1,-1,-1,1,-1,1,1.0,0,0.0,-1,1,927.296551724,927.296551724,927.296551724,-927.296551724,927.296551724,-927.296551724,927.296551724,-927.296551724,927.296551724,927.296551724,927.296551724,927.296551724,-927.296551724,-927.296551724,-927.296551724,927.296551724,927.296551724,-927.296551724,927.296551724,-927.296551724,-927.296551724,-927.296551724,-927.296551724,927.296551724,-927.296551724,927.296551724,927.296551724,0.0,0.0,-927.296551724,927.296551724
CD,@CDU6,0.77905,0.0057,0.0123448768761,1.0,1.0,-1.0,1.0,1.0,3.0,2016-08-18,570.0,4.0,1.0,1.0,77905.0,0.0123448768761,0.77905,currency,1.0,1.0,1.0,3.0,1.0,1.0,-29.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,1,3846.91053213,3846.91053213,3846.91053213,-3846.91053213,3846.91053213,-3846.91053213,3846.91053213,-3846.91053213,-3846.91053213,3846.91053213,-3846.91053213,3846.91053213,-3846.91053213,-3846.91053213,3846.91053213,-3846.91053213,-3846.91053213,3846.91053213,-3846.91053213,-3846.91053213,-3846.91053213,-3846.91053213,3846.91053213,-3846.91053213,-3846.91053213,-3846.91053213,-3846.91053213,-3846.91053213,-3846.91053213,-3846.91053213,3846.91053213
CGB,CBZ6,146.45,0.6041240405,0.00260149243513,1.0,1.0,1.0,1.0,-1.0,-40.0,2016-07-08,470.464948602,5.0,1.0,1.0,114048.750097,0.00260149243513,146.45,rates,-1.0,1.0,-1.0,-40.0,-1.0,-1.0,-39.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,1,-1,-1,-1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1.0,1,1.0,-1,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
CL,QCLV6,44.83,1.5551679035,0.00877587758776,1.0,1.0,1.0,1.0,-1.0,11.0,2016-08-19,1555.1679035,2.0,1.0,1.0,44830.0,0.00877587758776,44.83,energy,1.0,1.0,-1.0,11.0,1.0,-1.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,1,-1,-1.0,1,1,1,-1,1,1,1,-1,1,1.0,0,0.0,-1,1,786.845184518,786.845184518,786.845184518,-786.845184518,786.845184518,-786.845184518,786.845184518,-786.845184518,786.845184518,786.845184518,786.845184518,786.845184518,-786.845184518,-786.845184518,-786.845184518,786.845184518,-786.845184518,786.845184518,786.845184518,786.845184518,-786.845184518,786.845184518,786.845184518,786.845184518,-786.845184518,786.845184518,786.845184518,0.0,0.0,-786.845184518,786.845184518
