2016-10-18 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-10-18 00:00:00,Close2016-10-18 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-18 00:00:00,LastSRUN,SRUN2016-10-18 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-17 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-17 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-17 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-17 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.529,0.0216,0.00393959290873,1.0,1.0,1.0,-1.0,1.0,16.0,2016-09-23,626.4,4.0,1.0,1.0,44341.0,1.0,0.00393959290873,1.529,energy,1.0,1.0,2016-09-23,1.0,1.0,17.0,17.0,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,-1.0,0,-1,-1,1,-1,-1,1,1.0,-1,1,1,-1,-1,1,1.0,1.0,0.0,1.0,-1.0,-1,-1,1,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
AD,@ADZ6,0.7654,0.0062,0.00512147078135,1.0,1.0,1.0,-1.0,-1.0,24.0,2016-09-13,620.0,4.0,1.0,1.0,76540.0,1.0,0.00512147078135,0.7654,currency,1.0,-1.0,2016-09-13,-1.0,-1.0,25.0,25.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,0,-1,1,1,-1,1,-1,-1.0,1,1,1,-1,1,-1,0.0,1.0,0.0,-1.0,0.0,-1,-1,0,0,0,1567.98949442,1567.98949442,1567.98949442,-1567.98949442,1567.98949442,-1567.98949442,-1567.98949442,1567.98949442,0.0,1567.98949442,1567.98949442,-1567.98949442,1567.98949442,-1567.98949442,-1567.98949442,1567.98949442,-1567.98949442,1567.98949442,1567.98949442,1567.98949442,-1567.98949442,0.0,0.0,0.0,1567.98949442,-1567.98949442,0.0,1567.98949442,0.0,-1567.98949442,0.0,-1567.98949442,-1567.98949442
AEX,AEXX6,451.25,6.460948636,0.0114955357175,1.0,1.0,1.0,1.0,1.0,16.0,2016-09-23,1418.69510149,2.0,1.0,1.0,99085.475,0.910829765917,0.0114955357175,451.25,index,1.0,-1.0,2016-09-23,1.0,1.0,17.0,17.0,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,-1,1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,1,0.0,1.0,0.0,0.0,-1.0,-1,-1,0,-1,-1,2278.08123389,2278.08123389,-2278.08123389,2278.08123389,2278.08123389,-2278.08123389,-2278.08123389,2278.08123389,0.0,2278.08123389,2278.08123389,2278.08123389,-2278.08123389,-2278.08123389,2278.08123389,-2278.08123389,2278.08123389,-2278.08123389,-2278.08123389,2278.08123389,-2278.08123389,0.0,-2278.08123389,-2278.08123389,-2278.08123389,2278.08123389,0.0,2278.08123389,0.0,0.0,-2278.08123389,-2278.08123389,-2278.08123389
BO,@BOZ6,35.07,0.697,-0.0104401805869,-1.0,1.0,-1.0,1.0,1.0,8.0,2016-10-05,418.2,5.0,1.0,1.0,21042.0,1.0,-0.0104401805869,35.07,grain,1.0,1.0,2016-10-05,1.0,1.0,9.0,9.0,1.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0.0,0.0,1,-1,-1,0,-1,-1098.41139955,1098.41139955,-1098.41139955,1098.41139955,-1098.41139955,1098.41139955,-1098.41139955,1098.41139955,1098.41139955,-1098.41139955,1098.41139955,-1098.41139955,1098.41139955,1098.41139955,-1098.41139955,1098.41139955,-1098.41139955,1098.41139955,-1098.41139955,1098.41139955,1098.41139955,1098.41139955,-0.0,1098.41139955,1098.41139955,1098.41139955,1098.41139955,1098.41139955,1098.41139955,-0.0,-0.0,-1098.41139955,1098.41139955
BP,@BPZ6,1.2305,0.01443,0.00819336337567,1.0,-1.0,1.0,-1.0,1.0,-29.0,2016-09-06,901.875,3.0,1.0,1.0,76906.25,1.0,0.00819336337567,1.2305,currency,1.0,-1.0,2016-09-06,1.0,1.0,-30.0,-30.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1,-1,1,1,0,1890.36255633,1890.36255633,1890.36255633,-1890.36255633,1890.36255633,-1890.36255633,-1890.36255633,1890.36255633,1890.36255633,-1890.36255633,1890.36255633,-1890.36255633,1890.36255633,1890.36255633,1890.36255633,-1890.36255633,-1890.36255633,1890.36255633,1890.36255633,1890.36255633,-1890.36255633,1890.36255633,1890.36255633,0.0,1890.36255633,1890.36255633,-1890.36255633,0.0,0.0,-1890.36255633,0.0,1890.36255633,-1890.36255633
C,@CZ6,353.75,7.1125,-0.000706214689266,-1.0,1.0,-1.0,1.0,1.0,12.0,2016-09-29,355.625,6.0,1.0,1.0,17687.5,1.0,-0.000706214689266,353.75,grain,1.0,1.0,2016-09-29,1.0,1.0,13.0,13.0,-1.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,2.0,6.0,1.0,2.0,6.0,1.0,0,-1,-1,-1,-1,-1,1,1.0,-1,-1,-1,-1,-1,1,0.0,0.0,0.0,1.0,-1.0,-1,-1,-1,-1,-1,-74.9470338983,74.9470338983,74.9470338983,-74.9470338983,-74.9470338983,74.9470338983,-74.9470338983,74.9470338983,74.9470338983,-74.9470338983,74.9470338983,-74.9470338983,74.9470338983,74.9470338983,-74.9470338983,74.9470338983,-74.9470338983,74.9470338983,74.9470338983,74.9470338983,74.9470338983,74.9470338983,74.9470338983,74.9470338983,74.9470338983,-74.9470338983,-0.0,-0.0,-0.0,-74.9470338983,74.9470338983,74.9470338983,74.9470338983
CC,@CCZ6,2698.0,66.55,0.00297397769517,1.0,-1.0,-1.0,-1.0,-1.0,8.0,2016-10-05,665.5,4.0,1.0,1.0,26980.0,1.0,0.00297397769517,2698.0,soft,1.0,-1.0,2016-10-05,-1.0,-1.0,9.0,9.0,-1.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,0,-1,1,1,1,1,1,-1.0,1,-1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,-1,1,1,0,1,320.951672862,320.951672862,-320.951672862,320.951672862,320.951672862,-320.951672862,-320.951672862,320.951672862,320.951672862,-320.951672862,-320.951672862,-320.951672862,320.951672862,320.951672862,-320.951672862,320.951672862,-320.951672862,320.951672862,-320.951672862,320.951672862,320.951672862,320.951672862,0.0,320.951672862,320.951672862,320.951672862,0.0,320.951672862,320.951672862,0.0,0.0,-320.951672862,320.951672862
CD,@CDZ6,0.76285,0.0064175,0.00124688279302,1.0,-1.0,1.0,-1.0,-1.0,-29.0,2016-09-06,641.75,4.0,1.0,1.0,76285.0,1.0,0.00124688279302,0.76285,currency,1.0,-1.0,2016-09-06,-1.0,-1.0,-30.0,-30.0,-1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,0,-1,1,1,1,1,1,1.0,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1,1,1,0,1,380.473815461,380.473815461,-380.473815461,380.473815461,380.473815461,-380.473815461,-380.473815461,380.473815461,380.473815461,-380.473815461,380.473815461,-380.473815461,380.473815461,380.473815461,-380.473815461,380.473815461,380.473815461,-380.473815461,-380.473815461,380.473815461,380.473815461,380.473815461,0.0,380.473815461,380.473815461,380.473815461,380.473815461,380.473815461,380.473815461,380.473815461,0.0,-380.473815461,380.473815461
CGB,CBZ6,144.71,0.6295,0.001938655404,1.0,-1.0,1.0,-1.0,-1.0,22.0,2016-09-29,480.057957752,5.0,1.0,1.0,110356.135133,1.3113,0.001938655404,144.71,rates,-1.0,-1.0,2016-09-29,-1.0,-1.0,23.0,23.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,1,1,1,1,-1,-1.0,1,1,1,1,1,-1,0.0,0.0,0.0,-1.0,1.0,1,1,1,1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
CL,QCLZ6,50.62,1.4409916295,0.00496327178876,1.0,1.0,-1.0,1.0,-1.0,-21.0,2016-09-16,1440.9916295,2.0,1.0,1.0,50620.0,1.0,0.00496327178876,50.62,energy,1.0,1.0,2016-09-16,-1.0,-1.0,-22.0,-22.0,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,-1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1,-1,0,-1,-1,502.481635894,502.481635894,-502.481635894,502.481635894,502.481635894,-502.481635894,502.481635894,-502.481635894,0.0,502.481635894,-502.481635894,502.481635894,-502.481635894,-502.481635894,-502.481635894,502.481635894,502.481635894,-502.481635894,-502.481635894,-502.481635894,502.481635894,0.0,-502.481635894,-502.481635894,502.481635894,502.481635894,502.481635894,502.481635894,502.481635894,502.481635894,0.0,-502.481635894,-502.481635894
