2016-07-19 00:00:00,Contract,LastClose,ATR20,PC2016-07-19 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-19 00:00:00,RiskOn,group,SEA2016-07-19 00:00:00,SRUN2016-07-19 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-18 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-18 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-18 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-18 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
CT,@CTZ6,73.27,1.721,-0.00919540229885,-1.0,1.0,1.0,1.0,1.0,-1.0,2016-07-13,-1.0,860.5,3.0,36635.0,73.27,1.0,soft,1.0,-1.0,1.0,-11.0,1.0,,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,-1,1,-1.0,1,-1,-336.873563218,1010.62068966,-1010.62068966,-1010.62068966,-1010.62068966,-1010.62068966,-1010.62068966,1010.62068966,1010.62068966,-1010.62068966,1010.62068966,-1010.62068966,-1010.62068966,1010.62068966
CU,@EUU6,1.10415,0.011125,-0.00491167988464,-1.0,1.0,-1.0,1.0,1.0,-17.0,2016-06-23,1.0,1390.625,2.0,138018.75,1.10415,1.0,currency,1.0,-17.0,1.0,-16.0,-1.0,,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1.0,-1,-1,-677.903918079,1355.80783616,1355.80783616,-1355.80783616,1355.80783616,-1355.80783616,-1355.80783616,1355.80783616,1355.80783616,1355.80783616,-1355.80783616,1355.80783616,-1355.80783616,1355.80783616
DX,@DXU6,97.108,0.77945,0.00539410065537,1.0,1.0,-1.0,1.0,-1.0,-18.0,2016-06-23,1.0,779.45,3.0,97108.0,97.108,-1.0,currency,-1.0,-18.0,-1.0,-17.0,-1.0,,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,1.0,1,1,523.810326441,1571.43097932,-1571.43097932,1571.43097932,-1571.43097932,1571.43097932,-1571.43097932,1571.43097932,1571.43097932,1571.43097932,1571.43097932,-1571.43097932,-1571.43097932,1571.43097932
EBL,BDU6,166.49,1.001,0.000781437845636,1.0,-1.0,-1.0,-1.0,1.0,-7.0,2016-07-08,1.0,1103.4023,2.0,183521.927,166.49,-1.0,rates,1.0,-7.0,1.0,-6.0,-1.0,,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,-1,-1.0,-1,1,143.410979262,286.821958524,-286.821958524,-286.821958524,-286.821958524,-286.821958524,286.821958524,-286.821958524,-286.821958524,-286.821958524,286.821958524,-286.821958524,-286.821958524,286.821958524
EBM,BLU6,133.57,0.2745,-0.000224550898204,-1.0,-1.0,-1.0,-1.0,1.0,-7.0,2016-07-08,1.0,302.58135,7.0,147234.211,133.57,-1.0,rates,1.0,-7.0,1.0,-6.0,-1.0,,7.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,-1,-1,-1.0,-1,1,-33.0615743264,231.431020284,231.431020284,231.431020284,231.431020284,231.431020284,-231.431020284,231.431020284,231.431020284,231.431020284,-231.431020284,231.431020284,231.431020284,-231.431020284
EBS,EZU6,112.05,0.07025,-0.000133850890108,-1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-07-11,1.0,77.436575,26.0,123512.715,112.05,-1.0,rates,1.0,-6.0,1.0,-5.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1,-1,-1.0,-1,1,-16.5322868425,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
ED,@EDZ6,99.165,0.04425,-0.000100831862869,-1.0,1.0,1.0,-1.0,1.0,-15.0,2016-06-27,1.0,110.625,19.0,247912.5,99.165,-1.0,rates,1.0,-15.0,1.0,-14.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1,-1,-1.0,-1,1,-24.9974792034,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
EMD,@EMDU6,1539.6,25.5,-0.00155642023346,-1.0,-1.0,-1.0,1.0,-1.0,-4.0,2016-07-13,1.0,2550.0,1.0,153960.0,1539.6,1.0,index,-1.0,-4.0,-1.0,-3.0,-1.0,,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,1,-1,1.0,1,-1,-239.626459144,239.626459144,239.626459144,239.626459144,239.626459144,-239.626459144,239.626459144,-239.626459144,-239.626459144,-239.626459144,-239.626459144,239.626459144,-239.626459144,239.626459144
ES,@ESU6,2158.75,30.1875,-0.000578703703704,-1.0,-1.0,-1.0,1.0,-1.0,-2.0,2016-06-27,1.0,1509.375,2.0,107937.5,2158.75,1.0,index,-1.0,-2.0,-1.0,14.0,-1.0,,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,1,-1,-1.0,-1,-1,-62.4638310185,124.927662037,124.927662037,124.927662037,124.927662037,-124.927662037,124.927662037,-124.927662037,124.927662037,124.927662037,-124.927662037,124.927662037,-124.927662037,124.927662037
FC,@GFQ6,139.9,3.05625,-0.0090313440765,-1.0,-1.0,1.0,-1.0,-1.0,-9.0,2016-07-06,1.0,1528.125,2.0,69950.0,139.9,1.0,meat,-1.0,-9.0,-1.0,-8.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1,1.0,1,-1,-631.742518151,1263.4850363,-1263.4850363,1263.4850363,-1263.4850363,1263.4850363,1263.4850363,-1263.4850363,-1263.4850363,-1263.4850363,-1263.4850363,1263.4850363,-1263.4850363,1263.4850363
