2016-10-03 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-10-03 00:00:00,Close2016-10-03 00:00:00,group,RiskOn,Excess,PC2016-09-30 00:00:00,Close2016-09-30 00:00:00,SEA2016-10-03 00:00:00,SRUN2016-10-03 00:00:00,SEA2016-09-30 00:00:00,SRUN2016-09-30 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-30 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-30 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-30 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-30 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.471,0.025586207,0.0186980609418,1.0,-1.0,-1.0,-1.0,1.0,-22.0,2016-08-31,742.000003,3.0,1.0,1.0,42659.0,0.0186980609418,1.471,energy,1.0,1.0,,,1.0,-22.0,,,1.0,1.0,-21.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,1,1,-1.0,-1.0,0.0,1.0,0.0,0,-1,0,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
AD,@ADZ6,0.766,0.0068396975,0.0014380964832,1.0,1.0,-1.0,1.0,1.0,14.0,2016-09-13,683.96975,3.0,1.0,1.0,76600.0,0.0014380964832,0.766,currency,1.0,1.0,,,1.0,14.0,,,1.0,1.0,13.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1,330.474571839,330.474571839,330.474571839,-330.474571839,330.474571839,-330.474571839,330.474571839,-330.474571839,-330.474571839,330.474571839,-330.474571839,330.474571839,-330.474571839,-330.474571839,330.474571839,-330.474571839,330.474571839,-330.474571839,330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839,-330.474571839
AEX,AEXV6,452.75,6.619081921,0.00143773501438,1.0,-1.0,-1.0,-1.0,1.0,-11.0,2016-09-16,1483.99816669,2.0,1.0,1.0,101506.55,0.00143773501438,452.75,index,1.0,1.0,,,1.0,-11.0,,,1.0,1.0,-10.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,1,1,-1.0,-1.0,0.0,1.0,0.0,0,-1,0,-1.0,-1,291.879042247,291.879042247,291.879042247,-291.879042247,291.879042247,-291.879042247,291.879042247,-291.879042247,-291.879042247,-291.879042247,-291.879042247,-291.879042247,291.879042247,291.879042247,291.879042247,-291.879042247,-291.879042247,291.879042247,291.879042247,-291.879042247,-291.879042247,0.0,-291.879042247,-291.879042247,291.879042247,291.879042247,-291.879042247,-291.879042247,0.0,291.879042247,0.0,0.0,-291.879042247
BO,@BOZ6,33.24,0.6315,-0.00598086124402,-1.0,-1.0,-1.0,-1.0,1.0,7.0,2016-09-22,378.9,6.0,1.0,1.0,19944.0,-0.00598086124402,33.24,grain,1.0,1.0,,,1.0,7.0,,,1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,-1,1,1,-1.0,-1.0,0.0,0.0,0.0,0,-1,0,-1.0,-1,-715.693779904,715.693779904,-715.693779904,715.693779904,-715.693779904,715.693779904,-715.693779904,715.693779904,715.693779904,715.693779904,715.693779904,715.693779904,-715.693779904,-715.693779904,-715.693779904,715.693779904,-715.693779904,715.693779904,-715.693779904,715.693779904,715.693779904,-0.0,715.693779904,715.693779904,-715.693779904,-715.693779904,715.693779904,715.693779904,-0.0,-0.0,-0.0,-0.0,715.693779904
BP,@BPZ6,1.2875,0.0111397275,-0.00938678156498,-1.0,1.0,1.0,1.0,1.0,-19.0,2016-09-06,696.23296875,3.0,1.0,1.0,80468.75,-0.00938678156498,1.2875,currency,1.0,1.0,,,1.0,-19.0,,,1.0,1.0,-18.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,-1,-1,0.0,0.0,-1.0,0.0,-1.0,-1,-1,0,1.0,0,-2266.02773717,2266.02773717,-2266.02773717,2266.02773717,-2266.02773717,2266.02773717,-2266.02773717,2266.02773717,-0.0,-2266.02773717,-2266.02773717,-2266.02773717,2266.02773717,2266.02773717,-2266.02773717,2266.02773717,2266.02773717,-2266.02773717,-2266.02773717,-2266.02773717,2266.02773717,-0.0,-2266.02773717,-0.0,2266.02773717,2266.02773717,-0.0,-0.0,2266.02773717,-0.0,2266.02773717,2266.02773717,2266.02773717
C,@CZ6,346.0,7.1,0.0274684484039,1.0,-1.0,-1.0,-1.0,1.0,-5.0,2016-09-26,355.0,6.0,1.0,1.0,17300.0,0.0274684484039,346.0,grain,1.0,1.0,,,1.0,-5.0,,,1.0,1.0,15.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,-1,1,1,-1.0,-1.0,0.0,0.0,0.0,0,-1,0,-1.0,-1,2851.22494432,2851.22494432,2851.22494432,-2851.22494432,2851.22494432,-2851.22494432,2851.22494432,-2851.22494432,-2851.22494432,-2851.22494432,-2851.22494432,-2851.22494432,2851.22494432,2851.22494432,2851.22494432,-2851.22494432,2851.22494432,-2851.22494432,2851.22494432,-2851.22494432,-2851.22494432,0.0,-2851.22494432,-2851.22494432,2851.22494432,2851.22494432,-2851.22494432,-2851.22494432,0.0,0.0,0.0,0.0,-2851.22494432
CC,@CCZ6,2793.0,63.25,0.0115900036219,1.0,1.0,1.0,1.0,-1.0,6.0,2016-09-23,632.5,4.0,1.0,1.0,27930.0,0.0115900036219,2793.0,soft,1.0,1.0,,,-1.0,6.0,,,1.0,-1.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,-1,1.0,1.0,0.0,0.0,0.0,-1,-1,-1,0.0,-1,1294.83520464,1294.83520464,1294.83520464,-1294.83520464,1294.83520464,-1294.83520464,1294.83520464,-1294.83520464,1294.83520464,1294.83520464,1294.83520464,1294.83520464,-1294.83520464,-1294.83520464,-1294.83520464,1294.83520464,-1294.83520464,1294.83520464,-1294.83520464,1294.83520464,-1294.83520464,-1294.83520464,0.0,-1294.83520464,1294.83520464,-1294.83520464,1294.83520464,1294.83520464,0.0,0.0,0.0,-1294.83520464,-1294.83520464
CD,@CDZ6,0.763,0.006448677,0.000196631054598,1.0,1.0,1.0,1.0,-1.0,-19.0,2016-09-06,644.8677,4.0,1.0,1.0,76300.0,0.000196631054598,0.763,currency,1.0,1.0,,,-1.0,-19.0,,,1.0,-1.0,-18.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,1,-1,1.0,1.0,0.0,-1.0,0.0,-1,-1,-1,-1.0,-1,60.0117978632,60.0117978632,60.0117978632,-60.0117978632,60.0117978632,-60.0117978632,60.0117978632,-60.0117978632,60.0117978632,60.0117978632,60.0117978632,60.0117978632,-60.0117978632,-60.0117978632,-60.0117978632,60.0117978632,60.0117978632,-60.0117978632,-60.0117978632,-60.0117978632,-60.0117978632,-60.0117978632,-60.0117978632,-60.0117978632,60.0117978632,-60.0117978632,60.0117978632,60.0117978632,0.0,-60.0117978632,0.0,-60.0117978632,-60.0117978632
CGB,CBZ6,146.92,0.6755,0.0,1.0,1.0,1.0,1.0,1.0,13.0,2016-09-14,515.019823117,4.0,1.0,1.0,112015.858493,0.0,146.92,rates,-1.0,1.0,,,1.0,13.0,,,-1.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1.0,0.0,-1.0,0.0,-1.0,0,-1,-1,0.0,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
CL,QCLX6,48.81,1.602883965,0.011815920398,1.0,1.0,1.0,1.0,-1.0,-11.0,2016-09-16,1602.883965,2.0,1.0,1.0,48810.0,0.011815920398,48.81,energy,1.0,1.0,,,-1.0,-11.0,,,1.0,-1.0,-10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,1,-1,1.0,1.0,0.0,-1.0,0.0,-1,-1,-1,-1.0,-1,1153.47014925,1153.47014925,1153.47014925,-1153.47014925,1153.47014925,-1153.47014925,1153.47014925,-1153.47014925,1153.47014925,1153.47014925,1153.47014925,1153.47014925,-1153.47014925,-1153.47014925,-1153.47014925,1153.47014925,1153.47014925,-1153.47014925,-1153.47014925,-1153.47014925,-1153.47014925,-1153.47014925,-1153.47014925,-1153.47014925,1153.47014925,-1153.47014925,1153.47014925,1153.47014925,0.0,-1153.47014925,0.0,-1153.47014925,-1153.47014925
