,System,IB_Bal,IB_PBL,IB_MM,IB_PMM,IB_Start,IB_End,C2_Bal,C2_PBL,C2_MM,C2_PMM,C2_Start,C2_End
s101_#JPN225_M6_Blend,s101_#JPN225_M6_Blend,15833.41,16000.0,15833.41,16000.0,20160605 22:08:35 EST,20160607 11:00:12 EST,6833.41,7000.0,6833.41,7000.0,20160605 22:08:35 EST,20160607 11:00:12 EST
s101_#Germany30_Blend,s101_#Germany30_Blend,-2577.98316,-2157.0,-2577.98316,-2157.0,20160826 15:36:11 EST,20160829 12:07:30 EST,3404.9834,3847.0,3404.9834,3847.0,20160826 15:36:11 EST,20160829 12:07:30 EST
s101_#UK100_M6_Blend,s101_#UK100_M6_Blend,2639.681,2700.0,2639.681,2700.0,20160616 18:03:37 EST,20160617 17:50:12 EST,1989.681,2050.0,1989.681,2050.0,20160616 18:03:37 EST,20160617 17:50:12 EST
s101_#UK100_M6,s101_#UK100_M6,2153.531,2250.0,2153.531,2250.0,20160616 18:54:59 EST,20160617 16:28:15 EST,1429.47,1550.0,1429.47,1550.0,20160616 18:05:35 EST,20160617 16:28:15 EST
s101_#DJ30_M6_Blend,s101_#DJ30_M6_Blend,729.022,800.0,729.022,800.0,20160616 20:38:59 EST,20160617 08:06:53 EST,929.022,1000.0,929.022,1000.0,20160616 20:38:59 EST,20160617 08:06:53 EST
v1_USDCAD,v1_USDCAD,-45.19884,-43.19884,-51.29032,-49.29032,20160422 12:37:59 EST,20160425 10:04:16 EST,484.69642,486.69642,488.43068,488.43068,20160503 01:10:17 EST,20160504 21:56:13 EST
v1_EURGBP,v1_EURGBP,226.7018,230.7018,231.8819,233.8819,20160502 09:42:30 EST,20160504 21:56:07 EST,214.6544,226.6544,214.6544,226.6544,20160502 09:42:30 EST,20160504 21:56:07 EST
v1_CADJPY,v1_CADJPY,0.0,0.0,0.0,0.0,20160504 21:51:30 EST,20160504 21:51:30 EST,201.94,203.94,201.42,201.42,20160503 01:10:11 EST,20160504 21:51:30 EST
v1_EURUSD,v1_EURUSD,0.0,0.0,0.0,0.0,20160502 09:42:33 EST,20160502 09:42:33 EST,8.2,10.2,12.0,12.0,20160502 09:42:33 EST,20160504 21:56:16 EST
v4_JY,v4_JY,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_BO,v4_BO,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_BP,v4_BP,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_GBPNZD,v1_GBPNZD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
