2016-09-22 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-22 00:00:00,Close2016-09-22 00:00:00,group,RiskOn,Excess,SEA2016-09-22 00:00:00,SRUN2016-09-22 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-21 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-21 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-21 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-21 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.429,0.028516445,0.0178062678063,1.0,-1.0,1.0,-1.0,1.0,-15.0,2016-08-31,826.976905,3.0,1.0,1.0,41441.0,0.0178062678063,1.429,energy,1.0,1.0,1.0,-15.0,1.0,1.0,-14.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,-1,1,1,0.0,0.0,1,1,0.0,0,-1,1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
AD,@ADZ6,0.7619,0.0075580865,0.0043501186396,1.0,1.0,-1.0,1.0,1.0,7.0,2016-09-13,755.80865,3.0,1.0,1.0,76190.0,0.0043501186396,0.7619,currency,1.0,1.0,1.0,7.0,1.0,1.0,6.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,994.306617453,994.306617453,994.306617453,-994.306617453,994.306617453,-994.306617453,994.306617453,-994.306617453,-994.306617453,994.306617453,-994.306617453,994.306617453,-994.306617453,-994.306617453,994.306617453,-994.306617453,994.306617453,-994.306617453,994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453,-994.306617453
AEX,AEXV6,455.25,6.200419491,0.0178870877585,1.0,-1.0,-1.0,1.0,1.0,-4.0,2016-09-16,1389.8860331,2.0,1.0,1.0,102048.84,0.0178870877585,455.25,index,1.0,1.0,1.0,-4.0,1.0,-1.0,12.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,-1,-1,-1,1,1,-1,-1.0,1,-1,-1,1,1,-1,1,-1,0.0,0.0,-1,1,1.0,0,1,-1,3650.71311347,3650.71311347,3650.71311347,-3650.71311347,3650.71311347,-3650.71311347,3650.71311347,-3650.71311347,-3650.71311347,-3650.71311347,-3650.71311347,3650.71311347,-3650.71311347,3650.71311347,-3650.71311347,3650.71311347,-3650.71311347,3650.71311347,-3650.71311347,-3650.71311347,3650.71311347,-3650.71311347,3650.71311347,-3650.71311347,3650.71311347,-3650.71311347,0.0,0.0,-3650.71311347,3650.71311347,3650.71311347,0.0,3650.71311347
BO,@BOZ6,34.21,0.615,0.016339869281,1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-09-13,369.0,6.0,1.0,1.0,20526.0,0.016339869281,34.21,grain,1.0,1.0,-1.0,7.0,-1.0,-1.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1.0,1.0,1,1,0.0,0,1,1,2012.35294118,2012.35294118,-2012.35294118,2012.35294118,2012.35294118,-2012.35294118,2012.35294118,-2012.35294118,2012.35294118,-2012.35294118,2012.35294118,-2012.35294118,2012.35294118,2012.35294118,-2012.35294118,2012.35294118,-2012.35294118,2012.35294118,-2012.35294118,2012.35294118,2012.35294118,2012.35294118,2012.35294118,2012.35294118,2012.35294118,2012.35294118,2012.35294118,2012.35294118,2012.35294118,2012.35294118,0.0,0.0,2012.35294118
BP,@BPZ6,1.3093,0.0116414305,0.00560675883257,1.0,1.0,1.0,1.0,1.0,-12.0,2016-09-06,727.58940625,3.0,1.0,1.0,81831.25,0.00560675883257,1.3093,currency,1.0,1.0,1.0,-12.0,1.0,1.0,-11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,1,-1,1,1,0.0,0.0,1,-1,-1.0,-1,-1,1,1376.42425115,1376.42425115,1376.42425115,-1376.42425115,1376.42425115,-1376.42425115,1376.42425115,-1376.42425115,-1376.42425115,1376.42425115,1376.42425115,1376.42425115,-1376.42425115,-1376.42425115,1376.42425115,-1376.42425115,-1376.42425115,1376.42425115,1376.42425115,1376.42425115,-1376.42425115,1376.42425115,1376.42425115,-1376.42425115,1376.42425115,1376.42425115,0.0,0.0,1376.42425115,-1376.42425115,-1376.42425115,-1376.42425115,-1376.42425115
C,@CZ6,336.75,7.0125,-0.00955882352941,-1.0,1.0,1.0,1.0,-1.0,-15.0,2016-08-31,350.625,6.0,1.0,1.0,16837.5,-0.00955882352941,336.75,grain,1.0,1.0,-1.0,-15.0,-1.0,-1.0,-14.0,-1.0,1.0,6.0,-1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,1.0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,-1,1,-1.0,-1,-1,1,-965.680147059,965.680147059,965.680147059,-965.680147059,-965.680147059,965.680147059,-965.680147059,965.680147059,965.680147059,-965.680147059,-965.680147059,-965.680147059,965.680147059,965.680147059,965.680147059,-965.680147059,-965.680147059,965.680147059,965.680147059,-965.680147059,-965.680147059,-965.680147059,965.680147059,-965.680147059,-965.680147059,-965.680147059,-965.680147059,-965.680147059,965.680147059,-965.680147059,965.680147059,965.680147059,965.680147059
CC,@CCZ6,2920.0,59.45,0.0149461244352,1.0,-1.0,-1.0,1.0,-1.0,18.0,2016-09-09,594.5,4.0,1.0,1.0,29200.0,0.0149461244352,2920.0,soft,1.0,1.0,-1.0,18.0,1.0,-1.0,17.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,-1,-1,-1,1,1,-1,-1.0,1,-1,-1,1,1,-1,1,-1,0.0,0.0,-1,1,1.0,0,1,-1,1745.70733403,1745.70733403,1745.70733403,-1745.70733403,1745.70733403,-1745.70733403,1745.70733403,-1745.70733403,-1745.70733403,-1745.70733403,-1745.70733403,1745.70733403,-1745.70733403,1745.70733403,-1745.70733403,1745.70733403,-1745.70733403,1745.70733403,-1745.70733403,-1745.70733403,1745.70733403,-1745.70733403,1745.70733403,-1745.70733403,1745.70733403,-1745.70733403,0.0,0.0,-1745.70733403,1745.70733403,1745.70733403,0.0,1745.70733403
CD,@CDZ6,0.76585,0.0061200125,0.0067700801893,1.0,1.0,1.0,1.0,-1.0,-12.0,2016-09-06,612.00125,4.0,1.0,1.0,76585.0,0.0067700801893,0.76585,currency,1.0,1.0,-1.0,-12.0,1.0,-1.0,-11.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1,1,1.0,1.0,-1,-1,0.0,-1,-1,-1,2073.94636519,2073.94636519,2073.94636519,-2073.94636519,2073.94636519,-2073.94636519,2073.94636519,-2073.94636519,-2073.94636519,2073.94636519,2073.94636519,2073.94636519,-2073.94636519,-2073.94636519,-2073.94636519,2073.94636519,2073.94636519,-2073.94636519,-2073.94636519,-2073.94636519,-2073.94636519,-2073.94636519,-2073.94636519,2073.94636519,2073.94636519,2073.94636519,2073.94636519,2073.94636519,-2073.94636519,-2073.94636519,0.0,-2073.94636519,-2073.94636519
CGB,CBZ6,145.74,0.702831313,0.00385728061716,1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-09-13,538.526789518,4.0,1.0,1.0,111669.603862,0.00385728061716,145.74,rates,-1.0,1.0,1.0,-7.0,1.0,1.0,13.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,1,-1,-1,1.0,-1,1,-1,-1,1,-1,-1,-1,0.0,-1.0,1,-1,1.0,1,1,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
CL,QCLX6,46.32,1.551134522,0.0216144684605,1.0,-1.0,-1.0,-1.0,-1.0,10.0,2016-09-08,1551.134522,2.0,1.0,1.0,46320.0,0.0216144684605,46.32,energy,1.0,1.0,-1.0,10.0,1.0,-1.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,-1,1,-1,0.0,0.0,1,1,1.0,0,1,0,2002.36435818,2002.36435818,2002.36435818,-2002.36435818,2002.36435818,-2002.36435818,2002.36435818,-2002.36435818,2002.36435818,-2002.36435818,-2002.36435818,-2002.36435818,2002.36435818,2002.36435818,-2002.36435818,2002.36435818,-2002.36435818,2002.36435818,2002.36435818,-2002.36435818,2002.36435818,0.0,2002.36435818,-2002.36435818,2002.36435818,-2002.36435818,0.0,0.0,2002.36435818,2002.36435818,2002.36435818,0.0,2002.36435818
CT,@CTZ6,71.71,1.4515,0.00125663222564,1.0,1.0,-1.0,1.0,-1.0,8.0,2016-09-12,725.75,3.0,1.0,1.0,35855.0,0.00125663222564,71.71,soft,1.0,1.0,-1.0,8.0,1.0,-1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,1,-1,-1.0,1,-1,-1,-1,1,-1,1,-1,0.0,0.0,-1,-1,0.0,-1,-1,-1,135.16964535,135.16964535,135.16964535,-135.16964535,135.16964535,-135.16964535,135.16964535,-135.16964535,-135.16964535,135.16964535,-135.16964535,135.16964535,-135.16964535,-135.16964535,-135.16964535,135.16964535,-135.16964535,135.16964535,-135.16964535,-135.16964535,-135.16964535,-135.16964535,135.16964535,-135.16964535,135.16964535,-135.16964535,0.0,0.0,-135.16964535,-135.16964535,0.0,-135.16964535,-135.16964535
CU,@EUZ6,1.1241,0.0074762915,0.00209494094049,1.0,1.0,1.0,1.0,1.0,-24.0,2016-08-18,934.5364375,3.0,1.0,1.0,140512.5,0.00209494094049,1.1241,currency,1.0,1.0,1.0,-24.0,1.0,1.0,-23.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,1,-1,1,1,0.0,0.0,1,-1,-1.0,-1,-1,1,883.096166704,883.096166704,883.096166704,-883.096166704,883.096166704,-883.096166704,883.096166704,-883.096166704,-883.096166704,883.096166704,883.096166704,883.096166704,-883.096166704,-883.096166704,883.096166704,-883.096166704,-883.096166704,883.096166704,883.096166704,883.096166704,-883.096166704,883.096166704,883.096166704,-883.096166704,883.096166704,883.096166704,0.0,0.0,883.096166704,-883.096166704,-883.096166704,-883.096166704,-883.096166704
DX,@DXZ6,95.381,0.583986917,-0.00296869283437,-1.0,1.0,1.0,1.0,-1.0,-25.0,2016-08-18,583.986917,4.0,1.0,1.0,95381.0,-0.00296869283437,95.381,currency,-1.0,-1.0,-1.0,-25.0,-1.0,-1.0,-24.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1,1,-1,-1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,-1,-1,0.0,0,1,1,-1132.62756494,1132.62756494,1132.62756494,-1132.62756494,1132.62756494,-1132.62756494,1132.62756494,-1132.62756494,1132.62756494,-1132.62756494,-1132.62756494,-1132.62756494,1132.62756494,1132.62756494,1132.62756494,-1132.62756494,-1132.62756494,1132.62756494,1132.62756494,-1132.62756494,-1132.62756494,-1132.62756494,1132.62756494,-1132.62756494,-1132.62756494,-1132.62756494,-1132.62756494,-1132.62756494,1132.62756494,1132.62756494,-0.0,-0.0,-1132.62756494
EBL,BDZ6,165.22,0.764924847,0.0084228515625,1.0,-1.0,-1.0,-1.0,1.0,7.0,2016-09-13,857.327768518,3.0,1.0,1.0,185178.576,0.0084228515625,165.22,rates,-1.0,1.0,1.0,7.0,-1.0,1.0,-10.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,-1,-1,0.0,-1.0,1,1,0.0,1,1,1,4679.19497461,4679.19497461,-4679.19497461,4679.19497461,-4679.19497461,4679.19497461,4679.19497461,-4679.19497461,4679.19497461,-4679.19497461,-4679.19497461,-4679.19497461,4679.19497461,4679.19497461,4679.19497461,-4679.19497461,-4679.19497461,4679.19497461,4679.19497461,4679.19497461,4679.19497461,4679.19497461,4679.19497461,-4679.19497461,-4679.19497461,-4679.19497461,0.0,-4679.19497461,4679.19497461,4679.19497461,0.0,4679.19497461,4679.19497461
