2017-05-03 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-05-03 00:00:00,Close2017-05-03 00:00:00,group,RiskOn,Custom,PC2017-05-02 00:00:00,Close2017-05-02 00:00:00,vSTART,LastSEA,SEA2017-05-03 00:00:00,LastSRUN,SRUN2017-05-03 00:00:00,SEA2017-05-02 00:00:00,SRUN2017-05-02 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-05-02 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-05-02 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-05-02 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-05-02 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACM7,1.519,0.0282515105,-0.0123537061118,-1.0,-1.0,1.0,-1.0,1.0,13.0,2017-04-12,819.2938045,1.0,1.0,1.0,44051.0,1.0,-0.0123537061118,1.519,energy,1.0,1.0,,,2017-04-12,1.0,1.0,14.0,14.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
AD,@ADM7,0.7422,0.00578,-0.0136877076412,-1.0,-1.0,1.0,-1.0,-1.0,-30.0,2017-03-20,578.0,1.0,1.0,1.0,74220.0,1.0,-0.0136877076412,0.7422,currency,1.0,1.0,,,2017-03-20,-1.0,-1.0,-31.0,-31.0,,,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-1015.90166113,1015.90166113,1015.90166113,-1015.90166113,-1015.90166113,1015.90166113,-1015.90166113,1015.90166113,-1015.90166113,1015.90166113,-1015.90166113,1015.90166113,-1015.90166113,-1015.90166113,1015.90166113,1015.90166113,1015.90166113,-1015.90166113,-1015.90166113,1015.90166113,1015.90166113,-1015.90166113,-1015.90166113,-1015.90166113,-1015.90166113,-1015.90166113,-1015.90166113,-1015.90166113,-1015.90166113,-1015.90166113,-1015.90166113,-1015.90166113,-0.0,-0.0,-1015.90166113
AEX,AEXK7,520.7,4.5556953985,-0.000575815738963,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,2017-03-15,991.683774345,1.0,1.0,1.0,113345.976,0.918779860345,-0.000575815738963,520.7,index,1.0,1.0,,,2017-03-15,-1.0,-1.0,32.0,32.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
BO,@BON7,32.56,0.589489437,-0.00183936235438,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,2017-04-11,353.6936622,2.0,1.0,1.0,19536.0,1.0,-0.00183936235438,32.56,grain,1.0,1.0,,,2017-04-11,-1.0,-1.0,15.0,15.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,-71.8675659105,71.8675659105,-71.8675659105,71.8675659105,-71.8675659105,71.8675659105,-71.8675659105,71.8675659105,-71.8675659105,71.8675659105,71.8675659105,71.8675659105,-71.8675659105,-71.8675659105,-71.8675659105,71.8675659105,71.8675659105,-71.8675659105,71.8675659105,-71.8675659105,-71.8675659105,71.8675659105,-71.8675659105,-0.0,-71.8675659105,-71.8675659105,-71.8675659105,71.8675659105,-71.8675659105,-0.0,-71.8675659105,71.8675659105,-71.8675659105,-71.8675659105,-71.8675659105
BP,@BPM7,1.2904,0.008845,-0.00339820821749,-1.0,-1.0,-1.0,1.0,-1.0,34.0,2017-03-14,552.8125,1.0,1.0,1.0,80650.0,1.0,-0.00339820821749,1.2904,currency,1.0,1.0,,,2017-03-14,-1.0,-1.0,35.0,35.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0,-274.06549274,274.06549274,-274.06549274,274.06549274,-274.06549274,274.06549274,-274.06549274,274.06549274,-274.06549274,274.06549274,274.06549274,-274.06549274,274.06549274,-274.06549274,-274.06549274,274.06549274,274.06549274,-274.06549274,274.06549274,-274.06549274,274.06549274,274.06549274,-274.06549274,274.06549274,274.06549274,-0.0,-274.06549274,274.06549274,-274.06549274,-0.0,-274.06549274,274.06549274,-274.06549274,-0.0,-274.06549274
C,@CN7,374.75,6.34847561,0.00671591672263,1.0,-1.0,1.0,-1.0,-1.0,-7.0,2017-04-21,317.4237805,3.0,1.0,1.0,18737.5,1.0,0.00671591672263,374.75,grain,1.0,1.0,,,2017-04-26,-1.0,-1.0,5.0,5.0,,,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,377.518468771,377.518468771,-377.518468771,377.518468771,377.518468771,-377.518468771,377.518468771,-377.518468771,377.518468771,-377.518468771,377.518468771,-377.518468771,377.518468771,377.518468771,-377.518468771,-377.518468771,-377.518468771,377.518468771,377.518468771,-377.518468771,-377.518468771,377.518468771,377.518468771,377.518468771,377.518468771,377.518468771,377.518468771,377.518468771,377.518468771,377.518468771,377.518468771,377.518468771,0.0,0.0,377.518468771
CC,@CCN7,1780.0,58.15,-0.0138504155125,-1.0,1.0,1.0,1.0,1.0,8.0,2017-04-20,581.5,1.0,1.0,1.0,17800.0,1.0,-0.0138504155125,1780.0,soft,1.0,1.0,,,2017-04-26,1.0,1.0,-5.0,-5.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
CD,@CDM7,0.7299,0.0045825,0.00082270670506,1.0,-1.0,1.0,-1.0,-1.0,-21.0,2017-03-31,458.25,2.0,1.0,1.0,72990.0,1.0,0.00082270670506,0.7299,currency,1.0,1.0,,,2017-03-31,-1.0,-1.0,-22.0,-22.0,,,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,120.098724805,120.098724805,-120.098724805,120.098724805,120.098724805,-120.098724805,120.098724805,-120.098724805,120.098724805,-120.098724805,120.098724805,-120.098724805,120.098724805,120.098724805,-120.098724805,-120.098724805,-120.098724805,120.098724805,120.098724805,-120.098724805,-120.098724805,120.098724805,120.098724805,120.098724805,120.098724805,120.098724805,120.098724805,120.098724805,120.098724805,120.098724805,120.098724805,120.098724805,0.0,0.0,120.098724805
CGB,CBM7,139.75,0.5875,-0.00178571428571,-1.0,1.0,-1.0,1.0,1.0,-35.0,2017-03-13,427.73935202,2.0,1.0,1.0,101747.360757,1.3735,-0.00178571428571,139.75,rates,-1.0,1.0,,,2017-03-13,1.0,1.0,-36.0,-36.0,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
CL,QCLM7,47.82,1.0861173035,0.00335711288292,1.0,-1.0,1.0,-1.0,-1.0,-14.0,2017-04-11,1086.1173035,1.0,1.0,1.0,47820.0,1.0,0.00335711288292,47.82,energy,1.0,1.0,,,2017-04-11,-1.0,-1.0,-15.0,-15.0,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,160.537138061,160.537138061,-160.537138061,160.537138061,160.537138061,-160.537138061,160.537138061,-160.537138061,160.537138061,-160.537138061,160.537138061,-160.537138061,160.537138061,160.537138061,-160.537138061,-160.537138061,-160.537138061,160.537138061,160.537138061,-160.537138061,-160.537138061,160.537138061,160.537138061,160.537138061,160.537138061,160.537138061,160.537138061,160.537138061,160.537138061,160.537138061,160.537138061,160.537138061,0.0,0.0,160.537138061
