2016-08-23 00:00:00,Contract,LastClose,ATR20,PC2016-08-23 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-23 00:00:00,RiskOn,group,SEA2016-08-23 00:00:00,SRUN2016-08-23 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-22 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-22 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-22 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-22 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACV6,1.456,0.023408007,-0.0101971447995,-1.0,1.0,-1.0,1.0,1.0,-15.0,2016-08-02,678.832203,3.0,1.0,1.0,42224.0,1.456,1.0,energy,1.0,-15.0,-1.0,1.0,10.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
AD,@ADU6,0.7618,0.00739,-0.000918032786885,-1.0,-1.0,-1.0,1.0,1.0,-28.0,2016-07-14,739.0,3.0,1.0,1.0,76180.0,0.7618,1.0,currency,1.0,-28.0,1.0,1.0,-27.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-209.807213115,209.807213115,-209.807213115,209.807213115,-209.807213115,209.807213115,209.807213115,209.807213115,209.807213115,-209.807213115,209.807213115,-209.807213115,-209.807213115,209.807213115,209.807213115,-209.807213115,-209.807213115,209.807213115,209.807213115,209.807213115,-209.807213115,209.807213115
AEX,AEXU6,451.95,5.001156192,0.0103957075788,1.0,-1.0,-1.0,-1.0,-1.0,-33.0,2016-07-07,1130.96146126,2.0,1.0,1.0,102203.973,451.95,1.0,index,-1.0,-33.0,-1.0,-1.0,-32.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,2124.9652334,2124.9652334,-2124.9652334,2124.9652334,2124.9652334,-2124.9652334,2124.9652334,-2124.9652334,-2124.9652334,-2124.9652334,2124.9652334,2124.9652334,-2124.9652334,2124.9652334,2124.9652334,-2124.9652334,-2124.9652334,2124.9652334,2124.9652334,2124.9652334,-2124.9652334,2124.9652334
BO,@BOZ6,34.32,0.732,0.00029146021568,1.0,-1.0,-1.0,1.0,1.0,2.0,2016-08-02,439.2,5.0,1.0,1.0,20592.0,34.32,1.0,grain,1.0,2.0,-1.0,1.0,-14.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,-1,1,-1,1,-1.0,1,-1,-1,-1,-1,-1,-1,-1,30.0087438065,30.0087438065,-30.0087438065,30.0087438065,30.0087438065,-30.0087438065,-30.0087438065,-30.0087438065,-30.0087438065,30.0087438065,-30.0087438065,30.0087438065,30.0087438065,-30.0087438065,-30.0087438065,30.0087438065,-30.0087438065,-30.0087438065,-30.0087438065,-30.0087438065,-30.0087438065,-30.0087438065
BP,@BPU6,1.3199,0.012315,0.00441366714862,1.0,1.0,-1.0,1.0,1.0,15.0,2016-08-02,769.6875,3.0,1.0,1.0,82493.75,1.3199,1.0,currency,1.0,15.0,1.0,1.0,14.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,1092.29986302,1092.29986302,1092.29986302,-1092.29986302,1092.29986302,-1092.29986302,-1092.29986302,1092.29986302,-1092.29986302,1092.29986302,-1092.29986302,-1092.29986302,1092.29986302,-1092.29986302,1092.29986302,-1092.29986302,1092.29986302,-1092.29986302,-1092.29986302,-1092.29986302,-1092.29986302,-1092.29986302
C,@CZ6,337.25,5.8875,-0.0153284671533,-1.0,1.0,1.0,1.0,-1.0,-18.0,2016-07-28,294.375,7.0,1.0,1.0,16862.5,337.25,1.0,grain,-1.0,-18.0,-1.0,1.0,-17.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,-1,-1,-1,1,-1.0,1,-1,1,1,1,-1,1,-1,-1809.33394161,1809.33394161,1809.33394161,-1809.33394161,-1809.33394161,1809.33394161,-1809.33394161,-1809.33394161,-1809.33394161,-1809.33394161,1809.33394161,1809.33394161,-1809.33394161,1809.33394161,1809.33394161,-1809.33394161,1809.33394161,-1809.33394161,-1809.33394161,-1809.33394161,1809.33394161,-1809.33394161
CC,@CCZ6,3041.0,60.484526559,0.0191018766756,1.0,-1.0,-1.0,-1.0,1.0,-17.0,2016-07-29,604.84526559,4.0,1.0,1.0,30410.0,3041.0,1.0,soft,1.0,-17.0,-1.0,1.0,-16.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,2323.55227882,2323.55227882,-2323.55227882,2323.55227882,2323.55227882,-2323.55227882,-2323.55227882,-2323.55227882,-2323.55227882,-2323.55227882,2323.55227882,2323.55227882,2323.55227882,-2323.55227882,-2323.55227882,2323.55227882,-2323.55227882,-2323.55227882,-2323.55227882,-2323.55227882,2323.55227882,-2323.55227882
CD,@CDU6,0.7747,0.006195,0.0032375032375,1.0,-1.0,-1.0,-1.0,1.0,-21.0,2016-07-25,619.5,4.0,1.0,1.0,77470.0,0.7747,1.0,currency,1.0,-21.0,-1.0,1.0,-20.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1003.23750324,1003.23750324,-1003.23750324,1003.23750324,1003.23750324,-1003.23750324,-1003.23750324,-1003.23750324,-1003.23750324,-1003.23750324,1003.23750324,1003.23750324,1003.23750324,-1003.23750324,-1003.23750324,1003.23750324,-1003.23750324,-1003.23750324,-1003.23750324,-1003.23750324,1003.23750324,-1003.23750324
CGB,CBU6,148.4,0.6415,0.000134789055129,1.0,-1.0,-1.0,-1.0,1.0,-31.0,2016-07-08,496.824659232,5.0,1.0,1.0,114931.846344,148.4,-1.0,rates,1.0,-31.0,1.0,1.0,-30.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
CL,QCLV6,48.1,1.497504721,0.0145538915841,1.0,-1.0,-1.0,-1.0,-1.0,-15.0,2016-08-02,1497.504721,2.0,1.0,1.0,48100.0,48.1,1.0,energy,-1.0,-15.0,-1.0,-1.0,-14.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,1400.08437039,1400.08437039,-1400.08437039,1400.08437039,1400.08437039,-1400.08437039,1400.08437039,-1400.08437039,-1400.08437039,-1400.08437039,1400.08437039,1400.08437039,-1400.08437039,1400.08437039,1400.08437039,-1400.08437039,-1400.08437039,1400.08437039,1400.08437039,1400.08437039,-1400.08437039,1400.08437039
