2016-10-27 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-10-27 00:00:00,Close2016-10-27 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-27 00:00:00,LastSRUN,SRUN2016-10-27 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-26 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-26 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ6,69.76,1.4205,0.00721917412648,1.0,-1.0,-1.0,-1.0,1.0,-7.0,2016-10-17,710.25,1.0,1.0,1.0,34880.0,1.0,0.00721917412648,69.76,soft,1.0,1.0,2016-10-17,1.0,1.0,-8.0,-8.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,251.804793532,251.804793532,251.804793532,-251.804793532,251.804793532,-251.804793532,251.804793532,-251.804793532,0.0,-251.804793532,-251.804793532,-251.804793532,251.804793532,251.804793532,251.804793532,251.804793532,-251.804793532,251.804793532,-251.804793532,251.804793532,-251.804793532,-251.804793532,-251.804793532,0.0,-251.804793532,-251.804793532,-251.804793532,-251.804793532,-251.804793532,0.0,-251.804793532,0.0,251.804793532,-251.804793532
CU,@EUZ6,1.0925,0.006655,-0.000594611901386,-1.0,1.0,1.0,1.0,-1.0,-48.0,2016-08-18,831.875,1.0,1.0,1.0,136562.5,1.0,-0.000594611901386,1.0925,currency,1.0,1.0,2016-08-18,-1.0,-1.0,-49.0,-49.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,-1.0,-1,-1,-1.0,-1,-81.201687783,81.201687783,-81.201687783,81.201687783,-81.201687783,81.201687783,-81.201687783,81.201687783,-0.0,-81.201687783,-81.201687783,-81.201687783,81.201687783,81.201687783,81.201687783,81.201687783,-81.201687783,81.201687783,-81.201687783,81.201687783,81.201687783,81.201687783,81.201687783,81.201687783,81.201687783,-81.201687783,-81.201687783,-81.201687783,-81.201687783,-0.0,81.201687783,-81.201687783,81.201687783,81.201687783
DX,@DXZ6,98.879,0.50755,0.00271774954113,1.0,1.0,-1.0,1.0,1.0,19.0,2016-09-29,507.55,1.0,1.0,1.0,98879.0,1.0,0.00271774954113,98.879,currency,-1.0,-1.0,2016-09-29,1.0,1.0,20.0,20.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1,0.0,-1,268.728356877,268.728356877,-268.728356877,268.728356877,-268.728356877,268.728356877,-268.728356877,268.728356877,-268.728356877,268.728356877,-268.728356877,268.728356877,-268.728356877,-268.728356877,268.728356877,268.728356877,-268.728356877,268.728356877,-268.728356877,-268.728356877,268.728356877,-268.728356877,-268.728356877,0.0,-268.728356877,-268.728356877,-268.728356877,-268.728356877,-268.728356877,-268.728356877,268.728356877,-268.728356877,268.728356877,-268.728356877
EBL,BDZ6,161.97,0.708,-0.00656280667321,-1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-10-17,771.5076,1.0,1.0,1.0,176498.709,0.917683766174,-0.00656280667321,161.97,rates,-1.0,1.0,2016-10-17,1.0,1.0,-8.0,-8.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,-1.0,1,1,1.0,1,-1158.32690524,1158.32690524,1158.32690524,-1158.32690524,1158.32690524,-1158.32690524,-1158.32690524,1158.32690524,-0.0,1158.32690524,-1158.32690524,1158.32690524,-1158.32690524,-1158.32690524,1158.32690524,-1158.32690524,1158.32690524,-1158.32690524,1158.32690524,-1158.32690524,-1158.32690524,-1158.32690524,-1158.32690524,-1158.32690524,-1158.32690524,1158.32690524,-1158.32690524,1158.32690524,-0.0,-0.0,-1158.32690524,1158.32690524,1158.32690524,-1158.32690524
EBM,BLZ6,131.11,0.1905,-0.00182717929197,-1.0,-1.0,1.0,-1.0,1.0,-8.0,2016-10-14,207.58785,4.0,2.0,2.0,142870.567,0.917683766174,-0.00182717929197,131.11,rates,-1.0,1.0,2016-10-14,1.0,1.0,-9.0,-9.0,-1.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,-1.0,1,1,1.0,1,-1044.20056582,1044.20056582,1044.20056582,-1044.20056582,1044.20056582,-1044.20056582,-1044.20056582,1044.20056582,-0.0,1044.20056582,-1044.20056582,1044.20056582,-1044.20056582,-1044.20056582,1044.20056582,-1044.20056582,1044.20056582,-1044.20056582,1044.20056582,-1044.20056582,-1044.20056582,-1044.20056582,-1044.20056582,-1044.20056582,-1044.20056582,1044.20056582,-1044.20056582,1044.20056582,-0.0,-0.0,-1044.20056582,1044.20056582,1044.20056582,-1044.20056582
EBS,EZZ6,111.985,0.03725,-0.000357063155546,-1.0,-1.0,-1.0,-1.0,1.0,21.0,2016-09-27,40.591325,24.0,7.0,7.0,122030.0545,0.917683766174,-0.000357063155546,111.985,rates,-1.0,1.0,2016-10-14,1.0,1.0,-9.0,-9.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1.0,-1.0,0.0,1.0,-1.0,1.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
ED,@EDZ6,99.04,0.0175,5.04872014946e-05,1.0,1.0,1.0,1.0,-1.0,27.0,2016-09-19,43.75,22.0,6.0,6.0,247600.0,1.0,5.04872014946e-05,99.04,rates,-1.0,1.0,2016-09-19,-1.0,-1.0,-28.0,-28.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,0.0,1.0,0.0,-1.0,1,1,0.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
EMD,@EMDZ6,1498.5,17.065,-0.00879745998148,-1.0,1.0,-1.0,1.0,1.0,-11.0,2016-10-11,1706.5,1.0,1.0,1.0,149850.0,1.0,-0.00879745998148,1498.5,index,1.0,1.0,2016-10-11,1.0,1.0,-12.0,-12.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,1.0,-1,0,0.0,-1,-1318.29937822,1318.29937822,1318.29937822,-1318.29937822,-1318.29937822,1318.29937822,-1318.29937822,1318.29937822,-0.0,-1318.29937822,1318.29937822,-1318.29937822,1318.29937822,1318.29937822,-1318.29937822,-1318.29937822,1318.29937822,-1318.29937822,1318.29937822,1318.29937822,-1318.29937822,1318.29937822,-0.0,-0.0,1318.29937822,1318.29937822,-1318.29937822,-1318.29937822,-0.0,-0.0,-1318.29937822,-0.0,-1318.29937822,1318.29937822
ES,@ESZ6,2123.5,17.925,-0.00492033739456,-1.0,1.0,1.0,1.0,1.0,9.0,2016-10-13,896.25,1.0,1.0,1.0,106175.0,1.0,-0.00492033739456,2123.5,index,1.0,1.0,2016-10-13,1.0,1.0,10.0,10.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,0,0.0,-1,-522.416822868,522.416822868,522.416822868,-522.416822868,-522.416822868,522.416822868,-522.416822868,522.416822868,-0.0,-522.416822868,-522.416822868,-522.416822868,522.416822868,522.416822868,522.416822868,-522.416822868,522.416822868,-522.416822868,522.416822868,522.416822868,-522.416822868,522.416822868,-0.0,-0.0,522.416822868,-522.416822868,-522.416822868,-522.416822868,-522.416822868,-0.0,-522.416822868,-0.0,-522.416822868,522.416822868
FC,@GFF7,118.525,2.709088911,0.00147866497676,1.0,1.0,-1.0,1.0,-1.0,-9.0,2016-10-13,1354.5444555,1.0,1.0,1.0,59262.5,1.0,0.00147866497676,118.525,meat,1.0,-1.0,2016-10-13,-1.0,-1.0,-10.0,-10.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,1.0,-1,-1,-1.0,-1,87.6293831855,87.6293831855,87.6293831855,-87.6293831855,87.6293831855,-87.6293831855,-87.6293831855,87.6293831855,0.0,87.6293831855,-87.6293831855,87.6293831855,-87.6293831855,-87.6293831855,87.6293831855,-87.6293831855,87.6293831855,-87.6293831855,87.6293831855,-87.6293831855,-87.6293831855,-87.6293831855,-87.6293831855,-87.6293831855,-87.6293831855,87.6293831855,-87.6293831855,87.6293831855,0.0,0.0,-87.6293831855,87.6293831855,87.6293831855,-87.6293831855
