2016-11-09 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-11-09 00:00:00,Close2016-11-09 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-11-09 00:00:00,LastSRUN,SRUN2016-11-09 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-11-08 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-11-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-11-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-11-08 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.518,0.0281,-0.023166023166,-1.0,1.0,-1.0,1.0,1.0,-7.0,2016-10-28,814.9,1.0,1.0,1.0,44022.0,1.0,-0.023166023166,1.518,energy,1.0,1.0,2016-10-28,1.0,1.0,-8.0,-8.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
AD,@ADZ6,0.764,0.00707,-0.0135571336346,-1.0,-1.0,-1.0,-1.0,-1.0,-19.0,2016-10-12,707.0,1.0,1.0,1.0,76400.0,1.0,-0.0135571336346,0.764,currency,1.0,1.0,2016-10-11,-1.0,-1.0,21.0,21.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,-1035.76500968,1035.76500968,-1035.76500968,1035.76500968,-1035.76500968,1035.76500968,-1035.76500968,1035.76500968,1035.76500968,1035.76500968,1035.76500968,1035.76500968,-1035.76500968,-1035.76500968,-1035.76500968,1035.76500968,-1035.76500968,1035.76500968,-1035.76500968,-1035.76500968,1035.76500968,-1035.76500968,-0.0,-1035.76500968,-1035.76500968,-1035.76500968,1035.76500968,-1035.76500968,-0.0,-1035.76500968,1035.76500968,-1035.76500968,-1035.76500968,-1035.76500968
AEX,AEXX6,453.0,7.998820755,0.00935828877005,1.0,-1.0,1.0,-1.0,1.0,-11.0,2016-10-24,1746.30254723,1.0,1.0,1.0,98898.96,0.916086478564,0.00935828877005,453.0,index,1.0,1.0,2016-10-24,1.0,1.0,-12.0,-12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,925.525026738,925.525026738,925.525026738,-925.525026738,925.525026738,-925.525026738,925.525026738,-925.525026738,925.525026738,-925.525026738,925.525026738,-925.525026738,925.525026738,925.525026738,-925.525026738,925.525026738,-925.525026738,925.525026738,-925.525026738,925.525026738,925.525026738,-925.525026738,925.525026738,925.525026738,0.0,925.525026738,925.525026738,-925.525026738,0.0,0.0,-925.525026738,0.0,925.525026738,-925.525026738
BO,@BOZ6,34.31,0.6915,-0.0283205890683,-1.0,-1.0,1.0,-1.0,1.0,-11.0,2016-10-24,414.9,2.0,1.0,1.0,20586.0,1.0,-0.0283205890683,34.31,grain,1.0,1.0,2016-10-24,1.0,1.0,-12.0,-12.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,-1166.01529312,1166.01529312,-1166.01529312,1166.01529312,-1166.01529312,1166.01529312,-1166.01529312,1166.01529312,-1166.01529312,1166.01529312,-1166.01529312,1166.01529312,-1166.01529312,-1166.01529312,1166.01529312,-1166.01529312,1166.01529312,-1166.01529312,1166.01529312,-1166.01529312,-1166.01529312,1166.01529312,-1166.01529312,-1166.01529312,-0.0,-1166.01529312,-1166.01529312,1166.01529312,-0.0,-0.0,1166.01529312,-0.0,-1166.01529312,1166.01529312
BP,@BPZ6,1.2449,0.01073,0.00362786198001,1.0,1.0,-1.0,1.0,-1.0,20.0,2016-10-11,670.625,1.0,1.0,1.0,77806.25,1.0,0.00362786198001,1.2449,currency,1.0,1.0,2016-10-11,-1.0,-1.0,21.0,21.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,-1,1,1.0,0,282.270336182,282.270336182,-282.270336182,282.270336182,282.270336182,-282.270336182,282.270336182,-282.270336182,-282.270336182,282.270336182,-282.270336182,282.270336182,-282.270336182,-282.270336182,282.270336182,-282.270336182,282.270336182,282.270336182,-282.270336182,-282.270336182,282.270336182,282.270336182,282.270336182,282.270336182,0.0,282.270336182,282.270336182,282.270336182,282.270336182,282.270336182,282.270336182,282.270336182,282.270336182,-282.270336182
C,@CZ6,340.75,6.625,-0.0381086803105,-1.0,-1.0,1.0,-1.0,1.0,28.0,2016-09-29,331.25,3.0,1.0,1.0,17037.5,1.0,-0.0381086803105,340.75,grain,1.0,1.0,2016-10-19,1.0,1.0,-15.0,-15.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,-1947.82992237,1947.82992237,-1947.82992237,1947.82992237,-1947.82992237,1947.82992237,-1947.82992237,1947.82992237,-1947.82992237,1947.82992237,-1947.82992237,1947.82992237,-1947.82992237,-1947.82992237,1947.82992237,-1947.82992237,1947.82992237,-1947.82992237,1947.82992237,-1947.82992237,-1947.82992237,1947.82992237,-1947.82992237,-1947.82992237,-0.0,-1947.82992237,-1947.82992237,1947.82992237,-0.0,-0.0,1947.82992237,-0.0,-1947.82992237,1947.82992237
CC,@CCH7,2451.0,50.7233897685,-0.00567951318458,-1.0,1.0,1.0,1.0,1.0,-5.0,2016-11-01,507.233897685,1.0,1.0,1.0,24510.0,1.0,-0.00567951318458,2451.0,soft,1.0,1.0,2016-11-01,1.0,1.0,-6.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-139.204868154,139.204868154,-139.204868154,139.204868154,-139.204868154,139.204868154,-139.204868154,139.204868154,-139.204868154,-139.204868154,-139.204868154,-139.204868154,139.204868154,139.204868154,139.204868154,-139.204868154,139.204868154,-139.204868154,139.204868154,-139.204868154,-139.204868154,139.204868154,-139.204868154,-139.204868154,-0.0,-139.204868154,-139.204868154,139.204868154,-0.0,139.204868154,-139.204868154,-139.204868154,-139.204868154,139.204868154
CD,@CDZ6,0.746,0.0052975,-0.00672391984555,-1.0,-1.0,-1.0,1.0,-1.0,31.0,2016-09-26,529.75,1.0,1.0,1.0,74600.0,1.0,-0.00672391984555,0.746,currency,1.0,1.0,2016-09-26,-1.0,-1.0,32.0,32.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,-1,0.0,0,-501.604420478,501.604420478,-501.604420478,501.604420478,-501.604420478,501.604420478,-501.604420478,501.604420478,501.604420478,501.604420478,501.604420478,-501.604420478,501.604420478,-501.604420478,-501.604420478,501.604420478,-501.604420478,501.604420478,-501.604420478,501.604420478,501.604420478,-501.604420478,501.604420478,-0.0,-0.0,-501.604420478,501.604420478,-501.604420478,-0.0,-501.604420478,501.604420478,-501.604420478,-501.604420478,-501.604420478
CGB,CBZ6,142.82,0.671,-0.0081255642753,-1.0,-1.0,-1.0,-1.0,1.0,12.0,2016-10-21,500.596836765,1.0,1.0,1.0,106550.283497,1.3404,-0.0081255642753,142.82,rates,-1.0,1.0,2016-10-21,1.0,1.0,13.0,13.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1.0,-1.0,0.0,1.0,-1.0,1.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
CL,QCLZ6,45.27,1.319,0.00644730991552,1.0,1.0,1.0,1.0,-1.0,21.0,2016-10-10,1319.0,1.0,1.0,1.0,45270.0,1.0,0.00644730991552,45.27,energy,1.0,1.0,2016-10-10,-1.0,-1.0,22.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,-1.0,-1,-1,-1.0,-1,291.869719876,291.869719876,291.869719876,-291.869719876,291.869719876,-291.869719876,291.869719876,-291.869719876,291.869719876,291.869719876,291.869719876,291.869719876,-291.869719876,-291.869719876,-291.869719876,-291.869719876,291.869719876,-291.869719876,291.869719876,-291.869719876,-291.869719876,-291.869719876,-291.869719876,-291.869719876,-291.869719876,291.869719876,291.869719876,291.869719876,291.869719876,0.0,-291.869719876,291.869719876,-291.869719876,-291.869719876
CT,@CTH7,68.86,1.340508567,-0.00669090911984,-1.0,1.0,1.0,1.0,-1.0,-7.0,2016-10-28,670.2542835,1.0,1.0,1.0,34430.0,1.0,-0.00669090911984,68.86,soft,1.0,1.0,2016-10-28,1.0,1.0,-8.0,-8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,-1.0,-1,-1,-1.0,-1,-230.368000996,230.368000996,-230.368000996,230.368000996,-230.368000996,230.368000996,-230.368000996,230.368000996,-230.368000996,-230.368000996,-230.368000996,-230.368000996,230.368000996,230.368000996,230.368000996,230.368000996,-230.368000996,230.368000996,-230.368000996,230.368000996,230.368000996,230.368000996,230.368000996,230.368000996,230.368000996,-230.368000996,-230.368000996,-230.368000996,-230.368000996,-0.0,230.368000996,-230.368000996,230.368000996,230.368000996
CU,@EUZ6,1.0946,0.0084075,-0.00914275368878,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,2016-10-21,1050.9375,1.0,1.0,1.0,136825.0,1.0,-0.00914275368878,1.0946,currency,1.0,1.0,2016-10-21,-1.0,-1.0,-3.0,-3.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1,1,1.0,1,-1250.95727347,1250.95727347,1250.95727347,-1250.95727347,-1250.95727347,1250.95727347,-1250.95727347,1250.95727347,1250.95727347,1250.95727347,1250.95727347,1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,1250.95727347,-1250.95727347,-1250.95727347,1250.95727347,1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,-1250.95727347,-0.0,-1250.95727347,-1250.95727347
DX,@DXZ6,98.529,0.60445,0.00683629675046,1.0,1.0,1.0,1.0,1.0,-8.0,2016-10-27,604.45,1.0,1.0,1.0,98529.0,1.0,0.00683629675046,98.529,currency,-1.0,-1.0,2016-10-27,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1,-1,-1.0,-1,673.573482526,673.573482526,673.573482526,-673.573482526,-673.573482526,673.573482526,-673.573482526,673.573482526,673.573482526,673.573482526,673.573482526,673.573482526,-673.573482526,-673.573482526,-673.573482526,673.573482526,-673.573482526,-673.573482526,673.573482526,673.573482526,-673.573482526,-673.573482526,-673.573482526,-673.573482526,-673.573482526,-673.573482526,-673.573482526,-673.573482526,-673.573482526,-673.573482526,-673.573482526,0.0,-673.573482526,-673.573482526
