2016-08-11 00:00:00,Contract,LastClose,ATR20,PC2016-08-11 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-11 00:00:00,RiskOn,group,SEA2016-08-11 00:00:00,SRUN2016-08-11 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-10 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-10 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-10 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-10 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACU6,1.416,0.0269713115,-0.000705716302047,-1.0,1.0,-1.0,1.0,1.0,-7.0,2016-08-02,782.1680335,3.0,1.0,41064.0,1.416,1.0,energy,1.0,-7.0,-1.0,1.0,-6.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
AD,@ADU6,0.7697,0.00741,-0.000519413063238,-1.0,1.0,-1.0,1.0,-1.0,-14.0,2016-07-22,741.0,3.0,1.0,76970.0,0.7697,1.0,currency,-1.0,-14.0,1.0,-1.0,-13.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-119.937670432,119.937670432,-119.937670432,119.937670432,-119.937670432,119.937670432,119.937670432,-119.937670432,119.937670432,-119.937670432,119.937670432,119.937670432,119.937670432,-119.937670432,-119.937670432,119.937670432,-119.937670432,119.937670432,-119.937670432,-119.937670432,119.937670432,119.937670432
AEX,AEXQ6,455.15,5.2375,0.010434010434,1.0,1.0,1.0,1.0,-1.0,-7.0,2016-08-02,1166.81025,2.0,1.0,101398.317,455.15,1.0,index,-1.0,-7.0,-1.0,-1.0,-6.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,2115.98219514,2115.98219514,-2115.98219514,2115.98219514,2115.98219514,-2115.98219514,-2115.98219514,2115.98219514,2115.98219514,2115.98219514,-2115.98219514,-2115.98219514,-2115.98219514,2115.98219514,2115.98219514,-2115.98219514,2115.98219514,2115.98219514,2115.98219514,2115.98219514,-2115.98219514,2115.98219514
BO,@BOZ6,32.21,0.672,0.0068771491091,1.0,-1.0,-1.0,1.0,-1.0,-7.0,2016-08-02,403.2,5.0,2.0,19326.0,32.21,1.0,grain,-1.0,-7.0,1.0,-1.0,-6.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,-1,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,664.538918412,664.538918412,664.538918412,-664.538918412,664.538918412,-664.538918412,-664.538918412,-664.538918412,-664.538918412,664.538918412,-664.538918412,664.538918412,-664.538918412,664.538918412,664.538918412,-664.538918412,664.538918412,-664.538918412,-664.538918412,-664.538918412,-664.538918412,-664.538918412
BP,@BPU6,1.2976,0.01325,-0.00337941628264,-1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-08-02,828.125,3.0,1.0,81100.0,1.2976,1.0,currency,-1.0,7.0,1.0,-1.0,6.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,1,-1,-822.211981567,822.211981567,-822.211981567,822.211981567,-822.211981567,822.211981567,822.211981567,822.211981567,-822.211981567,822.211981567,-822.211981567,-822.211981567,822.211981567,-822.211981567,822.211981567,-822.211981567,-822.211981567,822.211981567,822.211981567,822.211981567,-822.211981567,-822.211981567
C,@CZ6,331.75,7.1875,-0.00375375375375,-1.0,-1.0,1.0,-1.0,1.0,-10.0,2016-07-28,359.375,6.0,2.0,16587.5,331.75,1.0,grain,1.0,-10.0,1.0,1.0,-9.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-373.592342342,373.592342342,-373.592342342,373.592342342,-373.592342342,373.592342342,-373.592342342,373.592342342,-373.592342342,373.592342342,-373.592342342,-373.592342342,-373.592342342,373.592342342,373.592342342,-373.592342342,373.592342342,373.592342342,373.592342342,373.592342342,-373.592342342,373.592342342
CC,@CCZ6,2993.0,62.9995381065,-0.00399334442596,-1.0,1.0,-1.0,1.0,1.0,-9.0,2016-07-29,629.995381065,4.0,1.0,29930.0,2993.0,1.0,soft,1.0,-9.0,1.0,1.0,-8.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-478.083194676,478.083194676,-478.083194676,478.083194676,-478.083194676,478.083194676,-478.083194676,-478.083194676,478.083194676,-478.083194676,478.083194676,478.083194676,-478.083194676,478.083194676,478.083194676,-478.083194676,-478.083194676,478.083194676,478.083194676,478.083194676,-478.083194676,478.083194676
CD,@CDU6,0.7712,0.0062925,0.00672279877293,1.0,-1.0,-1.0,-1.0,-1.0,-3.0,2016-08-04,629.25,4.0,1.0,77120.0,0.7712,1.0,currency,-1.0,-3.0,1.0,-1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,2073.84896547,2073.84896547,2073.84896547,-2073.84896547,2073.84896547,-2073.84896547,-2073.84896547,-2073.84896547,-2073.84896547,-2073.84896547,2073.84896547,2073.84896547,-2073.84896547,2073.84896547,-2073.84896547,2073.84896547,2073.84896547,-2073.84896547,-2073.84896547,-2073.84896547,2073.84896547,-2073.84896547
CGB,CBU6,148.23,0.656,-0.00423216444982,-1.0,1.0,-1.0,1.0,1.0,6.0,2016-08-03,505.081613797,4.0,1.0,114128.42624,148.23,-1.0,rates,1.0,6.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
CL,QCLU6,43.49,1.4395,0.0426756173579,1.0,1.0,1.0,1.0,-1.0,-7.0,2016-08-02,1439.5,2.0,1.0,43490.0,43.49,1.0,energy,-1.0,-7.0,-1.0,-1.0,-6.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,3711.92519779,3711.92519779,-3711.92519779,3711.92519779,3711.92519779,-3711.92519779,-3711.92519779,3711.92519779,3711.92519779,3711.92519779,-3711.92519779,-3711.92519779,-3711.92519779,3711.92519779,3711.92519779,-3711.92519779,3711.92519779,3711.92519779,3711.92519779,3711.92519779,-3711.92519779,3711.92519779
