2016-07-21 00:00:00,Contract,LastClose,ATR20,PC2016-07-21 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-21 00:00:00,RiskOn,group,SEA2016-07-21 00:00:00,SRUN2016-07-21 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-20 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-20 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-20 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-20 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
AC,@ACU6,1.445,0.0362573765,-0.00891632373114,-1.0,-1.0,1.0,-1.0,-1.0,6.0,2016-07-13,-1.0,1051.4639185,2.0,41905.0,1.445,1.0,energy,-1.0,6.0,-1.0,5.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1.0,-1,-1,-373.638545953,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
AD,@ADU6,0.7473,0.00964,0.00187692720204,1.0,-1.0,-1.0,-1.0,-1.0,-5.0,2016-07-14,-1.0,964.0,3.0,74730.0,0.7473,1.0,currency,-1.0,-5.0,-1.0,-4.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1.0,-1,-1,140.262769808,420.788309425,-420.788309425,-420.788309425,-420.788309425,-420.788309425,-420.788309425,420.788309425,420.788309425,-420.788309425,-420.788309425,420.788309425,420.788309425,-420.788309425
AEX,AEXQ6,448.5,7.438688084,-0.000557103064067,-1.0,1.0,-1.0,1.0,-1.0,-10.0,2016-07-07,1.0,1640.37949628,2.0,98903.22,448.5,1.0,index,-1.0,-10.0,-1.0,-9.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,1.0,1,-1,-55.0992869081,110.198573816,-110.198573816,-110.198573816,110.198573816,-110.198573816,110.198573816,-110.198573816,-110.198573816,-110.198573816,-110.198573816,110.198573816,-110.198573816,110.198573816
BO,@BOZ6,31.6,0.7415,0.0112,1.0,1.0,1.0,-1.0,-1.0,-10.0,2016-07-07,1.0,444.9,5.0,18960.0,31.6,1.0,grain,-1.0,-10.0,-1.0,-9.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,1,-1,1.0,1,-1,212.352,1061.76,1061.76,1061.76,1061.76,-1061.76,-1061.76,1061.76,1061.76,1061.76,1061.76,-1061.76,1061.76,-1061.76
BP,@BPU6,1.3212,0.030515,0.00418028425933,1.0,1.0,1.0,-1.0,-1.0,-5.0,2016-07-14,1.0,1907.1875,2.0,82575.0,1.3212,1.0,currency,-1.0,-5.0,-1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1,-1,1.0,1,-1,345.186972714,690.373945428,690.373945428,690.373945428,690.373945428,-690.373945428,-690.373945428,690.373945428,690.373945428,690.373945428,690.373945428,-690.373945428,690.373945428,-690.373945428
C,@CZ6,340.75,13.828211498,-0.0101670297749,-1.0,1.0,-1.0,1.0,-1.0,6.0,2016-07-13,-1.0,691.4105749,3.0,17037.5,340.75,1.0,grain,-1.0,6.0,-1.0,5.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1,-1.0,-1,-1,-173.220769789,519.662309368,519.662309368,-519.662309368,519.662309368,-519.662309368,519.662309368,-519.662309368,519.662309368,519.662309368,519.662309368,-519.662309368,-519.662309368,519.662309368
CC,@CCU6,2902.0,58.95,-0.022566520714,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,2016-07-14,-1.0,589.5,4.0,29020.0,2902.0,1.0,soft,-1.0,14.0,-1.0,13.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1.0,-1,-1,-654.880431122,2619.52172449,2619.52172449,2619.52172449,2619.52172449,2619.52172449,2619.52172449,-2619.52172449,2619.52172449,2619.52172449,2619.52172449,-2619.52172449,-2619.52172449,2619.52172449
CD,@CDU6,0.76395,0.0076225,-0.00235063663075,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2016-07-14,-1.0,762.25,3.0,76395.0,0.76395,1.0,currency,-1.0,5.0,-1.0,4.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1.0,-1,-1,-179.576885406,538.730656219,538.730656219,538.730656219,538.730656219,538.730656219,538.730656219,-538.730656219,538.730656219,538.730656219,538.730656219,-538.730656219,-538.730656219,538.730656219
CGB,CBU6,147.43,0.843,0.00101846822379,1.0,1.0,1.0,-1.0,1.0,-9.0,2016-07-08,-1.0,644.446143261,4.0,112705.450654,147.43,-1.0,rates,1.0,-9.0,1.0,-8.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,-1,1,-1.0,-1,1,114.786920139,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
CL,QCLU6,44.75,1.8482189105,-0.0218579234973,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,2016-07-12,1.0,1848.2189105,2.0,44750.0,44.75,1.0,energy,-1.0,7.0,-1.0,6.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,-1,-1.0,-1,-1,-978.142076503,1956.28415301,1956.28415301,1956.28415301,1956.28415301,1956.28415301,1956.28415301,-1956.28415301,1956.28415301,1956.28415301,-1956.28415301,1956.28415301,-1956.28415301,1956.28415301
