2017-05-31 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-05-31 00:00:00,Close2017-05-31 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-05-31 00:00:00,LastSRUN,SRUN2017-05-31 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-05-30 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-05-30 00:00:00,0.5SIG2017-05-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-05-30 00:00:00,0.75SIG2017-05-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-05-30 00:00:00,1SIG2017-05-29 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACN7,1.548,0.031996836,0.0111038536904,1.0,1.0,-1.0,1.0,-1.0,8.0,2017-05-17,927.908244,1.0,1.0,1.0,44892.0,1.0,0.0111038536904,1.548,energy,1.0,1.0,2017-05-17,-1.0,-1.0,9.0,9.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
AD,@ADM7,0.7432,0.005195,-0.00415382553933,-1.0,1.0,1.0,1.0,1.0,-14.0,2017-05-09,519.5,1.0,1.0,1.0,74320.0,1.0,-0.00415382553933,0.7432,currency,1.0,1.0,2017-05-09,1.0,1.0,-15.0,-15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-308.712314083,308.712314083,-308.712314083,308.712314083,-308.712314083,308.712314083,-308.712314083,308.712314083,-308.712314083,-308.712314083,-308.712314083,-308.712314083,308.712314083,308.712314083,308.712314083,-308.712314083,-308.712314083,308.712314083,-308.712314083,308.712314083,-308.712314083,-308.712314083,308.712314083,-308.712314083,-308.712314083,-0.0,-308.712314083,-308.712314083,308.712314083,-0.0,308.712314083,-308.712314083,-308.712314083,-308.712314083,308.712314083
AEX,AEXM7,523.45,3.9777491355,-0.00314225861741,-1.0,1.0,-1.0,1.0,-1.0,-25.0,2017-04-24,894.277560643,1.0,1.0,1.0,117682.029,0.889600569344,-0.00314225861741,523.45,index,1.0,1.0,2017-04-24,-1.0,-1.0,-26.0,-26.0,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
BO,@BON7,31.34,0.5485,-0.00254614894971,-1.0,-1.0,1.0,-1.0,-1.0,8.0,2017-05-17,329.1,3.0,1.0,1.0,18804.0,1.0,-0.00254614894971,31.34,grain,1.0,1.0,2017-05-17,-1.0,-1.0,9.0,9.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-143.633354551,143.633354551,143.633354551,-143.633354551,-143.633354551,143.633354551,-143.633354551,143.633354551,-143.633354551,143.633354551,-143.633354551,143.633354551,-143.633354551,-143.633354551,143.633354551,143.633354551,143.633354551,-143.633354551,-143.633354551,143.633354551,143.633354551,-143.633354551,-143.633354551,-143.633354551,-143.633354551,-143.633354551,-143.633354551,-143.633354551,-143.633354551,-143.633354551,-143.633354551,-143.633354551,-0.0,-0.0,-143.633354551
BP,@BPM7,1.29,0.008815,0.00272055965799,1.0,-1.0,-1.0,1.0,1.0,-19.0,2017-05-02,550.9375,1.0,1.0,1.0,80625.0,1.0,0.00272055965799,1.29,currency,1.0,1.0,2017-05-02,1.0,1.0,-20.0,-20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,2.0,1.0,1.0,,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,219.345122425,219.345122425,219.345122425,-219.345122425,219.345122425,-219.345122425,219.345122425,-219.345122425,219.345122425,-219.345122425,-219.345122425,219.345122425,-219.345122425,219.345122425,219.345122425,219.345122425,219.345122425,-219.345122425,219.345122425,-219.345122425,219.345122425,-219.345122425,-219.345122425,-219.345122425,0.0,-219.345122425,-219.345122425,-219.345122425,-219.345122425,-219.345122425,0.0,219.345122425,0.0,219.345122425,-219.345122425
C,@CN7,372.0,5.75,0.0136239782016,1.0,1.0,-1.0,1.0,-1.0,-19.0,2017-05-02,287.5,3.0,1.0,1.0,18600.0,1.0,0.0136239782016,372.0,grain,1.0,1.0,2017-05-02,-1.0,-1.0,-20.0,-20.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,760.217983651,760.217983651,-760.217983651,760.217983651,760.217983651,-760.217983651,760.217983651,-760.217983651,760.217983651,760.217983651,-760.217983651,760.217983651,-760.217983651,-760.217983651,760.217983651,-760.217983651,-760.217983651,760.217983651,760.217983651,-760.217983651,-760.217983651,760.217983651,760.217983651,760.217983651,0.0,0.0,760.217983651,760.217983651,760.217983651,760.217983651,760.217983651,760.217983651,760.217983651,-760.217983651,-760.217983651
CC,@CCN7,2048.0,61.3,0.0054000981836,1.0,1.0,1.0,1.0,1.0,2.0,2017-05-18,613.0,1.0,1.0,1.0,20480.0,1.0,0.0054000981836,2048.0,soft,1.0,1.0,2017-05-18,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
CD,@CDM7,0.74065,0.0047175,-0.00296156693814,-1.0,1.0,1.0,1.0,1.0,-17.0,2017-05-04,471.75,2.0,1.0,1.0,74065.0,1.0,-0.00296156693814,0.74065,currency,1.0,1.0,2017-05-04,1.0,1.0,-18.0,-18.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-438.696910547,438.696910547,438.696910547,-438.696910547,-438.696910547,438.696910547,-438.696910547,438.696910547,-438.696910547,-438.696910547,-438.696910547,-438.696910547,438.696910547,438.696910547,438.696910547,-438.696910547,-438.696910547,438.696910547,-438.696910547,438.696910547,438.696910547,-438.696910547,438.696910547,-0.0,438.696910547,438.696910547,-438.696910547,-438.696910547,-438.696910547,-438.696910547,-0.0,-438.696910547,-0.0,-0.0,438.696910547
CGB,CBU7,145.46,0.5651291815,0.000894515929264,1.0,-1.0,-1.0,-1.0,1.0,13.0,2017-05-10,418.614208519,2.0,1.0,1.0,107748.148148,1.35,0.000894515929264,145.46,rates,-1.0,1.0,2017-05-10,1.0,1.0,14.0,14.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1.0,-1.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
CL,QCLN7,48.32,1.515704223,-0.0269834877165,-1.0,-1.0,-1.0,-1.0,-1.0,-17.0,2017-05-04,1515.704223,1.0,1.0,1.0,48320.0,1.0,-0.0269834877165,48.32,energy,1.0,1.0,2017-05-23,-1.0,-1.0,5.0,5.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-1303.84212646,1303.84212646,1303.84212646,-1303.84212646,-1303.84212646,1303.84212646,-1303.84212646,1303.84212646,-1303.84212646,1303.84212646,1303.84212646,1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,1303.84212646,1303.84212646,-1303.84212646,-1303.84212646,1303.84212646,1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,-1303.84212646,-0.0,-0.0,-1303.84212646
