2016-10-04 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-10-04 00:00:00,Close2016-10-04 00:00:00,group,RiskOn,Excess,SEA2016-10-04 00:00:00,SRUN2016-10-04 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-10-03 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-03 00:00:00,0.5SIG2016-09-30 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-03 00:00:00,0.75SIG2016-09-30 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-03 00:00:00,1SIG2016-09-30 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.47,0.0247043765,-0.000679809653297,-1.0,1.0,-1.0,1.0,1.0,-23.0,2016-08-31,716.4269185,3.0,1.0,1.0,42630.0,-0.000679809653297,1.47,energy,1.0,1.0,1.0,-23.0,1.0,1.0,-22.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0.0,-1.0,-1,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
AD,@ADZ6,0.7605,0.007020232,-0.00718015665796,-1.0,1.0,-1.0,1.0,1.0,15.0,2016-09-13,702.0232,3.0,1.0,1.0,76050.0,-0.00718015665796,0.7605,currency,1.0,1.0,1.0,15.0,1.0,1.0,14.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1,-1638.15274151,1638.15274151,-1638.15274151,1638.15274151,-1638.15274151,1638.15274151,-1638.15274151,1638.15274151,1638.15274151,-1638.15274151,1638.15274151,-1638.15274151,1638.15274151,1638.15274151,-1638.15274151,1638.15274151,-1638.15274151,1638.15274151,-1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151,1638.15274151
AEX,AEXV6,458.1,6.841661017,0.0118166758697,1.0,1.0,1.0,-1.0,1.0,7.0,2016-09-23,1532.94256747,2.0,1.0,1.0,102641.886,0.0118166758697,458.1,index,1.0,1.0,1.0,7.0,1.0,1.0,-11.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,-1.0,,-1,-1,1,-1,-1,-1,-1.0,1,1,1,-1,-1,-1,0.0,0.0,-1.0,1.0,-1.0,-1,-1,0,1.0,0,2425.77179503,2425.77179503,2425.77179503,-2425.77179503,2425.77179503,-2425.77179503,2425.77179503,-2425.77179503,0.0,2425.77179503,2425.77179503,-2425.77179503,2425.77179503,-2425.77179503,2425.77179503,-2425.77179503,-2425.77179503,2425.77179503,2425.77179503,2425.77179503,-2425.77179503,0.0,2425.77179503,0.0,-2425.77179503,-2425.77179503,0.0,0.0,-2425.77179503,2425.77179503,-2425.77179503,-2425.77179503,-2425.77179503
BO,@BOZ6,33.1,0.636,-0.00421179302046,-1.0,-1.0,1.0,-1.0,1.0,8.0,2016-09-22,381.6,6.0,1.0,1.0,19860.0,-0.00421179302046,33.1,grain,1.0,1.0,1.0,8.0,-1.0,1.0,7.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,,2.0,6.0,-1.0,,2.0,6.0,-1.0,,-1,-1,1,1,-1,1,1.0,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,0,-1,1,1.0,1,-501.877256318,501.877256318,501.877256318,-501.877256318,-501.877256318,501.877256318,-501.877256318,501.877256318,-501.877256318,501.877256318,-501.877256318,501.877256318,-501.877256318,-501.877256318,-501.877256318,501.877256318,-501.877256318,501.877256318,-501.877256318,-501.877256318,-501.877256318,-501.877256318,-501.877256318,-501.877256318,-501.877256318,-501.877256318,-501.877256318,-501.877256318,-501.877256318,-501.877256318,501.877256318,-0.0,501.877256318
BP,@BPZ6,1.2744,0.0112537835,-0.0101747572816,-1.0,-1.0,1.0,-1.0,1.0,-20.0,2016-09-06,703.36146875,3.0,1.0,1.0,79650.0,-0.0101747572816,1.2744,currency,1.0,1.0,1.0,-20.0,-1.0,1.0,-19.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,0,-1,1,1.0,1,-2431.25825243,2431.25825243,2431.25825243,-2431.25825243,-2431.25825243,2431.25825243,-2431.25825243,2431.25825243,-2431.25825243,2431.25825243,-2431.25825243,2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,2431.25825243,2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,-2431.25825243,2431.25825243,-0.0,2431.25825243
C,@CZ6,348.25,6.9875,0.00650289017341,1.0,1.0,1.0,1.0,1.0,-6.0,2016-09-26,349.375,6.0,1.0,1.0,17412.5,0.00650289017341,348.25,grain,1.0,1.0,1.0,-6.0,1.0,1.0,-5.0,0.0,1.0,6.0,0.0,1.0,6.0,1.0,,2.0,6.0,1.0,,2.0,6.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,-1,-1,0.0,0.0,-1.0,0.0,-1.0,-1,-1,0,1.0,0,679.389450867,679.389450867,679.389450867,-679.389450867,679.389450867,-679.389450867,679.389450867,-679.389450867,0.0,679.389450867,679.389450867,679.389450867,-679.389450867,-679.389450867,679.389450867,-679.389450867,-679.389450867,679.389450867,679.389450867,679.389450867,-679.389450867,0.0,679.389450867,0.0,-679.389450867,-679.389450867,0.0,0.0,-679.389450867,0.0,-679.389450867,-679.389450867,-679.389450867
CC,@CCZ6,2815.0,62.75,0.0078768349445,1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-09-23,627.5,4.0,1.0,1.0,28150.0,0.0078768349445,2815.0,soft,1.0,1.0,-1.0,7.0,1.0,-1.0,6.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,-1,-1,1,1,1,-1,-1.0,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0,1,1,1.0,1,886.931614751,886.931614751,886.931614751,-886.931614751,886.931614751,-886.931614751,886.931614751,-886.931614751,886.931614751,-886.931614751,886.931614751,-886.931614751,886.931614751,886.931614751,-886.931614751,886.931614751,-886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,886.931614751,0.0,886.931614751
CD,@CDZ6,0.75795,0.006473513,-0.00661861074705,-1.0,-1.0,-1.0,1.0,-1.0,-20.0,2016-09-06,647.3513,4.0,1.0,1.0,75795.0,-0.00661861074705,0.75795,currency,1.0,1.0,-1.0,-20.0,1.0,-1.0,-19.0,0.0,1.0,4.0,0.0,1.0,4.0,-1.0,,1.0,4.0,-1.0,,1.0,4.0,1.0,,-1,-1,-1,1,1,-1,1.0,-1,-1,-1,1,1,1,0.0,0.0,1.0,-1.0,1.0,0,1,0,-1.0,0,-2006.63040629,2006.63040629,-2006.63040629,2006.63040629,-2006.63040629,2006.63040629,-2006.63040629,2006.63040629,-0.0,2006.63040629,2006.63040629,-2006.63040629,2006.63040629,-2006.63040629,2006.63040629,-2006.63040629,-2006.63040629,2006.63040629,2006.63040629,2006.63040629,-2006.63040629,-0.0,2006.63040629,-0.0,-2006.63040629,-2006.63040629,-0.0,-0.0,-2006.63040629,2006.63040629,-2006.63040629,-0.0,-2006.63040629
CGB,CBZ6,146.29,0.6995,-0.00428804791723,-1.0,1.0,-1.0,1.0,-1.0,-3.0,2016-09-14,530.406430088,4.0,1.0,1.0,110926.599939,-0.00428804791723,146.29,rates,-1.0,1.0,-1.0,-3.0,1.0,1.0,13.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
CL,QCLX6,48.69,1.5708376395,-0.00245851259988,-1.0,1.0,-1.0,1.0,-1.0,-12.0,2016-09-16,1570.8376395,2.0,1.0,1.0,48690.0,-0.00245851259988,48.69,energy,1.0,1.0,-1.0,-12.0,1.0,-1.0,-11.0,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,1,-1,0.0,0.0,0.0,-1.0,0.0,-1,-1,-1,-1.0,-1,-239.409956976,239.409956976,-239.409956976,239.409956976,-239.409956976,239.409956976,-239.409956976,239.409956976,-0.0,-239.409956976,239.409956976,-239.409956976,239.409956976,239.409956976,239.409956976,-239.409956976,-239.409956976,239.409956976,239.409956976,239.409956976,239.409956976,239.409956976,239.409956976,239.409956976,-239.409956976,239.409956976,-0.0,-0.0,-0.0,239.409956976,-0.0,239.409956976,239.409956976
