2016-08-25 00:00:00,Contract,LastClose,ATR20,PC2016-08-25 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-25 00:00:00,RiskOn,group,SEA2016-08-25 00:00:00,SRUN2016-08-25 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-24 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-24 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-24 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-24 00:00:00,RiskOff,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9
AC,@ACV6,1.435,0.0229183085,-0.00692041522491,-1.0,1.0,-1.0,1.0,-1.0,13.0,2016-08-08,664.6309465,4.0,1.0,1.0,41615.0,1.435,1.0,energy,-1.0,13.0,-1.0,-1.0,-16.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,1,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
AD,@ADU6,0.7611,0.00687,0.000788954635109,1.0,-1.0,-1.0,1.0,1.0,-30.0,2016-07-14,687.0,3.0,1.0,1.0,76110.0,0.7611,1.0,currency,1.0,-30.0,-1.0,1.0,-29.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,-1,-1,1,-1,1,-1.0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,180.142011834,180.142011834,-180.142011834,180.142011834,180.142011834,-180.142011834,-180.142011834,-180.142011834,-180.142011834,180.142011834,-180.142011834,180.142011834,180.142011834,-180.142011834,-180.142011834,180.142011834,-180.142011834,-180.142011834,-180.142011834,-180.142011834,-180.142011834,-180.142011834,-180.142011834,180.142011834,-180.142011834
AEX,AEXU6,449.75,5.0192076825,-0.00486779511008,-1.0,1.0,-1.0,1.0,1.0,-35.0,2016-07-07,1132.23286902,2.0,1.0,1.0,101454.605,449.75,1.0,index,1.0,-35.0,1.0,-1.0,-34.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-1,0,-987.720460228,987.720460228,-987.720460228,987.720460228,-987.720460228,987.720460228,987.720460228,-987.720460228,987.720460228,-987.720460228,987.720460228,987.720460228,987.720460228,-987.720460228,-987.720460228,987.720460228,-987.720460228,987.720460228,-987.720460228,-987.720460228,987.720460228,987.720460228,987.720460228,987.720460228,-0.0
BO,@BOZ6,33.32,0.738,-0.0197116799059,-1.0,1.0,1.0,1.0,1.0,4.0,2016-08-19,442.8,5.0,1.0,1.0,19992.0,33.32,1.0,grain,1.0,4.0,-1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,1,-1,-1970.37952339,1970.37952339,1970.37952339,-1970.37952339,-1970.37952339,1970.37952339,-1970.37952339,-1970.37952339,-1970.37952339,-1970.37952339,1970.37952339,1970.37952339,-1970.37952339,1970.37952339,-1970.37952339,1970.37952339,1970.37952339,-1970.37952339,-1970.37952339,-1970.37952339,1970.37952339,-1970.37952339,-1970.37952339,-1970.37952339,1970.37952339
BP,@BPU6,1.3175,0.011925,-0.00453343407631,-1.0,-1.0,-1.0,-1.0,1.0,17.0,2016-08-02,745.3125,3.0,1.0,1.0,82343.75,1.3175,1.0,currency,1.0,17.0,1.0,1.0,16.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,-1,1.0,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1119.89988666,1119.89988666,-1119.89988666,1119.89988666,-1119.89988666,1119.89988666,1119.89988666,1119.89988666,1119.89988666,1119.89988666,-1119.89988666,-1119.89988666,-1119.89988666,1119.89988666,-1119.89988666,1119.89988666,1119.89988666,1119.89988666,1119.89988666,1119.89988666,-1119.89988666,1119.89988666,1119.89988666,1119.89988666,-0.0
C,@CZ6,332.0,5.6375,-0.0126394052045,-1.0,1.0,-1.0,1.0,-1.0,-20.0,2016-07-28,281.875,8.0,1.0,1.0,16600.0,332.0,1.0,grain,-1.0,-20.0,-1.0,-1.0,-19.0,1.0,1.0,8.0,1.0,2.0,8.0,-1.0,1.0,8.0,1.0,1.0,8.0,1.0,-1,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,1,0,-1678.51301115,1678.51301115,1678.51301115,-1678.51301115,-1678.51301115,1678.51301115,-1678.51301115,-1678.51301115,1678.51301115,-1678.51301115,1678.51301115,1678.51301115,1678.51301115,-1678.51301115,-1678.51301115,1678.51301115,-1678.51301115,-1678.51301115,-1678.51301115,-1678.51301115,1678.51301115,-1678.51301115,1678.51301115,-1678.51301115,-0.0
CC,@CCZ6,3028.0,62.6259815245,0.00364600596619,1.0,1.0,1.0,1.0,-1.0,9.0,2016-08-12,626.259815245,4.0,1.0,1.0,30280.0,3028.0,1.0,soft,-1.0,9.0,-1.0,1.0,-18.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,-1,1,-1.0,1,-1,1,1,1,-1,1,1,1,-1,441.604242625,441.604242625,-441.604242625,441.604242625,441.604242625,-441.604242625,441.604242625,441.604242625,441.604242625,441.604242625,-441.604242625,-441.604242625,441.604242625,-441.604242625,-441.604242625,441.604242625,-441.604242625,441.604242625,441.604242625,441.604242625,-441.604242625,441.604242625,441.604242625,441.604242625,-441.604242625
CD,@CDU6,0.77355,0.00563,0.000517364030266,1.0,1.0,-1.0,1.0,1.0,-23.0,2016-07-25,563.0,4.0,1.0,1.0,77355.0,0.77355,1.0,currency,1.0,-23.0,-1.0,1.0,-22.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,1,-1,160.082778245,160.082778245,-160.082778245,160.082778245,160.082778245,-160.082778245,-160.082778245,160.082778245,-160.082778245,160.082778245,-160.082778245,-160.082778245,160.082778245,-160.082778245,-160.082778245,160.082778245,-160.082778245,-160.082778245,160.082778245,-160.082778245,-160.082778245,-160.082778245,-160.082778245,160.082778245,-160.082778245
CGB,CBU6,148.03,0.6255,-0.00188793742836,-1.0,1.0,1.0,1.0,1.0,-33.0,2016-07-08,484.020738219,5.0,1.0,1.0,114547.705641,148.03,-1.0,rates,1.0,-33.0,-1.0,1.0,-32.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,-1,-1,-1,1,-1.0,1,-1,1,1,1,-1,1,1,1,-1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
CL,QCLV6,47.33,1.516236683,0.0119734872782,1.0,-1.0,-1.0,-1.0,-1.0,-17.0,2016-08-02,1516.236683,2.0,1.0,1.0,47330.0,47.33,1.0,energy,-1.0,-17.0,-1.0,-1.0,-16.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,1,1,1133.41030575,1133.41030575,-1133.41030575,1133.41030575,1133.41030575,-1133.41030575,1133.41030575,-1133.41030575,-1133.41030575,-1133.41030575,1133.41030575,1133.41030575,-1133.41030575,1133.41030575,1133.41030575,-1133.41030575,-1133.41030575,1133.41030575,1133.41030575,1133.41030575,-1133.41030575,1133.41030575,-1133.41030575,1133.41030575,1133.41030575
CT,@CTZ6,68.04,1.64,0.00368785956631,1.0,-1.0,1.0,-1.0,1.0,-11.0,2016-08-10,820.0,3.0,1.0,1.0,34020.0,68.04,1.0,soft,1.0,-11.0,-1.0,1.0,-10.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,0,376.382947337,376.382947337,-376.382947337,376.382947337,376.382947337,-376.382947337,376.382947337,-376.382947337,376.382947337,-376.382947337,376.382947337,376.382947337,376.382947337,-376.382947337,-376.382947337,376.382947337,-376.382947337,376.382947337,-376.382947337,-376.382947337,376.382947337,376.382947337,376.382947337,376.382947337,0.0
CU,@EUU6,1.1289,0.0064375,0.00137490575243,1.0,-1.0,1.0,-1.0,1.0,24.0,2016-07-22,804.6875,3.0,1.0,1.0,141112.5,1.1289,1.0,currency,1.0,24.0,-1.0,1.0,23.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1,0,582.049163969,582.049163969,-582.049163969,582.049163969,582.049163969,-582.049163969,582.049163969,-582.049163969,582.049163969,-582.049163969,582.049163969,582.049163969,582.049163969,-582.049163969,582.049163969,-582.049163969,-582.049163969,582.049163969,-582.049163969,-582.049163969,-582.049163969,582.049163969,582.049163969,582.049163969,0.0
