,2016-12-29
ACC_ACT,1.0
L%_ACT,0.670886075949
ACC_prevACT,0.632911392405
L%_prevACT,0.53164556962
ACC_AntiPrevACT,0.367088607595
L%_AntiPrevACT,0.46835443038
ACC_RiskOn,0.443037974684
L%_RiskOn,0.721518987342
ACC_RiskOff,0.556962025316
L%_RiskOff,0.278481012658
ACC_Custom,0.708860759494
L%_Custom,0.810126582278
ACC_AntiCustom,0.291139240506
L%_AntiCustom,0.189873417722
ACC_LastSIG,0.443037974684
L%_LastSIG,0.721518987342
ACC_0.75LastSIG,0.443037974684
L%_0.75LastSIG,0.367088607595
ACC_0.5LastSIG,0.556962025316
L%_0.5LastSIG,0.455696202532
ACC_1LastSIG,0.303797468354
L%_1LastSIG,0.405063291139
ACC_Anti1LastSIG,0.696202531646
L%_Anti1LastSIG,0.594936708861
ACC_Anti0.75LastSIG,0.556962025316
L%_Anti0.75LastSIG,0.632911392405
ACC_Anti0.5LastSIG,0.443037974684
L%_Anti0.5LastSIG,0.544303797468
ACC_prevSEA,0.620253164557
L%_prevSEA,0.46835443038
ACC_LastSEA,0.607594936709
L%_LastSEA,0.481012658228
ACC_AntiSEA,0.379746835443
L%_AntiSEA,0.53164556962
ACC_AdjSEA,0.443037974684
L%_AdjSEA,0.645569620253
ACC_AntiAdjSEA,0.556962025316
L%_AntiAdjSEA,0.354430379747
ACC_Voting,0.73417721519
L%_Voting,0.582278481013
ACC_Voting2,0.405063291139
L%_Voting2,0.556962025316
ACC_Voting3,0.455696202532
L%_Voting3,0.582278481013
ACC_Voting4,0.379746835443
L%_Voting4,0.53164556962
ACC_Voting5,0.430379746835
L%_Voting5,0.493670886076
ACC_Voting6,0.379746835443
L%_Voting6,0.455696202532
ACC_Voting7,0.443037974684
L%_Voting7,0.645569620253
ACC_Voting8,0.405063291139
L%_Voting8,0.582278481013
ACC_Voting9,0.367088607595
L%_Voting9,0.544303797468
ACC_Voting10,0.26582278481
L%_Voting10,0.430379746835
ACC_Voting11,0.291139240506
L%_Voting11,0.481012658228
ACC_Voting12,0.367088607595
L%_Voting12,0.544303797468
ACC_Voting13,0.240506329114
L%_Voting13,0.354430379747
ACC_Voting14,0.481012658228
L%_Voting14,0.430379746835
ACC_Voting15,0.455696202532
L%_Voting15,0.455696202532
PNL_ACT,13975.8436283
PNL_prevACT,4400.14852357
PNL_AntiPrevACT,-4400.14852357
PNL_RiskOn,-3316.00365974
PNL_RiskOff,3316.00365974
PNL_Custom,9741.98213821
PNL_AntiCustom,-9741.98213821
PNL_LastSIG,-3316.00365974
PNL_0.75LastSIG,-3568.28228228
PNL_0.5LastSIG,3818.06448202
PNL_1LastSIG,-6280.05310605
PNL_Anti1LastSIG,6280.05310605
PNL_Anti0.75LastSIG,3568.28228228
PNL_Anti0.5LastSIG,-3818.06448202
PNL_prevSEA,3035.65241272
PNL_LastSEA,3035.65241272
PNL_AntiSEA,-3035.65241272
PNL_AdjSEA,-4508.39796216
PNL_AntiAdjSEA,4508.39796216
PNL_Voting,6892.91188879
PNL_Voting2,-4565.21735789
PNL_Voting3,-918.358678065
PNL_Voting4,-2824.32243513
PNL_Voting5,1829.06080437
PNL_Voting6,1599.59065736
PNL_Voting7,-1417.49563408
PNL_Voting8,-4341.2103769
PNL_Voting9,-3207.75422115
PNL_Voting10,-2796.81858833
PNL_Voting11,-2232.48490674
PNL_Voting12,-5563.18287796
PNL_Voting13,-2871.89840608
PNL_Voting14,4672.53273341
PNL_Voting15,1565.8384809
Vol_All,411.054224363
Chg_All,192.08671066
L%_All,0.647058823529
Vol_currency,414.288830277
Vol_energy,319.973067964
Vol_grain,252.43191844
Vol_index,387.06950439
Vol_meat,161.597957789
Vol_metal,773.716850328
Vol_rates,457.688868781
Chg_currency,414.288830277
Chg_energy,-172.659550115
Chg_grain,-30.991962031
Chg_index,-198.53763176
Chg_meat,-7.51347074609
Chg_metal,649.341725353
Chg_rates,457.688868781
L%_currency,1.0
L%_energy,0.5
L%_grain,0.4
L%_index,0.2
L%_meat,0.333333333333
L%_metal,0.8
L%_rates,1.0
