2016-08-16 00:00:00,Contract,LastClose,ATR20,PC2016-08-16 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-16 00:00:00,RiskOn,group,SEA2016-08-16 00:00:00,SRUN2016-08-16 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-15 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-15 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-15 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-15 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACU6,1.445,0.0237,0.00978336827393,1.0,-1.0,-1.0,-1.0,1.0,-10.0,2016-08-02,687.3,3.0,1.0,1.0,41905.0,1.445,1.0,energy,1.0,-10.0,1.0,1.0,5.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1,-1,1.0,-1,-1,-1,-1,-1,1,-1,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
AD,@ADU6,0.7695,0.007545,0.00312866640594,1.0,1.0,-1.0,1.0,-1.0,-17.0,2016-07-22,754.5,3.0,1.0,1.0,76950.0,0.7695,1.0,currency,-1.0,-17.0,1.0,-1.0,-16.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,722.252639812,722.252639812,722.252639812,-722.252639812,722.252639812,-722.252639812,-722.252639812,722.252639812,-722.252639812,722.252639812,-722.252639812,-722.252639812,-722.252639812,722.252639812,722.252639812,-722.252639812,722.252639812,-722.252639812,722.252639812,722.252639812,-722.252639812,-722.252639812
AEX,AEXU6,450.55,4.972181855,-0.00682593855805,-1.0,1.0,-1.0,1.0,-1.0,-10.0,2016-08-02,1121.32645194,2.0,1.0,1.0,101608.036,450.55,1.0,index,-1.0,-10.0,1.0,-1.0,-9.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-1387.14042148,1387.14042148,-1387.14042148,1387.14042148,-1387.14042148,1387.14042148,1387.14042148,-1387.14042148,1387.14042148,-1387.14042148,1387.14042148,1387.14042148,1387.14042148,-1387.14042148,-1387.14042148,1387.14042148,-1387.14042148,1387.14042148,-1387.14042148,-1387.14042148,1387.14042148,1387.14042148
BO,@BOZ6,33.82,0.719,0.00535077288942,1.0,1.0,-1.0,1.0,-1.0,-10.0,2016-08-02,431.4,5.0,2.0,1.0,20292.0,33.82,1.0,grain,-1.0,-10.0,1.0,-1.0,-9.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,542.88941736,542.88941736,542.88941736,-542.88941736,542.88941736,-542.88941736,-542.88941736,542.88941736,-542.88941736,542.88941736,-542.88941736,-542.88941736,-542.88941736,542.88941736,542.88941736,-542.88941736,542.88941736,-542.88941736,542.88941736,542.88941736,-542.88941736,-542.88941736
BP,@BPU6,1.3043,0.01274,0.0126552795031,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2016-08-02,796.25,3.0,1.0,1.0,81518.75,1.3043,1.0,currency,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,1,-1.0,1,-1,-1,1,-1,1,1,-1,3094.92769798,3094.92769798,-3094.92769798,3094.92769798,3094.92769798,-3094.92769798,-3094.92769798,-3094.92769798,-3094.92769798,-3094.92769798,3094.92769798,3094.92769798,-3094.92769798,3094.92769798,-3094.92769798,3094.92769798,-3094.92769798,-3094.92769798,3094.92769798,-3094.92769798,3094.92769798,3094.92769798
C,@CZ6,337.25,6.5625,0.000741839762611,1.0,1.0,-1.0,1.0,1.0,-13.0,2016-07-28,328.125,7.0,2.0,1.0,16862.5,337.25,1.0,grain,1.0,-13.0,1.0,1.0,-12.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,2.0,7.0,1.0,2.0,7.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,87.5649109792,87.5649109792,87.5649109792,-87.5649109792,87.5649109792,-87.5649109792,-87.5649109792,87.5649109792,-87.5649109792,87.5649109792,-87.5649109792,-87.5649109792,87.5649109792,-87.5649109792,-87.5649109792,87.5649109792,87.5649109792,-87.5649109792,-87.5649109792,-87.5649109792,87.5649109792,-87.5649109792
CC,@CCZ6,3059.0,60.684295612,0.0145936981758,1.0,1.0,-1.0,1.0,1.0,-12.0,2016-07-29,606.84295612,4.0,1.0,1.0,30590.0,3059.0,1.0,soft,1.0,-12.0,1.0,1.0,-11.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1785.68490879,1785.68490879,1785.68490879,-1785.68490879,1785.68490879,-1785.68490879,-1785.68490879,1785.68490879,-1785.68490879,1785.68490879,-1785.68490879,-1785.68490879,1785.68490879,-1785.68490879,-1785.68490879,1785.68490879,1785.68490879,-1785.68490879,-1785.68490879,-1785.68490879,1785.68490879,-1785.68490879
CD,@CDU6,0.77875,0.0062525,0.0055523274582,1.0,1.0,1.0,1.0,1.0,-6.0,2016-08-08,625.25,4.0,1.0,1.0,77875.0,0.77875,1.0,currency,1.0,-6.0,1.0,1.0,-5.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1729.55000323,1729.55000323,1729.55000323,-1729.55000323,1729.55000323,-1729.55000323,1729.55000323,1729.55000323,1729.55000323,1729.55000323,-1729.55000323,-1729.55000323,1729.55000323,-1729.55000323,-1729.55000323,1729.55000323,1729.55000323,-1729.55000323,-1729.55000323,-1729.55000323,1729.55000323,-1729.55000323
CGB,CBU6,147.82,0.66,-0.00229481641469,-1.0,1.0,-1.0,1.0,1.0,-4.0,2016-08-10,513.378967019,4.0,1.0,1.0,114981.331674,147.82,-1.0,rates,1.0,-4.0,-1.0,1.0,8.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
CL,QCLV6,47.22,1.4767390445,0.0176724137931,1.0,1.0,-1.0,1.0,-1.0,-10.0,2016-08-02,1476.7390445,2.0,1.0,1.0,47220.0,47.22,1.0,energy,-1.0,-10.0,1.0,-1.0,-9.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,1668.98275862,1668.98275862,1668.98275862,-1668.98275862,1668.98275862,-1668.98275862,-1668.98275862,1668.98275862,-1668.98275862,1668.98275862,-1668.98275862,-1668.98275862,-1668.98275862,1668.98275862,1668.98275862,-1668.98275862,1668.98275862,-1668.98275862,1668.98275862,1668.98275862,-1668.98275862,-1668.98275862
CT,@CTZ6,68.6,1.85,-0.00377577693872,-1.0,-1.0,-1.0,-1.0,1.0,-4.0,2016-08-10,925.0,3.0,1.0,1.0,34300.0,68.6,1.0,soft,1.0,-4.0,-1.0,1.0,-3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-388.527446994,388.527446994,388.527446994,-388.527446994,-388.527446994,388.527446994,388.527446994,388.527446994,388.527446994,388.527446994,-388.527446994,-388.527446994,-388.527446994,388.527446994,388.527446994,-388.527446994,388.527446994,388.527446994,388.527446994,388.527446994,-388.527446994,388.527446994
CU,@EUU6,1.12905,0.007275,0.00839548073059,1.0,-1.0,-1.0,-1.0,1.0,6.0,2016-08-08,909.375,3.0,1.0,1.0,141131.25,1.12905,1.0,currency,1.0,6.0,1.0,1.0,-9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,3554.59406958,3554.59406958,3554.59406958,-3554.59406958,3554.59406958,-3554.59406958,-3554.59406958,-3554.59406958,-3554.59406958,-3554.59406958,3554.59406958,3554.59406958,3554.59406958,-3554.59406958,-3554.59406958,3554.59406958,-3554.59406958,-3554.59406958,-3554.59406958,-3554.59406958,3554.59406958,-3554.59406958
DX,@DXU6,94.764,0.63185,-0.00868255329832,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,2016-08-08,631.85,4.0,1.0,1.0,94764.0,94.764,-1.0,currency,-1.0,6.0,-1.0,-1.0,-9.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,-3291.17392305,3291.17392305,3291.17392305,-3291.17392305,3291.17392305,-3291.17392305,3291.17392305,3291.17392305,3291.17392305,3291.17392305,-3291.17392305,-3291.17392305,3291.17392305,-3291.17392305,-3291.17392305,3291.17392305,3291.17392305,-3291.17392305,-3291.17392305,-3291.17392305,3291.17392305,-3291.17392305
EBL,BDU6,166.7,0.698,-0.00322889260942,-1.0,-1.0,1.0,-1.0,1.0,-4.0,2016-08-10,787.0648,3.0,1.0,1.0,187970.92,166.7,-1.0,rates,1.0,-4.0,-1.0,1.0,9.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,-1820.81374312,1820.81374312,1820.81374312,-1820.81374312,1820.81374312,-1820.81374312,-1820.81374312,1820.81374312,-1820.81374312,1820.81374312,-1820.81374312,-1820.81374312,-1820.81374312,1820.81374312,-1820.81374312,1820.81374312,1820.81374312,-1820.81374312,1820.81374312,1820.81374312,1820.81374312,-1820.81374312
EBM,BLU6,133.43,0.2085,-0.000823723228995,-1.0,-1.0,1.0,-1.0,1.0,-4.0,2016-08-10,235.1046,9.0,3.0,2.0,150455.668,133.43,-1.0,rates,1.0,-4.0,-1.0,1.0,9.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,2.0,9.0,-1.0,2.0,9.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,-1115.40445799,1115.40445799,1115.40445799,-1115.40445799,1115.40445799,-1115.40445799,-1115.40445799,1115.40445799,-1115.40445799,1115.40445799,-1115.40445799,-1115.40445799,-1115.40445799,1115.40445799,-1115.40445799,1115.40445799,1115.40445799,-1115.40445799,1115.40445799,1115.40445799,1115.40445799,-1115.40445799
EBS,EZU6,111.985,0.03975,-8.92897004331e-05,-1.0,1.0,1.0,1.0,1.0,10.0,2016-08-02,44.8221,45.0,12.0,6.0,126274.286,111.985,-1.0,rates,1.0,10.0,-1.0,1.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
ED,@EDZ6,99.11,0.038,-0.000201755270856,-1.0,1.0,1.0,1.0,-1.0,5.0,2016-08-09,95.0,22.0,6.0,3.0,247775.0,99.11,-1.0,rates,-1.0,5.0,1.0,-1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
