2016-08-18 00:00:00,Contract,LastClose,ATR20,PC2016-08-18 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-18 00:00:00,RiskOn,group,SEA2016-08-18 00:00:00,SRUN2016-08-18 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-17 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-17 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-17 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-17 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACV6,1.454,0.0245400405,0.0188284543456,1.0,-1.0,1.0,-1.0,1.0,-12.0,2016-08-02,711.6611745,3.0,1.0,1.0,42166.0,1.454,1.0,energy,1.0,-12.0,-1.0,1.0,-11.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
AD,@ADU6,0.7686,0.00781,0.00549450549451,1.0,1.0,-1.0,1.0,-1.0,-25.0,2016-07-14,781.0,3.0,1.0,1.0,76860.0,0.7686,1.0,currency,-1.0,-25.0,-1.0,-1.0,-24.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,1266.92307692,1266.92307692,-1266.92307692,1266.92307692,1266.92307692,-1266.92307692,-1266.92307692,1266.92307692,-1266.92307692,1266.92307692,-1266.92307692,-1266.92307692,-1266.92307692,1266.92307692,1266.92307692,-1266.92307692,1266.92307692,1266.92307692,1266.92307692,1266.92307692,-1266.92307692,1266.92307692
AEX,AEXU6,450.85,4.927788772,0.00917739227756,1.0,1.0,-1.0,1.0,-1.0,-30.0,2016-07-07,1119.10083012,2.0,1.0,1.0,102388.035,450.85,1.0,index,-1.0,-30.0,-1.0,-1.0,-29.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,1879.31032345,1879.31032345,-1879.31032345,1879.31032345,1879.31032345,-1879.31032345,-1879.31032345,1879.31032345,-1879.31032345,1879.31032345,-1879.31032345,-1879.31032345,-1879.31032345,1879.31032345,1879.31032345,-1879.31032345,1879.31032345,1879.31032345,1879.31032345,1879.31032345,-1879.31032345,1879.31032345
BO,@BOZ6,34.61,0.72,0.00493612078978,1.0,1.0,-1.0,1.0,1.0,-12.0,2016-08-02,432.0,5.0,2.0,1.0,20766.0,34.61,1.0,grain,1.0,-12.0,1.0,1.0,-11.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,512.517421603,512.517421603,512.517421603,-512.517421603,512.517421603,-512.517421603,512.517421603,512.517421603,-512.517421603,512.517421603,-512.517421603,-512.517421603,512.517421603,-512.517421603,-512.517421603,512.517421603,512.517421603,-512.517421603,-512.517421603,-512.517421603,512.517421603,-512.517421603
BP,@BPU6,1.3154,0.01227,0.007969348659,1.0,1.0,-1.0,1.0,-1.0,12.0,2016-08-02,766.875,3.0,1.0,1.0,82212.5,1.3154,1.0,currency,-1.0,12.0,1.0,-1.0,11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,1965.54022989,1965.54022989,1965.54022989,-1965.54022989,1965.54022989,-1965.54022989,-1965.54022989,1965.54022989,-1965.54022989,1965.54022989,-1965.54022989,-1965.54022989,-1965.54022989,1965.54022989,-1965.54022989,1965.54022989,1965.54022989,-1965.54022989,1965.54022989,1965.54022989,1965.54022989,-1965.54022989
C,@CZ6,342.0,6.1375,0.00662251655629,1.0,1.0,-1.0,1.0,1.0,-15.0,2016-07-28,306.875,7.0,2.0,1.0,17100.0,342.0,1.0,grain,1.0,-15.0,1.0,1.0,-14.0,1.0,1.0,7.0,1.0,2.0,7.0,-1.0,1.0,7.0,1.0,1.0,7.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,792.715231788,792.715231788,792.715231788,-792.715231788,792.715231788,-792.715231788,792.715231788,792.715231788,-792.715231788,792.715231788,-792.715231788,-792.715231788,792.715231788,-792.715231788,-792.715231788,792.715231788,792.715231788,-792.715231788,-792.715231788,-792.715231788,792.715231788,-792.715231788
CC,@CCZ6,3113.0,56.34595843,0.0110425462813,1.0,1.0,-1.0,1.0,1.0,-14.0,2016-07-29,563.4595843,4.0,1.0,1.0,31130.0,3113.0,1.0,soft,1.0,-14.0,1.0,1.0,-13.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1375.01786294,1375.01786294,1375.01786294,-1375.01786294,1375.01786294,-1375.01786294,1375.01786294,1375.01786294,-1375.01786294,1375.01786294,-1375.01786294,-1375.01786294,1375.01786294,-1375.01786294,-1375.01786294,1375.01786294,1375.01786294,-1375.01786294,-1375.01786294,-1375.01786294,1375.01786294,-1375.01786294
CD,@CDU6,0.7832,0.00619,0.00610186909885,1.0,-1.0,-1.0,1.0,1.0,-18.0,2016-07-25,619.0,4.0,1.0,1.0,78320.0,0.7832,1.0,currency,1.0,-18.0,-1.0,1.0,-17.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,-1,1,-1,1,-1.0,1,-1,-1,-1,-1,-1,-1,-1,1911.59355129,1911.59355129,-1911.59355129,1911.59355129,1911.59355129,-1911.59355129,1911.59355129,-1911.59355129,-1911.59355129,1911.59355129,-1911.59355129,1911.59355129,1911.59355129,-1911.59355129,-1911.59355129,1911.59355129,-1911.59355129,-1911.59355129,-1911.59355129,-1911.59355129,-1911.59355129,-1911.59355129
CGB,CBU6,148.13,0.6335,0.001487390981,1.0,1.0,1.0,1.0,1.0,-28.0,2016-07-08,495.773986539,5.0,2.0,1.0,115925.809986,148.13,-1.0,rates,1.0,-28.0,1.0,1.0,-27.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
CL,QCLV6,48.89,1.4820677695,0.02882996633,1.0,1.0,-1.0,1.0,-1.0,-12.0,2016-08-02,1482.0677695,2.0,1.0,1.0,48890.0,48.89,1.0,energy,-1.0,-12.0,1.0,-1.0,-11.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,2818.99410774,2818.99410774,2818.99410774,-2818.99410774,2818.99410774,-2818.99410774,-2818.99410774,2818.99410774,-2818.99410774,2818.99410774,-2818.99410774,-2818.99410774,-2818.99410774,2818.99410774,2818.99410774,-2818.99410774,2818.99410774,-2818.99410774,2818.99410774,2818.99410774,-2818.99410774,-2818.99410774
