2016-10-13 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-10-13 00:00:00,Close2016-10-13 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-13 00:00:00,LastSRUN,SRUN2016-10-13 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-12 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-12 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-12 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-12 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.503,0.0216,0.0182926829268,1.0,-1.0,-1.0,-1.0,1.0,13.0,2016-09-23,626.4,4.0,1.0,1.0,43587.0,0.0182926829268,1.503,energy,1.0,1.0,2016-09-23,1.0,1.0,14.0,14.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,1,1.0,-1,1,-1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,-1,1,1.0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
AD,@ADZ6,0.7565,0.006285,0.00185405906502,1.0,1.0,-1.0,1.0,-1.0,21.0,2016-09-13,628.5,4.0,1.0,1.0,75650.0,0.00185405906502,0.7565,currency,1.0,-1.0,2016-09-13,-1.0,-1.0,22.0,22.0,1.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,0,-1,1,-1,-1,1,-1,-1.0,1,-1,-1,-1,1,-1,-1.0,0.0,0.0,-1.0,0.0,-1,-1,-1,-1.0,-1,561.038273076,561.038273076,561.038273076,-561.038273076,561.038273076,-561.038273076,-561.038273076,561.038273076,-561.038273076,561.038273076,-561.038273076,561.038273076,-561.038273076,-561.038273076,-561.038273076,561.038273076,-561.038273076,561.038273076,-561.038273076,-561.038273076,-561.038273076,-561.038273076,-561.038273076,-561.038273076,561.038273076,-561.038273076,-561.038273076,0.0,0.0,-561.038273076,0.0,-561.038273076,-561.038273076
AEX,AEXV6,445.1,6.245,-0.011986681465,-1.0,-1.0,1.0,-1.0,1.0,13.0,2016-09-23,1381.0193,2.0,1.0,1.0,98429.414,-0.011986681465,445.1,index,1.0,-1.0,2016-09-23,1.0,1.0,14.0,14.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,0,-1,1,1,1,-1,1,1.0,-1,1,1,1,1,1,0.0,1.0,1.0,0.0,-1.0,-1,-1,1,1.0,1,-2359.68406482,2359.68406482,2359.68406482,-2359.68406482,-2359.68406482,2359.68406482,2359.68406482,-2359.68406482,-2359.68406482,2359.68406482,-2359.68406482,2359.68406482,-2359.68406482,-2359.68406482,-2359.68406482,2359.68406482,-2359.68406482,2359.68406482,-2359.68406482,-2359.68406482,-2359.68406482,-2359.68406482,-2359.68406482,-2359.68406482,-2359.68406482,-2359.68406482,-0.0,-2359.68406482,-2359.68406482,-0.0,2359.68406482,2359.68406482,2359.68406482
BO,@BOZ6,33.38,0.6785,0.00119976004799,1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-10-03,407.1,5.0,1.0,1.0,20028.0,0.00119976004799,33.38,grain,1.0,1.0,2016-10-03,1.0,1.0,-8.0,-8.0,-1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,0,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,1,-1,1,1.0,1,120.143971206,120.143971206,-120.143971206,120.143971206,120.143971206,-120.143971206,120.143971206,-120.143971206,120.143971206,-120.143971206,120.143971206,-120.143971206,120.143971206,120.143971206,120.143971206,-120.143971206,-120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,120.143971206,0.0,120.143971206,-120.143971206
BP,@BPZ6,1.2269,0.014455,0.0048321048321,1.0,-1.0,1.0,-1.0,1.0,-26.0,2016-09-06,903.4375,3.0,1.0,1.0,76681.25,0.0048321048321,1.2269,currency,1.0,-1.0,2016-09-06,1.0,1.0,-27.0,-27.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1.0,0.0,0.0,0.0,0.0,1,-1,1,0.0,0,1111.59551597,1111.59551597,1111.59551597,-1111.59551597,1111.59551597,-1111.59551597,-1111.59551597,1111.59551597,1111.59551597,-1111.59551597,1111.59551597,-1111.59551597,1111.59551597,1111.59551597,1111.59551597,-1111.59551597,-1111.59551597,1111.59551597,1111.59551597,1111.59551597,-1111.59551597,1111.59551597,0.0,0.0,1111.59551597,1111.59551597,-1111.59551597,0.0,0.0,0.0,0.0,1111.59551597,-1111.59551597
C,@CZ6,349.5,6.8375,0.0370919881306,1.0,-1.0,-1.0,1.0,1.0,9.0,2016-09-29,341.875,6.0,1.0,1.0,17475.0,0.0370919881306,349.5,grain,1.0,1.0,2016-09-29,1.0,1.0,10.0,10.0,-1.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,2.0,6.0,1.0,0,-1,-1,-1,1,-1,1,1.0,-1,-1,-1,1,1,1,0.0,0.0,1.0,0.0,0.0,1,-1,0,-1.0,-1,3889.09495549,3889.09495549,-3889.09495549,3889.09495549,3889.09495549,-3889.09495549,3889.09495549,-3889.09495549,-3889.09495549,-3889.09495549,-3889.09495549,3889.09495549,-3889.09495549,3889.09495549,3889.09495549,-3889.09495549,3889.09495549,-3889.09495549,-3889.09495549,-3889.09495549,3889.09495549,0.0,-3889.09495549,-3889.09495549,3889.09495549,3889.09495549,0.0,0.0,3889.09495549,0.0,0.0,3889.09495549,-3889.09495549
CC,@CCZ6,2696.0,66.75,0.0200529701097,1.0,-1.0,1.0,-1.0,-1.0,5.0,2016-10-05,667.5,3.0,1.0,1.0,26960.0,0.0200529701097,2696.0,soft,1.0,-1.0,2016-10-05,-1.0,-1.0,6.0,6.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1,1,1,1.0,1,1621.88422247,1621.88422247,-1621.88422247,1621.88422247,1621.88422247,-1621.88422247,-1621.88422247,1621.88422247,1621.88422247,-1621.88422247,1621.88422247,-1621.88422247,1621.88422247,1621.88422247,-1621.88422247,1621.88422247,-1621.88422247,1621.88422247,-1621.88422247,1621.88422247,1621.88422247,1621.88422247,1621.88422247,1621.88422247,1621.88422247,1621.88422247,1621.88422247,1621.88422247,1621.88422247,1621.88422247,0.0,-1621.88422247,1621.88422247
CD,@CDZ6,0.75845,0.0062625,0.00470260961717,1.0,-1.0,-1.0,-1.0,-1.0,-26.0,2016-09-06,626.25,4.0,1.0,1.0,75845.0,0.00470260961717,0.75845,currency,1.0,-1.0,2016-09-06,-1.0,-1.0,-27.0,-27.0,-1.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,0,-1,1,1,1,1,1,1.0,-1,-1,-1,1,1,1,0.0,1.0,1.0,0.0,0.0,-1,1,0,-1.0,0,1426.67770566,1426.67770566,-1426.67770566,1426.67770566,1426.67770566,-1426.67770566,-1426.67770566,1426.67770566,1426.67770566,-1426.67770566,-1426.67770566,-1426.67770566,1426.67770566,1426.67770566,-1426.67770566,1426.67770566,1426.67770566,-1426.67770566,-1426.67770566,-1426.67770566,1426.67770566,0.0,-1426.67770566,0.0,1426.67770566,1426.67770566,0.0,1426.67770566,1426.67770566,0.0,0.0,-1426.67770566,1426.67770566
CGB,CBZ6,144.81,0.6055,0.00207598090098,1.0,-1.0,1.0,-1.0,-1.0,19.0,2016-09-29,458.677372926,5.0,1.0,1.0,109696.235134,0.00207598090098,144.81,rates,-1.0,-1.0,2016-09-29,-1.0,-1.0,20.0,20.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1,1,1,1.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
CL,QCLZ6,50.85,1.489421283,0.00414691943128,1.0,1.0,1.0,1.0,-1.0,-18.0,2016-09-16,1489.421283,2.0,1.0,1.0,50850.0,0.00414691943128,50.85,energy,1.0,1.0,2016-09-16,-1.0,-1.0,-19.0,-19.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,-1,-1,1,1.0,0,421.741706161,421.741706161,-421.741706161,421.741706161,421.741706161,-421.741706161,421.741706161,-421.741706161,-421.741706161,421.741706161,421.741706161,421.741706161,-421.741706161,-421.741706161,-421.741706161,421.741706161,421.741706161,-421.741706161,-421.741706161,421.741706161,421.741706161,421.741706161,421.741706161,0.0,421.741706161,421.741706161,421.741706161,421.741706161,421.741706161,0.0,0.0,-421.741706161,-421.741706161
