2016-08-29 00:00:00,Contract,LastClose,ATR20,PC2016-08-29 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-29 00:00:00,RiskOn,group,PC2016-08-26 00:00:00,Close2016-08-26 00:00:00,SEA2016-08-29 00:00:00,SRUN2016-08-29 00:00:00,SEA2016-08-26 00:00:00,SRUN2016-08-26 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-26 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-26 00:00:00,RiskOff,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9
CT,@CTZ6,66.95,1.6385,-0.0158753491107,-1.0,-1.0,1.0,-1.0,1.0,-13.0,2016-08-10,819.25,3.0,1.0,1.0,33475.0,66.95,1.0,soft,,,1.0,-13.0,,,-1.0,1.0,-12.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1,-1594.28193444,1594.28193444,1594.28193444,-1594.28193444,-1594.28193444,1594.28193444,-1594.28193444,1594.28193444,-1594.28193444,1594.28193444,-1594.28193444,-1594.28193444,-1594.28193444,1594.28193444,1594.28193444,-1594.28193444,1594.28193444,-1594.28193444,1594.28193444,1594.28193444,-1594.28193444,-1594.28193444,-1594.28193444,-1594.28193444,-1594.28193444
CU,@EUU6,1.11955,0.006995,-8.93136247935e-05,-1.0,-1.0,-1.0,-1.0,1.0,26.0,2016-07-22,874.375,3.0,1.0,1.0,139943.75,1.11955,1.0,currency,,,1.0,26.0,,,-1.0,1.0,25.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-37.4966507391,37.4966507391,37.4966507391,-37.4966507391,-37.4966507391,37.4966507391,-37.4966507391,37.4966507391,37.4966507391,37.4966507391,-37.4966507391,-37.4966507391,-37.4966507391,37.4966507391,-37.4966507391,37.4966507391,37.4966507391,-37.4966507391,37.4966507391,37.4966507391,37.4966507391,37.4966507391,37.4966507391,-37.4966507391,37.4966507391
DX,@DXU6,95.543,0.5681,1.04666010761e-05,1.0,-1.0,-1.0,-1.0,-1.0,26.0,2016-07-22,568.1,4.0,1.0,1.0,95543.0,95.543,-1.0,currency,,,-1.0,26.0,,,1.0,-1.0,25.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,4.00004186644,4.00004186644,4.00004186644,-4.00004186644,-4.00004186644,4.00004186644,-4.00004186644,-4.00004186644,-4.00004186644,-4.00004186644,4.00004186644,4.00004186644,-4.00004186644,4.00004186644,-4.00004186644,4.00004186644,4.00004186644,-4.00004186644,-4.00004186644,-4.00004186644,4.00004186644,-4.00004186644,-4.00004186644,-4.00004186644,-4.00004186644
EBL,BDU6,167.57,0.6615,-0.00077519379845,-1.0,1.0,1.0,1.0,1.0,50.0,2016-06-20,740.0862,3.0,1.0,1.0,187477.316,167.57,-1.0,rates,,,1.0,50.0,,,1.0,1.0,49.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,1,-1,-1,-435.99375814,435.99375814,-435.99375814,435.99375814,435.99375814,-435.99375814,435.99375814,-435.99375814,-435.99375814,-435.99375814,435.99375814,435.99375814,-435.99375814,435.99375814,-435.99375814,435.99375814,-435.99375814,-435.99375814,435.99375814,-435.99375814,435.99375814,435.99375814,-435.99375814,435.99375814,435.99375814
EBM,BLU6,133.61,0.186,-7.48390959436e-05,-1.0,1.0,-1.0,1.0,1.0,-36.0,2016-07-08,208.0968,10.0,2.0,2.0,149482.868,133.61,-1.0,rates,,,1.0,-36.0,,,1.0,1.0,-35.0,-1.0,1.0,10.0,-1.0,1.0,10.0,-1.0,1.0,10.0,1.0,1.0,10.0,1.0,1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-111.871627002,111.871627002,-111.871627002,111.871627002,111.871627002,-111.871627002,111.871627002,-111.871627002,111.871627002,-111.871627002,111.871627002,111.871627002,-111.871627002,111.871627002,111.871627002,-111.871627002,-111.871627002,111.871627002,111.871627002,111.871627002,-111.871627002,111.871627002,111.871627002,111.871627002,111.871627002
EBS,EZU6,112.02,0.03175,0.000133922592741,1.0,-1.0,1.0,-1.0,1.0,-35.0,2016-07-11,35.5219,57.0,8.0,8.0,125327.976,112.02,-1.0,rates,,,1.0,-35.0,,,1.0,1.0,-34.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
ED,@EDZ6,99.055,0.037,0.000252448752903,1.0,-1.0,1.0,-1.0,1.0,-44.0,2016-06-27,92.5,22.0,3.0,3.0,247637.5,99.055,-1.0,rates,,,1.0,-44.0,,,-1.0,1.0,-43.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
EMD,@EMDU6,1570.2,12.84,0.00789524359715,1.0,-1.0,-1.0,-1.0,1.0,17.0,2016-08-04,1284.0,2.0,1.0,1.0,157020.0,1570.2,1.0,index,,,1.0,17.0,,,-1.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1,-1,2479.42229925,2479.42229925,-2479.42229925,2479.42229925,2479.42229925,-2479.42229925,2479.42229925,-2479.42229925,-2479.42229925,-2479.42229925,2479.42229925,2479.42229925,2479.42229925,-2479.42229925,2479.42229925,-2479.42229925,-2479.42229925,2479.42229925,-2479.42229925,-2479.42229925,-2479.42229925,-2479.42229925,-2479.42229925,2479.42229925,-2479.42229925
ES,@ESU6,2179.25,12.825,0.00495734378603,1.0,1.0,1.0,1.0,-1.0,-31.0,2016-07-15,641.25,4.0,1.0,1.0,108962.5,2179.25,1.0,index,,,-1.0,-31.0,,,-1.0,-1.0,-30.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,1,1,1,2160.65828914,2160.65828914,-2160.65828914,2160.65828914,2160.65828914,-2160.65828914,2160.65828914,2160.65828914,2160.65828914,2160.65828914,-2160.65828914,-2160.65828914,-2160.65828914,2160.65828914,2160.65828914,-2160.65828914,2160.65828914,2160.65828914,2160.65828914,2160.65828914,-2160.65828914,2160.65828914,2160.65828914,2160.65828914,2160.65828914
FC,@GFV6,135.375,2.2919597745,-0.00422949613829,-1.0,-1.0,1.0,-1.0,-1.0,14.0,2016-08-09,1145.97988725,2.0,1.0,1.0,67687.5,135.375,1.0,meat,,,-1.0,14.0,,,-1.0,-1.0,13.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1,-572.56803972,572.56803972,572.56803972,-572.56803972,-572.56803972,572.56803972,-572.56803972,572.56803972,-572.56803972,572.56803972,-572.56803972,-572.56803972,572.56803972,-572.56803972,572.56803972,-572.56803972,572.56803972,-572.56803972,-572.56803972,-572.56803972,-572.56803972,-572.56803972,-572.56803972,-572.56803972,-572.56803972
