2016-08-29 00:00:00,Contract,LastClose,ATR20,PC2016-08-29 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-29 00:00:00,RiskOn,group,PC2016-08-26 00:00:00,Close2016-08-26 00:00:00,SEA2016-08-29 00:00:00,SRUN2016-08-29 00:00:00,SEA2016-08-26 00:00:00,SRUN2016-08-26 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-26 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-26 00:00:00,RiskOff,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9
HO,QHOV6,1.5007,0.039635156,-0.00688240354709,-1.0,1.0,-1.0,1.0,1.0,20.0,2016-08-01,1664.676552,2.0,1.0,1.0,63029.4,1.5007,1.0,energy,,,1.0,20.0,,,-1.0,1.0,19.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,-1,1,-1,-867.587532261,867.587532261,867.587532261,-867.587532261,-867.587532261,867.587532261,-867.587532261,-867.587532261,867.587532261,-867.587532261,867.587532261,867.587532261,-867.587532261,867.587532261,-867.587532261,867.587532261,867.587532261,-867.587532261,-867.587532261,-867.587532261,867.587532261,867.587532261,867.587532261,-867.587532261,867.587532261
JY,@JYU6,0.98125,0.0085475,-0.00101807075592,-1.0,1.0,-1.0,1.0,1.0,28.0,2016-07-20,1068.4375,2.0,1.0,1.0,122656.25,0.98125,-1.0,currency,,,1.0,28.0,,,-1.0,1.0,27.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,1,-1,-1,-249.745482311,249.745482311,249.745482311,-249.745482311,249.745482311,-249.745482311,249.745482311,-249.745482311,249.745482311,-249.745482311,249.745482311,249.745482311,-249.745482311,249.745482311,-249.745482311,249.745482311,249.745482311,-249.745482311,-249.745482311,-249.745482311,249.745482311,249.745482311,-249.745482311,249.745482311,249.745482311
KC,@KCZ6,145.1,3.2820951445,0.001725923369,1.0,1.0,1.0,1.0,1.0,-32.0,2016-07-14,1230.78567919,2.0,1.0,1.0,54412.5,145.1,1.0,soft,,,1.0,-32.0,,,1.0,1.0,-31.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1,1,187.823610632,187.823610632,187.823610632,-187.823610632,187.823610632,-187.823610632,187.823610632,187.823610632,187.823610632,187.823610632,-187.823610632,-187.823610632,187.823610632,-187.823610632,-187.823610632,187.823610632,187.823610632,-187.823610632,-187.823610632,-187.823610632,187.823610632,-187.823610632,-187.823610632,187.823610632,187.823610632
KW,@KWZ6,402.25,9.564943217,-0.0347930413917,-1.0,-1.0,-1.0,-1.0,1.0,-21.0,2016-07-29,478.24716085,5.0,1.0,1.0,20112.5,402.25,1.0,grain,,,1.0,-21.0,,,-1.0,1.0,-20.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-3498.87522496,3498.87522496,3498.87522496,-3498.87522496,-3498.87522496,3498.87522496,-3498.87522496,3498.87522496,3498.87522496,3498.87522496,-3498.87522496,-3498.87522496,-3498.87522496,3498.87522496,3498.87522496,-3498.87522496,3498.87522496,3498.87522496,3498.87522496,3498.87522496,-3498.87522496,3498.87522496,3498.87522496,-3498.87522496,3498.87522496
LB,@LBX6,322.7,6.319555064,-0.0212314225053,-1.0,-1.0,-1.0,-1.0,1.0,-23.0,2016-07-27,695.15105704,3.0,1.0,1.0,35497.0,322.7,1.0,soft,,,1.0,-23.0,,,-1.0,1.0,-22.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
LC,@LEV6,105.075,1.62,-0.0119887165021,-1.0,-1.0,1.0,-1.0,-1.0,16.0,2016-08-05,648.0,4.0,1.0,1.0,42030.0,105.075,1.0,meat,,,-1.0,16.0,,,-1.0,-1.0,15.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1,-2015.54301834,2015.54301834,2015.54301834,-2015.54301834,-2015.54301834,2015.54301834,-2015.54301834,2015.54301834,-2015.54301834,2015.54301834,-2015.54301834,-2015.54301834,2015.54301834,-2015.54301834,2015.54301834,-2015.54301834,2015.54301834,-2015.54301834,-2015.54301834,-2015.54301834,-2015.54301834,-2015.54301834,-2015.54301834,-2015.54301834,-2015.54301834
LCO,EBZ6,49.83,1.4265,-0.0138531565407,-1.0,1.0,-1.0,1.0,-1.0,-19.0,2016-08-02,1426.5,2.0,1.0,1.0,49830.0,49.83,1.0,energy,,,-1.0,-19.0,,,1.0,-1.0,-18.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-1,1,-1380.60558084,1380.60558084,-1380.60558084,1380.60558084,-1380.60558084,1380.60558084,1380.60558084,-1380.60558084,1380.60558084,-1380.60558084,1380.60558084,1380.60558084,1380.60558084,-1380.60558084,-1380.60558084,1380.60558084,-1380.60558084,1380.60558084,-1380.60558084,-1380.60558084,1380.60558084,1380.60558084,1380.60558084,1380.60558084,-1380.60558084
LGO,GASZ6,441.75,12.8946438655,-0.0150501672241,-1.0,1.0,-1.0,1.0,-1.0,20.0,2016-08-01,1289.46438655,2.0,1.0,1.0,44175.0,441.75,1.0,energy,,,-1.0,20.0,,,1.0,-1.0,19.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1,1,-1329.68227425,1329.68227425,-1329.68227425,1329.68227425,-1329.68227425,1329.68227425,1329.68227425,-1329.68227425,1329.68227425,-1329.68227425,1329.68227425,1329.68227425,1329.68227425,-1329.68227425,1329.68227425,-1329.68227425,-1329.68227425,1329.68227425,-1329.68227425,-1329.68227425,-1329.68227425,1329.68227425,1329.68227425,1329.68227425,-1329.68227425
LH,@HEV6,61.375,1.8875,0.000815328169588,1.0,-1.0,1.0,-1.0,1.0,10.0,2016-08-15,755.0,3.0,1.0,1.0,24550.0,61.375,1.0,meat,,,1.0,10.0,,,1.0,1.0,9.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,-1,1.0,-1,-1,1,-1,-1,1,-1,-1,1,1,60.0489196902,60.0489196902,60.0489196902,-60.0489196902,60.0489196902,-60.0489196902,60.0489196902,-60.0489196902,60.0489196902,-60.0489196902,60.0489196902,60.0489196902,60.0489196902,-60.0489196902,60.0489196902,-60.0489196902,-60.0489196902,60.0489196902,-60.0489196902,-60.0489196902,60.0489196902,-60.0489196902,-60.0489196902,60.0489196902,60.0489196902
LRC,LRCX6,1819.0,24.3053622365,,1.0,-1.0,1.0,-1.0,1.0,-20.0,2016-07-29,243.053622365,9.0,2.0,2.0,18190.0,,1.0,soft,0.0122426265999,1819.0,,,1.0,-20.0,1.0,1.0,-20.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,1.0,9.0,-1.0,1.0,9.0,-1.0,-1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,QWV6,540.2,12.44,,1.0,-1.0,1.0,-1.0,-1.0,-21.0,2016-07-28,622.0,4.0,1.0,1.0,27010.0,,1.0,soft,0.00278448115834,540.2,,,-1.0,-21.0,1.0,-1.0,-21.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,-1,1,1,1,-1,1.0,-1,1,1,-1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,@MMEU6,900.2,11.515,0.00761137228565,1.0,-1.0,-1.0,-1.0,1.0,-30.0,2016-07-18,575.75,4.0,1.0,1.0,45010.0,900.2,1.0,index,,,1.0,-30.0,,,-1.0,1.0,-29.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,-1,1370.35146631,1370.35146631,-1370.35146631,1370.35146631,1370.35146631,-1370.35146631,1370.35146631,-1370.35146631,-1370.35146631,-1370.35146631,1370.35146631,1370.35146631,1370.35146631,-1370.35146631,-1370.35146631,1370.35146631,-1370.35146631,-1370.35146631,-1370.35146631,-1370.35146631,1370.35146631,-1370.35146631,-1370.35146631,1370.35146631,-1370.35146631
MFX,IBU6,8602.8,115.422154373,-0.00629526526746,-1.0,-1.0,-1.0,-1.0,1.0,18.0,2016-08-03,1291.34306313,2.0,1.0,1.0,96248.1264,8602.8,1.0,index,,,1.0,18.0,,,1.0,1.0,17.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,1,1,-1,-1,1.0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1211.81497437,1211.81497437,-1211.81497437,1211.81497437,-1211.81497437,1211.81497437,1211.81497437,1211.81497437,1211.81497437,1211.81497437,-1211.81497437,-1211.81497437,-1211.81497437,1211.81497437,-1211.81497437,1211.81497437,1211.81497437,1211.81497437,1211.81497437,1211.81497437,-1211.81497437,1211.81497437,1211.81497437,1211.81497437,1211.81497437
MP,@PXU6,0.05364,0.000643,-0.000186393289842,-1.0,-1.0,1.0,-1.0,-1.0,9.0,2016-08-16,321.5,7.0,1.0,1.0,26820.0,0.05364,1.0,currency,,,-1.0,9.0,,,-1.0,-1.0,8.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,2.0,7.0,-1.0,2.0,7.0,-1.0,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1,-34.9934762349,34.9934762349,34.9934762349,-34.9934762349,-34.9934762349,34.9934762349,-34.9934762349,34.9934762349,-34.9934762349,34.9934762349,-34.9934762349,-34.9934762349,34.9934762349,-34.9934762349,34.9934762349,-34.9934762349,34.9934762349,-34.9934762349,-34.9934762349,-34.9934762349,-34.9934762349,-34.9934762349,-34.9934762349,-34.9934762349,-34.9934762349
MW,@MWZ6,484.25,8.1751940805,-0.0172501268392,-1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-08-19,408.759704025,5.0,1.0,1.0,24212.5,484.25,1.0,grain,,,1.0,-6.0,,,-1.0,1.0,-5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1,-2088.34348047,2088.34348047,2088.34348047,-2088.34348047,-2088.34348047,2088.34348047,-2088.34348047,2088.34348047,-2088.34348047,2088.34348047,-2088.34348047,-2088.34348047,-2088.34348047,2088.34348047,2088.34348047,-2088.34348047,2088.34348047,-2088.34348047,2088.34348047,2088.34348047,-2088.34348047,-2088.34348047,-2088.34348047,-2088.34348047,-2088.34348047
NE,@NEU6,0.7252,0.00788,0.00471044610695,1.0,1.0,-1.0,1.0,1.0,-27.0,2016-07-21,788.0,3.0,1.0,1.0,72520.0,0.7252,1.0,currency,,,1.0,-27.0,,,-1.0,1.0,-26.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,1,-1,1024.80465503,1024.80465503,-1024.80465503,1024.80465503,1024.80465503,-1024.80465503,1024.80465503,1024.80465503,-1024.80465503,1024.80465503,-1024.80465503,-1024.80465503,1024.80465503,-1024.80465503,-1024.80465503,1024.80465503,-1024.80465503,-1024.80465503,1024.80465503,-1024.80465503,-1024.80465503,-1024.80465503,-1024.80465503,1024.80465503,-1024.80465503
NG,QNGV6,2.896,0.087927456,-0.00583590799863,-1.0,1.0,-1.0,1.0,-1.0,-12.0,2016-08-11,879.27456,3.0,1.0,1.0,28960.0,2.896,1.0,energy,,,-1.0,-12.0,,,1.0,-1.0,-11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-1,1,-507.023686921,507.023686921,-507.023686921,507.023686921,-507.023686921,507.023686921,507.023686921,-507.023686921,507.023686921,-507.023686921,507.023686921,507.023686921,507.023686921,-507.023686921,-507.023686921,507.023686921,-507.023686921,507.023686921,-507.023686921,-507.023686921,507.023686921,507.023686921,507.023686921,507.023686921,-507.023686921
NIY,@NKDU6,16700.0,218.25,0.00663050030139,1.0,1.0,1.0,1.0,1.0,-29.0,2016-07-19,1071.1130742,2.0,1.0,1.0,81959.1676482,16700.0,1.0,index,,,1.0,-29.0,,,1.0,1.0,-28.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1,1,1086.86057159,1086.86057159,1086.86057159,-1086.86057159,1086.86057159,-1086.86057159,1086.86057159,1086.86057159,1086.86057159,1086.86057159,-1086.86057159,-1086.86057159,1086.86057159,-1086.86057159,-1086.86057159,1086.86057159,1086.86057159,-1086.86057159,-1086.86057159,-1086.86057159,1086.86057159,-1086.86057159,-1086.86057159,1086.86057159,1086.86057159
NQ,@NQU6,4793.25,32.45,0.00156715248394,1.0,1.0,1.0,1.0,1.0,-3.0,2016-08-10,649.0,4.0,1.0,1.0,95865.0,4793.25,1.0,index,,,1.0,-3.0,,,1.0,1.0,12.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,-1,1,1,600.94029149,600.94029149,600.94029149,-600.94029149,600.94029149,-600.94029149,600.94029149,600.94029149,600.94029149,600.94029149,-600.94029149,-600.94029149,600.94029149,-600.94029149,600.94029149,-600.94029149,600.94029149,600.94029149,-600.94029149,600.94029149,-600.94029149,-600.94029149,-600.94029149,600.94029149,600.94029149
O,@OZ6,179.0,4.525,-0.0337381916329,-1.0,1.0,1.0,1.0,1.0,-16.0,2016-08-05,226.25,9.0,2.0,2.0,8950.0,179.0,1.0,grain,,,1.0,-16.0,,,-1.0,1.0,-15.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,-1,-1,-1,-1,1,-1.0,1,-1,1,1,1,-1,1,1,1,1,-2717.61133603,2717.61133603,2717.61133603,-2717.61133603,-2717.61133603,2717.61133603,-2717.61133603,-2717.61133603,-2717.61133603,-2717.61133603,2717.61133603,2717.61133603,-2717.61133603,2717.61133603,2717.61133603,-2717.61133603,2717.61133603,-2717.61133603,-2717.61133603,-2717.61133603,2717.61133603,-2717.61133603,-2717.61133603,-2717.61133603,-2717.61133603
OJ,@OJX6,189.1,5.8128052395,0.018583355777,1.0,1.0,-1.0,1.0,-1.0,14.0,2016-08-09,871.920785925,3.0,1.0,1.0,28365.0,189.1,1.0,soft,,,-1.0,14.0,,,1.0,-1.0,13.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1,1,1581.35065984,1581.35065984,1581.35065984,-1581.35065984,1581.35065984,-1581.35065984,-1581.35065984,1581.35065984,-1581.35065984,1581.35065984,-1581.35065984,-1581.35065984,-1581.35065984,1581.35065984,-1581.35065984,1581.35065984,1581.35065984,-1581.35065984,1581.35065984,1581.35065984,1581.35065984,-1581.35065984,-1581.35065984,-1581.35065984,1581.35065984
PA,QPAZ6,699.25,18.8476788325,0.00792792792793,1.0,-1.0,1.0,-1.0,-1.0,-20.0,2016-08-01,1884.76788325,2.0,1.0,1.0,69925.0,699.25,1.0,metal,,,-1.0,-20.0,,,1.0,-1.0,-19.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,1,1,1,-1,1.0,-1,1,1,-1,1,1,1,-1,1,1,1108.72072072,1108.72072072,1108.72072072,-1108.72072072,1108.72072072,-1108.72072072,1108.72072072,-1108.72072072,1108.72072072,-1108.72072072,1108.72072072,1108.72072072,-1108.72072072,1108.72072072,1108.72072072,-1108.72072072,1108.72072072,1108.72072072,-1108.72072072,1108.72072072,1108.72072072,1108.72072072,-1108.72072072,1108.72072072,1108.72072072
PL,QPLV6,1081.1,22.775,0.00315486684606,1.0,-1.0,1.0,-1.0,-1.0,13.0,2016-08-10,1138.75,2.0,1.0,1.0,54055.0,1081.1,-1.0,metal,,,-1.0,13.0,,,1.0,-1.0,12.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,1,1,-1,1,341.072654728,341.072654728,341.072654728,-341.072654728,-341.072654728,341.072654728,-341.072654728,-341.072654728,341.072654728,-341.072654728,341.072654728,341.072654728,-341.072654728,341.072654728,-341.072654728,341.072654728,341.072654728,-341.072654728,-341.072654728,-341.072654728,341.072654728,341.072654728,341.072654728,-341.072654728,341.072654728
RB,QRBV6,1.3958,0.043318386,-0.0228227387286,-1.0,1.0,1.0,1.0,1.0,22.0,2016-07-28,1819.372212,2.0,1.0,1.0,58623.6,1.3958,1.0,energy,,,1.0,22.0,,,1.0,1.0,21.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,-1,1,1,-2675.90221227,2675.90221227,-2675.90221227,2675.90221227,-2675.90221227,2675.90221227,-2675.90221227,-2675.90221227,-2675.90221227,-2675.90221227,2675.90221227,2675.90221227,-2675.90221227,2675.90221227,-2675.90221227,2675.90221227,-2675.90221227,-2675.90221227,2675.90221227,-2675.90221227,2675.90221227,2675.90221227,2675.90221227,-2675.90221227,-2675.90221227
RR,@RRX6,9.705,0.290783764,-0.0221662468514,-1.0,1.0,-1.0,1.0,1.0,-5.0,2016-08-22,581.567528,4.0,1.0,1.0,19410.0,9.705,1.0,grain,,,1.0,-5.0,,,1.0,1.0,-4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1720.98740554,1720.98740554,-1720.98740554,1720.98740554,-1720.98740554,1720.98740554,1720.98740554,-1720.98740554,1720.98740554,-1720.98740554,1720.98740554,1720.98740554,-1720.98740554,1720.98740554,1720.98740554,-1720.98740554,-1720.98740554,1720.98740554,1720.98740554,1720.98740554,-1720.98740554,1720.98740554,1720.98740554,1720.98740554,1720.98740554
RS,@RSX6,456.2,6.86,-0.00761366108332,-1.0,-1.0,1.0,-1.0,-1.0,22.0,2016-07-27,105.376344086,19.0,3.0,3.0,7007.68049155,456.2,1.0,grain,,,-1.0,22.0,,,1.0,-1.0,21.0,1.0,1.0,19.0,1.0,1.0,19.0,1.0,1.0,19.0,-1.0,1.0,19.0,-1.0,-1,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,1,-1,1,1,-1013.72798061,1013.72798061,-1013.72798061,1013.72798061,-1013.72798061,1013.72798061,-1013.72798061,1013.72798061,-1013.72798061,1013.72798061,-1013.72798061,-1013.72798061,1013.72798061,-1013.72798061,1013.72798061,-1013.72798061,-1013.72798061,1013.72798061,1013.72798061,1013.72798061,-1013.72798061,-1013.72798061,1013.72798061,-1013.72798061,-1013.72798061
S,@SX6,964.25,18.825,-0.00310157663479,-1.0,-1.0,1.0,-1.0,1.0,-8.0,2016-08-17,941.25,3.0,1.0,1.0,48212.5,964.25,1.0,grain,,,1.0,-8.0,,,-1.0,1.0,15.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1,1,-448.604290514,448.604290514,448.604290514,-448.604290514,-448.604290514,448.604290514,-448.604290514,448.604290514,-448.604290514,448.604290514,-448.604290514,-448.604290514,-448.604290514,448.604290514,-448.604290514,448.604290514,448.604290514,-448.604290514,448.604290514,448.604290514,448.604290514,-448.604290514,-448.604290514,-448.604290514,-448.604290514
SB,@SBV6,20.67,0.584,0.00291120815138,1.0,-1.0,1.0,-1.0,1.0,-22.0,2016-07-28,654.08,4.0,1.0,1.0,23150.4,20.67,1.0,soft,,,1.0,-22.0,,,1.0,1.0,-21.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,-1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,1,269.582532751,269.582532751,269.582532751,-269.582532751,269.582532751,-269.582532751,269.582532751,-269.582532751,269.582532751,-269.582532751,269.582532751,269.582532751,269.582532751,-269.582532751,-269.582532751,269.582532751,-269.582532751,-269.582532751,-269.582532751,-269.582532751,269.582532751,-269.582532751,-269.582532751,269.582532751,269.582532751
SF,@SFU6,1.0233,0.007065,0.000684529630354,1.0,-1.0,-1.0,-1.0,1.0,-7.0,2016-08-18,883.125,3.0,1.0,1.0,127912.5,1.0233,1.0,currency,,,1.0,-7.0,,,-1.0,1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,-1,262.679689028,262.679689028,-262.679689028,262.679689028,262.679689028,-262.679689028,262.679689028,-262.679689028,-262.679689028,-262.679689028,262.679689028,262.679689028,262.679689028,-262.679689028,-262.679689028,262.679689028,-262.679689028,-262.679689028,-262.679689028,-262.679689028,262.679689028,-262.679689028,-262.679689028,262.679689028,-262.679689028
SI,QSIZ6,1885.9,43.913624354,0.0060816217658,1.0,1.0,1.0,1.0,1.0,44.0,2016-08-02,2195.6812177,1.0,1.0,1.0,94295.0,1885.9,-1.0,metal,,,1.0,44.0,,,1.0,1.0,43.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,1,-1,-1,573.466524407,573.466524407,573.466524407,-573.466524407,-573.466524407,573.466524407,-573.466524407,573.466524407,573.466524407,573.466524407,-573.466524407,-573.466524407,573.466524407,-573.466524407,573.466524407,-573.466524407,573.466524407,573.466524407,-573.466524407,573.466524407,-573.466524407,-573.466524407,573.466524407,-573.466524407,-573.466524407
SIN,INU6,8655.5,88.824014778,0.00330358177814,1.0,-1.0,1.0,-1.0,1.0,15.0,2016-08-08,177.648029556,12.0,2.0,2.0,17311.0,8655.5,1.0,index,,,1.0,15.0,,,-1.0,1.0,14.0,1.0,1.0,12.0,1.0,1.0,12.0,1.0,2.0,12.0,-1.0,2.0,12.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1,1,686.259649936,686.259649936,-686.259649936,686.259649936,686.259649936,-686.259649936,686.259649936,-686.259649936,686.259649936,-686.259649936,686.259649936,686.259649936,686.259649936,-686.259649936,686.259649936,-686.259649936,-686.259649936,686.259649936,-686.259649936,-686.259649936,-686.259649936,686.259649936,686.259649936,686.259649936,686.259649936
SJB,BBU6,151.45,0.3025,0.00026418334324,1.0,-1.0,-1.0,-1.0,1.0,-23.0,2016-07-27,296.917942678,7.0,1.0,1.0,148655.280722,151.45,-1.0,rates,,,1.0,-23.0,,,-1.0,1.0,-22.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,-1,274.905743361,274.905743361,-274.905743361,274.905743361,-274.905743361,274.905743361,-274.905743361,-274.905743361,-274.905743361,-274.905743361,274.905743361,274.905743361,274.905743361,-274.905743361,-274.905743361,274.905743361,-274.905743361,-274.905743361,-274.905743361,-274.905743361,274.905743361,-274.905743361,274.905743361,-274.905743361,-274.905743361
SM,@SMZ6,315.1,7.225,-0.00126782884311,-1.0,-1.0,1.0,-1.0,1.0,-15.0,2016-08-08,722.5,3.0,1.0,1.0,31510.0,315.1,1.0,grain,,,1.0,-15.0,,,-1.0,1.0,-14.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1,-119.847860539,119.847860539,119.847860539,-119.847860539,-119.847860539,119.847860539,-119.847860539,119.847860539,-119.847860539,119.847860539,-119.847860539,-119.847860539,-119.847860539,119.847860539,119.847860539,-119.847860539,119.847860539,-119.847860539,119.847860539,119.847860539,-119.847860539,-119.847860539,-119.847860539,-119.847860539,-119.847860539
SMI,SWU6,8173.0,76.0,0.0015931372549,1.0,1.0,1.0,1.0,1.0,-9.0,2016-08-16,776.699029126,3.0,1.0,1.0,83525.8048033,8173.0,1.0,index,,,1.0,-9.0,,,1.0,1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1,1,399.204214133,399.204214133,399.204214133,-399.204214133,399.204214133,-399.204214133,399.204214133,399.204214133,399.204214133,399.204214133,-399.204214133,-399.204214133,399.204214133,-399.204214133,-399.204214133,399.204214133,399.204214133,-399.204214133,-399.204214133,-399.204214133,399.204214133,-399.204214133,-399.204214133,399.204214133,399.204214133
