2016-08-01 00:00:00,Contract,LastClose,ATR20,PC2016-08-01 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-08-01 00:00:00,RiskOn,group,PC2016-07-29 00:00:00,Close2016-07-29 00:00:00,SEA2016-08-01 00:00:00,SRUN2016-08-01 00:00:00,SEA2016-07-29 00:00:00,SRUN2016-07-29 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-29 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-29 00:00:00,Anti1LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
HIC,HSIQ6,22120.0,303.223265306,0.0158905116194,1.0,1.0,-1.0,1.0,-1.0,24.0,2016-06-27,-1.0,1951.24366349,2.0,142342.342342,22120.0,1.0,index,,,-1.0,24.0,,,-1.0,23.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,1,1,-1.0,1,-1,-1,1,-1,-1,2261.89264492,4523.78528984,-4523.78528984,4523.78528984,-4523.78528984,4523.78528984,-4523.78528984,-4523.78528984,4523.78528984,-4523.78528984,4523.78528984,-4523.78528984,-4523.78528984,4523.78528984,-4523.78528984,-4523.78528984,4523.78528984,4523.78528984,-4523.78528984
HO,QHOU6,1.2579,0.0447363015,-0.0379349904398,-1.0,-1.0,1.0,-1.0,1.0,-5.0,2016-07-25,1.0,1878.924663,2.0,52831.8,1.2579,1.0,energy,,,1.0,-5.0,,,1.0,21.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1,-1,1.0,-1,1,1,-1,1,-1,-2004.17382792,4008.34765583,-4008.34765583,4008.34765583,-4008.34765583,4008.34765583,-4008.34765583,-4008.34765583,4008.34765583,-4008.34765583,4008.34765583,-4008.34765583,-4008.34765583,4008.34765583,-4008.34765583,-4008.34765583,4008.34765583,-4008.34765583,4008.34765583
JY,@JYU6,0.97855,0.01366,-0.00346249809053,-1.0,1.0,-1.0,1.0,1.0,8.0,2016-07-20,1.0,1707.5,2.0,122318.75,0.97855,-1.0,currency,,,1.0,8.0,,,1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,1.0,-1,-1,-1,1,-1,1,-423.528438312,847.056876623,-847.056876623,-847.056876623,847.056876623,-847.056876623,847.056876623,-847.056876623,847.056876623,-847.056876623,847.056876623,847.056876623,847.056876623,-847.056876623,847.056876623,-847.056876623,847.056876623,847.056876623,-847.056876623
KC,@KCU6,143.45,4.1875,-0.0188098495212,-1.0,1.0,-1.0,1.0,1.0,-2.0,2016-07-18,1.0,1570.3125,2.0,53793.75,143.45,1.0,soft,,,1.0,-2.0,,,1.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,1.0,-1,-1,-1,1,-1,-1,-1011.85234268,2023.70468536,-2023.70468536,-2023.70468536,2023.70468536,-2023.70468536,2023.70468536,-2023.70468536,2023.70468536,-2023.70468536,2023.70468536,2023.70468536,2023.70468536,-2023.70468536,2023.70468536,-2023.70468536,2023.70468536,-2023.70468536,2023.70468536
KW,@KWU6,409.25,11.1625,-0.00122025625381,-1.0,1.0,1.0,-1.0,1.0,-1.0,2016-07-25,1.0,558.125,4.0,20462.5,409.25,1.0,grain,,,1.0,-1.0,,,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,1,-1,-1,1.0,-1,1,1,1,1,-1,-24.9694935937,99.8779743746,-99.8779743746,-99.8779743746,-99.8779743746,99.8779743746,-99.8779743746,-99.8779743746,99.8779743746,-99.8779743746,99.8779743746,-99.8779743746,-99.8779743746,-99.8779743746,-99.8779743746,-99.8779743746,99.8779743746,-99.8779743746,99.8779743746
LB,@LBU6,314.4,6.635,-0.0125628140704,-1.0,-1.0,-1.0,-1.0,1.0,11.0,2016-07-15,-1.0,729.85,3.0,34584.0,314.4,1.0,soft,,,1.0,11.0,,,1.0,10.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,-1,1,1.0,-1,1,1,1,1,-1,-434.472361809,1303.41708543,-1303.41708543,1303.41708543,1303.41708543,1303.41708543,-1303.41708543,-1303.41708543,1303.41708543,-1303.41708543,1303.41708543,-1303.41708543,-1303.41708543,-1303.41708543,-1303.41708543,1303.41708543,-1303.41708543,-1303.41708543,1303.41708543
LC,@LEV6,114.075,2.1922470145,0.0210337883195,1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-07-21,-1.0,876.8988058,3.0,45630.0,114.075,1.0,meat,,,-1.0,7.0,,,-1.0,6.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,-1.0,1,1,1,-1,1,-1,959.77176102,2879.31528306,-2879.31528306,-2879.31528306,2879.31528306,-2879.31528306,2879.31528306,-2879.31528306,2879.31528306,-2879.31528306,2879.31528306,2879.31528306,2879.31528306,-2879.31528306,2879.31528306,-2879.31528306,2879.31528306,2879.31528306,-2879.31528306
LCO,EBZ6,43.19,1.4665,-0.0309625308503,-1.0,-1.0,1.0,-1.0,-1.0,13.0,2016-07-13,1.0,1466.5,2.0,43190.0,43.19,1.0,energy,,,-1.0,13.0,,,-1.0,12.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,-1.0,1,-1,-1,-1,-1,-1,-1337.27170743,2674.54341485,2674.54341485,2674.54341485,-2674.54341485,2674.54341485,-2674.54341485,2674.54341485,-2674.54341485,2674.54341485,-2674.54341485,2674.54341485,2674.54341485,2674.54341485,2674.54341485,-2674.54341485,2674.54341485,-2674.54341485,2674.54341485
LGO,GASU6,364.0,14.1396867445,-0.0351225977469,-1.0,-1.0,1.0,-1.0,1.0,-23.0,2016-06-29,-1.0,1413.96867445,2.0,36400.0,364.0,1.0,energy,,,1.0,-23.0,,,1.0,-22.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1,1,-1.0,1,1,1,1,1,-1,-1278.46255799,2556.92511597,2556.92511597,2556.92511597,-2556.92511597,2556.92511597,-2556.92511597,-2556.92511597,2556.92511597,2556.92511597,-2556.92511597,-2556.92511597,-2556.92511597,-2556.92511597,-2556.92511597,2556.92511597,-2556.92511597,-2556.92511597,2556.92511597
LH,@HEV6,60.6,1.5566087785,0.0262489415749,1.0,1.0,1.0,1.0,-1.0,-12.0,2016-07-14,-1.0,622.6435114,4.0,24240.0,60.6,1.0,meat,,,-1.0,-12.0,,,-1.0,-11.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,1,1,1.0,-1,1,1,1,1,-1,636.274343776,2545.09737511,2545.09737511,2545.09737511,2545.09737511,2545.09737511,-2545.09737511,-2545.09737511,2545.09737511,2545.09737511,-2545.09737511,2545.09737511,2545.09737511,2545.09737511,2545.09737511,-2545.09737511,2545.09737511,2545.09737511,-2545.09737511
LRC,LRCU6,1818.0,28.4,-0.0162337662338,-1.0,1.0,1.0,1.0,1.0,-5.0,2016-07-25,1.0,284.0,8.0,18180.0,1818.0,1.0,soft,,,1.0,-5.0,,,1.0,-4.0,-1.0,1.0,8.0,-1.0,1.0,8.0,1.0,2.0,8.0,1.0,2.0,8.0,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,-1,-295.12987013,2361.03896104,2361.03896104,-2361.03896104,-2361.03896104,-2361.03896104,2361.03896104,-2361.03896104,2361.03896104,2361.03896104,-2361.03896104,2361.03896104,2361.03896104,-2361.03896104,2361.03896104,-2361.03896104,2361.03896104,-2361.03896104,2361.03896104
LSU,QWV6,520.7,11.9,-0.0145722937169,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,2016-06-29,1.0,595.0,4.0,26035.0,520.7,1.0,soft,,,-1.0,23.0,,,-1.0,22.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1,1,-1,-1.0,1,-1,-1,-1,-1,-1,-379.389666919,1517.55866768,1517.55866768,1517.55866768,1517.55866768,1517.55866768,-1517.55866768,1517.55866768,-1517.55866768,1517.55866768,-1517.55866768,1517.55866768,1517.55866768,1517.55866768,1517.55866768,-1517.55866768,1517.55866768,-1517.55866768,1517.55866768
MEM,@MMEU6,879.2,11.615,-0.00260918888259,-1.0,-1.0,-1.0,-1.0,1.0,-10.0,2016-07-18,1.0,580.75,4.0,43960.0,879.2,1.0,index,,,1.0,-10.0,,,1.0,-9.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,-1,-1,-1.0,1,-1,-1,-1,-1,-1,-114.699943278,458.799773114,458.799773114,458.799773114,458.799773114,458.799773114,-458.799773114,-458.799773114,458.799773114,458.799773114,-458.799773114,458.799773114,458.799773114,458.799773114,458.799773114,-458.799773114,458.799773114,-458.799773114,458.799773114
MFX,IBQ6,8525.6,150.278101709,-0.00529693151324,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,2016-07-19,1.0,1676.95333698,2.0,95137.1704,8525.6,1.0,index,,,-1.0,-1.0,,,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,1.0,-1,1,1,-1,1,-1,-503.935075972,1007.87015194,-1007.87015194,1007.87015194,-1007.87015194,1007.87015194,-1007.87015194,1007.87015194,-1007.87015194,-1007.87015194,1007.87015194,-1007.87015194,-1007.87015194,1007.87015194,-1007.87015194,-1007.87015194,1007.87015194,-1007.87015194,1007.87015194
MP,@PXU6,0.05281,0.0006455,-0.00377287304282,-1.0,1.0,1.0,-1.0,-1.0,7.0,2016-07-21,1.0,322.75,7.0,26405.0,0.05281,1.0,currency,,,-1.0,7.0,,,-1.0,6.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,1.0,7.0,1.0,2.0,7.0,-1.0,1,1,-1,-1.0,1,-1,-1,-1,-1,-1,-99.6227126957,697.35898887,697.35898887,-697.35898887,-697.35898887,697.35898887,-697.35898887,697.35898887,-697.35898887,697.35898887,-697.35898887,697.35898887,697.35898887,697.35898887,697.35898887,-697.35898887,697.35898887,-697.35898887,697.35898887
MW,@MWU6,484.75,9.55,-0.00716845878136,-1.0,-1.0,-1.0,1.0,-1.0,5.0,2016-07-25,1.0,477.5,5.0,24237.5,484.75,1.0,grain,,,-1.0,5.0,,,-1.0,-7.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-173.745519713,868.727598566,-868.727598566,868.727598566,868.727598566,-868.727598566,868.727598566,868.727598566,-868.727598566,-868.727598566,868.727598566,868.727598566,868.727598566,868.727598566,868.727598566,-868.727598566,868.727598566,-868.727598566,868.727598566
NE,@NEU6,0.7177,0.00834,-0.00416261967532,-1.0,1.0,1.0,1.0,-1.0,-7.0,2016-07-21,1.0,834.0,3.0,71770.0,0.7177,1.0,currency,,,-1.0,-7.0,,,-1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-298.751214097,896.253642292,-896.253642292,-896.253642292,-896.253642292,-896.253642292,896.253642292,896.253642292,-896.253642292,-896.253642292,896.253642292,896.253642292,-896.253642292,896.253642292,896.253642292,-896.253642292,896.253642292,-896.253642292,896.253642292
NG,QNGU6,2.771,0.097,-0.0365090403338,-1.0,1.0,1.0,1.0,-1.0,-8.0,2016-07-20,1.0,970.0,3.0,27710.0,2.771,1.0,energy,,,-1.0,-8.0,,,-1.0,-7.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-1011.66550765,3034.99652295,-3034.99652295,-3034.99652295,-3034.99652295,-3034.99652295,3034.99652295,3034.99652295,-3034.99652295,-3034.99652295,3034.99652295,3034.99652295,-3034.99652295,3034.99652295,3034.99652295,-3034.99652295,3034.99652295,-3034.99652295,3034.99652295
NIY,@NKDU6,16450.0,345.25,0.00796568627451,1.0,1.0,1.0,-1.0,-1.0,-9.0,2016-07-19,-1.0,1685.62640367,2.0,80314.4224197,16450.0,1.0,index,,,-1.0,-9.0,,,-1.0,-8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,1,1,1.0,-1,1,1,1,1,-1,639.759492314,1279.51898463,1279.51898463,1279.51898463,1279.51898463,-1279.51898463,1279.51898463,-1279.51898463,1279.51898463,1279.51898463,-1279.51898463,1279.51898463,1279.51898463,1279.51898463,1279.51898463,-1279.51898463,1279.51898463,1279.51898463,-1279.51898463
NQ,@NQU6,4744.5,42.525,0.00375522293331,1.0,1.0,1.0,1.0,-1.0,-9.0,2016-07-19,1.0,850.5,3.0,94890.0,4744.5,1.0,index,,,-1.0,-9.0,,,-1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,356.333104141,1068.99931242,1068.99931242,1068.99931242,1068.99931242,1068.99931242,-1068.99931242,-1068.99931242,1068.99931242,1068.99931242,-1068.99931242,-1068.99931242,1068.99931242,-1068.99931242,-1068.99931242,1068.99931242,-1068.99931242,1068.99931242,-1068.99931242
O,@OZ6,197.5,5.05,-0.00878293601004,-1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2016-07-21,1.0,252.5,8.0,9875.0,197.5,1.0,grain,,,-1.0,-7.0,,,1.0,-6.0,-1.0,1.0,8.0,-1.0,1.0,8.0,-1.0,1.0,8.0,-1.0,1.0,8.0,-1.0,1,-1,-1,-1.0,1,-1,-1,-1,-1,-1,-86.7314930991,693.851944793,693.851944793,693.851944793,693.851944793,693.851944793,-693.851944793,-693.851944793,693.851944793,693.851944793,-693.851944793,693.851944793,693.851944793,693.851944793,693.851944793,-693.851944793,693.851944793,-693.851944793,693.851944793
OJ,@OJU6,180.85,5.88,0.0354995705697,1.0,1.0,1.0,1.0,-1.0,-4.0,2016-07-26,-1.0,882.0,3.0,27127.5,180.85,1.0,soft,,,-1.0,-4.0,,,-1.0,-3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,1,1,1.0,-1,1,1,1,1,-1,963.01460063,2889.04380189,2889.04380189,2889.04380189,2889.04380189,2889.04380189,-2889.04380189,-2889.04380189,2889.04380189,2889.04380189,-2889.04380189,2889.04380189,2889.04380189,2889.04380189,2889.04380189,-2889.04380189,2889.04380189,2889.04380189,-2889.04380189
PA,QPAU6,716.25,16.69,0.00915815427968,1.0,1.0,-1.0,1.0,-1.0,24.0,2016-06-27,1.0,1669.0,2.0,71625.0,716.25,1.0,metal,,,-1.0,24.0,,,-1.0,23.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,655.952800282,1311.90560056,-1311.90560056,1311.90560056,-1311.90560056,1311.90560056,-1311.90560056,-1311.90560056,1311.90560056,-1311.90560056,1311.90560056,-1311.90560056,-1311.90560056,-1311.90560056,-1311.90560056,1311.90560056,-1311.90560056,1311.90560056,-1311.90560056
PL,QPLV6,1163.3,23.64,0.0110377194507,1.0,1.0,1.0,1.0,-1.0,24.0,2016-06-27,1.0,1182.0,2.0,58165.0,1163.3,-1.0,metal,,,-1.0,24.0,,,-1.0,23.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,642.008951851,1284.0179037,-1284.0179037,1284.0179037,1284.0179037,1284.0179037,-1284.0179037,-1284.0179037,1284.0179037,-1284.0179037,1284.0179037,-1284.0179037,-1284.0179037,-1284.0179037,-1284.0179037,1284.0179037,-1284.0179037,-1284.0179037,1284.0179037
RB,QRBU6,1.3036,0.0474322215,-0.0119751402152,-1.0,1.0,-1.0,1.0,-1.0,-5.0,2016-07-25,1.0,1992.153303,2.0,54751.2,1.3036,1.0,energy,,,-1.0,-5.0,,,-1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-655.653296953,1311.30659391,-1311.30659391,-1311.30659391,1311.30659391,-1311.30659391,1311.30659391,1311.30659391,-1311.30659391,-1311.30659391,1311.30659391,1311.30659391,1311.30659391,1311.30659391,1311.30659391,-1311.30659391,1311.30659391,-1311.30659391,1311.30659391
RR,@RRU6,9.685,0.2335,-0.0256539235412,-1.0,1.0,-1.0,1.0,-1.0,-17.0,2016-07-07,1.0,467.0,5.0,19370.0,9.685,1.0,grain,,,-1.0,-17.0,,,-1.0,-16.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-496.916498994,2484.58249497,-2484.58249497,-2484.58249497,2484.58249497,-2484.58249497,2484.58249497,2484.58249497,-2484.58249497,-2484.58249497,2484.58249497,2484.58249497,2484.58249497,2484.58249497,2484.58249497,-2484.58249497,2484.58249497,-2484.58249497,2484.58249497
RS,@RSX6,453.9,10.245,,1.0,1.0,-1.0,1.0,1.0,-4.0,2016-07-25,-1.0,156.138078183,13.0,6917.62554294,,1.0,grain,0.00598404255319,453.9,,,1.0,-4.0,1.0,-4.0,-1.0,1.0,13.0,-1.0,1.0,13.0,-1.0,2.0,13.0,1.0,2.0,13.0,1.0,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,
S,@SX6,961.5,35.9125,-0.0413758723829,-1.0,1.0,1.0,1.0,-1.0,-1.0,2016-07-25,1.0,1795.625,2.0,48075.0,961.5,1.0,grain,,,-1.0,-1.0,,,1.0,-4.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,-1,-1989.14506481,3978.29012961,3978.29012961,-3978.29012961,-3978.29012961,-3978.29012961,3978.29012961,-3978.29012961,3978.29012961,3978.29012961,-3978.29012961,3978.29012961,3978.29012961,-3978.29012961,3978.29012961,-3978.29012961,3978.29012961,-3978.29012961,3978.29012961
SB,@SBV6,18.81,0.6115,-0.0125984251969,-1.0,1.0,1.0,1.0,-1.0,7.0,2016-07-21,1.0,684.88,3.0,21067.2,18.81,1.0,soft,,,-1.0,7.0,,,-1.0,-21.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-265.413543307,796.240629921,-796.240629921,-796.240629921,-796.240629921,-796.240629921,796.240629921,796.240629921,-796.240629921,-796.240629921,796.240629921,796.240629921,-796.240629921,796.240629921,796.240629921,-796.240629921,796.240629921,-796.240629921,796.240629921
SF,@SFU6,1.0362,0.00772,0.000869313242538,1.0,1.0,1.0,-1.0,1.0,4.0,2016-07-26,1.0,965.0,3.0,129525.0,1.0362,1.0,currency,,,1.0,4.0,,,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,1,-1,-1,1.0,-1,1,1,1,1,-1,112.59779774,337.793393219,337.793393219,337.793393219,337.793393219,-337.793393219,337.793393219,337.793393219,-337.793393219,337.793393219,-337.793393219,337.793393219,337.793393219,337.793393219,337.793393219,337.793393219,-337.793393219,337.793393219,-337.793393219
SI,QSIU6,2050.0,54.195,0.00751953604954,1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-07-20,1.0,2709.75,1.0,102500.0,2050.0,-1.0,metal,,,-1.0,-8.0,,,1.0,-7.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,1,770.752445078,770.752445078,-770.752445078,770.752445078,-770.752445078,770.752445078,-770.752445078,770.752445078,-770.752445078,-770.752445078,770.752445078,-770.752445078,-770.752445078,770.752445078,-770.752445078,770.752445078,-770.752445078,-770.752445078,770.752445078
SIN,INQ6,8688.0,85.184169851,5.75539568346e-05,1.0,-1.0,1.0,-1.0,-1.0,-7.0,2016-07-21,-1.0,170.368339702,12.0,17376.0,8688.0,1.0,index,,,-1.0,-7.0,,,-1.0,-6.0,1.0,1.0,12.0,1.0,1.0,12.0,1.0,2.0,12.0,-1.0,2.0,12.0,-1.0,1,1,1,1.0,-1,1,1,-1,1,-1,1.00005755396,12.0006906475,12.0006906475,-12.0006906475,12.0006906475,-12.0006906475,12.0006906475,-12.0006906475,12.0006906475,12.0006906475,-12.0006906475,12.0006906475,12.0006906475,-12.0006906475,12.0006906475,-12.0006906475,12.0006906475,12.0006906475,-12.0006906475
SJB,BBU6,152.3,0.382,-0.00314177248331,-1.0,1.0,1.0,1.0,1.0,-3.0,2016-07-18,-1.0,373.010448198,6.0,148715.945708,152.3,-1.0,rates,,,1.0,-3.0,,,1.0,-2.0,-1.0,1.0,6.0,-1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,1.0,-1,-1,1,-1.0,1,-1,1,1,1,1,-467.231666056,2803.38999634,2803.38999634,-2803.38999634,-2803.38999634,-2803.38999634,2803.38999634,-2803.38999634,2803.38999634,2803.38999634,-2803.38999634,2803.38999634,-2803.38999634,-2803.38999634,-2803.38999634,2803.38999634,-2803.38999634,2803.38999634,-2803.38999634
SM,@SMZ6,331.6,13.51,-0.0463042853034,-1.0,1.0,-1.0,1.0,-1.0,1.0,2016-07-25,1.0,1351.0,2.0,33160.0,331.6,1.0,grain,,,-1.0,1.0,,,-1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1535.45010066,3070.90020132,-3070.90020132,-3070.90020132,3070.90020132,-3070.90020132,3070.90020132,3070.90020132,-3070.90020132,-3070.90020132,3070.90020132,3070.90020132,3070.90020132,3070.90020132,3070.90020132,-3070.90020132,3070.90020132,-3070.90020132,3070.90020132
SMI,SWU6,8133.0,87.5,,1.0,1.0,1.0,1.0,1.0,-20.0,2016-07-01,-1.0,903.552251136,3.0,83983.8909542,,1.0,index,0.00543948572135,8133.0,,,1.0,-20.0,1.0,-20.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1,-1.0,1,-1,1,1,1,-1,,,,,,,,,,,,,,,,,,,
SSG,SSQ6,316.2,3.915116459,0.0120019203072,1.0,-1.0,-1.0,-1.0,-1.0,-12.0,2016-07-14,-1.0,584.345740149,4.0,47194.0298507,316.2,1.0,index,,,-1.0,-12.0,,,-1.0,-11.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,1.0,-1,1,1,-1,1,-1,566.418985247,2265.67594099,2265.67594099,-2265.67594099,-2265.67594099,-2265.67594099,2265.67594099,-2265.67594099,2265.67594099,2265.67594099,-2265.67594099,2265.67594099,2265.67594099,-2265.67594099,2265.67594099,-2265.67594099,2265.67594099,2265.67594099,-2265.67594099
STW,TWQ6,338.4,4.259074241,0.0165214779213,1.0,-1.0,-1.0,1.0,-1.0,1.0,2016-07-14,-1.0,425.9074241,5.0,33840.0,338.4,1.0,index,,,-1.0,1.0,,,-1.0,-11.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,-1,1,1,1.0,-1,1,1,-1,1,-1,559.086812857,2795.43406428,2795.43406428,-2795.43406428,-2795.43406428,2795.43406428,-2795.43406428,-2795.43406428,2795.43406428,2795.43406428,-2795.43406428,2795.43406428,2795.43406428,-2795.43406428,2795.43406428,-2795.43406428,2795.43406428,2795.43406428,-2795.43406428
SXE,EXU6,2967.0,46.15,-0.00536372779081,-1.0,1.0,1.0,1.0,-1.0,-2.0,2016-07-25,1.0,514.98785,4.0,33108.753,2967.0,1.0,index,,,-1.0,-2.0,,,-1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,-177.586338585,710.345354341,710.345354341,-710.345354341,-710.345354341,-710.345354341,710.345354341,710.345354341,-710.345354341,710.345354341,-710.345354341,710.345354341,710.345354341,710.345354341,710.345354341,-710.345354341,710.345354341,-710.345354341,710.345354341
TF,@TFSU6,1217.4,14.475,0.000328677074774,1.0,1.0,-1.0,1.0,1.0,-13.0,2016-07-13,1.0,1447.5,2.0,121740.0,1217.4,1.0,index,,,1.0,-13.0,,,-1.0,-17.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,40.013147083,80.026294166,80.026294166,80.026294166,-80.026294166,80.026294166,-80.026294166,-80.026294166,80.026294166,80.026294166,-80.026294166,-80.026294166,-80.026294166,-80.026294166,-80.026294166,80.026294166,-80.026294166,80.026294166,-80.026294166
TU,@TUU6,109.4609375,0.10078125,-0.000356735159817,-1.0,1.0,1.0,1.0,1.0,5.0,2016-07-25,1.0,201.5625,10.0,218921.875,109.4609375,-1.0,rates,,,1.0,5.0,,,1.0,4.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,2.0,10.0,1.0,2.0,10.0,1.0,-1,-1,-1,1.0,-1,-1,1,1,1,1,-78.0971300656,780.971300656,-780.971300656,-780.971300656,-780.971300656,-780.971300656,780.971300656,-780.971300656,780.971300656,-780.971300656,780.971300656,780.971300656,-780.971300656,-780.971300656,-780.971300656,-780.971300656,780.971300656,780.971300656,-780.971300656
TY,@TYU6,132.796875,0.6109375,-0.00187903699354,-1.0,-1.0,-1.0,-1.0,1.0,11.0,2016-07-15,1.0,610.9375,4.0,132796.875,132.796875,-1.0,rates,,,1.0,11.0,,,1.0,10.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,-1,-1,1.0,-1,1,-1,-1,-1,1,-249.530240752,998.120963006,-998.120963006,998.120963006,998.120963006,998.120963006,-998.120963006,-998.120963006,998.120963006,-998.120963006,998.120963006,-998.120963006,998.120963006,998.120963006,998.120963006,-998.120963006,998.120963006,998.120963006,-998.120963006
