2016-08-01 00:00:00,Contract,LastClose,ATR20,PC2016-08-01 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-08-01 00:00:00,RiskOn,group,PC2016-07-29 00:00:00,Close2016-07-29 00:00:00,SEA2016-08-01 00:00:00,SRUN2016-08-01 00:00:00,SEA2016-07-29 00:00:00,SRUN2016-07-29 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-29 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-29 00:00:00,Anti1LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
CT,@CTZ6,74.38,1.8675,0.00459211237169,1.0,-1.0,-1.0,-1.0,-1.0,-5.0,2016-07-25,1.0,933.75,3.0,37190.0,74.38,1.0,soft,,,-1.0,-5.0,,,-1.0,-4.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1.0,-1,1,-1,-1,-1,-1,170.780659103,512.34197731,512.34197731,-512.34197731,-512.34197731,-512.34197731,512.34197731,-512.34197731,512.34197731,512.34197731,-512.34197731,512.34197731,-512.34197731,-512.34197731,-512.34197731,512.34197731,-512.34197731,512.34197731,-512.34197731
CU,@EUU6,1.1191,0.00741,-0.000937374458778,-1.0,-1.0,1.0,-1.0,1.0,6.0,2016-07-22,1.0,926.25,3.0,139887.5,1.1191,1.0,currency,,,1.0,6.0,,,1.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,-1,-1,1.0,-1,1,1,-1,1,-1,-131.126969602,393.380908807,-393.380908807,393.380908807,-393.380908807,393.380908807,-393.380908807,-393.380908807,393.380908807,-393.380908807,393.380908807,-393.380908807,-393.380908807,393.380908807,-393.380908807,-393.380908807,393.380908807,-393.380908807,393.380908807
DX,@DXU6,95.677,0.5799,0.00194782754396,1.0,-1.0,-1.0,-1.0,1.0,6.0,2016-07-22,-1.0,579.9,4.0,95677.0,95.677,-1.0,currency,,,1.0,6.0,,,1.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,-1,1,1.0,-1,1,1,1,1,1,186.362295923,745.449183693,745.449183693,-745.449183693,-745.449183693,-745.449183693,745.449183693,745.449183693,-745.449183693,745.449183693,-745.449183693,745.449183693,745.449183693,745.449183693,745.449183693,-745.449183693,745.449183693,-745.449183693,745.449183693
EBL,BDU6,167.45,0.7065,-0.00214528335618,-1.0,1.0,1.0,-1.0,1.0,11.0,2016-07-15,1.0,788.38335,3.0,186857.455,167.45,-1.0,rates,,,1.0,11.0,,,1.0,10.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,1,-1,-1,1.0,-1,1,1,1,1,1,-400.862188189,1202.58656457,-1202.58656457,-1202.58656457,-1202.58656457,1202.58656457,-1202.58656457,-1202.58656457,1202.58656457,-1202.58656457,1202.58656457,-1202.58656457,-1202.58656457,-1202.58656457,-1202.58656457,-1202.58656457,1202.58656457,1202.58656457,-1202.58656457
EBM,BLU6,133.57,0.1965,-0.000748111019675,-1.0,-1.0,-1.0,-1.0,1.0,-16.0,2016-07-08,1.0,219.27435,10.0,149050.763,133.57,-1.0,rates,,,1.0,-16.0,,,1.0,-15.0,-1.0,1.0,10.0,-1.0,1.0,10.0,-1.0,1.0,10.0,-1.0,2.0,10.0,-1.0,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-111.506518291,1115.06518291,1115.06518291,1115.06518291,1115.06518291,1115.06518291,-1115.06518291,-1115.06518291,1115.06518291,1115.06518291,-1115.06518291,1115.06518291,1115.06518291,1115.06518291,1115.06518291,-1115.06518291,1115.06518291,1115.06518291,-1115.06518291
EBS,EZU6,111.99,0.04175,-0.000267809319764,-1.0,-1.0,1.0,-1.0,1.0,-15.0,2016-07-11,1.0,46.588825,43.0,124969.641,111.99,-1.0,rates,,,1.0,-15.0,,,1.0,-14.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-33.4680345474,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
ED,@EDZ6,99.155,0.03575,-0.000100842030959,-1.0,1.0,1.0,1.0,1.0,5.0,2016-07-25,1.0,89.375,23.0,247887.5,99.155,-1.0,rates,,,1.0,5.0,,,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,1.0,-1,-1,1,1,1,1,-24.9974789492,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
EMD,@EMDU6,1552.6,14.92,-0.00276189864474,-1.0,1.0,1.0,1.0,-1.0,-13.0,2016-07-13,1.0,1492.0,2.0,155260.0,1552.6,1.0,index,,,-1.0,-13.0,,,1.0,-12.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,-1,-428.812383583,857.624767166,857.624767166,-857.624767166,-857.624767166,-857.624767166,857.624767166,-857.624767166,857.624767166,857.624767166,-857.624767166,857.624767166,857.624767166,-857.624767166,857.624767166,-857.624767166,857.624767166,-857.624767166,857.624767166
ES,@ESU6,2164.5,17.2,-0.00172950536147,-1.0,1.0,-1.0,1.0,-1.0,-11.0,2016-07-15,1.0,860.0,3.0,108225.0,2164.5,1.0,index,,,-1.0,-11.0,,,-1.0,-10.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-187.175717745,561.527153234,-561.527153234,-561.527153234,561.527153234,-561.527153234,561.527153234,561.527153234,-561.527153234,-561.527153234,561.527153234,561.527153234,561.527153234,561.527153234,561.527153234,-561.527153234,561.527153234,-561.527153234,561.527153234
FC,@GFQ6,144.55,3.2275,0.0321313816494,1.0,1.0,1.0,-1.0,-1.0,7.0,2016-07-21,-1.0,1613.75,2.0,72275.0,144.55,1.0,meat,,,-1.0,7.0,,,-1.0,6.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,1,1,-1.0,1,1,1,1,1,-1,2322.29560871,4644.59121742,-4644.59121742,4644.59121742,4644.59121742,-4644.59121742,4644.59121742,-4644.59121742,4644.59121742,-4644.59121742,4644.59121742,4644.59121742,4644.59121742,4644.59121742,4644.59121742,-4644.59121742,4644.59121742,4644.59121742,-4644.59121742
