2016-09-07 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-07 00:00:00,Close2016-09-07 00:00:00,group,RiskOn,Excess,SEA2016-09-07 00:00:00,SRUN2016-09-07 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-06 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-06 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-06 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-06 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
AC,@ACV6,1.429,0.0243676585,-0.00763888888889,-1.0,1.0,1.0,1.0,-1.0,7.0,2016-08-26,706.6620965,3.0,1.0,1.0,41441.0,-0.00763888888889,1.429,energy,1.0,1.0,-1.0,7.0,-1.0,-1.0,6.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,1,1,-1.0,1,-1,1,1,-1,1,1,1,1.0,1,0.0,1,-1,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
AD,@ADU6,0.767,0.00671,-0.00130208333333,-1.0,1.0,1.0,1.0,1.0,-38.0,2016-07-14,671.0,3.0,1.0,1.0,76700.0,-0.00130208333333,0.767,currency,1.0,1.0,1.0,-38.0,1.0,1.0,-37.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,1,-1,-1,1,0.0,-1,0.0,-1,1,1,-299.609375,299.609375,-299.609375,299.609375,-299.609375,299.609375,-299.609375,299.609375,-299.609375,-299.609375,-299.609375,-299.609375,299.609375,299.609375,-299.609375,299.609375,299.609375,-299.609375,-299.609375,-299.609375,299.609375,-299.609375,-299.609375,299.609375,299.609375,-299.609375,-0.0,299.609375,-0.0,299.609375,-299.609375
AEX,AEXU6,463.2,4.8571591285,0.00477223427332,1.0,-1.0,-1.0,-1.0,-1.0,8.0,2016-08-26,1091.98651527,2.0,1.0,1.0,104136.624,0.00477223427332,463.2,index,1.0,1.0,-1.0,8.0,-1.0,-1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,-1,1,1.0,1,-1.0,1,-1,1,993.928732321,993.928732321,-993.928732321,993.928732321,993.928732321,-993.928732321,993.928732321,-993.928732321,993.928732321,-993.928732321,-993.928732321,-993.928732321,993.928732321,993.928732321,-993.928732321,993.928732321,-993.928732321,993.928732321,-993.928732321,993.928732321,993.928732321,993.928732321,993.928732321,993.928732321,-993.928732321,993.928732321,993.928732321,993.928732321,-993.928732321,993.928732321,-993.928732321
BO,@BOZ6,33.15,0.71,0.000603682463024,1.0,-1.0,-1.0,-1.0,1.0,-12.0,2016-08-19,426.0,5.0,1.0,1.0,19890.0,0.000603682463024,33.15,grain,1.0,1.0,1.0,-12.0,1.0,1.0,-11.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,1,1,-1,60.0362209478,60.0362209478,60.0362209478,-60.0362209478,60.0362209478,-60.0362209478,60.0362209478,-60.0362209478,-60.0362209478,-60.0362209478,-60.0362209478,-60.0362209478,60.0362209478,60.0362209478,60.0362209478,-60.0362209478,-60.0362209478,60.0362209478,60.0362209478,-60.0362209478,-60.0362209478,-60.0362209478,60.0362209478,-60.0362209478,-60.0362209478,-60.0362209478,-60.0362209478,-60.0362209478,-60.0362209478,60.0362209478,60.0362209478
BP,@BPU6,1.3338,0.01137,-0.00758928571429,-1.0,1.0,-1.0,1.0,1.0,-16.0,2016-08-15,710.625,3.0,1.0,1.0,83362.5,-0.00758928571429,1.3338,currency,1.0,1.0,1.0,-16.0,1.0,1.0,-15.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,1,-1,-1897.98549107,1897.98549107,-1897.98549107,1897.98549107,-1897.98549107,1897.98549107,-1897.98549107,1897.98549107,1897.98549107,-1897.98549107,1897.98549107,-1897.98549107,1897.98549107,1897.98549107,-1897.98549107,1897.98549107,1897.98549107,-1897.98549107,-1897.98549107,1897.98549107,1897.98549107,1897.98549107,-1897.98549107,1897.98549107,1897.98549107,1897.98549107,1897.98549107,1897.98549107,1897.98549107,1897.98549107,-1897.98549107
C,@CZ6,333.25,6.1625,0.0144596651446,1.0,-1.0,1.0,-1.0,-1.0,4.0,2016-08-31,308.125,7.0,1.0,1.0,16662.5,0.0144596651446,333.25,grain,1.0,1.0,-1.0,4.0,1.0,-1.0,-27.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,-1,1,1.0,0,0.0,1,-1,1,1686.5391933,1686.5391933,1686.5391933,-1686.5391933,1686.5391933,-1686.5391933,1686.5391933,-1686.5391933,1686.5391933,-1686.5391933,1686.5391933,-1686.5391933,1686.5391933,1686.5391933,-1686.5391933,1686.5391933,1686.5391933,-1686.5391933,1686.5391933,-1686.5391933,1686.5391933,1686.5391933,1686.5391933,1686.5391933,-1686.5391933,1686.5391933,1686.5391933,0.0,0.0,1686.5391933,-1686.5391933
CC,@CCZ6,2909.0,57.15,-0.00478959972631,-1.0,1.0,-1.0,1.0,1.0,7.0,2016-08-26,571.5,4.0,1.0,1.0,29090.0,-0.00478959972631,2909.0,soft,1.0,1.0,1.0,7.0,1.0,-1.0,6.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,-1,-1.0,1,-1,-1,-1,1,-1,-1,-1,0.0,0,-1.0,-1,1,-1,-557.317824153,557.317824153,-557.317824153,557.317824153,-557.317824153,557.317824153,-557.317824153,557.317824153,557.317824153,-557.317824153,557.317824153,-557.317824153,557.317824153,557.317824153,557.317824153,-557.317824153,557.317824153,-557.317824153,557.317824153,557.317824153,557.317824153,557.317824153,-557.317824153,557.317824153,557.317824153,557.317824153,-0.0,-0.0,557.317824153,557.317824153,-557.317824153
CD,@CDU6,0.77545,0.0055425,-0.00462101277197,-1.0,1.0,1.0,1.0,1.0,4.0,2016-08-31,554.25,4.0,1.0,1.0,77545.0,-0.00462101277197,0.77545,currency,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,0.0,-1,0.0,-1,1,0,-1433.34574161,1433.34574161,-1433.34574161,1433.34574161,-1433.34574161,1433.34574161,-1433.34574161,1433.34574161,-1433.34574161,-1433.34574161,-1433.34574161,-1433.34574161,1433.34574161,1433.34574161,-1433.34574161,1433.34574161,-1433.34574161,1433.34574161,-1433.34574161,1433.34574161,1433.34574161,-0.0,1433.34574161,1433.34574161,1433.34574161,-1433.34574161,-0.0,1433.34574161,-0.0,1433.34574161,-1433.34574161
CGB,CBZ6,146.8,0.6053757575,0.00238989416183,1.0,-1.0,1.0,-1.0,-1.0,-41.0,2016-07-08,469.611168645,5.0,1.0,1.0,113877.89931,0.00238989416183,146.8,rates,-1.0,1.0,-1.0,-41.0,1.0,-1.0,-40.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1,-1,1.0,0,1.0,-1,-1,0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
CL,QCLV6,45.5,1.5361402565,0.0149453490966,1.0,-1.0,-1.0,-1.0,-1.0,12.0,2016-08-19,1536.1402565,2.0,1.0,1.0,45500.0,0.0149453490966,45.5,energy,1.0,1.0,-1.0,12.0,1.0,-1.0,11.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,-1,-1,-1,0.0,0,-1.0,1,-1,0,1360.02676779,1360.02676779,1360.02676779,-1360.02676779,1360.02676779,-1360.02676779,1360.02676779,-1360.02676779,-1360.02676779,-1360.02676779,-1360.02676779,-1360.02676779,1360.02676779,1360.02676779,-1360.02676779,1360.02676779,-1360.02676779,1360.02676779,1360.02676779,-1360.02676779,1360.02676779,0.0,1360.02676779,-1360.02676779,-1360.02676779,-1360.02676779,0.0,0.0,-1360.02676779,1360.02676779,-1360.02676779
