2016-09-08 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-08 00:00:00,Close2016-09-08 00:00:00,group,RiskOn,Excess,SEA2016-09-08 00:00:00,SRUN2016-09-08 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-07 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-07 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-07 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-07 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
AC,@ACV6,1.452,0.025370294,0.0160951714486,1.0,-1.0,-1.0,1.0,-1.0,8.0,2016-08-26,735.738526,3.0,1.0,1.0,42108.0,0.0160951714486,1.452,energy,1.0,1.0,-1.0,8.0,-1.0,-1.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,-1,-1,-1,1,1,1,-1.0,1,-1,1,1,-1,1,-1,1,1.0,1,-1.0,1,-1,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
AD,@ADU6,0.7641,0.007015,-0.00378096479791,-1.0,-1.0,-1.0,1.0,1.0,-39.0,2016-07-14,701.5,3.0,1.0,1.0,76410.0,-0.00378096479791,0.7641,currency,1.0,1.0,1.0,-39.0,-1.0,1.0,-38.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1.0,3.0,1.0,-1,-1,-1,1,-1,1,-1.0,1,-1,1,1,-1,-1,-1,1,0.0,0,-1.0,1,1,1,-866.710560626,866.710560626,866.710560626,-866.710560626,-866.710560626,866.710560626,-866.710560626,866.710560626,-866.710560626,866.710560626,866.710560626,-866.710560626,866.710560626,-866.710560626,-866.710560626,866.710560626,866.710560626,-866.710560626,866.710560626,-866.710560626,-866.710560626,-866.710560626,866.710560626,866.710560626,866.710560626,-866.710560626,-0.0,-0.0,866.710560626,-866.710560626,-866.710560626
AEX,AEXU6,459.4,5.1048558915,-0.00820379965458,-1.0,1.0,1.0,1.0,-1.0,-4.0,2016-09-02,1149.40935253,2.0,1.0,1.0,103438.504,-0.00820379965458,459.4,index,1.0,1.0,-1.0,-4.0,1.0,-1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,1,-1,1,1.0,0,0.0,-1,1,0,-1697.17752677,1697.17752677,-1697.17752677,1697.17752677,-1697.17752677,1697.17752677,-1697.17752677,1697.17752677,-1697.17752677,-1697.17752677,-1697.17752677,-1697.17752677,1697.17752677,1697.17752677,1697.17752677,-1697.17752677,1697.17752677,-1697.17752677,1697.17752677,-1697.17752677,1697.17752677,-0.0,-1697.17752677,-1697.17752677,1697.17752677,-1697.17752677,-1697.17752677,-0.0,-0.0,1697.17752677,-1697.17752677
BO,@BOZ6,33.27,0.6935,0.00361990950226,1.0,-1.0,-1.0,-1.0,1.0,-13.0,2016-08-19,416.1,5.0,1.0,1.0,19962.0,0.00361990950226,33.27,grain,1.0,1.0,1.0,-13.0,1.0,1.0,-12.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,1,1,-1,361.303167421,361.303167421,361.303167421,-361.303167421,361.303167421,-361.303167421,361.303167421,-361.303167421,-361.303167421,-361.303167421,-361.303167421,-361.303167421,361.303167421,361.303167421,361.303167421,-361.303167421,-361.303167421,361.303167421,361.303167421,-361.303167421,-361.303167421,-361.303167421,361.303167421,-361.303167421,-361.303167421,-361.303167421,-361.303167421,-361.303167421,-361.303167421,361.303167421,361.303167421
BP,@BPU6,1.3302,0.01137,-0.00269905533063,-1.0,1.0,-1.0,1.0,1.0,-17.0,2016-08-15,710.625,3.0,1.0,1.0,83137.5,-0.00269905533063,1.3302,currency,1.0,1.0,1.0,-17.0,-1.0,1.0,-16.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,1,0.0,0,-1.0,1,1,0,-673.178137652,673.178137652,673.178137652,-673.178137652,-673.178137652,673.178137652,-673.178137652,673.178137652,-673.178137652,-673.178137652,673.178137652,-673.178137652,673.178137652,673.178137652,-673.178137652,673.178137652,673.178137652,-673.178137652,673.178137652,-673.178137652,673.178137652,-0.0,673.178137652,673.178137652,673.178137652,-673.178137652,-0.0,-0.0,673.178137652,-673.178137652,-673.178137652
C,@CZ6,338.5,6.3125,0.0157539384846,1.0,-1.0,-1.0,1.0,-1.0,5.0,2016-08-31,315.625,7.0,1.0,1.0,16925.0,0.0157539384846,338.5,grain,1.0,1.0,-1.0,5.0,1.0,-1.0,4.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,2.0,7.0,1.0,-1,-1,-1,1,1,-1,-1.0,1,-1,-1,1,1,-1,-1,-1,0.0,0,-1.0,1,1,-1,1866.44786197,1866.44786197,1866.44786197,-1866.44786197,1866.44786197,-1866.44786197,1866.44786197,-1866.44786197,-1866.44786197,-1866.44786197,-1866.44786197,1866.44786197,-1866.44786197,1866.44786197,-1866.44786197,1866.44786197,-1866.44786197,1866.44786197,-1866.44786197,-1866.44786197,1866.44786197,-1866.44786197,1866.44786197,-1866.44786197,-1866.44786197,-1866.44786197,0.0,0.0,-1866.44786197,1866.44786197,1866.44786197
CC,@CCZ6,2885.0,59.05,-0.00825025782056,-1.0,1.0,1.0,1.0,1.0,8.0,2016-08-26,590.5,4.0,1.0,1.0,28850.0,-0.00825025782056,2885.0,soft,1.0,1.0,1.0,8.0,-1.0,1.0,7.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,1,1,1,1.0,0,0.0,1,1,0,-952.079752492,952.079752492,952.079752492,-952.079752492,-952.079752492,952.079752492,-952.079752492,952.079752492,-952.079752492,-952.079752492,-952.079752492,-952.079752492,952.079752492,952.079752492,-952.079752492,952.079752492,-952.079752492,952.079752492,952.079752492,-952.079752492,952.079752492,-0.0,952.079752492,-952.079752492,-952.079752492,-952.079752492,-952.079752492,-0.0,-0.0,-952.079752492,-952.079752492
CD,@CDU6,0.7741,0.00545,-0.00174092462441,-1.0,-1.0,1.0,-1.0,1.0,5.0,2016-08-31,545.0,4.0,1.0,1.0,77410.0,-0.00174092462441,0.7741,currency,1.0,1.0,1.0,5.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1,1,1,-1,1,1.0,-1,1,1,1,-1,1,1,1,1.0,0,0.0,1,-1,1,-539.059900703,539.059900703,539.059900703,-539.059900703,-539.059900703,539.059900703,-539.059900703,539.059900703,-539.059900703,539.059900703,-539.059900703,539.059900703,-539.059900703,-539.059900703,-539.059900703,539.059900703,-539.059900703,539.059900703,-539.059900703,-539.059900703,-539.059900703,-539.059900703,539.059900703,-539.059900703,-539.059900703,-539.059900703,-539.059900703,-0.0,-0.0,-539.059900703,539.059900703
CGB,CBZ6,145.54,0.6402832995,-0.00858310626703,-1.0,1.0,1.0,1.0,-1.0,-42.0,2016-07-08,495.268641321,5.0,1.0,1.0,112577.351485,-0.00858310626703,145.54,rates,-1.0,1.0,-1.0,-42.0,1.0,-1.0,-41.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1,-1,1.0,0,1.0,-1,1,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
CL,QCLV6,47.62,1.5085,0.0465934065934,1.0,-1.0,-1.0,-1.0,-1.0,13.0,2016-08-19,1508.5,2.0,1.0,1.0,47620.0,0.0465934065934,47.62,energy,1.0,1.0,-1.0,13.0,1.0,-1.0,12.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,-1,-1,-1,0.0,0,-1.0,1,-1,0,4437.55604396,4437.55604396,4437.55604396,-4437.55604396,4437.55604396,-4437.55604396,4437.55604396,-4437.55604396,-4437.55604396,-4437.55604396,-4437.55604396,-4437.55604396,4437.55604396,4437.55604396,-4437.55604396,4437.55604396,-4437.55604396,4437.55604396,4437.55604396,-4437.55604396,4437.55604396,0.0,4437.55604396,-4437.55604396,-4437.55604396,-4437.55604396,0.0,0.0,-4437.55604396,4437.55604396,-4437.55604396
