2016-09-14 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-14 00:00:00,Close2016-09-14 00:00:00,group,RiskOn,Excess,SEA2016-09-14 00:00:00,SRUN2016-09-14 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-13 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-13 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-13 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-13 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACV6,1.505,0.0293,0.0,1.0,-1.0,1.0,-1.0,-1.0,-9.0,2016-08-31,849.7,3.0,1.0,1.0,43645.0,0.0,1.505,energy,1.0,1.0,-1.0,-9.0,-1.0,-1.0,-8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1,-1,1,0.0,0,1,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
AD,@ADZ6,0.7453,0.007184127,0.00241545406407,1.0,-1.0,-1.0,1.0,1.0,24.0,2016-08-10,718.4127,3.0,1.0,1.0,74530.0,0.00241545406407,0.7453,currency,1.0,1.0,1.0,24.0,-1.0,1.0,23.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,-1,-1,-1,1,-1,1,1.0,-1,-1,-1,1,-1,-1,-1,1,0.0,0,-1,1,-1.0,0,-1,0,540.071374186,540.071374186,-540.071374186,540.071374186,540.071374186,-540.071374186,540.071374186,-540.071374186,-540.071374186,-540.071374186,-540.071374186,540.071374186,-540.071374186,540.071374186,540.071374186,-540.071374186,540.071374186,-540.071374186,-540.071374186,-540.071374186,540.071374186,0.0,-540.071374186,-540.071374186,-540.071374186,540.071374186,0.0,0.0,-540.071374186,540.071374186,-540.071374186,0.0,-540.071374186
AEX,AEXV6,440.75,6.0444759875,-0.00339174674958,-1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-09-05,1360.00709719,2.0,1.0,1.0,99168.75,-0.00339174674958,440.75,index,1.0,1.0,-1.0,7.0,-1.0,-1.0,-7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1,-1,1,0.0,0,1,1,-672.710570944,672.710570944,672.710570944,-672.710570944,-672.710570944,672.710570944,-672.710570944,672.710570944,-672.710570944,672.710570944,-672.710570944,672.710570944,-672.710570944,-672.710570944,672.710570944,-672.710570944,-672.710570944,672.710570944,672.710570944,-672.710570944,-672.710570944,-672.710570944,672.710570944,-672.710570944,-672.710570944,-672.710570944,-672.710570944,-672.710570944,672.710570944,-672.710570944,-0.0,-0.0,-672.710570944
BO,@BOZ6,31.86,0.62,0.000313971742543,1.0,-1.0,1.0,-1.0,-1.0,-17.0,2016-08-19,372.0,6.0,1.0,1.0,19116.0,0.000313971742543,31.86,grain,1.0,1.0,-1.0,-17.0,-1.0,-1.0,-16.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1,-1,1,0.0,0,1,1,36.0113029827,36.0113029827,-36.0113029827,36.0113029827,36.0113029827,-36.0113029827,36.0113029827,-36.0113029827,36.0113029827,-36.0113029827,36.0113029827,-36.0113029827,36.0113029827,36.0113029827,-36.0113029827,36.0113029827,36.0113029827,-36.0113029827,-36.0113029827,36.0113029827,36.0113029827,36.0113029827,-36.0113029827,36.0113029827,36.0113029827,36.0113029827,36.0113029827,36.0113029827,-36.0113029827,36.0113029827,0.0,0.0,36.0113029827
BP,@BPZ6,1.3257,0.011292087,0.0038680306621,1.0,1.0,-1.0,1.0,1.0,-21.0,2016-08-15,705.7554375,3.0,1.0,1.0,82856.25,0.0038680306621,1.3257,currency,1.0,1.0,1.0,-21.0,-1.0,1.0,-20.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,1,0.0,0,-1,1,-1.0,-1,-1,0,961.47154664,961.47154664,-961.47154664,961.47154664,961.47154664,-961.47154664,961.47154664,-961.47154664,-961.47154664,961.47154664,-961.47154664,961.47154664,-961.47154664,-961.47154664,961.47154664,-961.47154664,-961.47154664,961.47154664,-961.47154664,961.47154664,-961.47154664,0.0,-961.47154664,-961.47154664,-961.47154664,961.47154664,0.0,0.0,-961.47154664,961.47154664,-961.47154664,-961.47154664,-961.47154664
C,@CZ6,331.75,6.5625,0.00530303030303,1.0,-1.0,-1.0,1.0,-1.0,9.0,2016-08-31,328.125,7.0,1.0,1.0,16587.5,0.00530303030303,331.75,grain,1.0,1.0,-1.0,9.0,-1.0,-1.0,8.0,1.0,1.0,7.0,1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,-1,-1,-1,1,1,1,-1.0,1,-1,1,1,-1,1,1,1,1.0,1,-1,1,0.0,0,1,1,615.748106061,615.748106061,-615.748106061,615.748106061,615.748106061,-615.748106061,615.748106061,-615.748106061,615.748106061,-615.748106061,-615.748106061,615.748106061,-615.748106061,615.748106061,-615.748106061,615.748106061,-615.748106061,615.748106061,-615.748106061,615.748106061,615.748106061,615.748106061,-615.748106061,615.748106061,615.748106061,615.748106061,615.748106061,615.748106061,-615.748106061,615.748106061,0.0,0.0,615.748106061
CC,@CCZ6,2809.0,64.1,0.00970524802301,1.0,-1.0,1.0,-1.0,1.0,12.0,2016-08-26,641.0,4.0,1.0,1.0,28090.0,0.00970524802301,2809.0,soft,1.0,1.0,1.0,12.0,-1.0,1.0,11.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1,1,1,-1,1,1.0,-1,1,1,1,-1,1,1,1,1.0,0,1,1,-1.0,0,-1,1,1090.48166786,1090.48166786,-1090.48166786,1090.48166786,1090.48166786,-1090.48166786,1090.48166786,-1090.48166786,-1090.48166786,-1090.48166786,1090.48166786,-1090.48166786,1090.48166786,1090.48166786,1090.48166786,-1090.48166786,1090.48166786,-1090.48166786,1090.48166786,1090.48166786,1090.48166786,1090.48166786,-1090.48166786,1090.48166786,1090.48166786,1090.48166786,1090.48166786,0.0,1090.48166786,1090.48166786,-1090.48166786,0.0,-1090.48166786
CD,@CDU6,0.7575,0.005795,-0.0019105342908,-1.0,-1.0,-1.0,-1.0,1.0,-6.0,2016-09-06,579.5,4.0,1.0,1.0,75750.0,-0.0019105342908,0.7575,currency,1.0,1.0,1.0,-6.0,-1.0,1.0,-5.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,-1,1,0.0,0,1,1,-1.0,0,-1,1,-578.891890111,578.891890111,578.891890111,-578.891890111,-578.891890111,578.891890111,-578.891890111,578.891890111,578.891890111,578.891890111,578.891890111,578.891890111,-578.891890111,-578.891890111,-578.891890111,578.891890111,578.891890111,-578.891890111,-578.891890111,-578.891890111,-578.891890111,-578.891890111,-578.891890111,578.891890111,578.891890111,-578.891890111,-0.0,-0.0,-578.891890111,-578.891890111,578.891890111,-0.0,578.891890111
CGB,CBZ6,144.78,0.6877936025,0.00471894517696,1.0,-1.0,1.0,-1.0,1.0,8.0,2016-09-01,521.134719276,4.0,1.0,1.0,109698.439157,0.00471894517696,144.78,rates,-1.0,1.0,1.0,8.0,-1.0,1.0,-45.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,-1,1,1,-1,1,-1.0,1,1,1,1,1,1,-1,1,1.0,0,1,1,0.0,1,1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,QCLX6,44.15,1.6133053455,-0.0292436235708,-1.0,-1.0,1.0,-1.0,-1.0,17.0,2016-08-19,1613.3053455,2.0,1.0,1.0,44150.0,-0.0292436235708,44.15,energy,1.0,1.0,-1.0,17.0,-1.0,-1.0,16.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1.0,1,1,1,0.0,0,1,1,-2582.2119613,2582.2119613,2582.2119613,-2582.2119613,-2582.2119613,2582.2119613,-2582.2119613,2582.2119613,-2582.2119613,2582.2119613,-2582.2119613,2582.2119613,-2582.2119613,-2582.2119613,2582.2119613,-2582.2119613,2582.2119613,-2582.2119613,2582.2119613,-2582.2119613,-2582.2119613,-2582.2119613,-2582.2119613,-2582.2119613,-2582.2119613,-2582.2119613,-2582.2119613,-2582.2119613,-2582.2119613,-2582.2119613,-0.0,-0.0,-2582.2119613
